adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
4.5200,4.5200,2020-05-12,0.0000,4.5200,4.5200,4.5200,1.0000,0
4.5200,4.5200,2020-05-11,0.0000,4.5200,4.5200,4.5200,1.0000,0
4.5200,4.5200,2020-05-08,0.0000,4.5200,4.5200,4.5200,1.0000,0
4.5200,4.5200,2020-05-07,0.0000,4.5200,4.5200,4.5200,1.0000,0
4.5200,4.5200,2020-05-06,0.0000,4.5200,4.5200,4.5200,1.0000,0
4.5200,4.5200,2020-05-05,0.0000,4.5200,4.5200,4.5200,1.0000,0
4.5200,4.5200,2020-05-04,0.0000,4.5200,4.5200,4.5200,1.0000,500
4.9100,4.9100,2020-05-01,0.0000,4.9100,4.9100,4.9100,1.0000,0
4.9100,4.9100,2020-04-30,0.0000,4.9100,4.8300,4.8300,1.0000,369
4.9400,4.9400,2020-04-29,0.0000,4.9400,4.9400,4.9400,1.0000,0
4.9400,4.9400,2020-04-28,0.0000,4.9400,4.9400,4.9400,1.0000,65500
4.9400,4.9400,2020-04-27,0.0000,4.9400,4.9400,4.9400,1.0000,10
4.9400,4.9400,2020-04-24,0.0000,4.9400,4.9000,4.9000,1.0000,2090
4.8300,4.8300,2020-04-23,0.0000,4.8300,4.8300,4.8300,1.0000,200
4.9000,4.9000,2020-04-22,0.0000,4.9000,4.9000,4.9000,1.0000,0
4.9000,4.9000,2020-04-21,0.0000,4.9000,4.9000,4.9000,1.0000,0
4.9000,4.9000,2020-04-20,0.0000,4.9000,4.9000,4.9000,1.0000,0
4.9008,4.9008,2020-04-17,0.0000,4.9008,4.9008,4.9008,1.0000,2700
4.9600,4.9600,2020-04-16,0.0000,4.9600,4.9600,4.9600,1.0000,90
4.9600,4.9600,2020-04-15,0.0000,4.9600,4.9600,4.9600,1.0000,0
4.9600,4.9600,2020-04-14,0.0000,4.9600,4.9600,4.9600,1.0000,0
4.9600,4.9600,2020-04-13,0.0000,4.9600,4.9600,4.9600,1.0000,0
4.9600,4.9600,2020-04-09,0.0000,4.9600,4.9600,4.9600,1.0000,0
4.9600,4.9600,2020-04-08,0.0000,5.2200,4.9500,5.2200,1.0000,5163
5.2100,5.2100,2020-04-07,0.0000,5.2100,5.2100,5.2100,1.0000,0
5.2100,5.2100,2020-04-06,0.0000,5.2100,5.2100,5.2100,1.0000,500
5.1200,5.1200,2020-04-03,0.0000,5.1200,5.1200,5.1200,1.0000,200
5.0900,5.0900,2020-04-02,0.0000,5.0900,5.0900,5.0900,1.0000,794
5.0900,5.0900,2020-04-01,0.0000,5.0900,5.0900,5.0900,1.0000,0
5.0900,5.0900,2020-03-31,0.0000,5.0900,5.0900,5.0900,1.0000,127
5.3700,5.3700,2020-03-30,0.0000,5.3700,5.3700,5.3700,1.0000,0
5.3700,5.3700,2020-03-27,0.0000,5.3700,5.3700,5.3700,1.0000,0
5.3700,5.3700,2020-03-26,0.0000,5.3825,5.3700,5.3825,1.0000,2897
4.6100,4.6100,2020-03-25,0.0000,4.6100,4.6100,4.6100,1.0000,0
4.6100,4.6100,2020-03-24,0.0000,4.6100,4.6100,4.6100,1.0000,1000
4.4000,4.4000,2020-03-23,0.0000,4.4000,4.4000,4.4000,1.0000,2500
