adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.7050,0.7050,2020-04-07,0.0000,0.7700,0.7050,0.7700,1.0000,200
0.7700,0.7700,2020-03-27,0.0000,0.7700,0.7700,0.7700,1.0000,100
0.9100,0.9100,2019-12-30,0.0000,0.9100,0.9100,0.9100,1.0000,150
0.8405,0.8405,2019-05-24,0.0000,0.8405,0.8405,0.8405,1.0000,150
1.2500,1.2500,2019-05-22,0.0000,1.2500,1.2500,1.2500,1.0000,50
1.2500,1.2500,2019-03-06,0.0000,1.2500,1.2400,1.2400,1.0000,788
1.2890,1.2890,2019-03-01,0.0000,1.2890,1.2890,1.2890,1.0000,100
1.0900,1.0900,2019-01-18,0.0000,1.0900,1.0900,1.0900,1.0000,212
1.2100,1.2100,2019-01-10,0.0000,1.2100,1.2100,1.2100,1.0000,200
1.1800,1.1800,2019-01-04,0.0000,1.1800,1.1800,1.1800,1.0000,300
1.1500,1.1500,2018-12-31,0.0000,1.1500,1.1500,1.1500,1.0000,50
1.1500,1.1500,2018-12-27,0.0000,1.1500,1.1500,1.1500,1.0000,100
1.0300,1.0300,2018-12-20,0.0000,1.0300,1.0300,1.0300,1.0000,100
0.9700,0.9700,2018-12-13,0.0000,0.9700,0.9700,0.9700,1.0000,100
0.9019,0.9019,2018-12-10,0.0000,0.9019,0.9019,0.9019,1.0000,0
0.9019,0.9019,2018-12-07,0.0000,0.9019,0.9019,0.9019,1.0000,100
