adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.3200,0.3200,2020-05-12,0.0000,0.3200,0.3200,0.3200,1.0000,250
0.3600,0.3600,2020-05-11,0.0000,0.3600,0.3600,0.3600,1.0000,0
0.3600,0.3600,2020-05-08,0.0000,0.3600,0.3600,0.3600,1.0000,100
0.2600,0.2600,2020-05-07,0.0000,0.2600,0.2600,0.2600,1.0000,0
0.2600,0.2600,2020-05-06,0.0000,0.2600,0.2600,0.2600,1.0000,801
0.3000,0.3000,2020-05-05,0.0000,0.3000,0.3000,0.3000,1.0000,1200
0.2543,0.2543,2020-05-04,0.0000,0.2543,0.2543,0.2543,1.0000,15
0.2540,0.2540,2020-05-01,0.0000,0.2540,0.2540,0.2540,1.0000,0
0.2540,0.2540,2020-04-30,0.0000,0.2540,0.2540,0.2540,1.0000,0
0.2543,0.2543,2020-04-29,0.0000,0.3200,0.2543,0.3200,1.0000,20000
0.2925,0.2925,2020-04-28,0.0000,0.2925,0.2925,0.2925,1.0000,1500
0.2040,0.2040,2020-04-27,0.0000,0.2040,0.2040,0.2040,1.0000,0
0.2040,0.2040,2020-04-24,0.0000,0.2040,0.2040,0.2040,1.0000,0
0.2040,0.2040,2020-04-23,0.0000,0.2040,0.2040,0.2040,1.0000,0
0.2040,0.2040,2020-04-22,0.0000,0.2040,0.2040,0.2040,1.0000,0
0.2040,0.2040,2020-04-21,0.0000,0.2040,0.2040,0.2040,1.0000,0
0.2040,0.2040,2020-04-20,0.0000,0.2040,0.2040,0.2040,1.0000,0
0.2040,0.2040,2020-04-17,0.0000,0.2040,0.2040,0.2040,1.0000,0
0.2041,0.2041,2020-04-16,0.0000,0.2041,0.2041,0.2041,1.0000,625
0.2850,0.2850,2020-04-15,0.0000,0.2850,0.2850,0.2850,1.0000,0
0.2850,0.2850,2020-04-14,0.0000,0.2850,0.2850,0.2850,1.0000,642
0.2600,0.2600,2020-04-13,0.0000,0.2600,0.2600,0.2600,1.0000,0
0.2600,0.2600,2020-04-09,0.0000,0.2600,0.2600,0.2600,1.0000,3000
0.2700,0.2700,2020-04-08,0.0000,0.2700,0.2700,0.2700,1.0000,1
0.2700,0.2700,2020-04-07,0.0000,0.2700,0.2700,0.2700,1.0000,0
0.2700,0.2700,2020-04-06,0.0000,0.2700,0.2700,0.2700,1.0000,50
0.2700,0.2700,2020-04-03,0.0000,0.2700,0.2700,0.2700,1.0000,0
0.2700,0.2700,2020-04-02,0.0000,0.2700,0.2700,0.2700,1.0000,0
0.2700,0.2700,2020-04-01,0.0000,0.2700,0.2700,0.2700,1.0000,800
0.2725,0.2725,2020-03-31,0.0000,0.2950,0.2681,0.2681,1.0000,15350
0.2300,0.2300,2020-03-30,0.0000,0.2300,0.2300,0.2300,1.0000,0
0.2300,0.2300,2020-03-27,0.0000,0.2300,0.2300,0.2300,1.0000,0
0.2301,0.2301,2020-03-26,0.0000,0.2301,0.2300,0.2300,1.0000,9000
0.2200,0.2200,2020-03-25,0.0000,0.2200,0.2200,0.2200,1.0000,0
0.2200,0.2200,2020-03-24,0.0000,0.2200,0.1900,0.1900,1.0000,102000
0.2260,0.2260,2020-03-23,0.0000,0.2300,0.2080,0.2260,1.0000,30000
0.2900,0.2900,2020-03-20,0.0000,0.2900,0.2900,0.2900,1.0000,30500
0.2129,0.2129,2020-03-19,0.0000,0.2248,0.2129,0.2248,1.0000,26000
0.2481,0.2481,2020-03-18,0.0000,0.2600,0.2481,0.2600,1.0000,94575
0.3640,0.3640,2020-03-17,0.0000,0.3640,0.3640,0.3640,1.0000,900
0.3640,0.3640,2020-03-16,0.0000,0.3640,0.3640,0.3640,1.0000,0
0.3640,0.3640,2020-03-13,0.0000,0.3640,0.3640,0.3640,1.0000,0
0.3640,0.3640,2020-03-12,0.0000,0.3640,0.3640,0.3640,1.0000,2500
0.4750,0.4750,2020-03-11,0.0000,0.4750,0.4750,0.4750,1.0000,0
0.4750,0.4750,2020-03-10,0.0000,0.4750,0.4750,0.4750,1.0000,0
0.4750,0.4750,2020-03-09,0.0000,0.4750,0.4750,0.4750,1.0000,10000
0.5100,0.5100,2020-03-06,0.0000,0.5100,0.5100,0.5100,1.0000,0
0.5100,0.5100,2020-03-05,0.0000,0.5100,0.5100,0.5100,1.0000,0
0.5100,0.5100,2020-03-04,0.0000,0.5100,0.5100,0.5100,1.0000,1000
0.4800,0.4800,2020-03-03,0.0000,0.4800,0.4800,0.4800,1.0000,0
0.4800,0.4800,2020-03-02,0.0000,0.4800,0.4800,0.4800,1.0000,2000
0.4400,0.4400,2020-02-28,0.0000,0.4400,0.4400,0.4400,1.0000,0
0.4400,0.4400,2020-02-27,0.0000,0.4400,0.4400,0.4400,1.0000,0
0.4400,0.4400,2020-02-26,0.0000,0.4400,0.4400,0.4400,1.0000,0
0.4400,0.4400,2020-02-25,0.0000,0.4400,0.4400,0.4400,1.0000,0
0.4400,0.4400,2020-02-24,0.0000,0.4400,0.4400,0.4400,1.0000,0
0.4400,0.4400,2020-02-21,0.0000,0.4400,0.4400,0.4400,1.0000,0
0.4400,0.4400,2020-02-20,0.0000,0.4400,0.4400,0.4400,1.0000,6000
0.4400,0.4400,2020-02-19,0.0000,0.4400,0.4400,0.4400,1.0000,0
0.4400,0.4400,2020-02-18,0.0000,0.4400,0.4400,0.4400,1.0000,0
0.4400,0.4400,2020-02-14,0.0000,0.4400,0.4400,0.4400,1.0000,0
0.4400,0.4400,2020-02-13,0.0000,0.4400,0.4400,0.4400,1.0000,0
0.4400,0.4400,2020-02-12,0.0000,0.4400,0.4400,0.4400,1.0000,0
0.4400,0.4400,2020-02-11,0.0000,0.4400,0.4400,0.4400,1.0000,0
0.4400,0.4400,2020-02-10,0.0000,0.4400,0.4400,0.4400,1.0000,3600
0.4770,0.4770,2020-02-07,0.0000,0.4770,0.4770,0.4770,1.0000,500
0.4500,0.4500,2020-02-06,0.0000,0.4500,0.4500,0.4500,1.0000,0
0.4500,0.4500,2020-02-04,0.0000,0.4500,0.4500,0.4500,1.0000,0
0.4500,0.4500,2020-02-03,0.0000,0.4500,0.4500,0.4500,1.0000,2500
0.4700,0.4700,2020-01-31,0.0000,0.4700,0.4700,0.4700,1.0000,0
0.4700,0.4700,2020-01-30,0.0000,0.4900,0.4700,0.4900,1.0000,6000
0.4900,0.4900,2020-01-29,0.0000,0.4900,0.4900,0.4900,1.0000,0
0.4900,0.4900,2020-01-28,0.0000,0.4900,0.4900,0.4900,1.0000,0
0.4900,0.4900,2020-01-27,0.0000,0.4900,0.4900,0.4900,1.0000,0
0.4900,0.4900,2020-01-24,0.0000,0.4900,0.4900,0.4900,1.0000,0
0.4900,0.4900,2020-01-23,0.0000,0.4900,0.4900,0.4900,1.0000,0
0.4900,0.4900,2020-01-22,0.0000,0.4900,0.4900,0.4900,1.0000,0
0.4900,0.4900,2020-01-21,0.0000,0.4900,0.4900,0.4900,1.0000,0
0.4900,0.4900,2020-01-17,0.0000,0.4900,0.4900,0.4900,1.0000,0
0.4900,0.4900,2020-01-16,0.0000,0.4900,0.4900,0.4900,1.0000,0
0.4900,0.4900,2020-01-15,0.0000,0.4900,0.4900,0.4900,1.0000,0
0.4900,0.4900,2020-01-14,0.0000,0.4900,0.4900,0.4900,1.0000,0
0.4900,0.4900,2020-01-13,0.0000,0.4900,0.4900,0.4900,1.0000,1400
0.4550,0.4550,2020-01-10,0.0000,0.4550,0.4550,0.4550,1.0000,0
0.4550,0.4550,2020-01-09,0.0000,0.4550,0.4550,0.4550,1.0000,0
0.4550,0.4550,2020-01-08,0.0000,0.4550,0.4550,0.4550,1.0000,0
0.4550,0.4550,2020-01-07,0.0000,0.4550,0.4550,0.4550,1.0000,0
0.4550,0.4550,2020-01-06,0.0000,0.4550,0.4550,0.4550,1.0000,0
0.4550,0.4550,2020-01-03,0.0000,0.4550,0.4550,0.4550,1.0000,0
0.4550,0.4550,2020-01-02,0.0000,0.4550,0.4550,0.4550,1.0000,0
0.4550,0.4550,2019-12-31,0.0000,0.4550,0.4550,0.4550,1.0000,0
0.4550,0.4550,2019-12-30,0.0000,0.4550,0.4550,0.4550,1.0000,0
0.4550,0.4550,2019-12-27,0.0000,0.4550,0.4550,0.4550,1.0000,0
0.4550,0.4550,2019-12-26,0.0000,0.4550,0.4550,0.4550,1.0000,0
0.4550,0.4550,2019-12-24,0.0000,0.4550,0.4550,0.4550,1.0000,0
