adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
26.8500,26.8500,2020-05-12,0.0000,28.9900,26.8200,28.4600,1.0000,2981603
28.3600,28.3600,2020-05-11,0.0000,29.4900,28.2400,29.4800,1.0000,2986942
30.0000,30.0000,2020-05-08,0.0000,30.1600,28.5600,28.7700,1.0000,2767205
28.2500,28.2500,2020-05-07,0.0000,29.0900,27.8000,28.0600,1.0000,2905909
27.8300,27.8300,2020-05-06,0.0000,29.0599,27.2000,28.8800,1.0000,2992971
28.9700,28.9700,2020-05-05,0.0000,30.3700,28.4100,29.7200,1.0000,3954177
28.7700,28.7700,2020-05-04,0.0000,28.9000,26.5600,27.1200,1.0000,4453675
30.1100,30.1100,2020-05-01,0.0000,31.8500,29.6000,31.4100,1.0000,2391537
32.5200,32.5200,2020-04-30,0.0000,33.5000,31.4000,32.7800,1.0000,2673654
34.0000,34.0000,2020-04-29,0.0000,34.7200,32.7200,34.0600,1.0000,3997467
31.5800,31.5800,2020-04-28,0.0000,32.2500,28.7040,28.8900,1.0000,3952025
27.8500,27.8500,2020-04-27,0.0000,29.2600,27.7000,28.3400,1.0000,2766000
28.0100,28.0100,2020-04-24,0.0000,28.8200,27.2050,28.5600,1.0000,3054869
28.2000,28.2000,2020-04-23,0.0000,28.9800,27.7500,28.0100,1.0000,2396551
27.5300,27.5300,2020-04-22,0.0000,29.2300,27.0200,29.0000,1.0000,2600010
28.2900,28.2900,2020-04-21,0.0000,29.1900,27.6100,27.8000,1.0000,1881871
29.2300,29.2300,2020-04-20,0.0000,29.9600,28.1300,28.9400,1.0000,1811715
29.9300,29.9300,2020-04-17,0.0000,30.2800,29.3100,29.6900,1.0000,2489380
28.2600,28.2600,2020-04-16,0.0000,29.4500,27.5100,29.2400,1.0000,3227788
30.0800,30.0800,2020-04-15,0.0000,32.4200,29.0000,32.2400,1.0000,4248846
31.0500,31.0500,2020-04-14,0.0000,31.9200,30.4196,30.5800,1.0000,2730438
29.5100,29.5100,2020-04-13,0.0000,32.8600,28.6108,32.6300,1.0000,3176559
31.6100,31.6100,2020-04-09,0.0000,33.6050,30.3850,31.2400,1.0000,4196655
29.1400,29.1400,2020-04-08,0.0000,30.3200,28.9500,30.2000,1.0000,2934097
29.0300,29.0300,2020-04-07,0.0000,31.7700,28.5400,29.3400,1.0000,3766491
26.6700,26.6700,2020-04-06,0.0000,27.2700,24.9200,26.0400,1.0000,3721990
24.6900,24.6900,2020-04-03,0.0000,25.6500,23.5800,25.1600,1.0000,2700675
24.6600,24.6600,2020-04-02,0.0000,27.0200,24.2800,26.1400,1.0000,3057262
26.3500,26.3500,2020-04-01,0.0000,27.5500,25.2500,26.9200,1.0000,3347524
28.4700,28.4700,2020-03-31,0.0000,30.7050,28.1300,28.9600,1.0000,2666342
28.3300,28.3300,2020-03-30,0.0000,29.9500,26.5500,29.1300,1.0000,2838243
29.8700,29.8700,2020-03-27,0.0000,31.9000,29.7800,31.7300,1.0000,3543218
32.4900,32.4900,2020-03-26,0.0000,33.3700,30.0200,31.9100,1.0000,4914599
29.8400,29.8400,2020-03-25,0.0000,34.2500,28.3600,33.5600,1.0000,7727931
28.9100,28.9100,2020-03-24,0.0000,31.2600,27.3800,29.4400,1.0000,4733854
24.0300,24.0300,2020-03-23,0.0000,24.9800,22.1500,24.0000,1.0000,3682931
23.5600,23.5600,2020-03-20,0.0000,27.9700,23.3400,25.7100,1.0000,4061830
24.1800,24.1800,2020-03-19,0.0000,25.9900,22.0100,24.7000,1.0000,2900438
25.1300,25.1300,2020-03-18,0.0000,30.0400,20.0200,29.5300,1.0000,5065571
32.5300,32.5300,2020-03-17,0.0000,36.2000,31.2800,33.0600,1.0000,3706023
32.5300,32.5300,2020-03-16,0.0000,34.4000,28.9200,32.0200,1.0000,4448111
37.9500,37.9500,2020-03-13,0.0000,38.1000,33.0000,38.1000,1.0000,3946965
35.0800,35.0800,2020-03-12,0.0000,43.4018,35.0100,40.1100,1.0000,4726849
45.7000,45.7000,2020-03-11,0.0000,46.0400,43.3700,45.1000,1.0000,3184837
46.7800,46.7800,2020-03-10,0.0000,47.6900,43.3700,45.3100,1.0000,3138975
43.1900,43.1900,2020-03-09,0.0000,45.1900,42.1400,43.1600,1.0000,3413260
45.2100,45.2100,2020-03-06,0.0000,48.4000,41.4000,41.5000,1.0000,5041745
43.4600,43.4600,2020-03-05,0.0000,47.6600,43.3600,47.6600,1.0000,3857921
49.6900,49.6900,2020-03-04,0.0000,49.7100,46.5700,48.1900,1.0000,3479700
