adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.0490,0.0490,2020-05-12,0.0000,0.0490,0.0490,0.0490,1.0000,25000
0.0390,0.0390,2020-05-11,0.0000,0.0435,0.0390,0.0425,1.0000,171900
0.0400,0.0400,2020-05-08,0.0000,0.0450,0.0400,0.0430,1.0000,40014
0.0400,0.0400,2020-05-07,0.0000,0.0400,0.0400,0.0400,1.0000,1086
0.0470,0.0470,2020-05-06,0.0000,0.0470,0.0470,0.0470,1.0000,4000
0.0440,0.0440,2020-05-05,0.0000,0.0440,0.0440,0.0440,1.0000,20000
0.0405,0.0405,2020-05-04,0.0000,0.0500,0.0405,0.0500,1.0000,31911
0.0490,0.0490,2020-05-01,0.0000,0.0490,0.0455,0.0455,1.0000,51164
0.0500,0.0500,2020-04-30,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2020-04-29,0.0000,0.0500,0.0500,0.0500,1.0000,25000
0.0460,0.0460,2020-04-28,0.0000,0.0460,0.0460,0.0460,1.0000,2000
0.0445,0.0445,2020-04-27,0.0000,0.0490,0.0445,0.0490,1.0000,2700
0.0380,0.0380,2020-04-24,0.0000,0.0450,0.0380,0.0450,1.0000,11000
0.0430,0.0430,2020-04-23,0.0000,0.0430,0.0380,0.0430,1.0000,20000
0.0370,0.0370,2020-04-22,0.0000,0.0400,0.0370,0.0400,1.0000,600
0.0300,0.0300,2020-04-21,0.0000,0.0500,0.0300,0.0500,1.0000,21300
0.0490,0.0490,2020-04-20,0.0000,0.0490,0.0454,0.0490,1.0000,4900
0.0300,0.0300,2020-04-17,0.0000,0.0300,0.0300,0.0300,1.0000,0
0.0320,0.0320,2020-04-16,0.0000,0.0490,0.0320,0.0490,1.0000,6632
0.0410,0.0410,2020-04-15,0.0000,0.0410,0.0410,0.0410,1.0000,600
0.0400,0.0400,2020-04-14,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0400,0.0400,2020-04-13,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0385,0.0385,2020-04-09,0.0000,0.0410,0.0360,0.0360,1.0000,35000
0.0450,0.0450,2020-04-08,0.0000,0.0450,0.0400,0.0400,1.0000,51605
0.0400,0.0400,2020-04-07,0.0000,0.0420,0.0340,0.0340,1.0000,84336
0.0320,0.0320,2020-04-06,0.0000,0.0360,0.0320,0.0320,1.0000,60500
0.0300,0.0300,2020-04-03,0.0000,0.0320,0.0300,0.0320,1.0000,17175
0.0400,0.0400,2020-04-02,0.0000,0.0400,0.0335,0.0335,1.0000,14999
0.0400,0.0400,2020-04-01,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0400,0.0400,2020-03-31,0.0000,0.0400,0.0400,0.0400,1.0000,2100
0.0307,0.0307,2020-03-30,0.0000,0.0377,0.0307,0.0377,1.0000,3500
0.0300,0.0300,2020-03-27,0.0000,0.0320,0.0300,0.0310,1.0000,33070
0.0300,0.0300,2020-03-26,0.0000,0.0300,0.0300,0.0300,1.0000,0
0.0320,0.0320,2020-03-25,0.0000,0.0320,0.0300,0.0320,1.0000,138250
0.0340,0.0340,2020-03-24,0.0000,0.0340,0.0310,0.0310,1.0000,66000
0.0320,0.0320,2020-03-23,0.0000,0.0320,0.0320,0.0320,1.0000,10000
0.0365,0.0365,2020-03-20,0.0000,0.0365,0.0350,0.0350,1.0000,25000
0.0360,0.0360,2020-03-19,0.0000,0.0360,0.0346,0.0360,1.0000,50800
0.0360,0.0360,2020-03-18,0.0000,0.0410,0.0300,0.0355,1.0000,22000
0.0430,0.0430,2020-03-17,0.0000,0.0430,0.0430,0.0430,1.0000,5160
0.0470,0.0470,2020-03-16,0.0000,0.0470,0.0430,0.0430,1.0000,23264
0.0710,0.0710,2020-03-13,0.0000,0.0940,0.0470,0.0470,1.0000,220179
0.0344,0.0344,2020-03-12,0.0000,0.0419,0.0344,0.0419,1.0000,30300
0.0450,0.0450,2020-03-11,0.0000,0.0450,0.0415,0.0415,1.0000,45065
0.0450,0.0450,2020-03-10,0.0000,0.0450,0.0420,0.0420,1.0000,35000
0.0450,0.0450,2020-03-09,0.0000,0.0450,0.0350,0.0350,1.0000,50100
0.0490,0.0490,2020-03-06,0.0000,0.0490,0.0490,0.0490,1.0000,99999
0.0500,0.0500,2020-03-05,0.0000,0.0500,0.0430,0.0430,1.0000,120000
0.0460,0.0460,2020-03-04,0.0000,0.0460,0.0440,0.0460,1.0000,17400
0.0500,0.0500,2020-03-03,0.0000,0.0500,0.0500,0.0500,1.0000,110000
0.0470,0.0470,2020-03-02,0.0000,0.0470,0.0470,0.0470,1.0000,14000
0.0480,0.0480,2020-02-28,0.0000,0.0480,0.0410,0.0420,1.0000,115814
0.0455,0.0455,2020-02-27,0.0000,0.0460,0.0455,0.0460,1.0000,45000
0.0460,0.0460,2020-02-26,0.0000,0.0480,0.0460,0.0470,1.0000,17505
0.0486,0.0486,2020-02-25,0.0000,0.0500,0.0486,0.0500,1.0000,25100
0.0515,0.0515,2020-02-24,0.0000,0.0520,0.0450,0.0510,1.0000,184900
0.0530,0.0530,2020-02-21,0.0000,0.0530,0.0530,0.0530,1.0000,50000
0.0527,0.0527,2020-02-20,0.0000,0.0530,0.0527,0.0530,1.0000,65161
0.0520,0.0520,2020-02-19,0.0000,0.0520,0.0480,0.0500,1.0000,81000
0.0510,0.0510,2020-02-18,0.0000,0.0510,0.0500,0.0510,1.0000,123100
0.0480,0.0480,2020-02-14,0.0000,0.0480,0.0480,0.0480,1.0000,400
0.0530,0.0530,2020-02-13,0.0000,0.0530,0.0530,0.0530,1.0000,4000
0.0480,0.0480,2020-02-12,0.0000,0.0550,0.0480,0.0540,1.0000,340000
0.0500,0.0500,2020-02-11,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0515,0.0515,2020-02-10,0.0000,0.0530,0.0495,0.0515,1.0000,11500
0.0530,0.0530,2020-02-07,0.0000,0.0530,0.0505,0.0530,1.0000,14800
0.0490,0.0490,2020-02-06,0.0000,0.0490,0.0490,0.0490,1.0000,8100
0.0494,0.0494,2020-02-05,0.0000,0.0500,0.0490,0.0500,1.0000,14800
0.0500,0.0500,2020-02-04,0.0000,0.0500,0.0493,0.0500,1.0000,116800
0.0485,0.0485,2020-02-03,0.0000,0.0530,0.0483,0.0530,1.0000,116930
0.0540,0.0540,2020-01-31,0.0000,0.0540,0.0511,0.0511,1.0000,101400
0.0530,0.0530,2020-01-30,0.0000,0.0530,0.0530,0.0530,1.0000,16000
0.0600,0.0600,2020-01-29,0.0000,0.0600,0.0600,0.0600,1.0000,0
0.0555,0.0555,2020-01-28,0.0000,0.0555,0.0517,0.0550,1.0000,115500
0.0571,0.0571,2020-01-27,0.0000,0.0571,0.0550,0.0565,1.0000,49500
0.0571,0.0571,2020-01-24,0.0000,0.0571,0.0550,0.0550,1.0000,9000
0.0580,0.0580,2020-01-23,0.0000,0.0586,0.0580,0.0586,1.0000,33500
0.0590,0.0590,2020-01-22,0.0000,0.0590,0.0590,0.0590,1.0000,10000
0.0608,0.0608,2020-01-21,0.0000,0.0620,0.0580,0.0600,1.0000,32600
0.0650,0.0650,2020-01-17,0.0000,0.0655,0.0628,0.0640,1.0000,62700
0.0621,0.0621,2020-01-16,0.0000,0.0630,0.0581,0.0609,1.0000,48323
0.0592,0.0592,2020-01-15,0.0000,0.0592,0.0592,0.0592,1.0000,600
0.0570,0.0570,2020-01-14,0.0000,0.0608,0.0570,0.0608,1.0000,16000
0.0620,0.0620,2020-01-13,0.0000,0.0630,0.0618,0.0630,1.0000,103379
0.0640,0.0640,2020-01-10,0.0000,0.0640,0.0615,0.0615,1.0000,534677
0.0650,0.0650,2020-01-09,0.0000,0.0650,0.0650,0.0650,1.0000,20000
0.0630,0.0630,2020-01-08,0.0000,0.0630,0.0590,0.0600,1.0000,51720
0.0604,0.0604,2020-01-07,0.0000,0.0642,0.0600,0.0642,1.0000,133000
0.0621,0.0621,2020-01-06,0.0000,0.0670,0.0600,0.0670,1.0000,150123
0.0679,0.0679,2020-01-03,0.0000,0.0687,0.0610,0.0650,1.0000,657120
0.0640,0.0640,2020-01-02,0.0000,0.0650,0.0622,0.0650,1.0000,231146
0.0659,0.0659,2019-12-31,0.0000,0.0680,0.0650,0.0680,1.0000,152715
0.0650,0.0650,2019-12-30,0.0000,0.0680,0.0640,0.0660,1.0000,341063
0.0650,0.0650,2019-12-27,0.0000,0.0660,0.0640,0.0660,1.0000,244100
0.0650,0.0650,2019-12-26,0.0000,0.0650,0.0634,0.0640,1.0000,446840
0.0650,0.0650,2019-12-24,0.0000,0.0650,0.0625,0.0650,1.0000,152023
0.0650,0.0650,2019-12-23,0.0000,0.0650,0.0630,0.0650,1.0000,676217
0.0610,0.0610,2019-12-20,0.0000,0.0640,0.0585,0.0630,1.0000,96000
0.0650,0.0650,2019-12-19,0.0000,0.0650,0.0580,0.0580,1.0000,15550
0.0590,0.0590,2019-12-18,0.0000,0.0650,0.0590,0.0590,1.0000,55500
0.0574,0.0574,2019-12-17,0.0000,0.0591,0.0570,0.0591,1.0000,22715
0.0564,0.0564,2019-12-16,0.0000,0.0564,0.0564,0.0564,1.0000,6000
0.0591,0.0591,2019-12-13,0.0000,0.0591,0.0570,0.0570,1.0000,36705
0.0584,0.0584,2019-12-12,0.0000,0.0584,0.0584,0.0584,1.0000,1000
0.0550,0.0550,2019-12-11,0.0000,0.0550,0.0550,0.0550,1.0000,10000
0.0580,0.0580,2019-12-10,0.0000,0.0580,0.0580,0.0580,1.0000,573
0.0550,0.0550,2019-12-09,0.0000,0.0585,0.0550,0.0585,1.0000,8200
