adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
27.3700,27.3700,2020-05-12,0.0000,28.8300,27.3500,28.5700,1.0000,882985
28.3000,28.3000,2020-05-11,0.0000,28.7750,27.6300,28.6200,1.0000,1314827
28.8800,28.8800,2020-05-08,0.0000,29.2000,28.0400,28.0400,1.0000,2398261
28.2200,28.2200,2020-05-07,0.0000,28.6300,28.0400,28.3900,1.0000,754886
28.0700,28.0700,2020-05-06,0.0000,28.7400,27.8650,28.7100,1.0000,1358112
28.3700,28.3700,2020-05-05,0.0000,29.9500,28.3350,29.7600,1.0000,1054361
28.8600,28.8600,2020-05-04,0.0000,29.7200,28.4950,29.3800,1.0000,851792
29.7900,29.7900,2020-05-01,0.0000,29.9500,29.2900,29.4900,1.0000,1022064
30.0200,30.0200,2020-04-30,0.0000,30.7400,29.5400,30.0500,1.0000,1307534
30.2900,30.2900,2020-04-29,0.0000,30.8700,29.2500,29.7500,1.0000,1174640
29.1300,29.1300,2020-04-28,0.0000,32.0400,28.0000,30.9100,1.0000,1651957
29.5200,29.5200,2020-04-27,0.0000,29.8100,28.1500,28.1500,1.0000,582205
28.1400,28.1400,2020-04-24,0.0000,28.1900,27.2000,27.2100,1.0000,449415
27.3000,27.3000,2020-04-23,0.0000,27.8520,27.0600,27.0600,1.0000,480279
26.8700,26.8700,2020-04-22,0.0000,27.2100,26.2200,26.4500,1.0000,434900
26.0200,26.0200,2020-04-21,0.0000,26.5900,25.7800,26.1500,1.0000,923154
26.8700,26.8700,2020-04-20,0.0000,28.0000,26.7100,28.0000,1.0000,496902
27.9200,27.9200,2020-04-17,0.0000,28.8700,27.6900,28.0400,1.0000,567444
27.4200,27.4200,2020-04-16,0.0000,27.4700,26.0600,26.8200,1.0000,1045529
26.5100,26.5100,2020-04-15,0.0000,27.1400,25.9300,26.9100,1.0000,1085485
28.0100,28.0100,2020-04-14,0.0000,28.6150,27.6900,28.2500,1.0000,831819
27.7200,27.7200,2020-04-13,0.0000,28.3800,27.2400,28.3800,1.0000,833672
28.2200,28.2200,2020-04-09,0.0000,29.2000,27.8800,28.8500,1.0000,736720
28.0400,28.0400,2020-04-08,0.0000,28.3300,27.0900,27.5400,1.0000,1257979
26.9900,26.9900,2020-04-07,0.0000,29.0200,26.6000,28.2800,1.0000,921143
27.0500,27.0500,2020-04-06,0.0000,27.1700,25.9200,26.2900,1.0000,582514
24.9600,24.9600,2020-04-03,0.0000,25.6900,24.5400,25.6700,1.0000,1060344
25.3400,25.3400,2020-04-02,0.0000,25.4200,24.3900,24.6300,1.0000,600990
24.6500,24.6500,2020-04-01,0.0000,25.1700,23.5200,24.1200,1.0000,1101981
25.1000,25.1000,2020-03-31,0.0000,26.2300,24.6427,25.5000,1.0000,980524
25.3700,25.3700,2020-03-30,0.0000,25.6100,23.6500,24.6900,1.0000,751922
24.2500,24.2500,2020-03-27,0.0000,25.8500,24.1300,25.7700,1.0000,855978
26.8700,26.8700,2020-03-26,0.0000,27.0600,24.7600,25.6200,1.0000,905320
25.1800,25.1800,2020-03-25,0.0000,26.3500,23.9500,25.6800,1.0000,1287526
25.4900,25.4900,2020-03-24,0.0000,25.6500,23.9300,24.2200,1.0000,941740
22.9900,22.9900,2020-03-23,0.0000,24.3500,22.0700,23.3600,1.0000,1339936
23.0500,23.0500,2020-03-20,0.0000,24.4000,22.2250,22.9500,1.0000,2980716
21.9600,21.9600,2020-03-19,0.0000,22.3000,18.6020,19.7200,1.0000,1087672
19.7900,19.7900,2020-03-18,0.0000,23.9050,17.8500,22.9800,1.0000,1527614
24.7500,24.7500,2020-03-17,0.0000,25.0000,21.7300,24.0400,1.0000,1746787
23.5600,23.5600,2020-03-16,0.0000,26.6450,23.2200,23.2200,1.0000,1143511
26.7000,26.7000,2020-03-13,0.0000,26.7100,24.0600,25.1800,1.0000,1538150
23.4400,23.4400,2020-03-12,0.0000,26.2700,23.2200,26.2400,1.0000,1316702
28.2800,28.2800,2020-03-11,0.0000,28.8000,27.6100,28.3400,1.0000,1489327
29.2700,29.2700,2020-03-10,0.0000,29.3300,27.8900,28.7200,1.0000,1531661
27.8900,27.8900,2020-03-09,0.0000,28.7500,27.5095,28.2600,1.0000,1625013
30.2000,30.2000,2020-03-06,0.0000,31.1000,29.0400,29.0900,1.0000,2074131
30.0800,30.0800,2020-03-05,0.0000,30.6100,29.6100,30.2800,1.0000,850557
31.2600,31.2600,2020-03-04,0.0000,31.4000,30.3400,31.3200,1.0000,949391
30.9400,30.9400,2020-03-03,0.2100,32.2900,30.6700,31.3000,1.0000,811054
31.3075,31.5200,2020-03-02,0.0000,31.5400,30.2500,30.7300,1.0000,1037371
30.4732,30.6800,2020-02-28,0.0000,31.8000,29.9750,30.0800,1.0000,1517788
30.8903,31.1000,2020-02-27,0.0000,32.1700,31.0400,31.7300,1.0000,1171227
32.2660,32.4850,2020-02-26,0.0000,33.6300,32.4500,33.2300,1.0000,952159
32.6583,32.8800,2020-02-25,0.0000,34.1850,32.6300,34.0600,1.0000,1152806
33.7211,33.9500,2020-02-24,0.0000,34.9100,33.8200,34.4700,1.0000,871542
35.3401,35.5800,2020-02-21,0.0000,36.0700,35.5400,36.0500,1.0000,1471113
35.8765,36.1200,2020-02-20,0.0000,36.1750,35.6600,35.7000,1.0000,502748
35.5587,35.8000,2020-02-19,0.0000,35.9200,35.5200,35.6300,1.0000,669190
35.2060,35.4450,2020-02-18,0.0000,36.2200,35.0600,36.1100,1.0000,922602
36.1248,36.3700,2020-02-14,0.0000,36.8850,36.2950,36.7800,1.0000,535488
36.4824,36.7300,2020-02-13,0.0000,36.8150,36.1200,36.4900,1.0000,708927
36.6214,36.8700,2020-02-12,0.0000,37.0400,36.5000,36.5300,1.0000,696762
36.0751,36.3200,2020-02-11,0.0000,36.6200,35.8900,36.0000,1.0000,517210
35.6182,35.8600,2020-02-10,0.0000,36.1800,35.4475,35.7400,1.0000,1167711
35.7275,35.9700,2020-02-07,0.0000,37.7600,35.9300,36.8700,1.0000,601175
36.8896,37.1400,2020-02-06,0.0000,37.7700,36.9900,37.4400,1.0000,705348
37.0883,37.3400,2020-02-05,0.0000,37.5650,37.0600,37.2000,1.0000,561694
36.5867,36.8350,2020-02-04,0.0000,37.3700,36.6300,37.2400,1.0000,812713
36.3930,36.6400,2020-02-03,0.0000,36.9500,36.4800,36.5200,1.0000,787914
36.2440,36.4900,2020-01-31,0.0000,37.6200,36.2550,37.6200,1.0000,1290752
37.5849,37.8400,2020-01-30,0.0000,38.7362,37.4800,38.2000,1.0000,879984
38.3100,38.5700,2020-01-29,0.0000,40.1600,38.5600,39.7900,1.0000,996855
39.4423,39.7100,2020-01-28,0.0000,41.0400,39.6600,40.7800,1.0000,1142104
40.1674,40.4400,2020-01-27,0.0000,41.6300,40.1300,41.1800,1.0000,1291364
