adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.0686,0.0686,2020-05-12,0.0000,0.0686,0.0420,0.0420,1.0000,304432
0.0640,0.0640,2020-05-11,0.0000,0.0690,0.0545,0.0690,1.0000,73515
0.0660,0.0660,2020-05-08,0.0000,0.0700,0.0530,0.0700,1.0000,163944
0.0669,0.0669,2020-05-07,0.0000,0.0680,0.0550,0.0650,1.0000,50519
0.0650,0.0650,2020-05-06,0.0000,0.0650,0.0525,0.0553,1.0000,152351
0.0548,0.0548,2020-05-05,0.0000,0.0590,0.0480,0.0480,1.0000,96404
0.0525,0.0525,2020-05-04,0.0000,0.0580,0.0420,0.0525,1.0000,69182
0.0520,0.0520,2020-05-01,0.0000,0.0598,0.0450,0.0598,1.0000,202997
0.0595,0.0595,2020-04-30,0.0000,0.0620,0.0475,0.0560,1.0000,300987
0.0570,0.0570,2020-04-29,0.0000,0.0600,0.0560,0.0600,1.0000,164032
0.0600,0.0600,2020-04-28,0.0000,0.0610,0.0580,0.0595,1.0000,283526
0.0600,0.0600,2020-04-27,0.0000,0.0690,0.0495,0.0495,1.0000,219807
0.0690,0.0690,2020-04-24,0.0000,0.0690,0.0570,0.0650,1.0000,146124
0.0600,0.0600,2020-04-23,0.0000,0.0626,0.0560,0.0560,1.0000,37165
0.0596,0.0596,2020-04-22,0.0000,0.0699,0.0560,0.0699,1.0000,172468
0.0677,0.0677,2020-04-21,0.0000,0.0730,0.0560,0.0645,1.0000,258389
0.0630,0.0630,2020-04-20,0.0000,0.0700,0.0550,0.0602,1.0000,175165
0.0680,0.0680,2020-04-17,0.0000,0.0700,0.0601,0.0661,1.0000,29919
0.0650,0.0650,2020-04-16,0.0000,0.0700,0.0601,0.0700,1.0000,82364
0.0687,0.0687,2020-04-15,0.0000,0.0700,0.0560,0.0560,1.0000,656671
0.0629,0.0629,2020-04-14,0.0000,0.0700,0.0550,0.0645,1.0000,127607
0.0619,0.0619,2020-04-13,0.0000,0.0690,0.0550,0.0690,1.0000,86155
0.0679,0.0679,2020-04-09,0.0000,0.0700,0.0530,0.0700,1.0000,106165
0.0659,0.0659,2020-04-08,0.0000,0.0700,0.0530,0.0660,1.0000,35568
0.0630,0.0630,2020-04-07,0.0000,0.0795,0.0620,0.0795,1.0000,190730
0.0720,0.0720,2020-04-06,0.0000,0.0799,0.0700,0.0799,1.0000,154036
