adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.8000,0.8000,2020-04-14,0.0000,0.8000,0.8000,0.8000,1.0000,189034
0.8000,0.8000,2020-04-08,0.0000,0.8000,0.8000,0.8000,1.0000,1950
0.8000,0.8000,2020-04-07,0.0000,0.8000,0.8000,0.8000,1.0000,10
0.8000,0.8000,2020-02-10,0.0000,0.8000,0.8000,0.8000,1.0000,300
1.0150,1.0150,2020-01-06,0.0000,1.0150,1.0150,1.0150,1.0000,175
1.0075,1.0075,2019-12-18,0.0000,1.0075,1.0075,1.0075,1.0000,165
0.9700,0.9700,2019-12-12,0.0000,0.9700,0.9700,0.9700,1.0000,3417
1.0000,1.0000,2019-12-06,0.0000,1.0000,1.0000,1.0000,1.0000,6996
1.0000,1.0000,2019-11-22,0.0000,1.0000,1.0000,1.0000,1.0000,1685
1.0000,1.0000,2019-11-21,0.0000,1.0000,1.0000,1.0000,1.0000,700
0.9900,0.9900,2019-09-10,0.0000,0.9900,0.9900,0.9900,1.0000,175
1.0600,1.0600,2019-09-04,0.0000,1.0600,1.0600,1.0600,1.0000,1685
1.0600,1.0600,2019-06-13,0.0000,1.1140,1.0600,1.1140,1.0000,47400
1.0800,1.0800,2019-05-30,0.0000,1.0925,1.0800,1.0925,1.0000,750
0.9400,0.9400,2019-05-01,0.0000,0.9400,0.9400,0.9400,1.0000,13
0.9400,0.9400,2019-04-30,0.0000,0.9400,0.9400,0.9400,1.0000,300
1.0050,1.0050,2019-03-25,0.0000,1.0250,1.0050,1.0250,1.0000,2800
1.0200,1.0200,2019-03-18,0.0000,1.0450,1.0200,1.0450,1.0000,1000
0.5500,0.5500,2019-02-28,0.0000,0.5500,0.5500,0.5500,1.0000,575
0.5500,0.5500,2019-02-27,0.0000,0.5500,0.5500,0.5500,1.0000,1156
0.5000,0.5000,2019-02-19,0.0000,0.5000,0.5000,0.5000,1.0000,13
0.5000,0.5000,2019-01-29,0.0000,0.5000,0.5000,0.5000,1.0000,1350
0.9300,0.9300,2018-12-31,0.0000,0.9300,0.9300,0.9300,1.0000,3461
0.9200,0.9200,2018-12-17,0.0000,0.9200,0.8950,0.8950,1.0000,3773
0.8000,0.8000,2018-11-23,0.0000,0.8000,0.8000,0.8000,1.0000,9682
0.8000,0.8000,2018-10-25,0.0000,0.8000,0.8000,0.8000,1.0000,2225
1.0800,1.0800,2018-10-04,0.0000,1.0800,1.0800,1.0800,1.0000,1
1.0800,1.0800,2018-09-28,0.0000,1.1050,1.0800,1.1050,1.0000,1582
1.4000,1.4000,2018-08-29,0.0000,1.4000,1.4000,1.4000,1.0000,5556
1.0900,1.0900,2018-08-23,0.0000,1.0900,1.0900,1.0900,1.0000,5556
1.0800,1.0800,2018-08-09,0.0000,1.0800,1.0800,1.0800,1.0000,2952
1.1300,1.1300,2018-06-18,0.0000,1.1300,1.1300,1.1300,1.0000,575
1.3000,1.3000,2018-05-24,0.0000,1.3000,1.3000,1.3000,1.0000,1156
1.3000,1.3000,2018-05-03,0.0000,1.3000,1.3000,1.3000,1.0000,2225
1.3000,1.3000,2018-04-30,0.0000,1.3000,1.3000,1.3000,1.0000,5852
1.3000,1.3000,2018-02-08,0.0000,1.3000,1.3000,1.3000,1.0000,6961
1.3000,1.3000,2018-01-11,0.0000,1.3000,1.3000,1.3000,1.0000,4000
1.3700,1.3700,2018-01-09,0.0000,1.3700,1.3700,1.3700,1.0000,1000
1.2000,1.2000,2017-12-26,0.0000,1.2000,1.2000,1.2000,1.0000,3077
1.3400,1.3400,2017-12-07,0.0000,1.3400,1.3400,1.3400,1.0000,3000
1.8000,1.8000,2017-12-01,0.0000,1.8000,1.8000,1.8000,1.0000,4000
1.2400,1.2400,2017-11-17,0.0000,1.2700,1.2400,1.2700,1.0000,1000
1.2400,1.2400,2017-10-31,0.0000,1.2700,1.2400,1.2400,1.0000,2000
0.7600,0.7600,2017-09-18,0.0000,0.7600,0.7600,0.7600,1.0000,0
0.7600,0.7600,2017-09-15,0.0000,0.7600,0.7600,0.7600,1.0000,0
0.7600,0.7600,2017-09-14,0.0000,0.7600,0.7600,0.7600,1.0000,0
0.7600,0.7600,2017-09-13,0.0000,0.7600,0.7600,0.7600,1.0000,0
0.7600,0.7600,2017-09-12,0.0000,0.7600,0.7600,0.7600,1.0000,0
0.7600,0.7600,2017-09-11,0.0000,0.7600,0.7600,0.7600,1.0000,1000
1.1300,1.1300,2017-09-07,0.0000,1.1300,1.1300,1.1300,1.0000,0
1.1300,1.1300,2017-09-06,0.0000,1.1300,1.1300,1.1300,1.0000,0
1.1300,1.1300,2017-09-05,0.0000,1.1300,1.1300,1.1300,1.0000,0
1.1300,1.1300,2017-08-31,0.0000,1.1300,1.1300,1.1300,1.0000,0
1.1300,1.1300,2017-08-30,0.0000,1.1400,1.1300,1.1400,1.0000,887
0.8000,0.8000,2017-08-28,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2017-08-25,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2017-08-24,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2017-08-23,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2017-08-22,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2017-08-21,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2017-08-18,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2017-08-17,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2017-08-16,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2017-08-15,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2017-08-14,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2017-08-11,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2017-08-10,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2017-08-09,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2017-08-08,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2017-08-07,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2017-08-04,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2017-08-02,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2017-08-01,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2017-07-31,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2017-07-28,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2017-07-27,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2017-07-26,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2017-07-25,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2017-07-24,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2017-07-21,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2017-07-20,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2017-07-19,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2017-07-18,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2017-07-13,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2017-07-07,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2017-07-06,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2017-07-05,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2017-07-03,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2017-06-30,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2017-06-29,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2017-06-28,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2017-06-27,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2017-06-26,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2017-06-23,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2017-06-22,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2017-06-21,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2017-06-20,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2017-06-19,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2017-06-16,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2017-06-15,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.8000,0.8000,2017-06-14,0.0000,0.8000,0.8000,0.8000,1.0000,0
