adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
28.1900,28.1900,2020-05-12,0.0000,30.1100,28.1300,29.7800,1.0000,394062
29.5100,29.5100,2020-05-11,0.0000,29.6350,28.7400,29.1700,1.0000,266359
29.6600,29.6600,2020-05-08,0.0000,29.8900,29.3000,29.8900,1.0000,120954
29.1000,29.1000,2020-05-07,0.0000,29.3300,28.9200,29.2100,1.0000,216674
28.6200,28.6200,2020-05-06,0.1700,29.0700,28.4900,28.6600,1.0000,223274
28.5206,28.6900,2020-05-05,0.0000,29.8200,28.2600,29.1900,1.0000,238330
28.4411,28.6100,2020-05-04,0.0000,29.9600,28.2200,28.8900,1.0000,141874
29.4153,29.5900,2020-05-01,0.0000,31.0300,29.1000,30.4400,1.0000,141853
31.2046,31.3900,2020-04-30,0.0000,32.5300,29.8200,30.0600,1.0000,265629
30.8269,31.0100,2020-04-29,0.0000,32.5100,30.8200,31.9700,1.0000,281463
29.8229,30.0000,2020-04-28,0.0000,30.0000,28.5800,29.7900,1.0000,457394
28.4212,28.5900,2020-04-27,0.0000,29.0450,27.9700,28.4000,1.0000,520707
27.7353,27.9000,2020-04-24,0.0000,28.3700,27.2000,27.8500,1.0000,355437
27.2084,27.3700,2020-04-23,0.0000,28.1700,26.9600,27.6900,1.0000,217803
27.2879,27.4500,2020-04-22,0.0000,27.8600,26.9200,27.8600,1.0000,112833
26.8008,26.9600,2020-04-21,0.0000,27.2000,26.0500,26.2000,1.0000,103938
27.0891,27.2500,2020-04-20,0.0000,28.0100,26.2400,26.3900,1.0000,103814
27.1984,27.3600,2020-04-17,0.0000,27.8700,26.7900,27.0200,1.0000,99254
25.8564,26.0100,2020-04-16,0.0000,26.4300,24.9600,26.0400,1.0000,112508
25.8365,25.9900,2020-04-15,0.0000,27.5100,25.9900,27.1900,1.0000,114566
28.4510,28.6200,2020-04-14,0.0000,29.6900,28.1000,29.5100,1.0000,260692
28.1130,28.2800,2020-04-13,0.0000,29.3400,28.0800,29.0500,1.0000,83395
29.4053,29.5800,2020-04-09,0.0000,29.8100,27.6700,28.9200,1.0000,146255
27.8744,28.0400,2020-04-08,0.0000,28.2400,26.1800,27.4900,1.0000,166111
26.6219,26.7800,2020-04-07,0.0000,28.9900,26.4800,27.9000,1.0000,596845
26.1944,26.3500,2020-04-06,0.0000,27.2800,25.4900,26.5100,1.0000,201719
25.0711,25.2200,2020-04-03,0.0000,26.2000,24.1200,25.7800,1.0000,130785
26.2143,26.3700,2020-04-02,0.0000,27.1000,25.3600,26.5000,1.0000,110057
25.9956,26.1500,2020-04-01,0.0000,27.5100,25.8700,26.8200,1.0000,168774
27.9540,28.1200,2020-03-31,0.0000,28.7300,27.1200,27.1200,1.0000,320022
27.2879,27.4500,2020-03-30,0.0000,28.2500,26.7113,28.2500,1.0000,168547
27.5265,27.6900,2020-03-27,0.0000,28.6500,26.9000,26.9900,1.0000,144272
28.2224,28.3900,2020-03-26,0.0000,29.0050,26.6400,27.0700,1.0000,132147
26.2938,26.4500,2020-03-25,0.0000,27.9600,24.9500,26.9000,1.0000,209074
26.7113,26.8700,2020-03-24,0.0000,27.2200,25.5000,26.6900,1.0000,157045
24.9418,25.0900,2020-03-23,0.0000,26.3950,23.2100,25.2800,1.0000,194466
25.2401,25.3900,2020-03-20,0.0000,25.6500,23.2500,23.5600,1.0000,274831
22.8244,22.9600,2020-03-19,0.0000,23.1800,19.5117,20.4000,1.0000,259282
20.5082,20.6300,2020-03-18,0.0000,24.8000,19.3100,23.9100,1.0000,191707
25.7471,25.9000,2020-03-17,0.0000,26.7300,23.7300,25.5500,1.0000,237417
24.6933,24.8400,2020-03-16,0.0000,27.7700,24.5800,25.8500,1.0000,151709
28.7393,28.9100,2020-03-13,0.0000,28.9100,26.0150,28.3300,1.0000,192226
26.6020,26.7600,2020-03-12,0.0000,29.1300,26.4700,27.5600,1.0000,235254
29.6837,29.8600,2020-03-11,0.0000,30.4100,29.2200,30.1800,1.0000,148790
31.0655,31.2500,2020-03-10,0.0000,32.9700,29.2400,32.9550,1.0000,123916
31.2146,31.4000,2020-03-09,0.0000,32.9100,30.4700,32.9100,1.0000,125921
35.0816,35.2900,2020-03-06,0.0000,35.8800,34.1800,34.3400,1.0000,96154
35.6284,35.8400,2020-03-05,0.0000,36.7950,35.1200,35.8700,1.0000,147223
36.8113,37.0300,2020-03-04,0.0000,37.4000,35.8400,36.9800,1.0000,97795
35.8968,36.1100,2020-03-03,0.0000,38.2000,35.8600,37.5300,1.0000,170558
37.2189,37.4400,2020-03-02,0.0000,37.5000,36.0500,37.0900,1.0000,160182
36.6722,36.8900,2020-02-28,0.0000,37.5236,36.1200,36.1300,1.0000,137381
37.3382,37.5600,2020-02-27,0.0000,39.9700,37.4800,39.1800,1.0000,225218
40.3006,40.5400,2020-02-26,0.0000,41.5200,40.2700,41.4000,1.0000,181846
40.9170,41.1600,2020-02-25,0.0000,43.4000,40.9200,43.3300,1.0000,146510
43.1139,43.3700,2020-02-24,0.0000,43.7200,41.7900,41.8100,1.0000,162945
43.4022,43.6600,2020-02-21,0.0000,44.5600,43.3100,43.3200,1.0000,82381
43.2630,43.5200,2020-02-20,0.0000,43.9600,43.0900,43.0900,1.0000,110702
43.0940,43.3500,2020-02-19,0.0000,43.7700,42.7600,43.0100,1.0000,155423
42.6268,42.8800,2020-02-18,0.0000,43.6200,42.6650,43.3800,1.0000,114387
43.3227,43.5800,2020-02-14,0.0000,44.0100,43.3100,43.6300,1.0000,135308
43.3227,43.5800,2020-02-13,0.0000,44.0100,43.0700,43.3900,1.0000,130341
43.4519,43.7100,2020-02-12,0.0000,44.1150,42.9200,43.8900,1.0000,144591
43.2431,43.5000,2020-02-11,0.0000,43.8800,43.0900,43.0900,1.0000,96318
42.3982,42.6500,2020-02-10,0.0000,42.6550,42.1400,42.1400,1.0000,101850
42.0999,42.3500,2020-02-07,0.0000,42.4000,41.9400,42.1600,1.0000,112088
42.2490,42.5000,2020-02-06,0.0000,43.2900,42.3650,43.2700,1.0000,131060
42.6169,42.8700,2020-02-05,0.0000,43.0600,42.0900,42.9700,1.0000,115562
41.8812,42.1300,2020-02-04,0.0000,42.6400,41.7300,42.6400,1.0000,425867
41.5333,41.7800,2020-02-03,0.0000,41.9400,41.3300,41.5300,1.0000,157591
41.0164,41.2600,2020-01-31,0.1700,42.5000,40.8150,42.4700,1.0000,127335
42.5509,42.9800,2020-01-30,0.0000,43.0200,42.1200,42.2900,1.0000,74521
42.3727,42.8000,2020-01-29,0.0000,43.9000,42.7100,43.9000,1.0000,100797
43.3132,43.7500,2020-01-28,0.0000,44.1100,43.3300,43.5800,1.0000,113908
42.8479,43.2800,2020-01-27,0.0000,44.1800,42.8100,42.8100,1.0000,137470
43.9171,44.3600,2020-01-24,0.0000,45.1200,44.0000,45.1200,1.0000,192359
44.6200,45.0700,2020-01-23,0.0000,45.1600,43.5300,43.8500,1.0000,219191
43.8082,44.2500,2020-01-22,0.0000,44.7600,43.2300,43.2400,1.0000,181740
