adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
2.0100,2.0100,2020-05-12,0.0000,2.1099,1.9500,2.1000,1.0000,346302
2.0700,2.0700,2020-05-11,0.0000,2.1800,2.0300,2.0300,1.0000,206383
2.1100,2.1100,2020-05-08,0.0000,2.2500,2.1000,2.1600,1.0000,197002
2.1800,2.1800,2020-05-07,0.0000,2.3100,2.1698,2.2500,1.0000,103902
2.1900,2.1900,2020-05-06,0.0000,2.4100,2.1100,2.4100,1.0000,239427
2.3500,2.3500,2020-05-05,0.0000,2.5000,2.3300,2.4600,1.0000,342353
2.3400,2.3400,2020-05-04,0.0000,2.3500,2.0300,2.1900,1.0000,274907
2.2300,2.2300,2020-05-01,0.0000,2.4600,2.0800,2.4500,1.0000,413534
2.5400,2.5400,2020-04-30,0.0000,2.6200,2.3900,2.5500,1.0000,190851
2.5400,2.5400,2020-04-29,0.0000,2.6900,2.5200,2.6200,1.0000,227615
2.5100,2.5100,2020-04-28,0.0000,2.5900,2.3500,2.4600,1.0000,351726
2.4300,2.4300,2020-04-27,0.0000,2.5310,2.2500,2.2800,1.0000,339195
2.2500,2.2500,2020-04-24,0.0000,2.4500,2.1900,2.3800,1.0000,450089
2.3800,2.3800,2020-04-23,0.0000,2.5100,2.2500,2.3300,1.0000,240260
2.3300,2.3300,2020-04-22,0.0000,2.5500,2.3000,2.4800,1.0000,358670
2.2500,2.2500,2020-04-21,0.0000,2.5687,2.2000,2.5600,1.0000,429121
2.5100,2.5100,2020-04-20,0.0000,2.7800,2.0200,2.0300,1.0000,1290920
2.0200,2.0200,2020-04-17,0.0000,2.0700,1.9000,1.9600,1.0000,320700
1.7800,1.7800,2020-04-16,0.0000,2.0900,1.6800,2.0700,1.0000,302161
2.0400,2.0400,2020-04-15,0.0000,2.0500,1.7600,1.9500,1.0000,273769
2.0400,2.0400,2020-04-14,0.0000,2.2400,1.9450,1.9600,1.0000,374017
1.8800,1.8800,2020-04-13,0.0000,2.0497,1.8000,1.8700,1.0000,577709
1.7000,1.7000,2020-04-09,0.0000,1.7400,1.4700,1.5400,1.0000,439506
1.4400,1.4400,2020-04-08,0.0000,1.5200,1.2900,1.3100,1.0000,295291
1.2500,1.2500,2020-04-07,0.0000,1.4100,1.2100,1.2600,1.0000,446821
1.2000,1.2000,2020-04-06,0.0000,1.2900,1.1250,1.1500,1.0000,342674
1.0200,1.0200,2020-04-03,0.0000,1.2800,1.0100,1.2800,1.0000,333299
1.2000,1.2000,2020-04-02,0.0000,1.2900,1.2000,1.2600,1.0000,153248
1.2200,1.2200,2020-04-01,0.0000,1.4500,1.2000,1.3600,1.0000,185408
1.4300,1.4300,2020-03-31,0.0000,1.5000,1.3600,1.3700,1.0000,153871
1.3600,1.3600,2020-03-30,0.0000,1.5000,1.3500,1.4800,1.0000,211067
1.4800,1.4800,2020-03-27,0.0000,1.7300,1.4500,1.6700,1.0000,260281
1.6200,1.6200,2020-03-26,0.0000,1.7999,1.6000,1.6400,1.0000,234487
1.5900,1.5900,2020-03-25,0.0000,1.8500,1.5850,1.6800,1.0000,309633
1.6500,1.6500,2020-03-24,0.0000,1.8900,1.6200,1.7900,1.0000,192253
1.7000,1.7000,2020-03-23,0.0000,2.1000,1.6900,2.0300,1.0000,143186
2.0100,2.0100,2020-03-20,0.0000,2.1200,1.8800,1.9200,1.0000,286473
1.9300,1.9300,2020-03-19,0.0000,1.9500,1.6000,1.8000,1.0000,155502
1.8000,1.8000,2020-03-18,0.0000,1.9200,1.6000,1.9200,1.0000,157057
1.9200,1.9200,2020-03-17,0.0000,2.1200,1.8300,1.9600,1.0000,159024
2.0000,2.0000,2020-03-16,0.0000,2.5000,1.8900,2.5000,1.0000,334834
2.5200,2.5200,2020-03-13,0.0000,2.9800,2.4100,2.8200,1.0000,230753
2.6200,2.6200,2020-03-12,0.0000,3.0800,2.1100,2.3900,1.0000,509687
2.7300,2.7300,2020-03-11,0.0000,3.2299,2.7200,3.0800,1.0000,350732
3.0400,3.0400,2020-03-10,0.0000,3.2800,2.8800,3.1000,1.0000,338831
2.9600,2.9600,2020-03-09,0.0000,3.3200,2.9500,3.3000,1.0000,220099
3.4900,3.4900,2020-03-06,0.0000,3.7000,3.3700,3.4900,1.0000,214708
3.5700,3.5700,2020-03-05,0.0000,3.7900,3.5200,3.6100,1.0000,278899
3.8300,3.8300,2020-03-04,0.0000,3.9800,3.8000,3.9500,1.0000,86831
3.9000,3.9000,2020-03-03,0.0000,4.1000,3.6300,3.9000,1.0000,201638
3.9400,3.9400,2020-03-02,0.0000,3.9650,3.6100,3.8200,1.0000,112849
3.8100,3.8100,2020-02-28,0.0000,3.9200,3.5000,3.6700,1.0000,133287
