adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
3.0100,3.0100,2020-05-12,0.0000,3.0200,3.0048,3.0200,1.0000,365
3.1249,3.1249,2020-05-11,0.0000,3.1249,3.1249,3.1249,1.0000,7
3.1249,3.1249,2020-05-08,0.0000,3.1249,3.1249,3.1249,1.0000,1500
3.2061,3.2061,2020-05-07,0.0000,3.2900,3.2000,3.2900,1.0000,2045
3.0974,3.0974,2020-05-06,0.0000,3.1700,3.0974,3.1700,1.0000,4094
3.1000,3.1000,2020-05-05,0.0000,3.1000,3.1000,3.1000,1.0000,1302
3.1900,3.1900,2020-05-04,0.0000,3.2436,3.1900,3.2436,1.0000,3513
3.1393,3.1393,2020-05-01,0.0000,3.1981,2.8950,2.8950,1.0000,3545
2.9200,2.9200,2020-04-30,0.0000,2.9200,2.9100,2.9100,1.0000,1600
2.9600,2.9600,2020-04-29,0.0000,2.9600,2.9200,2.9200,1.0000,10200
2.9070,2.9070,2020-04-28,0.0000,2.9070,2.9070,2.9070,1.0000,1040
2.8036,2.8036,2020-04-27,0.0000,3.0049,2.8000,3.0049,1.0000,7964
2.6500,2.6500,2020-04-24,0.0000,2.7500,2.6500,2.7500,1.0000,2921
2.7600,2.7600,2020-04-23,0.0000,2.8500,2.6900,2.8500,1.0000,2700
2.8300,2.8300,2020-04-22,0.0000,2.8300,2.7600,2.7600,1.0000,2000
2.7100,2.7100,2020-04-21,0.0000,2.7100,2.6000,2.6200,1.0000,2400
2.7600,2.7600,2020-04-20,0.0000,2.8556,2.7457,2.8200,1.0000,1763
2.8497,2.8497,2020-04-17,0.0000,2.9000,2.8497,2.9000,1.0000,3679
2.9800,2.9800,2020-04-16,0.0000,3.1210,2.9800,3.1210,1.0000,1535
3.0300,3.0300,2020-04-15,0.0000,3.0300,2.8363,2.8381,1.0000,6884
3.0700,3.0700,2020-04-14,0.0000,3.0700,2.6700,2.6700,1.0000,9068
2.6700,2.6700,2020-04-13,0.0000,2.6920,2.6646,2.6920,1.0000,1982
2.6510,2.6510,2020-04-09,0.0000,2.6600,2.6500,2.6573,1.0000,3327
2.6526,2.6526,2020-04-08,0.0000,2.6600,2.6250,2.6400,1.0000,39400
2.5956,2.5956,2020-04-07,0.0000,2.7300,2.5450,2.7300,1.0000,34500
2.7000,2.7000,2020-04-06,0.0000,2.7000,2.6566,2.6956,1.0000,7500
2.5741,2.5741,2020-04-03,0.0000,2.6400,2.5741,2.6400,1.0000,4706
2.6087,2.6087,2020-04-02,0.0000,2.6093,2.5550,2.5550,1.0000,8750
2.5100,2.5100,2020-04-01,0.0000,2.5100,2.5100,2.5100,1.0000,1812
2.7100,2.7100,2020-03-31,0.0000,2.7100,2.5600,2.5600,1.0000,1200
2.5900,2.5900,2020-03-30,0.0000,2.5900,2.5900,2.5900,1.0000,0
2.5899,2.5899,2020-03-27,0.0000,2.5900,2.5700,2.5900,1.0000,14500
2.5700,2.5700,2020-03-26,0.0000,2.5800,2.3341,2.3341,1.0000,23200
2.5000,2.5000,2020-03-25,0.0000,2.5400,2.5000,2.5200,1.0000,16000
2.4200,2.4200,2020-03-24,0.0000,2.5300,2.4200,2.5273,1.0000,21300
2.4200,2.4200,2020-03-23,0.0000,2.5000,2.4000,2.5000,1.0000,19700
2.4297,2.4297,2020-03-20,0.0000,2.6100,2.4297,2.6100,1.0000,23000
2.4893,2.4893,2020-03-19,0.0000,2.4900,2.2700,2.2700,1.0000,36700
2.1505,2.1505,2020-03-18,0.0000,2.3200,2.1505,2.3100,1.0000,4237
2.5472,2.5472,2020-03-17,0.0000,2.6100,2.4000,2.4000,1.0000,16500
2.5500,2.5500,2020-03-16,0.0000,2.5500,2.5500,2.5500,1.0000,100
2.5106,2.5106,2020-03-13,0.0000,2.5106,2.5100,2.5100,1.0000,900
2.8800,2.8800,2020-03-12,0.0000,3.4000,2.8800,3.2000,1.0000,3400
3.4000,3.4000,2020-03-11,0.0000,3.4000,3.4000,3.4000,1.0000,140
3.3600,3.3600,2020-03-10,0.0000,3.3600,3.3600,3.3600,1.0000,0
3.3600,3.3600,2020-03-09,0.0000,3.3600,3.3600,3.3600,1.0000,200
3.5400,3.5400,2020-03-06,0.0000,3.6800,3.5400,3.6800,1.0000,806
3.7300,3.7300,2020-03-05,0.0000,3.7300,3.6800,3.6800,1.0000,980
3.7700,3.7700,2020-03-04,0.0000,3.7700,3.7600,3.7650,1.0000,13950
3.7498,3.7498,2020-03-03,0.0000,3.7498,3.7498,3.7498,1.0000,2537
3.7100,3.7100,2020-03-02,0.0000,3.7100,3.7100,3.7100,1.0000,400
