adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
1.2100,1.2100,2020-05-12,0.0000,1.2600,1.1700,1.2300,1.0000,86732
1.2000,1.2000,2020-05-11,0.0000,1.2400,1.1400,1.1600,1.0000,85219
1.1700,1.1700,2020-05-08,0.0000,1.2400,1.1300,1.1700,1.0000,60965
1.1700,1.1700,2020-05-07,0.0000,1.1800,1.1000,1.1400,1.0000,98146
1.1600,1.1600,2020-05-06,0.0000,1.1700,1.1100,1.1300,1.0000,107676
1.1300,1.1300,2020-05-05,0.0000,1.1800,1.0900,1.1200,1.0000,72894
1.1339,1.1339,2020-05-04,0.0000,1.1900,1.1000,1.1100,1.0000,165704
1.1100,1.1100,2020-05-01,0.0000,1.1200,1.0600,1.0600,1.0000,72420
1.0700,1.0700,2020-04-30,0.0000,1.0800,1.0400,1.0800,1.0000,50768
1.0700,1.0700,2020-04-29,0.0000,1.1100,1.0300,1.1000,1.0000,125286
1.0900,1.0900,2020-04-28,0.0000,1.3500,1.0300,1.0600,1.0000,906960
1.0350,1.0350,2020-04-27,0.0000,1.0800,1.0000,1.0000,1.0000,113959
1.0000,1.0000,2020-04-24,0.0000,1.2200,0.9700,1.1100,1.0000,418803
1.0500,1.0500,2020-04-23,0.0000,1.0889,0.9600,1.0800,1.0000,87884
1.0800,1.0800,2020-04-22,0.0000,1.1300,1.0500,1.0700,1.0000,69025
1.1000,1.1000,2020-04-21,0.0000,1.1800,1.0500,1.1300,1.0000,185132
1.0750,1.0750,2020-04-20,0.0000,1.1600,0.9151,0.9900,1.0000,298376
0.9500,0.9500,2020-04-17,0.0000,0.9979,0.8904,0.9390,1.0000,205418
0.9989,0.9989,2020-04-16,0.0000,1.3600,0.8100,0.8611,1.0000,3512741
0.8673,0.8673,2020-04-15,0.0000,0.9000,0.8100,0.8800,1.0000,62492
0.8757,0.8757,2020-04-14,0.0000,0.9000,0.7900,0.8000,1.0000,93344
