adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
10.0100,10.0100,2020-05-12,0.0000,10.6000,9.9800,10.5600,1.0000,254138
10.5300,10.5300,2020-05-11,0.0000,11.1700,10.5200,11.1500,1.0000,356885
11.1900,11.1900,2020-05-08,0.0000,11.8300,11.0800,11.5400,1.0000,388803
11.3500,11.3500,2020-05-07,0.0000,11.6000,10.6950,11.2900,1.0000,520243
10.9800,10.9800,2020-05-06,0.0000,11.4900,10.8042,11.3000,1.0000,290071
11.2000,11.2000,2020-05-05,0.0000,11.4700,10.9000,11.0000,1.0000,477120
10.7500,10.7500,2020-05-04,0.0000,10.8600,9.7000,10.0300,1.0000,923197
10.2200,10.2200,2020-05-01,0.0000,10.6900,10.0300,10.5100,1.0000,360248
10.8300,10.8300,2020-04-30,0.0000,11.4700,10.7000,11.2900,1.0000,476787
11.1600,11.1600,2020-04-29,0.0000,11.4300,10.0300,10.1000,1.0000,1476864
9.9100,9.9100,2020-04-28,0.0000,11.6000,9.8550,10.9400,1.0000,857202
11.3700,11.3700,2020-04-27,0.0000,11.5700,10.8700,11.0600,1.0000,410004
10.8100,10.8100,2020-04-24,0.0000,11.1800,10.3920,10.5000,1.0000,341318
10.4500,10.4500,2020-04-23,0.0000,10.7600,10.1983,10.6300,1.0000,440391
10.4800,10.4800,2020-04-22,0.0000,10.9700,10.0700,10.2600,1.0000,397153
10.0300,10.0300,2020-04-21,0.0000,10.1900,9.6200,10.1900,1.0000,279839
10.4900,10.4900,2020-04-20,0.0000,10.8200,9.7700,9.7700,1.0000,273159
9.9800,9.9800,2020-04-17,0.0000,10.4300,9.6600,10.0200,1.0000,314018
9.6700,9.6700,2020-04-16,0.0000,9.8948,9.4550,9.6400,1.0000,236961
9.6600,9.6600,2020-04-15,0.0000,10.7200,9.3500,10.7000,1.0000,502777
11.1150,11.1150,2020-04-14,0.0000,11.4500,10.3500,10.5300,1.0000,357444
10.3300,10.3300,2020-04-13,0.0000,10.4500,9.8600,10.4000,1.0000,298302
10.4200,10.4200,2020-04-09,0.0000,10.5000,9.7100,9.9700,1.0000,333159
9.7000,9.7000,2020-04-08,0.0000,9.8300,8.6900,8.8000,1.0000,350066
8.6200,8.6200,2020-04-07,0.0000,9.6100,8.4650,9.2800,1.0000,365681
8.8900,8.8900,2020-04-06,0.0000,9.1300,8.4700,8.7200,1.0000,449182
8.4500,8.4500,2020-04-03,0.0000,8.5200,7.9400,8.2300,1.0000,352996
8.2300,8.2300,2020-04-02,0.0000,8.5100,8.0350,8.1600,1.0000,372408
8.2200,8.2200,2020-04-01,0.0000,8.6300,7.9900,8.4700,1.0000,817302
8.9100,8.9100,2020-03-31,0.0000,9.1500,8.2700,8.4300,1.0000,524302
8.4200,8.4200,2020-03-30,0.0000,8.6610,8.0400,8.6600,1.0000,399225
8.6300,8.6300,2020-03-27,0.0000,8.9700,7.9600,8.1700,1.0000,392667
8.4900,8.4900,2020-03-26,0.0000,8.6700,8.1200,8.4000,1.0000,307408
8.3100,8.3100,2020-03-25,0.0000,8.7200,7.9200,8.0800,1.0000,338428
8.0600,8.0600,2020-03-24,0.0000,9.4200,7.9100,9.0800,1.0000,697420
8.5100,8.5100,2020-03-23,0.0000,8.6300,7.4350,7.6300,1.0000,676242
7.3800,7.3800,2020-03-20,0.0000,8.9400,7.1400,8.3500,1.0000,1150972
8.3200,8.3200,2020-03-19,0.0000,8.4200,6.1800,6.2300,1.0000,753416
6.1800,6.1800,2020-03-18,0.0000,7.5600,6.0900,6.9700,1.0000,963818
7.2900,7.2900,2020-03-17,0.0000,7.8500,6.4100,7.3822,1.0000,1012932
6.9700,6.9700,2020-03-16,0.0000,8.5500,6.5200,8.3400,1.0000,1018030
9.2200,9.2200,2020-03-13,0.0000,9.6000,8.0800,9.6000,1.0000,989537
8.9600,8.9600,2020-03-12,0.0000,10.1300,8.8600,9.4200,1.0000,950109
10.2100,10.2100,2020-03-11,0.0000,11.1500,10.1600,10.8100,1.0000,629469
11.2300,11.2300,2020-03-10,0.0000,11.6100,10.6700,11.2100,1.0000,1060836
10.8700,10.8700,2020-03-09,0.0000,11.5900,10.7100,10.7400,1.0000,732793
11.5900,11.5900,2020-03-06,0.0000,12.0900,10.6991,10.7600,1.0000,1047189
11.2300,11.2300,2020-03-05,0.0000,12.3799,10.9100,12.1200,1.0000,1373419
12.2000,12.2000,2020-03-04,0.0000,14.0400,12.0900,14.0400,1.0000,4578181
11.4200,11.4200,2020-03-03,0.0000,12.4000,11.2700,12.1200,1.0000,825320
12.0800,12.0800,2020-03-02,0.0000,12.7800,11.9800,12.5027,1.0000,652545
12.4800,12.4800,2020-02-28,0.0000,12.8700,11.5200,11.7000,1.0000,860233
12.3000,12.3000,2020-02-27,0.0000,13.3500,12.2900,13.3500,1.0000,1733687
13.7450,13.7450,2020-02-26,0.0000,15.0250,13.7400,14.9600,1.0000,578080
14.7700,14.7700,2020-02-25,0.0000,15.8700,14.6600,15.8500,1.0000,528239
15.8000,15.8000,2020-02-24,0.0000,16.0300,15.0100,15.4300,1.0000,463724
16.1100,16.1100,2020-02-21,0.0000,16.5800,15.8500,16.5200,1.0000,532316
16.6100,16.6100,2020-02-20,0.0000,17.3600,16.5100,17.1000,1.0000,237561
17.1100,17.1100,2020-02-19,0.0000,17.1900,16.5800,16.9700,1.0000,351833
16.9400,16.9400,2020-02-18,0.0000,17.3900,16.6700,17.2100,1.0000,248612
17.2600,17.2600,2020-02-14,0.0000,17.7500,17.1500,17.6100,1.0000,417739
17.6200,17.6200,2020-02-13,0.0000,17.9400,17.4500,17.4500,1.0000,204332
17.5800,17.5800,2020-02-12,0.0000,18.1900,17.4400,18.0200,1.0000,361883
17.8800,17.8800,2020-02-11,0.0000,18.3900,17.8500,18.2300,1.0000,119993
18.1600,18.1600,2020-02-10,0.0000,18.3100,17.9900,18.1000,1.0000,135000
18.1900,18.1900,2020-02-07,0.0000,18.6400,18.0600,18.4200,1.0000,146118
18.5100,18.5100,2020-02-06,0.0000,19.1700,18.4900,18.9200,1.0000,169191
18.9100,18.9100,2020-02-05,0.0000,19.2800,18.5000,19.2400,1.0000,260312
18.9200,18.9200,2020-02-04,0.0000,19.2500,18.4300,19.1500,1.0000,340824
18.7700,18.7700,2020-02-03,0.0000,19.0300,18.5300,18.5300,1.0000,216630
18.5000,18.5000,2020-01-31,0.0000,18.7450,18.4500,18.6100,1.0000,225541
18.6800,18.6800,2020-01-30,0.0000,18.9000,18.3200,18.3500,1.0000,176840
18.5500,18.5500,2020-01-29,0.0000,19.2000,18.0400,19.0900,1.0000,373948
18.9700,18.9700,2020-01-28,0.0000,19.2100,18.8300,18.9500,1.0000,349308
18.8500,18.8500,2020-01-27,0.0000,19.2900,18.5804,18.8000,1.0000,194239
19.2900,19.2900,2020-01-24,0.0000,19.9800,19.1450,19.8900,1.0000,205667
19.9900,19.9900,2020-01-23,0.0000,20.2000,19.3600,19.6900,1.0000,217352
19.7600,19.7600,2020-01-22,0.0000,20.5650,19.5700,20.0600,1.0000,223257
20.0100,20.0100,2020-01-21,0.0000,20.7900,19.8800,20.7900,1.0000,191845
20.8900,20.8900,2020-01-17,0.0000,21.1500,20.7000,21.1100,1.0000,222227
