adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
11.4200,11.4200,2020-05-12,0.0000,11.8700,11.3500,11.5500,1.0000,158535
11.3500,11.3500,2020-05-11,0.0000,12.0200,11.2200,12.0200,1.0000,238160
11.8500,11.8500,2020-05-08,0.0000,11.8800,10.9100,10.9700,1.0000,372280
10.8700,10.8700,2020-05-07,0.0000,11.3000,10.6900,11.2500,1.0000,215780
11.1400,11.1400,2020-05-06,0.0000,11.4056,10.9000,11.2700,1.0000,168888
11.2700,11.2700,2020-05-05,0.0000,12.1200,11.1500,12.0300,1.0000,219513
11.7000,11.7000,2020-05-04,0.0000,11.8500,10.6500,10.8700,1.0000,487074
11.0000,11.0000,2020-05-01,0.0000,11.4600,10.8250,11.3000,1.0000,267800
11.4400,11.4400,2020-04-30,0.0000,12.7100,11.3100,12.1400,1.0000,683563
12.3900,12.3900,2020-04-29,0.3475,12.4800,11.5361,11.9500,1.0000,585227
11.6337,11.9600,2020-04-28,0.0000,12.2754,11.7600,11.8300,1.0000,548364
11.3905,11.7100,2020-04-27,0.0000,11.7400,10.8500,11.4900,1.0000,599012
11.1279,11.4400,2020-04-24,0.0000,11.6200,11.0200,11.4500,1.0000,663686
11.0501,11.3600,2020-04-23,0.0000,11.3800,10.9000,11.1500,1.0000,348335
10.5637,10.8600,2020-04-22,0.0000,11.0800,10.5500,10.8500,1.0000,275354
10.3011,10.5900,2020-04-21,0.0000,10.8700,10.3200,10.7000,1.0000,387102
10.5637,10.8600,2020-04-20,0.0000,11.0900,10.4400,10.9100,1.0000,501946
10.6902,10.9900,2020-04-17,0.0000,11.0000,10.2700,10.6400,1.0000,859715
9.9606,10.2400,2020-04-16,0.0000,10.6900,9.5500,9.5500,1.0000,529638
9.1241,9.3800,2020-04-15,0.0000,9.7800,9.2500,9.7600,1.0000,1164457
9.6980,9.9700,2020-04-14,0.0000,10.1200,9.5200,9.7700,1.0000,356056
9.3867,9.6500,2020-04-13,0.0000,10.1348,9.3600,9.7800,1.0000,274718
9.0949,9.3500,2020-04-09,0.0000,9.8600,9.1700,9.3300,1.0000,391391
8.9004,9.1500,2020-04-08,0.0000,9.5050,8.6500,9.1200,1.0000,411848
8.9490,9.2000,2020-04-07,0.0000,9.5829,8.6600,9.3400,1.0000,314089
8.7545,9.0000,2020-04-06,0.0000,9.2800,8.6100,8.9300,1.0000,171922
8.5988,8.8400,2020-04-03,0.0000,9.6939,8.3600,9.6300,1.0000,312321
9.2603,9.5200,2020-04-02,0.0000,9.8800,9.0190,9.1100,1.0000,483742
8.7156,8.9600,2020-04-01,0.0000,9.1800,8.5900,9.1300,1.0000,387272
9.0560,9.3100,2020-03-31,0.0000,9.4000,8.2100,8.3400,1.0000,1264036
8.0249,8.2500,2020-03-30,0.0000,8.7400,7.9700,8.6400,1.0000,801430
8.3459,8.5800,2020-03-27,0.0000,8.7900,8.2700,8.7900,1.0000,524984
8.7739,9.0200,2020-03-26,0.0000,9.2500,8.6000,8.9200,1.0000,387875
8.6766,8.9200,2020-03-25,0.0000,9.0800,8.0000,8.1500,1.0000,566662
7.8790,8.1000,2020-03-24,0.0000,8.4700,7.8400,8.3000,1.0000,687314
7.6553,7.8700,2020-03-23,0.0000,8.7900,6.9000,8.4200,1.0000,913364
8.0833,8.3100,2020-03-20,0.0000,9.5000,7.6200,7.6300,1.0000,1255551
7.2468,7.4500,2020-03-19,0.0000,8.1300,6.5100,7.3200,1.0000,2462897
6.7020,6.8900,2020-03-18,0.0000,7.4900,6.4100,7.4300,1.0000,1872808
7.6747,7.8900,2020-03-17,0.0000,8.4500,7.4200,8.2900,1.0000,624342
8.0347,8.2600,2020-03-16,0.0000,8.9400,8.0000,8.2800,1.0000,627580
9.0366,9.2900,2020-03-13,0.0000,9.5900,7.9800,8.4700,1.0000,379982
7.7720,7.9900,2020-03-12,0.0000,8.4600,7.8600,8.1000,1.0000,648051
8.6864,8.9300,2020-03-11,0.0000,9.1900,8.6600,9.0100,1.0000,1029651
9.0852,9.3400,2020-03-10,0.0000,9.5400,8.0300,8.8600,1.0000,985040
7.9277,8.1500,2020-03-09,0.0000,9.9500,8.1500,9.8800,1.0000,600855
10.6221,10.9200,2020-03-06,0.0000,12.2800,10.9200,12.2800,1.0000,580685
12.1103,12.4500,2020-03-05,0.0000,12.5900,12.3000,12.5900,1.0000,228209
12.2465,12.5900,2020-03-04,0.0000,13.0700,12.4200,13.0500,1.0000,359311
12.5189,12.8700,2020-03-03,0.0000,13.1400,12.5200,13.0700,1.0000,326324
12.7037,13.0600,2020-03-02,0.0000,13.4900,12.8200,13.3900,1.0000,480298
12.9566,13.3200,2020-02-28,0.0000,13.3200,12.1700,12.4600,1.0000,663806
12.4022,12.7500,2020-02-27,0.0000,13.1900,12.2600,12.6800,1.0000,726334
12.3146,12.6600,2020-02-26,0.0000,13.7793,12.6600,13.6000,1.0000,680857
13.2290,13.6000,2020-02-25,0.0000,14.1150,13.6000,14.0100,1.0000,440693
13.6472,14.0300,2020-02-24,0.0000,14.1500,13.8200,14.0100,1.0000,285722
13.8029,14.1900,2020-02-21,0.0000,14.4100,14.0173,14.4100,1.0000,251146
14.0169,14.4100,2020-02-20,0.0000,14.4500,14.2350,14.2600,1.0000,236959
13.7640,14.1500,2020-02-19,0.0000,14.4550,14.1500,14.3400,1.0000,333353
13.8418,14.2300,2020-02-18,0.0000,14.3180,14.1500,14.2500,1.0000,378967
13.7931,14.1800,2020-02-14,0.0000,14.2758,14.0600,14.2200,1.0000,169373
13.8126,14.2000,2020-02-13,0.0000,14.4500,14.0500,14.2800,1.0000,234934
13.8904,14.2800,2020-02-12,0.0000,14.3350,13.9700,14.0900,1.0000,383365
13.6667,14.0500,2020-02-11,0.0000,14.2700,13.9700,14.0000,1.0000,250642
13.5791,13.9600,2020-02-10,0.0000,14.2300,13.9500,14.2000,1.0000,254525
13.8418,14.2300,2020-02-07,0.0000,14.3800,14.2000,14.3300,1.0000,187282
13.9974,14.3900,2020-02-06,0.0000,14.5200,14.3100,14.5200,1.0000,178413
14.1822,14.5800,2020-02-05,0.0000,14.6900,14.4100,14.5600,1.0000,302921
14.0752,14.4700,2020-02-04,0.0000,14.6500,14.3100,14.4400,1.0000,230622
13.9974,14.3900,2020-02-03,0.0000,14.5600,14.2800,14.4800,1.0000,258819
14.0363,14.4300,2020-01-31,0.0000,14.7200,14.3700,14.5300,1.0000,337599
14.2309,14.6300,2020-01-30,0.0000,14.7600,14.5400,14.6600,1.0000,277899
14.3476,14.7500,2020-01-29,0.3475,14.9350,14.6500,14.7500,1.0000,399709
14.4925,15.2500,2020-01-28,0.0000,15.3650,15.0500,15.1700,1.0000,354834
