adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
2.0000,2.0000,2020-05-12,0.0000,2.0000,2.0000,2.0000,1.0000,90
2.0000,2.0000,2020-05-11,0.0000,2.0000,2.0000,2.0000,1.0000,30
2.0000,2.0000,2020-05-08,0.0000,2.0000,2.0000,2.0000,1.0000,100
1.2600,1.2600,2020-05-07,0.0000,1.2600,1.2600,1.2600,1.0000,800
1.8900,1.8900,2020-05-01,0.0000,1.9900,1.6000,1.9900,1.0000,5211
1.9900,1.9900,2020-04-27,0.0000,1.9900,0.8701,1.5000,1.0000,10300
1.5000,1.5000,2020-04-24,0.0000,1.8900,0.8700,1.8900,1.0000,8597
1.9000,1.9000,2020-04-23,0.0000,1.9000,1.7000,1.8900,1.0000,510
1.0000,1.0000,2020-04-20,0.0000,1.1000,0.8000,1.1000,1.0000,6727
1.1000,1.1000,2020-04-15,0.0000,1.3000,0.1000,1.1000,1.0000,21336
1.9900,1.9900,2020-04-09,0.0000,2.0000,1.9900,2.0000,1.0000,200
1.8000,1.8000,2020-04-07,0.0000,1.8000,1.8000,1.8000,1.0000,100
2.0000,2.0000,2020-04-06,0.0000,3.0000,0.5000,3.0000,1.0000,5450
3.0100,3.0100,2020-04-01,0.0000,3.0100,2.8550,2.8550,1.0000,450
3.0000,3.0000,2020-03-31,0.0000,3.0000,3.0000,3.0000,1.0000,500
3.0000,3.0000,2020-03-26,0.0000,3.0000,3.0000,3.0000,1.0000,400
3.0000,3.0000,2020-03-19,0.0000,3.0000,3.0000,3.0000,1.0000,100
2.9000,2.9000,2020-03-18,0.0000,2.9000,1.8500,1.8500,1.0000,1150
