adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.4780,0.4780,2020-05-12,0.0000,0.4889,0.4780,0.4889,1.0000,12000
0.4889,0.4889,2020-05-11,0.0000,0.4889,0.4800,0.4800,1.0000,19033
0.4800,0.4800,2020-05-08,0.0000,0.5390,0.4800,0.5075,1.0000,108363
0.5000,0.5000,2020-05-07,0.0000,0.5000,0.4712,0.4856,1.0000,76500
0.5000,0.5000,2020-05-06,0.0000,0.5120,0.4749,0.4749,1.0000,28720
0.4899,0.4899,2020-05-05,0.0000,0.5000,0.4700,0.4995,1.0000,33212
0.4900,0.4900,2020-05-04,0.0000,0.5075,0.4900,0.5000,1.0000,39710
0.5000,0.5000,2020-05-01,0.0000,0.5125,0.5000,0.5001,1.0000,43500
0.5100,0.5100,2020-04-30,0.0000,0.5151,0.5001,0.5151,1.0000,2539
0.5400,0.5400,2020-04-29,0.0000,0.5949,0.4650,0.5000,1.0000,119730
0.5000,0.5000,2020-04-28,0.0000,0.5000,0.4900,0.4900,1.0000,55970
0.4895,0.4895,2020-04-27,0.0000,0.4900,0.4725,0.4900,1.0000,25647
0.4895,0.4895,2020-04-24,0.0000,0.4895,0.4700,0.4700,1.0000,24275
0.4900,0.4900,2020-04-23,0.0000,0.4900,0.4700,0.4700,1.0000,21316
0.4800,0.4800,2020-04-22,0.0000,0.4900,0.4510,0.4682,1.0000,34375
0.4455,0.4455,2020-04-21,0.0000,0.4800,0.4450,0.4600,1.0000,41660
0.4600,0.4600,2020-04-20,0.0000,0.4600,0.4590,0.4590,1.0000,12750
0.4500,0.4500,2020-04-17,0.0000,0.4500,0.4290,0.4290,1.0000,21030
0.4400,0.4400,2020-04-16,0.0000,0.4400,0.4300,0.4400,1.0000,32521
0.4400,0.4400,2020-04-15,0.0000,0.4500,0.4105,0.4500,1.0000,51553
0.4400,0.4400,2020-04-14,0.0000,0.4400,0.4205,0.4208,1.0000,47398
0.4300,0.4300,2020-04-13,0.0000,0.4300,0.3950,0.4100,1.0000,60805
0.4100,0.4100,2020-04-09,0.0000,0.4200,0.3500,0.3989,1.0000,270624
0.3810,0.3810,2020-04-08,0.0000,0.4150,0.3800,0.3800,1.0000,51175
0.3956,0.3956,2020-04-07,0.0000,0.4145,0.3952,0.4139,1.0000,49874
0.4139,0.4139,2020-04-06,0.0000,0.4284,0.3920,0.4200,1.0000,149132
0.4000,0.4000,2020-04-03,0.0000,0.4200,0.4000,0.4195,1.0000,25703
0.4200,0.4200,2020-04-02,0.0000,0.4325,0.4000,0.4100,1.0000,55780
0.4100,0.4100,2020-04-01,0.0000,0.4200,0.3936,0.4200,1.0000,87415
0.4299,0.4299,2020-03-31,0.0000,0.4498,0.4200,0.4498,1.0000,83415
0.4593,0.4593,2020-03-30,0.0000,0.4593,0.4099,0.4100,1.0000,86024
0.4299,0.4299,2020-03-27,0.0000,0.4400,0.4299,0.4335,1.0000,11060
0.4200,0.4200,2020-03-26,0.0000,0.4691,0.4050,0.4249,1.0000,142523
0.4397,0.4397,2020-03-25,0.0000,0.4500,0.4050,0.4050,1.0000,92800
0.4559,0.4559,2020-03-24,0.0000,0.4600,0.4199,0.4199,1.0000,29220
0.4199,0.4199,2020-03-23,0.0000,0.4750,0.3615,0.4750,1.0000,107650
0.4500,0.4500,2020-03-20,0.0000,0.5000,0.4500,0.5000,1.0000,69425
0.4800,0.4800,2020-03-19,0.0000,0.5000,0.4345,0.4600,1.0000,73050
0.4550,0.4550,2020-03-18,0.0000,0.5300,0.4550,0.4750,1.0000,60728
0.5200,0.5200,2020-03-17,0.0000,0.5200,0.4090,0.4500,1.0000,99358
0.4080,0.4080,2020-03-16,0.0000,0.4600,0.4005,0.4599,1.0000,124297
0.4900,0.4900,2020-03-13,0.0000,0.5698,0.4900,0.5400,1.0000,126497
0.5400,0.5400,2020-03-12,0.0000,0.5700,0.4800,0.5200,1.0000,244806
0.5700,0.5700,2020-03-11,0.0000,0.6300,0.5600,0.6200,1.0000,68189
0.6400,0.6400,2020-03-10,0.0000,0.6550,0.6200,0.6550,1.0000,29886
0.6500,0.6500,2020-03-09,0.0000,0.6799,0.6001,0.6799,1.0000,24600
0.6650,0.6650,2020-03-06,0.0000,0.6898,0.6500,0.6898,1.0000,65501
