adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
52.4700,52.4700,2020-05-12,0.0000,54.0300,52.4600,53.5000,1.0000,5017718
53.1600,53.1600,2020-05-11,0.0000,53.3300,52.0800,52.5000,1.0000,5511762
52.8700,52.8700,2020-05-08,0.0000,53.4000,52.5600,53.1200,1.0000,3787318
52.7900,52.7900,2020-05-07,0.0000,53.3100,52.0000,52.1000,1.0000,4840358
51.1900,51.1900,2020-05-06,0.0000,51.5400,50.3400,51.0000,1.0000,7279465
50.6600,50.6600,2020-05-05,0.0000,51.6500,50.1000,50.2500,1.0000,3753010
49.4500,49.4500,2020-05-04,0.0000,49.7900,48.4700,48.8000,1.0000,4102618
50.4200,50.4200,2020-05-01,0.3900,50.8400,49.6600,50.3000,1.0000,3916823
51.8390,52.2400,2020-04-30,0.0000,54.0200,51.4300,53.1800,1.0000,4705555
53.7046,54.1200,2020-04-29,0.0000,55.1100,52.4800,52.5300,1.0000,6619892
51.0055,51.4000,2020-04-28,0.0000,53.3400,50.9100,52.5000,1.0000,4274272
50.9955,51.3900,2020-04-27,0.0000,51.5600,48.8400,48.9200,1.0000,5757452
48.0583,48.4300,2020-04-24,0.0000,49.4600,47.7500,49.4600,1.0000,4756764
48.0583,48.4300,2020-04-23,0.0000,49.7700,46.5700,47.2200,1.0000,6844362
45.9744,46.3300,2020-04-22,0.0000,47.2478,46.1100,46.6700,1.0000,3353749
45.1508,45.5000,2020-04-21,0.0000,46.5400,45.0500,45.8400,1.0000,6507272
47.8102,48.1800,2020-04-20,0.0000,48.9000,47.4000,48.5800,1.0000,5027037
49.6261,50.0100,2020-04-17,0.0000,50.2600,47.7300,49.4500,1.0000,8382370
47.5919,47.9600,2020-04-16,0.0000,48.1500,45.5100,46.1900,1.0000,5405896
45.1508,45.5000,2020-04-15,0.0000,47.2600,45.1477,46.4500,1.0000,8479128
47.5919,47.9600,2020-04-14,0.0000,50.3000,47.9400,49.1200,1.0000,7163506
47.2148,47.5800,2020-04-13,0.0000,49.4800,45.3900,49.1500,1.0000,6831281
48.7926,49.1700,2020-04-09,0.0000,51.5900,48.5000,49.0100,1.0000,9418134
46.6095,46.9700,2020-04-08,0.0000,48.6400,45.9100,46.4900,1.0000,5545163
45.2798,45.6300,2020-04-07,0.0000,52.6900,45.4400,50.0000,1.0000,8899158
46.2125,46.5700,2020-04-06,0.0000,46.8900,43.6100,43.6900,1.0000,9089549
41.4196,41.7400,2020-04-03,0.0000,42.1850,41.0400,41.2500,1.0000,7238162
40.8738,41.1900,2020-04-02,0.0000,42.6500,39.2500,40.4100,1.0000,7442197
40.4868,40.8000,2020-04-01,0.0000,42.6800,40.4500,42.5400,1.0000,9614535
45.2202,45.5700,2020-03-31,0.0000,47.1500,44.1500,46.9000,1.0000,6989213
46.9171,47.2800,2020-03-30,0.0000,47.7500,44.2600,46.0600,1.0000,5127666
45.7362,46.0900,2020-03-27,0.0000,47.9900,44.3200,45.4700,1.0000,7461040
47.6316,48.0000,2020-03-26,0.0000,49.3500,43.7600,43.9500,1.0000,12232696
42.4913,42.8200,2020-03-25,0.0000,46.7000,39.5000,40.5300,1.0000,12175113
39.6136,39.9200,2020-03-24,0.0000,41.8400,38.2000,39.0000,1.0000,10421638
35.7634,36.0400,2020-03-23,0.0000,37.1900,33.2500,36.0700,1.0000,12453186
37.3809,37.6700,2020-03-20,0.0000,42.3800,36.1014,42.0600,1.0000,10993049
41.6677,41.9900,2020-03-19,0.0000,42.0000,36.1200,38.8200,1.0000,10416245
40.4471,40.7600,2020-03-18,0.0000,40.8100,33.0000,37.5000,1.0000,16571473
41.1219,41.4400,2020-03-17,0.0000,42.3500,35.5600,40.7200,1.0000,18707071
40.2189,40.5300,2020-03-16,0.0000,42.5600,37.8000,38.0000,1.0000,14335284
46.3614,46.7200,2020-03-13,0.0000,46.9300,40.3101,43.9400,1.0000,11793810
39.7525,40.0600,2020-03-12,0.0000,44.4500,37.4600,40.1300,1.0000,17465575
46.9866,47.3500,2020-03-11,0.0000,49.9800,46.1501,48.5400,1.0000,7432993
50.2513,50.6400,2020-03-10,0.0000,50.7700,47.7002,49.8600,1.0000,7663724
46.6194,46.9800,2020-03-09,0.0000,50.3599,46.9500,47.5400,1.0000,11914637
53.6451,54.0600,2020-03-06,0.0000,55.4600,52.6800,55.1300,1.0000,10218501
57.3464,57.7900,2020-03-05,0.0000,58.4300,56.7601,57.3400,1.0000,4997647
57.6540,58.1000,2020-03-04,0.0000,58.3500,56.1000,57.3800,1.0000,4745902
55.6595,56.0900,2020-03-03,0.0000,58.0390,54.6650,56.1800,1.0000,6413895
55.5999,56.0300,2020-03-02,0.0000,56.7400,53.6860,54.5000,1.0000,8282693
53.4267,53.8400,2020-02-28,0.0000,54.0500,49.0500,49.7200,1.0000,12953229
52.8810,53.2900,2020-02-27,0.0000,55.6600,52.5200,54.2000,1.0000,10438756
55.5702,56.0000,2020-02-26,0.0000,57.6800,55.9700,56.0200,1.0000,5732415
56.0366,56.4700,2020-02-25,0.0000,59.2300,56.0000,59.0900,1.0000,6359630
58.1105,58.5600,2020-02-24,0.0000,59.6300,55.7000,58.3700,1.0000,7370294
60.7799,61.2500,2020-02-21,0.0000,62.1800,60.9800,62.0100,1.0000,4198379
61.9707,62.4500,2020-02-20,0.0000,63.1900,61.1400,62.7500,1.0000,3363057
62.2783,62.7600,2020-02-19,0.0000,63.4300,62.3100,62.4100,1.0000,3394498
61.4943,61.9700,2020-02-18,0.0000,63.4700,61.9200,62.9100,1.0000,4544433
62.4668,62.9500,2020-02-14,0.0000,63.3000,62.5000,63.0700,1.0000,2821863
62.4569,62.9400,2020-02-13,0.0000,63.5600,62.5100,62.8000,1.0000,3845908
62.3676,62.8500,2020-02-12,0.0000,64.4100,62.8000,64.0800,1.0000,4520222
63.9156,64.4100,2020-02-11,0.0000,64.9700,64.2300,64.4700,1.0000,3082131
63.6179,64.1100,2020-02-10,0.0000,64.1400,62.4900,62.5200,1.0000,3379744
62.2783,62.7600,2020-02-07,0.6100,63.8600,61.9300,63.1000,1.0000,4359652
63.1038,64.2100,2020-02-06,0.0000,64.2750,62.9300,63.7600,1.0000,2876006
62.6321,63.7300,2020-02-05,0.0000,64.3900,63.0200,63.8400,1.0000,3266435
62.1800,63.2700,2020-02-04,0.0000,63.7000,61.2800,61.3300,1.0000,4172812
59.4774,60.5200,2020-02-03,0.0000,61.7300,60.5150,61.6000,1.0000,3200834
60.0179,61.0700,2020-01-31,0.0000,61.1250,59.6150,61.0000,1.0000,6127183
60.0572,61.1100,2020-01-30,0.0000,63.5000,60.0000,62.4800,1.0000,8554791
61.5707,62.6500,2020-01-29,0.0000,63.1400,61.9500,62.1600,1.0000,4279206
60.5584,61.6200,2020-01-28,0.0000,62.3300,61.1500,61.3800,1.0000,3724741
60.1358,61.1900,2020-01-27,0.0000,61.6600,59.3700,59.8400,1.0000,3724016
61.1383,62.2100,2020-01-24,0.0000,64.1800,61.6700,64.1000,1.0000,7475883
62.6321,63.7300,2020-01-23,0.0000,63.7700,62.6040,62.8700,1.0000,4799477
61.7869,62.8700,2020-01-22,0.0000,63.1350,61.3500,61.3800,1.0000,4670854
60.1162,61.1700,2020-01-21,0.0000,61.7650,60.1600,60.5000,1.0000,4923467
59.7132,60.7600,2020-01-17,0.0000,61.3900,60.3900,60.7700,1.0000,4276545
59.1137,60.1500,2020-01-16,0.0000,60.1900,58.6800,58.7100,1.0000,5922025
57.2268,58.2300,2020-01-15,0.0000,58.6900,57.6200,57.6700,1.0000,3557538
57.1089,58.1100,2020-01-14,0.0000,58.8400,58.0100,58.5600,1.0000,2611249
57.4234,58.4300,2020-01-13,0.0000,58.6900,57.3800,57.8800,1.0000,3273903
56.7256,57.7200,2020-01-10,0.0000,58.1900,57.4900,58.0200,1.0000,4975432
56.8534,57.8500,2020-01-09,0.0000,58.4000,56.8910,57.1500,1.0000,4385523
55.7625,56.7400,2020-01-08,0.0000,56.9950,55.8800,55.9000,1.0000,2913264
54.9370,55.9000,2020-01-07,0.0000,56.3100,55.7900,55.9300,1.0000,2669250
54.9370,55.9000,2020-01-06,0.0000,55.9300,55.0400,55.2100,1.0000,2503724
55.0352,56.0000,2020-01-03,0.0000,56.0600,54.9300,55.2300,1.0000,2411111
54.8387,55.8000,2020-01-02,0.0000,56.4600,55.5600,56.2000,1.0000,3372551
54.9763,55.9400,2019-12-31,0.0000,56.3000,55.6300,56.0000,1.0000,1641922
55.0352,56.0000,2019-12-30,0.0000,56.2000,55.4700,56.1700,1.0000,1919009
55.1728,56.1400,2019-12-27,0.0000,56.6900,56.0400,56.4000,1.0000,1731548
55.3301,56.3000,2019-12-26,0.0000,56.4200,55.4000,55.4600,1.0000,2150715
54.4456,55.4000,2019-12-24,0.0000,55.5900,55.0800,55.2500,1.0000,1238129
54.3375,55.2900,2019-12-23,0.0000,56.1700,55.2600,55.8800,1.0000,2387694
54.8387,55.8000,2019-12-20,0.0000,55.9700,55.0800,55.6600,1.0000,3898259
54.7896,55.7500,2019-12-19,0.0000,55.7600,54.5100,54.6000,1.0000,4066917
53.6790,54.6200,2019-12-18,0.0000,54.8300,54.1700,54.4900,1.0000,3390649
53.6397,54.5800,2019-12-17,0.0000,54.7650,54.0700,54.7200,1.0000,3521030
53.5906,54.5300,2019-12-16,0.0000,54.8100,53.8200,53.9500,1.0000,3566309
52.7061,53.6300,2019-12-13,0.0000,54.3881,53.5200,54.0000,1.0000,2680248
53.2368,54.1700,2019-12-12,0.0000,55.2100,54.0250,54.9700,1.0000,3567179
53.9739,54.9200,2019-12-11,0.0000,55.0000,54.3200,54.5000,1.0000,2392140
53.4726,54.4100,2019-12-10,0.0000,54.7700,54.0900,54.2400,1.0000,3971123
53.2073,54.1400,2019-12-09,0.0000,54.7672,53.9500,54.2300,1.0000,3922127
52.9911,53.9200,2019-12-06,0.0000,54.4800,53.9200,54.0000,1.0000,2834401
52.5980,53.5200,2019-12-05,0.0000,53.9250,53.2500,53.4600,1.0000,3921051
52.1852,53.1000,2019-12-04,0.0000,53.4800,52.9200,53.1000,1.0000,2701812
52.0869,53.0000,2019-12-03,0.0000,53.1100,51.7800,52.3500,1.0000,4171069
51.9887,52.9000,2019-12-02,0.0000,54.4400,52.7200,54.4100,1.0000,5671232
53.2859,54.2200,2019-11-29,0.0000,54.5836,54.0000,54.0500,1.0000,1951533
53.3056,54.2400,2019-11-27,0.0000,54.3550,53.0500,53.3500,1.0000,5284322
52.4407,53.3600,2019-11-26,0.0000,53.4700,52.5400,53.0000,1.0000,31435445
51.5661,52.4700,2019-11-25,0.0000,52.4900,51.1600,51.3000,1.0000,4633614
50.3769,51.2600,2019-11-22,0.0000,52.0721,50.9658,51.7000,1.0000,4100352
50.7700,51.6600,2019-11-21,0.0000,52.2000,51.5200,51.5600,1.0000,3087458
50.7307,51.6200,2019-11-20,0.0000,52.1400,51.4350,51.7900,1.0000,3959493
51.0747,51.9700,2019-11-19,0.0000,52.6700,51.6400,52.3900,1.0000,3897129
51.4580,52.3600,2019-11-18,0.0000,53.1000,52.2400,52.5000,1.0000,3380670
51.6152,52.5200,2019-11-15,0.0000,53.1500,52.4100,52.8800,1.0000,2917733
