adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.0070,0.0070,2020-04-01,0.0000,0.0070,0.0070,0.0070,1.0000,2192
0.0070,0.0070,2020-03-31,0.0000,0.0070,0.0070,0.0070,1.0000,500
0.0070,0.0070,2020-03-30,0.0000,0.0070,0.0070,0.0070,1.0000,2692
0.0019,0.0019,2019-12-13,0.0000,0.0019,0.0019,0.0019,1.0000,5000
0.0050,0.0050,2019-11-26,0.0000,0.0050,0.0050,0.0050,1.0000,30000
0.0035,0.0035,2019-04-23,0.0000,0.0035,0.0035,0.0035,1.0000,70000
0.0102,0.0102,2019-01-28,0.0000,0.0102,0.0102,0.0102,1.0000,5500
0.0051,0.0051,2018-12-26,0.0000,0.0051,0.0051,0.0051,1.0000,1000
0.0200,0.0200,2018-12-11,0.0000,0.0200,0.0200,0.0200,1.0000,2500
0.0098,0.0098,2018-04-19,0.0000,0.0138,0.0098,0.0138,1.0000,108330
0.0060,0.0060,2018-03-14,0.0000,0.0060,0.0060,0.0060,1.0000,5000
0.0110,0.0110,2018-01-12,0.0000,0.0110,0.0110,0.0110,1.0000,10000
0.0150,0.0150,2018-01-08,0.0000,0.0150,0.0150,0.0150,1.0000,1188
0.0182,0.0182,2017-12-18,0.0000,0.0182,0.0182,0.0182,1.0000,20000
0.0180,0.0180,2017-11-15,0.0000,0.0180,0.0180,0.0180,1.0000,21000
0.0184,0.0184,2017-11-13,0.0000,0.0184,0.0184,0.0184,1.0000,100000
0.0182,0.0182,2017-11-01,0.0000,0.0182,0.0182,0.0182,1.0000,5000
0.0222,0.0222,2017-10-26,0.0000,0.0222,0.0222,0.0222,1.0000,17000
0.0225,0.0225,2017-10-25,0.0000,0.0225,0.0225,0.0225,1.0000,3000
0.0170,0.0170,2017-10-23,0.0000,0.0170,0.0170,0.0170,1.0000,2500
0.0080,0.0080,2017-10-20,0.0000,0.0080,0.0080,0.0080,1.0000,40900
0.0100,0.0100,2017-10-18,0.0000,0.0100,0.0100,0.0100,1.0000,30000
0.0153,0.0153,2017-09-21,0.0000,0.0153,0.0153,0.0153,1.0000,22000
0.0150,0.0150,2017-09-20,0.0000,0.0150,0.0150,0.0150,1.0000,25000
