adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.0530,0.0530,2020-05-12,0.0000,0.0530,0.0406,0.0433,1.0000,12596
0.0460,0.0460,2020-05-11,0.0000,0.0530,0.0460,0.0460,1.0000,8385
0.0505,0.0505,2020-05-08,0.0000,0.0505,0.0460,0.0495,1.0000,3600
0.0530,0.0530,2020-05-07,0.0000,0.0530,0.0406,0.0406,1.0000,8757
0.0460,0.0460,2020-05-06,0.0000,0.0528,0.0406,0.0497,1.0000,40975
0.0494,0.0494,2020-05-05,0.0000,0.0540,0.0494,0.0540,1.0000,2151
0.0549,0.0549,2020-05-04,0.0000,0.0585,0.0460,0.0575,1.0000,76390
0.0550,0.0550,2020-05-01,0.0000,0.0585,0.0460,0.0522,1.0000,19393
0.0460,0.0460,2020-04-30,0.0000,0.0585,0.0460,0.0585,1.0000,5034
0.0500,0.0500,2020-04-29,0.0000,0.0500,0.0460,0.0500,1.0000,5753
0.0499,0.0499,2020-04-28,0.0000,0.0500,0.0450,0.0500,1.0000,16500
0.0500,0.0500,2020-04-27,0.0000,0.0500,0.0350,0.0421,1.0000,58557
0.0462,0.0462,2020-04-24,0.0000,0.0579,0.0341,0.0357,1.0000,27050
0.0536,0.0536,2020-04-23,0.0000,0.0595,0.0400,0.0595,1.0000,2770
0.0420,0.0420,2020-04-22,0.0000,0.0549,0.0420,0.0549,1.0000,6921
0.0420,0.0420,2020-04-21,0.0000,0.0549,0.0420,0.0490,1.0000,14787
0.0488,0.0488,2020-04-20,0.0000,0.0549,0.0424,0.0424,1.0000,25705
0.0490,0.0490,2020-04-17,0.0000,0.0550,0.0424,0.0430,1.0000,5079
0.0520,0.0520,2020-04-16,0.0000,0.0544,0.0430,0.0491,1.0000,23891
0.0431,0.0431,2020-04-15,0.0000,0.0491,0.0431,0.0433,1.0000,9070
0.0491,0.0491,2020-04-14,0.0000,0.0550,0.0431,0.0510,1.0000,25632
0.0471,0.0471,2020-04-13,0.0000,0.0510,0.0431,0.0431,1.0000,16574
0.0432,0.0432,2020-04-09,0.0000,0.0520,0.0432,0.0520,1.0000,14669
0.0431,0.0431,2020-04-08,0.0000,0.0498,0.0431,0.0498,1.0000,4240
0.0476,0.0476,2020-04-07,0.0000,0.0520,0.0431,0.0431,1.0000,8878
0.0476,0.0476,2020-04-06,0.0000,0.0520,0.0476,0.0520,1.0000,6772
0.0451,0.0451,2020-04-03,0.0000,0.0520,0.0451,0.0520,1.0000,2554
0.0520,0.0520,2020-04-02,0.0000,0.0520,0.0431,0.0476,1.0000,18922
0.0474,0.0474,2020-04-01,0.0000,0.0507,0.0427,0.0507,1.0000,2644
0.0427,0.0427,2020-03-31,0.0000,0.0550,0.0424,0.0550,1.0000,40620
0.0426,0.0426,2020-03-30,0.0000,0.0569,0.0424,0.0424,1.0000,15883
0.0596,0.0596,2020-03-27,0.0000,0.0596,0.0426,0.0476,1.0000,21244
0.0423,0.0423,2020-03-26,0.0000,0.0596,0.0422,0.0596,1.0000,7965
0.0508,0.0508,2020-03-25,0.0000,0.0596,0.0421,0.0460,1.0000,8425
0.0510,0.0510,2020-03-24,0.0000,0.0619,0.0424,0.0619,1.0000,22299
0.0420,0.0420,2020-03-23,0.0000,0.0596,0.0420,0.0420,1.0000,13316
0.0600,0.0600,2020-03-20,0.0000,0.0600,0.0510,0.0600,1.0000,2400
0.0516,0.0516,2020-03-19,0.0000,0.0609,0.0420,0.0520,1.0000,4831
0.0415,0.0415,2020-03-18,0.0000,0.0620,0.0415,0.0620,1.0000,4050
0.0600,0.0600,2020-03-17,0.0000,0.0600,0.0400,0.0400,1.0000,18512
0.0401,0.0401,2020-03-16,0.0000,0.0500,0.0400,0.0500,1.0000,46031
0.0500,0.0500,2020-03-13,0.0000,0.0520,0.0400,0.0400,1.0000,35466
0.0412,0.0412,2020-03-12,0.0000,0.0520,0.0400,0.0460,1.0000,10180
0.0400,0.0400,2020-03-11,0.0000,0.0550,0.0400,0.0549,1.0000,8214
0.0478,0.0478,2020-03-10,0.0000,0.0580,0.0406,0.0413,1.0000,116400
0.0414,0.0414,2020-03-09,0.0000,0.0600,0.0414,0.0470,1.0000,24700
0.0470,0.0470,2020-03-06,0.0000,0.0554,0.0470,0.0554,1.0000,1100
0.0500,0.0500,2020-03-05,0.0000,0.0500,0.0500,0.0500,1.0000,1793
0.0500,0.0500,2020-03-04,0.0000,0.0500,0.0500,0.0500,1.0000,1625
0.0527,0.0527,2020-03-03,0.0000,0.0639,0.0527,0.0639,1.0000,1705
0.0600,0.0600,2020-03-02,0.0000,0.0639,0.0414,0.0639,1.0000,4200
0.0527,0.0527,2020-02-28,0.0000,0.0639,0.0414,0.0470,1.0000,31412
0.0470,0.0470,2020-02-27,0.0000,0.0505,0.0413,0.0505,1.0000,2338
0.0549,0.0549,2020-02-26,0.0000,0.0600,0.0415,0.0416,1.0000,11910
0.0629,0.0629,2020-02-25,0.0000,0.0629,0.0430,0.0430,1.0000,12898
