adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.0269,0.0269,2020-05-07,0.0000,0.0269,0.0269,0.0269,1.0000,100000
0.0259,0.0259,2020-05-05,0.0000,0.0259,0.0259,0.0259,1.0000,24000
0.0275,0.0275,2020-04-28,0.0000,0.0275,0.0275,0.0275,1.0000,16000
0.0390,0.0390,2020-04-15,0.0000,0.0390,0.0390,0.0390,1.0000,250
0.0293,0.0293,2020-04-03,0.0000,0.0293,0.0293,0.0293,1.0000,1000
0.0341,0.0341,2020-03-31,0.0000,0.0341,0.0341,0.0341,1.0000,900
0.0288,0.0288,2020-03-23,0.0000,0.0288,0.0288,0.0288,1.0000,25
0.0288,0.0288,2020-03-17,0.0000,0.0380,0.0288,0.0380,1.0000,53082
0.0449,0.0449,2020-03-06,0.0000,0.0549,0.0449,0.0549,1.0000,2544
0.0493,0.0493,2020-03-02,0.0000,0.0493,0.0493,0.0493,1.0000,900
0.0499,0.0499,2020-02-27,0.0000,0.0499,0.0499,0.0499,1.0000,10800
0.0554,0.0554,2020-02-25,0.0000,0.0554,0.0554,0.0554,1.0000,1007
0.0547,0.0547,2020-02-04,0.0000,0.0547,0.0547,0.0547,1.0000,100
0.0480,0.0480,2020-01-30,0.0000,0.0480,0.0480,0.0480,1.0000,18100
0.0570,0.0570,2020-01-27,0.0000,0.0570,0.0570,0.0570,1.0000,9500
0.0558,0.0558,2020-01-07,0.0000,0.0558,0.0558,0.0558,1.0000,800
0.0570,0.0570,2020-01-06,0.0000,0.0570,0.0570,0.0570,1.0000,1000
0.0500,0.0500,2019-12-31,0.0000,0.0583,0.0500,0.0583,1.0000,2000
0.0465,0.0465,2019-12-30,0.0000,0.0465,0.0465,0.0465,1.0000,1000
0.0462,0.0462,2019-12-27,0.0000,0.0462,0.0462,0.0462,1.0000,500
0.0595,0.0595,2019-12-20,0.0000,0.0595,0.0595,0.0595,1.0000,165
0.0496,0.0496,2019-12-18,0.0000,0.0496,0.0496,0.0496,1.0000,1500
0.0559,0.0559,2019-12-17,0.0000,0.0559,0.0458,0.0458,1.0000,2156
0.0458,0.0458,2019-12-16,0.0000,0.0458,0.0458,0.0458,1.0000,500
0.0467,0.0467,2019-12-13,0.0000,0.0467,0.0467,0.0467,1.0000,1500
0.0458,0.0458,2019-12-12,0.0000,0.0569,0.0458,0.0569,1.0000,8000
0.0507,0.0507,2019-12-09,0.0000,0.0507,0.0507,0.0507,1.0000,4450
0.0595,0.0595,2019-12-06,0.0000,0.0595,0.0595,0.0595,1.0000,2000
0.0651,0.0651,2019-12-02,0.0000,0.0651,0.0651,0.0651,1.0000,300
0.0670,0.0670,2019-11-29,0.0000,0.0670,0.0525,0.0600,1.0000,2200
0.0640,0.0640,2019-11-26,0.0000,0.0640,0.0640,0.0640,1.0000,1000
0.0631,0.0631,2019-11-18,0.0000,0.0631,0.0622,0.0622,1.0000,15000
0.0718,0.0718,2019-11-15,0.0000,0.0718,0.0718,0.0718,1.0000,4000
0.0710,0.0710,2019-11-14,0.0000,0.0710,0.0710,0.0710,1.0000,600
0.0536,0.0536,2019-11-07,0.0000,0.0536,0.0536,0.0536,1.0000,220
0.0506,0.0506,2019-11-05,0.0000,0.0506,0.0506,0.0506,1.0000,4000
0.0500,0.0500,2019-10-24,0.0000,0.0544,0.0500,0.0544,1.0000,11540
0.0664,0.0664,2019-10-23,0.0000,0.0664,0.0664,0.0664,1.0000,999
0.0657,0.0657,2019-10-16,0.0000,0.0657,0.0607,0.0620,1.0000,11000
0.0501,0.0501,2019-10-10,0.0000,0.0501,0.0501,0.0501,1.0000,100
0.0920,0.0920,2019-10-01,0.0000,0.0920,0.0920,0.0920,1.0000,1000
0.0780,0.0780,2019-09-30,0.0000,0.0780,0.0780,0.0780,1.0000,1000
0.0730,0.0730,2019-09-19,0.0000,0.0730,0.0730,0.0730,1.0000,10
0.0730,0.0730,2019-08-19,0.0000,0.0730,0.0730,0.0730,1.0000,100
0.0750,0.0750,2019-08-16,0.0000,0.0750,0.0750,0.0750,1.0000,6000
0.0720,0.0720,2019-08-09,0.0000,0.0720,0.0720,0.0720,1.0000,40
0.0720,0.0720,2019-08-06,0.0000,0.0720,0.0720,0.0720,1.0000,500
0.0700,0.0700,2019-07-29,0.0000,0.0700,0.0700,0.0700,1.0000,700
0.0835,0.0835,2019-07-17,0.0000,0.0835,0.0835,0.0835,1.0000,100
0.0726,0.0726,2019-07-16,0.0000,0.0726,0.0726,0.0726,1.0000,5000
0.0641,0.0641,2019-07-12,0.0000,0.0775,0.0641,0.0775,1.0000,7800
0.0811,0.0811,2019-07-09,0.0000,0.0811,0.0811,0.0811,1.0000,900
0.0799,0.0799,2019-07-08,0.0000,0.0799,0.0799,0.0799,1.0000,1200
0.0770,0.0770,2019-06-24,0.0000,0.0850,0.0770,0.0800,1.0000,29000
0.0842,0.0842,2019-06-19,0.0000,0.0842,0.0842,0.0842,1.0000,1000
0.0850,0.0850,2019-06-17,0.0000,0.0850,0.0850,0.0850,1.0000,10000
0.0661,0.0661,2019-06-06,0.0000,0.0661,0.0661,0.0661,1.0000,100
0.0650,0.0650,2019-06-05,0.0000,0.0650,0.0650,0.0650,1.0000,10
0.0650,0.0650,2019-05-30,0.0000,0.0650,0.0650,0.0650,1.0000,20
0.0650,0.0650,2019-05-28,0.0000,0.0650,0.0650,0.0650,1.0000,15
0.0650,0.0650,2019-05-24,0.0000,0.0650,0.0650,0.0650,1.0000,2000
0.0600,0.0600,2019-05-20,0.0000,0.0620,0.0600,0.0620,1.0000,4200
0.0754,0.0754,2019-05-14,0.0000,0.0754,0.0754,0.0754,1.0000,164
0.0814,0.0814,2019-05-08,0.0000,0.0814,0.0814,0.0814,1.0000,300
0.0806,0.0806,2019-05-06,0.0000,0.0806,0.0806,0.0806,1.0000,60
0.0806,0.0806,2019-05-03,0.0000,0.0806,0.0806,0.0806,1.0000,1000
0.0760,0.0760,2019-04-30,0.0000,0.0760,0.0760,0.0760,1.0000,500
0.0971,0.0971,2019-04-22,0.0000,0.0971,0.0971,0.0971,1.0000,400
0.0874,0.0874,2019-04-15,0.0000,0.0874,0.0874,0.0874,1.0000,1306
0.0887,0.0887,2019-04-09,0.0000,0.0887,0.0887,0.0887,1.0000,18
0.0887,0.0887,2019-04-02,0.0000,0.0887,0.0887,0.0887,1.0000,200
0.0910,0.0910,2019-03-28,0.0000,0.0910,0.0910,0.0910,1.0000,470
0.1020,0.1020,2019-03-26,0.0000,0.1020,0.0900,0.0900,1.0000,51295
0.0979,0.0979,2019-03-25,0.0000,0.0979,0.0979,0.0979,1.0000,667
0.0932,0.0932,2019-03-22,0.0000,0.0932,0.0932,0.0932,1.0000,2000
0.1026,0.1026,2019-03-19,0.0000,0.1026,0.1026,0.1026,1.0000,10
0.1026,0.1026,2019-03-08,0.0000,0.1044,0.1026,0.1044,1.0000,6000
0.1016,0.1016,2019-03-07,0.0000,0.1016,0.0970,0.0970,1.0000,2000
0.0943,0.0943,2019-03-06,0.0000,0.0971,0.0943,0.0971,1.0000,3600
0.1091,0.1091,2019-03-04,0.0000,0.1091,0.1091,0.1091,1.0000,30
0.1091,0.1091,2019-03-01,0.0000,0.1091,0.1091,0.1091,1.0000,1167
0.1159,0.1159,2019-02-28,0.0000,0.1159,0.1101,0.1101,1.0000,2100
0.1161,0.1161,2019-02-27,0.0000,0.1219,0.1161,0.1219,1.0000,1170
0.1214,0.1214,2019-02-26,0.0000,0.1214,0.1214,0.1214,1.0000,100
0.1177,0.1177,2019-02-25,0.0000,0.1177,0.1177,0.1177,1.0000,1595
0.1257,0.1257,2019-02-22,0.0000,0.1275,0.1174,0.1174,1.0000,11544
0.1195,0.1195,2019-02-21,0.0000,0.1367,0.1195,0.1367,1.0000,22100
0.1355,0.1355,2019-02-20,0.0000,0.1355,0.1170,0.1170,1.0000,19031
0.1460,0.1460,2019-02-19,0.0000,0.1460,0.1460,0.1460,1.0000,1041
0.1320,0.1320,2019-02-14,0.0000,0.1544,0.1320,0.1544,1.0000,2201
0.1838,0.1838,2019-02-13,0.0000,0.1838,0.1436,0.1436,1.0000,1687
0.1160,0.1160,2019-02-12,0.0000,0.1160,0.1060,0.1060,1.0000,5104
0.0211,0.0211,2019-02-11,0.0000,0.0211,0.0211,0.0211,1.0000,4
0.0211,0.0211,2019-02-07,0.0000,0.0211,0.0210,0.0210,1.0000,12500
0.0200,0.0200,2019-02-06,0.0000,0.0213,0.0134,0.0213,1.0000,40900
0.0201,0.0201,2019-02-05,0.0000,0.0201,0.0163,0.0201,1.0000,65000
0.0170,0.0170,2019-02-04,0.0000,0.0170,0.0170,0.0170,1.0000,16000
0.0213,0.0213,2019-02-01,0.0000,0.0213,0.0202,0.0213,1.0000,23000
0.0163,0.0163,2019-01-30,0.0000,0.0163,0.0163,0.0163,1.0000,10000
0.0140,0.0140,2019-01-29,0.0000,0.0172,0.0140,0.0172,1.0000,11800
0.0200,0.0200,2019-01-28,0.0000,0.0200,0.0200,0.0200,1.0000,10000
0.0161,0.0161,2019-01-22,0.0000,0.0187,0.0161,0.0187,1.0000,100000
0.0176,0.0176,2019-01-17,0.0000,0.0176,0.0176,0.0176,1.0000,400
0.0195,0.0195,2019-01-11,0.0000,0.0195,0.0125,0.0125,1.0000,6700
0.0101,0.0101,2019-01-07,0.0000,0.0144,0.0101,0.0144,1.0000,22400
0.0100,0.0100,2019-01-04,0.0000,0.0100,0.0100,0.0100,1.0000,30000
0.0100,0.0100,2019-01-02,0.0000,0.0110,0.0100,0.0110,1.0000,38000
0.0100,0.0100,2018-12-31,0.0000,0.0100,0.0050,0.0050,1.0000,38000
0.0063,0.0063,2018-12-21,0.0000,0.0063,0.0063,0.0063,1.0000,2000
0.0056,0.0056,2018-12-20,0.0000,0.0056,0.0055,0.0055,1.0000,100000
0.0069,0.0069,2018-12-18,0.0000,0.0080,0.0069,0.0080,1.0000,20200
0.0144,0.0144,2018-12-11,0.0000,0.0160,0.0116,0.0116,1.0000,180000
0.0080,0.0080,2018-12-06,0.0000,0.0080,0.0080,0.0080,1.0000,10000
0.0080,0.0080,2018-12-04,0.0000,0.0119,0.0080,0.0119,1.0000,39000
0.0083,0.0083,2018-12-03,0.0000,0.0125,0.0083,0.0115,1.0000,210896
0.0115,0.0115,2018-11-30,0.0000,0.0115,0.0115,0.0115,1.0000,19000
0.0120,0.0120,2018-11-29,0.0000,0.0120,0.0120,0.0120,1.0000,46000
0.0120,0.0120,2018-11-28,0.0000,0.0165,0.0120,0.0165,1.0000,134004
0.0120,0.0120,2018-11-27,0.0000,0.0120,0.0120,0.0120,1.0000,6050
0.0174,0.0174,2018-11-26,0.0000,0.0174,0.0120,0.0120,1.0000,22000
0.0189,0.0189,2018-11-23,0.0000,0.0200,0.0152,0.0200,1.0000,127000
0.0200,0.0200,2018-11-21,0.0000,0.0200,0.0200,0.0200,1.0000,4000
0.0200,0.0200,2018-11-20,0.0000,0.0200,0.0200,0.0200,1.0000,141000
0.0222,0.0222,2018-11-19,0.0000,0.0222,0.0200,0.0200,1.0000,20000
0.0245,0.0245,2018-11-16,0.0000,0.0245,0.0245,0.0245,1.0000,3000
0.0200,0.0200,2018-11-15,0.0000,0.0200,0.0200,0.0200,1.0000,7377
0.0216,0.0216,2018-11-14,0.0000,0.0216,0.0216,0.0216,1.0000,1230
0.0230,0.0230,2018-11-13,0.0000,0.0230,0.0200,0.0200,1.0000,75000
0.0273,0.0273,2018-11-09,0.0000,0.0273,0.0273,0.0273,1.0000,1230
0.0269,0.0269,2018-11-07,0.0000,0.0269,0.0269,0.0269,1.0000,44000
0.0241,0.0241,2018-11-05,0.0000,0.0242,0.0241,0.0242,1.0000,35000
0.0254,0.0254,2018-11-02,0.0000,0.0254,0.0200,0.0220,1.0000,77400
0.0216,0.0216,2018-10-31,0.0000,0.0240,0.0212,0.0230,1.0000,69999
0.0220,0.0220,2018-10-30,0.0000,0.0230,0.0212,0.0212,1.0000,140000
0.0255,0.0255,2018-10-26,0.0000,0.0255,0.0255,0.0255,1.0000,24000
0.0281,0.0281,2018-10-24,0.0000,0.0370,0.0279,0.0370,1.0000,140000
0.0317,0.0317,2018-10-23,0.0000,0.0333,0.0317,0.0333,1.0000,5832
0.0336,0.0336,2018-10-22,0.0000,0.0394,0.0336,0.0344,1.0000,24597
0.0326,0.0326,2018-10-19,0.0000,0.0354,0.0326,0.0354,1.0000,3900
0.0387,0.0387,2018-10-16,0.0000,0.0387,0.0387,0.0387,1.0000,5000
0.0371,0.0371,2018-10-12,0.0000,0.0371,0.0371,0.0371,1.0000,13000
0.0391,0.0391,2018-10-10,0.0000,0.0400,0.0390,0.0400,1.0000,29400
0.0441,0.0441,2018-10-09,0.0000,0.0530,0.0441,0.0530,1.0000,170000
0.0401,0.0401,2018-10-08,0.0000,0.0401,0.0401,0.0401,1.0000,2000
0.0491,0.0491,2018-10-05,0.0000,0.0553,0.0491,0.0500,1.0000,14500
0.0457,0.0457,2018-10-04,0.0000,0.0457,0.0457,0.0457,1.0000,31160
0.0467,0.0467,2018-10-03,0.0000,0.0467,0.0467,0.0467,1.0000,3025
0.0635,0.0635,2018-10-02,0.0000,0.0636,0.0585,0.0610,1.0000,127000
0.0529,0.0529,2018-10-01,0.0000,0.0529,0.0529,0.0529,1.0000,100
0.0600,0.0600,2018-09-28,0.0000,0.0606,0.0600,0.0606,1.0000,23000
0.0418,0.0418,2018-09-27,0.0000,0.0418,0.0418,0.0418,1.0000,5000
0.0550,0.0550,2018-09-25,0.0000,0.0550,0.0490,0.0490,1.0000,34500
