adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.7600,0.7600,2020-05-12,0.0000,0.7600,0.7600,0.7600,1.0000,0
0.7600,0.7600,2020-05-11,0.0000,0.7600,0.7600,0.7600,1.0000,0
0.7600,0.7600,2020-05-08,0.0000,0.7600,0.7600,0.7600,1.0000,0
0.7600,0.7600,2020-05-07,0.0000,0.7600,0.7600,0.7600,1.0000,0
0.7600,0.7600,2020-05-06,0.0000,0.7600,0.7600,0.7600,1.0000,0
0.7600,0.7600,2020-05-05,0.0000,0.7600,0.7600,0.7600,1.0000,0
0.7600,0.7600,2020-05-04,0.0000,0.7600,0.7600,0.7600,1.0000,0
0.7600,0.7600,2020-05-01,0.0000,0.7600,0.7600,0.7600,1.0000,5000
0.7600,0.7600,2020-04-30,0.0000,0.7600,0.7600,0.7600,1.0000,1000
0.7500,0.7500,2020-04-29,0.0000,0.7500,0.7500,0.7500,1.0000,90
0.7500,0.7500,2020-04-28,0.0000,0.7500,0.7500,0.7500,1.0000,0
0.7500,0.7500,2020-04-27,0.0000,0.7500,0.7500,0.7500,1.0000,1000
0.8100,0.8100,2020-04-24,0.0000,0.8100,0.8100,0.8100,1.0000,0
0.8050,0.8050,2020-04-23,0.0000,0.8050,0.8050,0.8050,1.0000,2001
0.8100,0.8100,2020-04-22,0.0000,0.8100,0.8100,0.8100,1.0000,0
0.8050,0.8050,2020-04-21,0.0000,0.8050,0.7775,0.7775,1.0000,12000
0.7750,0.7750,2020-04-20,0.0000,0.7750,0.7750,0.7750,1.0000,2010
0.7950,0.7950,2020-04-17,0.0000,0.7950,0.7950,0.7950,1.0000,1200
0.8000,0.8000,2020-04-16,0.0000,0.8000,0.8000,0.8000,1.0000,0
0.7975,0.7975,2020-04-15,0.0000,0.7975,0.7975,0.7975,1.0000,35
0.7975,0.7975,2020-04-14,0.0000,0.7975,0.7975,0.7975,1.0000,708
0.7700,0.7700,2020-04-13,0.0000,0.7700,0.7700,0.7700,1.0000,0
0.7700,0.7700,2020-04-09,0.0000,0.7700,0.7700,0.7700,1.0000,0
0.7700,0.7700,2020-04-08,0.0000,0.7700,0.7700,0.7700,1.0000,100
0.7500,0.7500,2020-04-07,0.0000,0.7500,0.7500,0.7500,1.0000,0
0.7496,0.7496,2020-04-06,0.0000,0.7496,0.7496,0.7496,1.0000,1000
0.7500,0.7500,2020-04-03,0.0000,0.7500,0.7500,0.7500,1.0000,2000
0.7800,0.7800,2020-04-02,0.0000,0.7800,0.7500,0.7500,1.0000,5186
0.7500,0.7500,2020-04-01,0.0000,0.7900,0.7410,0.7410,1.0000,23045
0.6000,0.6000,2020-03-31,0.0000,0.6000,0.6000,0.6000,1.0000,0
0.5950,0.5950,2020-03-30,0.0000,0.5950,0.5950,0.5950,1.0000,5
0.6000,0.6000,2020-03-27,0.0000,0.6000,0.6000,0.6000,1.0000,0
0.6000,0.6000,2020-03-26,0.0000,0.6000,0.6000,0.6000,1.0000,0
0.6000,0.6000,2020-03-25,0.0000,0.6000,0.6000,0.6000,1.0000,0
0.6000,0.6000,2020-03-24,0.0000,0.6000,0.6000,0.6000,1.0000,0
0.6000,0.6000,2020-03-23,0.0000,0.6000,0.6000,0.6000,1.0000,0
0.6000,0.6000,2020-03-20,0.0000,0.6000,0.6000,0.6000,1.0000,0
0.6000,0.6000,2020-03-19,0.0000,0.6000,0.6000,0.6000,1.0000,0
0.6000,0.6000,2020-03-18,0.0000,0.6000,0.6000,0.6000,1.0000,0
0.6000,0.6000,2020-03-17,0.0000,0.6000,0.6000,0.6000,1.0000,0
0.5950,0.5950,2020-03-16,0.0000,0.5950,0.5950,0.5950,1.0000,1118
0.6700,0.6700,2020-03-13,0.0000,0.6986,0.6700,0.6985,1.0000,37164
