adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
41.9100,41.9100,2020-04-15,0.0000,41.9100,41.9100,41.9100,1.0000,200
44.9185,44.9185,2020-04-14,0.0000,44.9185,44.9185,44.9185,1.0000,1563
44.9185,44.9185,2020-04-09,0.0000,44.9185,44.9185,44.9185,1.0000,1784
42.2197,42.2197,2020-03-27,0.0000,42.2197,42.2197,42.2197,1.0000,25
42.2197,42.2197,2020-03-26,0.0000,42.2197,42.2197,42.2197,1.0000,529
46.5054,46.5054,2020-03-10,0.0000,46.5054,46.5054,46.5054,1.0000,245
45.0000,45.0000,2020-03-09,0.0000,45.0000,45.0000,45.0000,1.0000,500
52.8758,52.8758,2020-03-05,0.0000,52.8758,52.8758,52.8758,1.0000,345
57.5994,57.5994,2020-01-31,0.0000,57.5994,57.5994,57.5994,1.0000,689
57.5994,57.5994,2020-01-30,0.0000,57.5994,57.5994,57.5994,1.0000,44
57.5994,57.5994,2020-01-27,0.0000,57.5994,57.5994,57.5994,1.0000,45
57.5994,57.5994,2019-11-14,0.0000,57.5994,57.5994,57.5994,1.0000,1119
57.5994,57.5994,2019-10-31,0.0000,57.5994,57.5994,57.5994,1.0000,253
57.5994,57.5994,2019-10-23,0.0000,57.5994,57.5994,57.5994,1.0000,1230
38.1000,38.1000,2019-10-18,0.0000,38.1000,38.1000,38.1000,1.0000,822
38.1000,38.1000,2019-09-16,0.0000,38.1000,38.1000,38.1000,1.0000,1665
38.1000,38.1000,2019-08-23,0.0000,38.1000,38.1000,38.1000,1.0000,54
38.1000,38.1000,2018-12-12,0.0000,38.1000,38.1000,38.1000,1.0000,55
38.1000,38.1000,2018-11-13,0.0000,38.1000,38.1000,38.1000,1.0000,196
39.3016,39.3016,2018-10-18,0.0000,39.3016,39.3016,39.3016,1.0000,145
47.0534,47.0534,2018-09-06,0.0000,47.0534,47.0534,47.0534,1.0000,627
47.0534,47.0534,2018-08-24,0.0000,47.0534,47.0534,47.0534,1.0000,100
47.0534,47.0534,2018-08-14,0.0000,47.0534,47.0534,47.0534,1.0000,86
47.0534,47.0534,2018-07-25,0.0000,47.0534,47.0534,47.0534,1.0000,1440
48.5197,48.5197,2018-06-21,0.0000,48.5197,48.5197,48.5197,1.0000,265
45.2000,45.2000,2017-12-15,0.0000,45.2000,45.2000,45.2000,1.0000,1399
45.2000,45.2000,2017-12-13,0.0000,45.2000,45.2000,45.2000,1.0000,200
43.2500,43.2500,2017-11-16,0.0000,43.2500,43.2500,43.2500,1.0000,196
42.0630,42.0630,2017-10-19,0.0000,42.0630,42.0630,42.0630,1.0000,3720
