adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.0060,0.0060,2020-05-08,0.0000,0.0060,0.0051,0.0051,1.0000,71269
0.0050,0.0050,2020-05-07,0.0000,0.0051,0.0050,0.0051,1.0000,60531
0.0055,0.0055,2020-05-05,0.0000,0.0055,0.0055,0.0055,1.0000,30000
0.0050,0.0050,2020-05-04,0.0000,0.0050,0.0050,0.0050,1.0000,20000
0.0050,0.0050,2020-04-20,0.0000,0.0050,0.0029,0.0029,1.0000,79967
0.0030,0.0030,2020-04-13,0.0000,0.0030,0.0030,0.0030,1.0000,60033
0.0030,0.0030,2020-04-09,0.0000,0.0030,0.0030,0.0030,1.0000,6000
0.0021,0.0021,2020-04-07,0.0000,0.0030,0.0021,0.0030,1.0000,8000
0.0030,0.0030,2020-03-25,0.0000,0.0030,0.0021,0.0021,1.0000,21220
0.0030,0.0030,2020-03-24,0.0000,0.0030,0.0030,0.0030,1.0000,1000
0.0030,0.0030,2020-03-18,0.0000,0.0035,0.0020,0.0031,1.0000,231997
0.0060,0.0060,2020-03-10,0.0000,0.0060,0.0060,0.0060,1.0000,20000
0.0060,0.0060,2020-03-09,0.0000,0.0060,0.0060,0.0060,1.0000,3333
0.0031,0.0031,2020-02-19,0.0000,0.0031,0.0031,0.0031,1.0000,5000
0.0060,0.0060,2020-02-14,0.0000,0.0060,0.0060,0.0060,1.0000,2500
0.0035,0.0035,2020-02-11,0.0000,0.0035,0.0035,0.0035,1.0000,9900
0.0035,0.0035,2020-01-15,0.0000,0.0250,0.0035,0.0140,1.0000,46378
0.0300,0.0300,2020-01-13,0.0000,0.0300,0.0030,0.0030,1.0000,13100
0.0049,0.0049,2020-01-03,0.0000,0.0049,0.0049,0.0049,1.0000,10000
0.0049,0.0049,2019-12-20,0.0000,0.0049,0.0049,0.0049,1.0000,500
0.0040,0.0040,2019-11-07,0.0000,0.0040,0.0027,0.0040,1.0000,30000
0.0040,0.0040,2019-10-23,0.0000,0.0040,0.0040,0.0040,1.0000,9900
0.0050,0.0050,2019-10-22,0.0000,0.0050,0.0050,0.0050,1.0000,10000
0.0055,0.0055,2019-08-05,0.0000,0.0055,0.0055,0.0055,1.0000,10000
0.0055,0.0055,2019-06-25,0.0000,0.0055,0.0055,0.0055,1.0000,440
0.0055,0.0055,2019-05-15,0.0000,0.0055,0.0055,0.0055,1.0000,7400
0.0060,0.0060,2019-05-14,0.0000,0.0060,0.0060,0.0060,1.0000,600
0.0190,0.0190,2019-04-26,0.0000,0.0190,0.0190,0.0190,1.0000,4000
0.0290,0.0290,2019-04-23,0.0000,0.0290,0.0290,0.0290,1.0000,3300
0.0100,0.0100,2019-04-22,0.0000,0.0100,0.0100,0.0100,1.0000,12000
0.0100,0.0100,2019-04-11,0.0000,0.0100,0.0100,0.0100,1.0000,1000
0.0055,0.0055,2019-04-10,0.0000,0.0055,0.0055,0.0055,1.0000,750
0.0290,0.0290,2019-04-05,0.0000,0.0290,0.0290,0.0290,1.0000,158
0.0050,0.0050,2019-04-02,0.0000,0.0050,0.0050,0.0050,1.0000,100
0.0290,0.0290,2019-04-01,0.0000,0.0290,0.0290,0.0290,1.0000,800
0.0065,0.0065,2019-02-19,0.0000,0.0065,0.0065,0.0065,1.0000,1000
0.0130,0.0130,2019-02-12,0.0000,0.0130,0.0130,0.0130,1.0000,2130
0.0065,0.0065,2018-11-16,0.0000,0.0065,0.0065,0.0065,1.0000,1000
0.0065,0.0065,2018-11-13,0.0000,0.0150,0.0065,0.0150,1.0000,1433
0.0065,0.0065,2018-11-12,0.0000,0.0150,0.0065,0.0150,1.0000,820
0.0150,0.0150,2018-10-22,0.0000,0.0150,0.0150,0.0150,1.0000,100
0.0150,0.0150,2018-10-16,0.0000,0.0150,0.0150,0.0150,1.0000,140
0.0150,0.0150,2018-10-15,0.0000,0.0150,0.0150,0.0150,1.0000,10000
0.0150,0.0150,2018-10-11,0.0000,0.0150,0.0150,0.0150,1.0000,10000
0.0150,0.0150,2018-10-10,0.0000,0.0150,0.0150,0.0150,1.0000,270
