adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
4.1600,4.1600,2020-05-12,0.0000,4.1600,4.0900,4.0900,1.0000,5063
4.1425,4.1425,2020-05-11,0.0000,4.3000,4.0500,4.3000,1.0000,9870
4.1000,4.1000,2020-05-08,0.0000,4.1000,4.0900,4.0900,1.0000,969
4.0400,4.0400,2020-05-07,0.0000,4.1100,4.0400,4.1100,1.0000,905
4.1300,4.1300,2020-05-06,0.0000,4.1300,4.0700,4.1300,1.0000,1902
4.0900,4.0900,2020-05-05,0.0000,4.0950,4.0300,4.0950,1.0000,1237
4.0550,4.0550,2020-05-04,0.0000,4.0550,4.0100,4.0100,1.0000,1542
4.1200,4.1200,2020-05-01,0.0000,4.1500,4.0600,4.1500,1.0000,1492
4.1400,4.1400,2020-04-30,0.0000,4.2600,4.1400,4.2600,1.0000,867
4.1800,4.1800,2020-04-29,0.0000,4.2500,4.1654,4.1800,1.0000,4467
4.1500,4.1500,2020-04-28,0.0000,4.1900,4.0800,4.1900,1.0000,4107
4.0525,4.0525,2020-04-27,0.0000,4.0700,4.0300,4.0600,1.0000,3897
3.9300,3.9300,2020-04-24,0.0000,4.1300,3.9300,4.1300,1.0000,3486
3.9500,3.9500,2020-04-23,0.0000,4.0500,3.9500,4.0500,1.0000,15582
3.9800,3.9800,2020-04-22,0.0000,4.0300,3.9200,3.9254,1.0000,1820
3.9000,3.9000,2020-04-21,0.0000,4.0000,3.9000,4.0000,1.0000,7826
4.1000,4.1000,2020-04-20,0.0000,4.1550,4.1000,4.1400,1.0000,1928
4.1750,4.1750,2020-04-17,0.0000,4.2850,4.0600,4.2850,1.0000,4250
4.2000,4.2000,2020-04-16,0.0000,4.2000,4.0700,4.1000,1.0000,1915
4.0400,4.0400,2020-04-15,0.0000,4.2000,4.0400,4.2000,1.0000,872
4.2000,4.2000,2020-04-14,0.0000,4.2200,4.2000,4.2000,1.0000,1394
4.0900,4.0900,2020-04-13,0.0000,4.1900,4.0900,4.1150,1.0000,2586
4.2100,4.2100,2020-04-09,0.0000,4.2700,4.2000,4.2000,1.0000,2939
4.1700,4.1700,2020-04-08,0.0000,4.2500,4.0000,4.2500,1.0000,3428
4.1275,4.1275,2020-04-07,0.0000,4.2100,4.1275,4.2100,1.0000,5676
3.9300,3.9300,2020-04-06,0.0000,3.9300,3.8100,3.8400,1.0000,7703
3.5600,3.5600,2020-04-03,0.0000,3.7200,3.5600,3.7200,1.0000,4448
3.7500,3.7500,2020-04-02,0.0000,3.8600,3.7300,3.8600,1.0000,3296
3.7200,3.7200,2020-04-01,0.0000,3.9700,3.7200,3.9700,1.0000,3388
3.9900,3.9900,2020-03-31,0.0000,4.1600,3.9900,3.9900,1.0000,1648
4.0000,4.0000,2020-03-30,0.0000,4.0000,3.8305,3.9050,1.0000,10367
3.9600,3.9600,2020-03-27,0.0000,4.0800,3.9600,4.0400,1.0000,6746
4.1500,4.1500,2020-03-26,0.0000,4.2000,3.7600,3.7600,1.0000,5677
4.0450,4.0450,2020-03-25,0.0000,4.3200,3.7900,3.7900,1.0000,6972
3.8600,3.8600,2020-03-24,0.0000,3.9800,3.7300,3.8600,1.0000,2258
3.5200,3.5200,2020-03-23,0.0000,3.5600,3.3500,3.3500,1.0000,5647
3.8500,3.8500,2020-03-20,0.0000,3.9000,3.6800,3.9000,1.0000,2877
3.6000,3.6000,2020-03-19,0.0000,3.8100,3.5400,3.5680,1.0000,2598
3.6500,3.6500,2020-03-18,0.0000,4.1800,3.6300,3.6860,1.0000,8137
4.1300,4.1300,2020-03-17,0.0000,4.1500,3.8700,3.8700,1.0000,4892
4.0000,4.0000,2020-03-16,0.0000,4.3000,4.0000,4.2440,1.0000,9927
4.3290,4.3290,2020-03-13,0.0000,4.4700,4.3290,4.4700,1.0000,11817
4.2700,4.2700,2020-03-12,0.0000,4.5800,4.1900,4.1900,1.0000,4167
4.7200,4.7200,2020-03-11,0.0000,4.8600,4.7100,4.8600,1.0000,20874
4.9900,4.9900,2020-03-10,0.0000,5.0600,4.8800,4.8800,1.0000,3213
4.9400,4.9400,2020-03-09,0.0000,4.9400,4.7800,4.9000,1.0000,4978
5.2100,5.2100,2020-03-06,0.0000,5.2100,5.1600,5.2000,1.0000,1855
5.3600,5.3600,2020-03-05,0.0000,5.3600,5.3200,5.3200,1.0000,43059
5.2100,5.2100,2020-03-04,0.0000,5.2100,5.2100,5.2100,1.0000,340
5.1850,5.1850,2020-03-03,0.0000,5.2540,5.0400,5.1750,1.0000,1825
5.0750,5.0750,2020-03-02,0.0000,5.0800,5.0000,5.0000,1.0000,1327
4.9690,4.9690,2020-02-28,0.0000,5.0450,4.9500,5.0450,1.0000,4149
5.1800,5.1800,2020-02-27,0.0000,5.1800,5.1200,5.1800,1.0000,1273
