adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
153.6100,153.6100,2020-05-12,0.0000,160.9950,153.5307,159.1000,1.0000,1559038
161.8100,161.8100,2020-05-11,0.0000,162.3600,158.0200,158.7200,1.0000,1123897
161.2900,161.2900,2020-05-08,0.0000,162.0000,158.0300,158.0300,1.0000,895404
155.7200,155.7200,2020-05-07,0.0000,157.9700,154.9100,156.6000,1.0000,977585
153.6500,153.6500,2020-05-06,0.0000,155.3500,152.7900,154.5100,1.0000,730277
153.8300,153.8300,2020-05-05,0.0000,158.5900,153.7600,155.8000,1.0000,783793
153.9600,153.9600,2020-05-04,0.0000,156.6900,152.6200,155.6800,1.0000,955444
157.4300,157.4300,2020-05-01,0.0000,160.0100,154.8300,160.0100,1.0000,1194372
163.5000,163.5000,2020-04-30,0.0000,164.1600,159.1300,159.1600,1.0000,1383199
165.2000,165.2000,2020-04-29,0.0000,168.2400,163.0800,165.8900,1.0000,1502578
161.0800,161.0800,2020-04-28,0.0000,167.5600,159.1200,161.8000,1.0000,2200815
151.4400,151.4400,2020-04-27,0.0000,151.9500,147.5000,148.3300,1.0000,1049060
147.7700,147.7700,2020-04-24,0.0000,147.8150,144.5100,146.8100,1.0000,600879
145.4300,145.4300,2020-04-23,0.0000,148.8800,144.8550,145.5500,1.0000,756956
144.9300,144.9300,2020-04-22,0.0000,146.3500,143.4500,145.4500,1.0000,785378
142.3800,142.3800,2020-04-21,0.0000,144.0500,140.9300,144.0000,1.0000,1480134
146.1000,146.1000,2020-04-20,0.0000,148.2000,145.7000,147.9100,1.0000,1576138
149.1800,149.1800,2020-04-17,0.0000,150.6800,147.2900,149.3000,1.0000,1300998
145.0400,145.0400,2020-04-16,0.0000,146.1800,143.0700,146.0000,1.0000,1253470
145.4600,145.4600,2020-04-15,0.0000,145.5500,142.1100,144.0000,1.0000,1530526
148.1400,148.1400,2020-04-14,0.0000,150.7450,145.3700,149.4000,1.0000,1433886
146.4500,146.4500,2020-04-13,0.0000,150.6900,144.3400,150.0400,1.0000,933835
150.7000,150.7000,2020-04-09,0.0000,154.3000,148.8300,152.5200,1.0000,1133428
149.5600,149.5600,2020-04-08,0.0000,150.5900,144.5300,147.2800,1.0000,1152203
145.8400,145.8400,2020-04-07,0.0000,149.5300,144.0000,147.9100,1.0000,1579300
142.1200,142.1200,2020-04-06,0.0000,144.7400,137.7300,138.6200,1.0000,2084943
132.2700,132.2700,2020-04-03,0.0000,135.0050,129.4600,132.0700,1.0000,1588845
132.7600,132.7600,2020-04-02,0.0000,134.2250,127.6100,128.8900,1.0000,1291921
130.3900,130.3900,2020-04-01,0.0000,131.6600,127.3000,129.7700,1.0000,1160492
135.3200,135.3200,2020-03-31,0.0000,138.4100,131.3900,133.5200,1.0000,1581971
134.4800,134.4800,2020-03-30,0.0000,136.8700,131.2000,132.0000,1.0000,1234131
131.6600,131.6600,2020-03-27,0.0000,135.4400,127.5500,127.5500,1.0000,1267784
134.9600,134.9600,2020-03-26,0.0000,135.8700,125.5873,131.5100,1.0000,1534344
127.7700,127.7700,2020-03-25,0.0000,132.1300,121.8200,126.0500,1.0000,2242372
124.4900,124.4900,2020-03-24,0.0000,124.7700,108.9400,110.9600,1.0000,2491369
