adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
55.5500,55.5500,2020-05-12,0.0000,55.9200,54.9100,55.4200,1.0000,4242829
55.4800,55.4800,2020-05-11,0.0000,55.7000,54.1000,54.9200,1.0000,1947492
55.2900,55.2900,2020-05-08,0.0000,55.5900,54.5600,55.1100,1.0000,1457886
54.5400,54.5400,2020-05-07,0.0000,55.6100,54.4400,55.3200,1.0000,1631264
54.6600,54.6600,2020-05-06,0.0000,57.4800,54.6300,57.1900,1.0000,1535793
57.1600,57.1600,2020-05-05,0.0000,57.7000,56.5100,56.6800,1.0000,1522831
56.7400,56.7400,2020-05-04,0.0000,56.7900,55.4300,55.7300,1.0000,1662237
55.9500,55.9500,2020-05-01,0.0000,56.5800,55.6500,56.5600,1.0000,1956131
57.0900,57.0900,2020-04-30,0.0000,57.3500,55.9700,56.9700,1.0000,2673771
57.2600,57.2600,2020-04-29,0.0000,60.1700,57.1350,60.1700,1.0000,2640563
59.2100,59.2100,2020-04-28,0.0000,59.6000,58.3800,58.7600,1.0000,2908511
58.0000,58.0000,2020-04-27,0.0000,60.0550,57.7700,59.1900,1.0000,2427332
59.4000,59.4000,2020-04-24,0.0000,59.5600,58.3400,59.5600,1.0000,1972558
59.2400,59.2400,2020-04-23,0.0000,60.1800,58.4800,59.7300,1.0000,2049851
59.9900,59.9900,2020-04-22,0.0000,60.5400,58.8000,59.3200,1.0000,2221443
58.4100,58.4100,2020-04-21,0.0000,59.1000,57.9700,58.1200,1.0000,2009543
59.1900,59.1900,2020-04-20,0.0000,62.6600,59.0300,62.4400,1.0000,2123532
63.1700,63.1700,2020-04-17,0.0000,63.3300,61.6700,62.9300,1.0000,1783873
61.8800,61.8800,2020-04-16,0.0000,62.2400,60.1600,61.0200,1.0000,2139721
60.7000,60.7000,2020-04-15,0.0000,63.1200,60.4600,61.3400,1.0000,2063276
62.2700,62.2700,2020-04-14,0.0000,62.5500,61.4200,62.4100,1.0000,1937683
61.1600,61.1600,2020-04-13,0.0000,62.3999,60.6300,61.5900,1.0000,1612574
62.3300,62.3300,2020-04-09,0.0000,64.0800,60.9100,61.0600,1.0000,2400746
60.6400,60.6400,2020-04-08,0.0000,61.1900,57.3300,57.8600,1.0000,1727779
57.3400,57.3400,2020-04-07,0.0000,60.2300,57.3300,60.1700,1.0000,2482484
58.8500,58.8500,2020-04-06,0.0000,59.7500,55.6800,56.4300,1.0000,2366407
54.5500,54.5500,2020-04-03,0.0000,56.7300,54.1700,54.9700,1.0000,2480015
56.8600,56.8600,2020-04-02,0.0000,57.6700,54.7200,54.8100,1.0000,3684822
55.7100,55.7100,2020-04-01,0.0000,57.6300,53.9600,56.6300,1.0000,2527891
58.7500,58.7500,2020-03-31,0.0000,61.7300,58.3200,60.6000,1.0000,4662972
