adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.0457,0.0457,2020-05-12,0.0000,0.0536,0.0457,0.0536,1.0000,5000
0.0582,0.0582,2020-05-11,0.0000,0.0582,0.0455,0.0455,1.0000,12300
0.0500,0.0500,2020-05-08,0.0000,0.0620,0.0500,0.0599,1.0000,5025
0.0589,0.0589,2020-05-07,0.0000,0.0589,0.0589,0.0589,1.0000,25
0.0589,0.0589,2020-05-06,0.0000,0.0590,0.0581,0.0590,1.0000,59250
0.0610,0.0610,2020-05-05,0.0000,0.0610,0.0540,0.0540,1.0000,31957
0.0590,0.0590,2020-05-04,0.0000,0.0590,0.0590,0.0590,1.0000,700
0.0470,0.0470,2020-05-01,0.0000,0.0480,0.0470,0.0480,1.0000,6510
0.0520,0.0520,2020-04-30,0.0000,0.0520,0.0455,0.0455,1.0000,5500
0.0485,0.0485,2020-04-29,0.0000,0.0559,0.0440,0.0440,1.0000,19297
0.0439,0.0439,2020-04-28,0.0000,0.0439,0.0439,0.0439,1.0000,1002
0.0442,0.0442,2020-04-27,0.0000,0.0547,0.0410,0.0537,1.0000,23050
0.0400,0.0400,2020-04-24,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0427,0.0427,2020-04-23,0.0000,0.0618,0.0427,0.0618,1.0000,10604
0.0519,0.0519,2020-04-22,0.0000,0.0551,0.0485,0.0513,1.0000,19620
0.0467,0.0467,2020-04-21,0.0000,0.0467,0.0467,0.0467,1.0000,176
0.0447,0.0447,2020-04-20,0.0000,0.0447,0.0400,0.0401,1.0000,2250
0.0445,0.0445,2020-04-17,0.0000,0.0467,0.0445,0.0453,1.0000,3100
0.0450,0.0450,2020-04-16,0.0000,0.0450,0.0400,0.0400,1.0000,50000
0.0466,0.0466,2020-04-15,0.0000,0.0476,0.0420,0.0445,1.0000,7626
0.0400,0.0400,2020-04-14,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0429,0.0429,2020-04-13,0.0000,0.0429,0.0429,0.0429,1.0000,21
0.0429,0.0429,2020-04-09,0.0000,0.0450,0.0429,0.0450,1.0000,10400
0.0454,0.0454,2020-04-08,0.0000,0.0454,0.0454,0.0454,1.0000,100
0.0479,0.0479,2020-04-07,0.0000,0.0479,0.0449,0.0449,1.0000,9200
0.0464,0.0464,2020-04-06,0.0000,0.0474,0.0410,0.0410,1.0000,11200
0.0400,0.0400,2020-04-03,0.0000,0.0400,0.0400,0.0400,1.0000,1000
0.0400,0.0400,2020-04-02,0.0000,0.0400,0.0400,0.0400,1.0000,3000
0.0410,0.0410,2020-04-01,0.0000,0.0415,0.0400,0.0400,1.0000,18000
0.0430,0.0430,2020-03-31,0.0000,0.0463,0.0400,0.0400,1.0000,16354
0.0425,0.0425,2020-03-30,0.0000,0.0425,0.0425,0.0425,1.0000,40086
0.0445,0.0445,2020-03-27,0.0000,0.0445,0.0445,0.0445,1.0000,2000
0.0465,0.0465,2020-03-26,0.0000,0.0480,0.0400,0.0466,1.0000,40646
0.0390,0.0390,2020-03-25,0.0000,0.0459,0.0390,0.0450,1.0000,70901
0.0437,0.0437,2020-03-24,0.0000,0.0440,0.0400,0.0400,1.0000,21009
0.0260,0.0260,2020-03-23,0.0000,0.0260,0.0260,0.0260,1.0000,2500
0.0416,0.0416,2020-03-20,0.0000,0.0416,0.0416,0.0416,1.0000,5000
0.0400,0.0400,2020-03-19,0.0000,0.0403,0.0400,0.0403,1.0000,20500
0.0440,0.0440,2020-03-18,0.0000,0.0440,0.0440,0.0440,1.0000,5696
0.0450,0.0450,2020-03-17,0.0000,0.0450,0.0450,0.0450,1.0000,500
0.0500,0.0500,2020-03-16,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0450,0.0450,2020-03-13,0.0000,0.0539,0.0450,0.0450,1.0000,15085
0.0450,0.0450,2020-03-12,0.0000,0.0450,0.0450,0.0450,1.0000,10000
