adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.0489,0.0489,2020-05-12,0.0000,0.0489,0.0489,0.0489,1.0000,225
0.0504,0.0504,2020-05-11,0.0000,0.0504,0.0504,0.0504,1.0000,417
0.0516,0.0516,2020-05-08,0.0000,0.0552,0.0516,0.0552,1.0000,3039
0.0410,0.0410,2020-05-06,0.0000,0.0410,0.0410,0.0410,1.0000,1682
0.0414,0.0414,2020-05-05,0.0000,0.0414,0.0414,0.0414,1.0000,416
0.0300,0.0300,2020-04-30,0.0000,0.0300,0.0300,0.0300,1.0000,312
0.0200,0.0200,2020-04-28,0.0000,0.0200,0.0200,0.0200,1.0000,833
0.0235,0.0235,2020-04-27,0.0000,0.0235,0.0235,0.0235,1.0000,847
0.0432,0.0432,2020-04-24,0.0000,0.0432,0.0431,0.0431,1.0000,1378
0.0480,0.0480,2020-04-20,0.0000,0.0480,0.0400,0.0413,1.0000,21287
0.0413,0.0413,2020-04-17,0.0000,0.0424,0.0413,0.0424,1.0000,4068
0.0457,0.0457,2020-04-16,0.0000,0.0457,0.0456,0.0456,1.0000,11117
0.0528,0.0528,2020-04-15,0.0000,0.0528,0.0528,0.0528,1.0000,9000
0.0515,0.0515,2020-04-13,0.0000,0.0515,0.0515,0.0515,1.0000,41
0.0515,0.0515,2020-04-09,0.0000,0.0515,0.0515,0.0515,1.0000,203
0.0530,0.0530,2020-04-08,0.0000,0.0531,0.0525,0.0531,1.0000,894
0.0624,0.0624,2020-04-07,0.0000,0.0624,0.0439,0.0439,1.0000,1105
0.0600,0.0600,2020-04-06,0.0000,0.0676,0.0600,0.0676,1.0000,2203
0.0676,0.0676,2020-04-03,0.0000,0.0769,0.0675,0.0769,1.0000,13000
0.0500,0.0500,2020-04-02,0.0000,0.0515,0.0420,0.0471,1.0000,3623
0.0645,0.0645,2019-11-27,0.0000,0.0789,0.0632,0.0728,1.0000,98033
0.0689,0.0689,2019-11-26,0.0000,0.0802,0.0683,0.0749,1.0000,132545
0.0750,0.0750,2019-11-25,0.0000,0.0855,0.0668,0.0700,1.0000,294716
0.0850,0.0850,2019-11-22,0.0000,0.1029,0.0842,0.0943,1.0000,461835
0.1042,0.1042,2019-11-21,0.0000,0.1155,0.0890,0.1155,1.0000,351809
0.1147,0.1147,2019-11-20,0.0000,0.1288,0.1050,0.1050,1.0000,203278
0.1186,0.1186,2019-11-19,0.0000,0.1284,0.1122,0.1230,1.0000,81211
0.1200,0.1200,2019-11-18,0.0000,0.1387,0.1200,0.1387,1.0000,72943
0.1325,0.1325,2019-11-15,0.0000,0.1450,0.1225,0.1341,1.0000,99296
0.1341,0.1341,2019-11-14,0.0000,0.1446,0.1293,0.1445,1.0000,172336
0.1432,0.1432,2019-11-13,0.0000,0.1469,0.1338,0.1400,1.0000,227566
0.1350,0.1350,2019-11-12,0.0000,0.1500,0.1350,0.1434,1.0000,49839
0.1350,0.1350,2019-11-11,0.0000,0.1434,0.1250,0.1400,1.0000,45887
0.1389,0.1389,2019-11-08,0.0000,0.1389,0.1299,0.1324,1.0000,36901
0.1301,0.1301,2019-11-07,0.0000,0.1390,0.1280,0.1350,1.0000,300069
0.1339,0.1339,2019-11-06,0.0000,0.1343,0.1208,0.1330,1.0000,127293
0.1345,0.1345,2019-11-05,0.0000,0.1350,0.1201,0.1307,1.0000,191852
0.1325,0.1325,2019-11-04,0.0000,0.1385,0.1300,0.1333,1.0000,109229
0.1250,0.1250,2019-11-01,0.0000,0.1401,0.1200,0.1401,1.0000,354527
0.1383,0.1383,2019-10-31,0.0000,0.1441,0.1294,0.1350,1.0000,84644
0.1270,0.1270,2019-10-30,0.0000,0.1400,0.1270,0.1339,1.0000,156560
0.1230,0.1230,2019-10-29,0.0000,0.1400,0.1200,0.1400,1.0000,26349
0.1188,0.1188,2019-10-28,0.0000,0.1260,0.1150,0.1260,1.0000,9557
0.1200,0.1200,2019-10-25,0.0000,0.1300,0.1170,0.1290,1.0000,34909
0.1300,0.1300,2019-10-24,0.0000,0.1399,0.1240,0.1389,1.0000,18715
0.1378,0.1378,2019-10-23,0.0000,0.1378,0.1259,0.1259,1.0000,7799
0.1136,0.1136,2019-10-22,0.0000,0.1516,0.1136,0.1338,1.0000,24043
0.1400,0.1400,2019-10-21,0.0000,0.1400,0.1400,0.1400,1.0000,500
0.1400,0.1400,2019-10-18,0.0000,0.1400,0.1331,0.1331,1.0000,12860
0.1343,0.1343,2019-10-17,0.0000,0.1400,0.1183,0.1400,1.0000,48450
0.1338,0.1338,2019-10-16,0.0000,0.1430,0.1266,0.1266,1.0000,18055
0.1353,0.1353,2019-10-15,0.0000,0.1527,0.1208,0.1441,1.0000,32712
0.1717,0.1717,2019-10-14,0.0000,0.1717,0.1136,0.1136,1.0000,1053
0.1201,0.1201,2019-10-11,0.0000,0.1404,0.1201,0.1221,1.0000,6951
0.1256,0.1256,2019-10-10,0.0000,0.1500,0.1254,0.1439,1.0000,35761
0.1432,0.1432,2019-10-09,0.0000,0.1618,0.1410,0.1588,1.0000,117295
0.1627,0.1627,2019-10-08,0.0000,0.1673,0.1519,0.1618,1.0000,23258
0.1621,0.1621,2019-10-07,0.0000,0.1816,0.1586,0.1816,1.0000,40690
0.1698,0.1698,2019-10-04,0.0000,0.1708,0.1516,0.1546,1.0000,116914
0.1427,0.1427,2019-10-03,0.0000,0.1515,0.1333,0.1400,1.0000,63777
0.1400,0.1400,2019-10-02,0.0000,0.1479,0.1037,0.1263,1.0000,35436
0.1300,0.1300,2019-10-01,0.0000,0.1557,0.1256,0.1492,1.0000,80787
0.1492,0.1492,2019-09-30,0.0000,0.1957,0.1281,0.1472,1.0000,105568
0.2020,0.2020,2019-09-27,0.0000,0.2305,0.1800,0.2300,1.0000,31950
0.2240,0.2240,2019-09-26,0.0000,0.2503,0.2199,0.2474,1.0000,35623
0.2295,0.2295,2019-09-25,0.0000,0.2300,0.2128,0.2235,1.0000,143764
0.2418,0.2418,2019-09-24,0.0000,0.2624,0.2301,0.2609,1.0000,65259
0.2632,0.2632,2019-09-23,0.0000,0.3010,0.2468,0.2782,1.0000,23034
0.2500,0.2500,2019-09-20,0.0000,0.2900,0.2500,0.2783,1.0000,44074
0.2682,0.2682,2019-09-19,0.0000,0.2964,0.2589,0.2695,1.0000,69930
0.2614,0.2614,2019-09-18,0.0000,0.2900,0.2600,0.2794,1.0000,90230
0.2662,0.2662,2019-09-17,0.0000,0.2880,0.2646,0.2880,1.0000,23542
0.2700,0.2700,2019-09-16,0.0000,0.2998,0.2616,0.2924,1.0000,43697
0.2898,0.2898,2019-09-13,0.0000,0.3108,0.2800,0.2927,1.0000,55866
0.2774,0.2774,2019-09-12,0.0000,0.3200,0.2600,0.3200,1.0000,67802
0.2937,0.2937,2019-09-11,0.0000,0.3100,0.2748,0.2870,1.0000,36119
0.2800,0.2800,2019-09-10,0.0000,0.2834,0.2600,0.2660,1.0000,45320
0.2641,0.2641,2019-09-09,0.0000,0.3125,0.2550,0.3125,1.0000,23945
0.2485,0.2485,2019-09-06,0.0000,0.2670,0.2350,0.2577,1.0000,46611
0.2444,0.2444,2019-09-05,0.0000,0.2950,0.2444,0.2950,1.0000,38535
0.2349,0.2349,2019-09-04,0.0000,0.2745,0.2225,0.2400,1.0000,29079
0.2402,0.2402,2019-09-03,0.0000,0.2756,0.2400,0.2618,1.0000,56160
0.2587,0.2587,2019-08-30,0.0000,0.2780,0.2500,0.2780,1.0000,17230
0.2780,0.2780,2019-08-29,0.0000,0.2780,0.2396,0.2671,1.0000,12769
0.2780,0.2780,2019-08-28,0.0000,0.2780,0.2464,0.2500,1.0000,6511
0.2400,0.2400,2019-08-27,0.0000,0.3735,0.2374,0.3735,1.0000,30062
0.2580,0.2580,2019-08-26,0.0000,0.2889,0.2580,0.2770,1.0000,16343
0.2744,0.2744,2019-08-23,0.0000,0.2872,0.2500,0.2552,1.0000,69295
0.2559,0.2559,2019-08-22,0.0000,0.4500,0.2475,0.2615,1.0000,38438
0.2538,0.2538,2019-08-21,0.0000,0.3175,0.2432,0.3175,1.0000,28868
0.2592,0.2592,2019-08-20,0.0000,0.2737,0.2381,0.2698,1.0000,53209
0.2683,0.2683,2019-08-19,0.0000,0.2949,0.2607,0.2768,1.0000,21584
0.2799,0.2799,2019-08-16,0.0000,0.3500,0.2690,0.3500,1.0000,26446
0.2491,0.2491,2019-08-15,0.0000,0.2800,0.2439,0.2800,1.0000,14568
0.2799,0.2799,2019-08-14,0.0000,0.2800,0.1595,0.2707,1.0000,71658
0.2715,0.2715,2019-08-13,0.0000,0.3400,0.2592,0.2900,1.0000,69775
0.2760,0.2760,2019-08-12,0.0000,0.5385,0.2760,0.5385,1.0000,153414
0.3097,0.3097,2019-08-09,0.0000,0.3500,0.2984,0.3050,1.0000,26547
0.3096,0.3096,2019-08-08,0.0000,0.3108,0.2906,0.3100,1.0000,135202
0.2928,0.2928,2019-08-07,0.0000,0.3220,0.2736,0.2954,1.0000,39197
0.3000,0.3000,2019-08-06,0.0000,0.4200,0.2949,0.3081,1.0000,48969
0.3845,0.3845,2019-08-05,0.0000,0.4000,0.3355,0.3500,1.0000,70535
0.2964,0.2964,2019-08-02,0.0000,0.3000,0.2762,0.2850,1.0000,25890
0.3000,0.3000,2019-08-01,0.0000,0.3200,0.1563,0.3102,1.0000,27323
0.3100,0.3100,2019-07-31,0.0000,0.4200,0.3000,0.3201,1.0000,46475
0.3050,0.3050,2019-07-30,0.0000,0.3500,0.3050,0.3283,1.0000,80390
0.3288,0.3288,2019-07-29,0.0000,0.4500,0.3114,0.3300,1.0000,56348
0.3095,0.3095,2019-07-26,0.0000,0.5975,0.3000,0.5975,1.0000,61925
0.3172,0.3172,2019-07-25,0.0000,0.4440,0.3172,0.3259,1.0000,31053
0.3300,0.3300,2019-07-24,0.0000,0.3410,0.3195,0.3371,1.0000,33624
0.3254,0.3254,2019-07-23,0.0000,0.3600,0.3200,0.3500,1.0000,24729
0.3200,0.3200,2019-07-22,0.0000,0.3473,0.3200,0.3344,1.0000,12050
0.3198,0.3198,2019-07-19,0.0000,0.4805,0.3198,0.3400,1.0000,84137
0.3315,0.3315,2019-07-18,0.0000,0.5000,0.3246,0.3246,1.0000,35125
0.3000,0.3000,2019-07-17,0.0000,0.3464,0.0401,0.0401,1.0000,12464
0.3000,0.3000,2019-07-16,0.0000,0.5090,0.3000,0.3878,1.0000,23171
0.3883,0.3883,2019-07-15,0.0000,0.3883,0.0101,0.3819,1.0000,2750
0.3817,0.3817,2019-07-12,0.0000,0.4025,0.3722,0.4025,1.0000,22450
0.3850,0.3850,2019-07-11,0.0000,0.4086,0.3850,0.4030,1.0000,6261
0.4074,0.4074,2019-07-10,0.0000,0.4162,0.3868,0.3941,1.0000,25100
0.4000,0.4000,2019-07-09,0.0000,0.4380,0.3862,0.4380,1.0000,19856
0.4507,0.4507,2019-07-08,0.0000,0.4553,0.4300,0.4553,1.0000,5400
0.4416,0.4416,2019-07-05,0.0000,0.4607,0.4200,0.4607,1.0000,13561
0.4600,0.4600,2019-07-03,0.0000,0.4704,0.4554,0.4554,1.0000,5445
0.4621,0.4621,2019-07-02,0.0000,0.4859,0.4615,0.4746,1.0000,63740
0.5200,0.5200,2019-07-01,0.0000,0.5200,0.5200,0.5200,1.0000,14700
0.4602,0.4602,2019-06-28,0.0000,0.4610,0.4545,0.4545,1.0000,35385
0.4401,0.4401,2019-06-27,0.0000,0.5200,0.4200,0.4292,1.0000,31014
0.4300,0.4300,2019-06-26,0.0000,0.4400,0.4300,0.4400,1.0000,7875
0.4445,0.4445,2019-06-25,0.0000,0.4459,0.4234,0.4309,1.0000,21680
0.4500,0.4500,2019-06-24,0.0000,0.4869,0.4412,0.4869,1.0000,23450
0.4900,0.4900,2019-06-21,0.0000,0.4961,0.4638,0.4668,1.0000,19648
0.4569,0.4569,2019-06-20,0.0000,0.5000,0.4528,0.4665,1.0000,62233
0.4270,0.4270,2019-06-19,0.0000,0.4270,0.3786,0.3837,1.0000,11137
0.3906,0.3906,2019-06-18,0.0000,0.6900,0.3362,0.3362,1.0000,7125
0.3347,0.3347,2019-06-17,0.0000,0.3571,0.3233,0.3237,1.0000,10000
