adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
11.0000,11.0000,2020-05-12,0.0000,11.7950,11.0000,11.6800,1.0000,1297503
11.6500,11.6500,2020-05-11,0.0000,12.1200,11.3100,12.0000,1.0000,1616979
12.3300,12.3300,2020-05-08,0.0000,12.4200,11.1300,11.2500,1.0000,1422432
11.0000,11.0000,2020-05-07,0.0000,12.0500,10.9000,11.8600,1.0000,1255703
11.5400,11.5400,2020-05-06,0.0000,11.9800,11.0700,11.8500,1.0000,1349421
11.8100,11.8100,2020-05-05,0.0000,12.2900,11.7342,11.9000,1.0000,838168
11.7200,11.7200,2020-05-04,0.0000,12.1400,11.5500,11.8700,1.0000,1186615
12.1600,12.1600,2020-05-01,0.0000,12.7200,11.8000,12.6000,1.0000,1318288
13.1200,13.1200,2020-04-30,0.0000,13.2550,12.5600,12.7400,1.0000,1392593
13.2100,13.2100,2020-04-29,0.0000,13.4900,12.9100,13.0000,1.0000,1373007
12.5000,12.5000,2020-04-28,0.0000,12.5850,11.9400,12.3500,1.0000,966827
11.8400,11.8400,2020-04-27,0.0000,12.0300,11.2200,11.2900,1.0000,931768
11.1600,11.1600,2020-04-24,0.0000,11.2899,10.8200,11.0800,1.0000,596687
10.9300,10.9300,2020-04-23,0.0000,11.4400,10.8500,11.1000,1.0000,815541
11.1000,11.1000,2020-04-22,0.0000,11.4900,11.0400,11.3900,1.0000,597226
11.1000,11.1000,2020-04-21,0.0000,11.7100,10.9300,11.0300,1.0000,852190
11.4200,11.4200,2020-04-20,0.0000,12.0800,11.2300,11.3500,1.0000,765419
11.6400,11.6400,2020-04-17,0.0000,12.2500,11.4000,11.8200,1.0000,1058725
11.3900,11.3900,2020-04-16,0.0000,11.9900,11.2700,11.8500,1.0000,956880
11.9600,11.9600,2020-04-15,0.0000,12.1500,11.4603,11.9200,1.0000,1080878
12.4800,12.4800,2020-04-14,0.0000,12.8399,12.1200,12.5600,1.0000,1095788
12.0200,12.0200,2020-04-13,0.0000,12.1100,11.2800,11.5000,1.0000,1316084
11.2600,11.2600,2020-04-09,0.0000,11.4400,10.7900,10.8700,1.0000,1396608
10.3400,10.3400,2020-04-08,0.0000,10.5300,9.4700,9.8000,1.0000,1190399
9.4800,9.4800,2020-04-07,0.0000,10.4400,9.4000,10.2000,1.0000,1469881
9.6000,9.6000,2020-04-06,0.0000,9.9800,9.3100,9.4400,1.0000,1124045
8.9800,8.9800,2020-04-03,0.0000,9.7600,8.5500,9.7500,1.0000,1438538
9.7800,9.7800,2020-04-02,0.0000,10.2000,9.5500,10.0900,1.0000,1081981
10.0800,10.0800,2020-04-01,0.0000,10.7600,10.0000,10.5000,1.0000,1097504
11.1700,11.1700,2020-03-31,0.4400,11.6500,10.5000,11.6000,1.0000,1654608
11.5067,11.9600,2020-03-30,0.0000,12.0000,11.1500,11.5100,1.0000,1323740
10.9872,11.4200,2020-03-27,0.0000,11.9300,10.0300,10.5800,1.0000,1172579
10.7274,11.1500,2020-03-26,0.0000,11.6800,10.1900,10.5000,1.0000,1568072
9.8808,10.2700,2020-03-25,0.0000,11.4800,9.9200,10.1300,1.0000,1555780
9.7461,10.1300,2020-03-24,0.0000,10.1600,9.2200,9.3600,1.0000,1276367
8.3991,8.7300,2020-03-23,0.0000,10.0000,8.6100,9.9700,1.0000,1904897
9.5248,9.9000,2020-03-20,0.0000,10.6850,9.6200,10.2400,1.0000,2383480
9.5922,9.9700,2020-03-19,0.0000,10.0500,8.3300,9.0700,1.0000,2433333
8.7936,9.1400,2020-03-18,0.0000,11.3400,9.1200,10.9700,1.0000,2199721
11.3720,11.8200,2020-03-17,0.0000,11.8200,10.5100,10.9900,1.0000,2664814
10.1598,10.5600,2020-03-16,0.0000,12.0000,10.5200,11.5000,1.0000,1891365
11.6414,12.1000,2020-03-13,0.0000,12.1000,10.7500,11.9200,1.0000,1951688
10.4196,10.8300,2020-03-12,0.0000,12.1800,10.5100,12.1700,1.0000,2752533
12.7286,13.2300,2020-03-11,0.0000,14.5300,12.9500,14.2600,1.0000,1938666
14.1429,14.7000,2020-03-10,0.0000,15.6109,13.9200,15.4100,1.0000,1796837
14.2391,14.8000,2020-03-09,0.0000,15.6900,14.5800,14.9900,1.0000,1494546
15.5476,16.1600,2020-03-06,0.0000,16.3900,15.5900,15.9200,1.0000,1363777
15.7207,16.3400,2020-03-05,0.0000,16.5500,16.0000,16.1200,1.0000,1068540
15.9132,16.5400,2020-03-04,0.0000,16.5700,15.7200,16.0100,1.0000,1280434
15.1146,15.7100,2020-03-03,0.0000,16.5000,15.4800,16.2200,1.0000,1274207
15.4706,16.0800,2020-03-02,0.0000,16.0900,14.9100,14.9600,1.0000,1778665
14.2487,14.8100,2020-02-28,0.0000,15.5500,14.5200,15.5000,1.0000,2621431
15.1627,15.7600,2020-02-27,0.0000,16.3600,15.4600,15.8800,1.0000,1331428
15.5187,16.1300,2020-02-26,0.0000,16.5800,15.6200,15.9100,1.0000,1071081
15.2493,15.8500,2020-02-25,0.0000,16.8900,15.8000,16.8600,1.0000,1501062
16.2018,16.8400,2020-02-24,0.0000,17.1400,16.8200,17.1100,1.0000,932756
16.7406,17.4000,2020-02-21,0.0000,17.6774,17.1500,17.2200,1.0000,949807
16.5578,17.2100,2020-02-20,0.0000,17.2400,16.7500,16.7500,1.0000,753996
16.1248,16.7600,2020-02-19,0.0000,17.1550,16.7500,16.9500,1.0000,611259
16.3076,16.9500,2020-02-18,0.0000,16.9600,16.6500,16.8500,1.0000,634147
16.2114,16.8500,2020-02-14,0.0000,17.1500,16.6600,17.0000,1.0000,729859
16.2595,16.9000,2020-02-13,0.0000,17.3200,16.4800,17.2500,1.0000,1769953
16.7309,17.3900,2020-02-12,0.0000,17.9000,17.1400,17.1700,1.0000,2530623
16.3076,16.9500,2020-02-11,0.0000,17.0000,16.7900,16.8400,1.0000,933761
16.1441,16.7800,2020-02-10,0.0000,16.8500,16.5800,16.7100,1.0000,839810
15.9613,16.5900,2020-02-07,0.0000,16.9004,16.5600,16.8400,1.0000,586329
16.2018,16.8400,2020-02-06,0.0000,16.9800,16.7700,16.9100,1.0000,644945
16.1825,16.8200,2020-02-05,0.0000,17.0500,16.5000,16.5900,1.0000,1134618
15.7592,16.3800,2020-02-04,0.0000,16.6500,16.0200,16.1500,1.0000,1911759
15.4417,16.0500,2020-02-03,0.0000,16.2100,15.8500,16.0000,1.0000,875739
15.3455,15.9500,2020-01-31,0.0000,16.3919,15.8500,16.3500,1.0000,960316
15.7977,16.4200,2020-01-30,0.0000,16.4500,16.2700,16.3700,1.0000,526219
15.7977,16.4200,2020-01-29,0.0000,16.8400,16.3950,16.6100,1.0000,919584
15.9324,16.5600,2020-01-28,0.0000,16.6550,16.2200,16.2200,1.0000,894828
15.6053,16.2200,2020-01-27,0.0000,16.3674,15.9900,16.0500,1.0000,598804
15.6149,16.2300,2020-01-24,0.0000,16.3900,16.0500,16.3100,1.0000,718054
15.7111,16.3300,2020-01-23,0.0000,16.3700,15.8950,16.1200,1.0000,690393
15.5283,16.1400,2020-01-22,0.0000,16.3050,16.0650,16.2100,1.0000,594856
15.5764,16.1900,2020-01-21,0.0000,16.3400,16.0000,16.2000,1.0000,776908
15.5860,16.2000,2020-01-17,0.0000,16.7900,16.1700,16.7100,1.0000,965308
15.9709,16.6000,2020-01-16,0.0000,16.9000,16.4900,16.5300,1.0000,791819
15.8073,16.4300,2020-01-15,0.0000,16.6200,16.3000,16.3700,1.0000,1254463
15.6245,16.2400,2020-01-14,0.0000,16.2700,15.7300,15.8700,1.0000,1154731
15.2782,15.8800,2020-01-13,0.0000,16.0500,15.6100,15.6400,1.0000,637674
15.0088,15.6000,2020-01-10,0.0000,15.8000,15.2900,15.5500,1.0000,975369
14.9703,15.5600,2020-01-09,0.0000,16.0905,15.5000,15.9900,1.0000,1405259
15.3744,15.9800,2020-01-08,0.0000,16.2700,15.8600,15.8900,1.0000,1673463
15.4129,16.0200,2020-01-07,0.0000,16.1850,15.6900,16.0000,1.0000,1006287
15.4802,16.0900,2020-01-06,0.0000,16.3100,15.8140,16.0000,1.0000,992565
15.5091,16.1200,2020-01-03,0.4400,16.8900,16.0900,16.8500,1.0000,1555489
16.1740,17.2700,2020-01-02,0.0000,17.6100,17.0849,17.5600,1.0000,1558633
16.2770,17.3800,2019-12-31,0.0000,17.5400,17.2700,17.3000,1.0000,1177674
16.2489,17.3500,2019-12-30,0.0000,17.6000,17.1700,17.5400,1.0000,838770
16.4082,17.5200,2019-12-27,0.0000,17.8400,17.4000,17.7500,1.0000,928118
16.5393,17.6600,2019-12-26,0.0000,17.6750,17.4300,17.4300,1.0000,564044
16.2396,17.3400,2019-12-24,0.0000,17.5200,17.3150,17.3900,1.0000,359124
16.2208,17.3200,2019-12-23,0.0000,17.7100,17.1600,17.5500,1.0000,1237844
16.3332,17.4400,2019-12-20,0.0000,17.5700,17.1000,17.2300,1.0000,3124571
15.9961,17.0800,2019-12-19,0.0000,17.3660,17.0350,17.0600,1.0000,937321
15.9586,17.0400,2019-12-18,0.0000,17.5000,16.8200,16.8200,1.0000,1468915
15.6589,16.7200,2019-12-17,0.0000,16.7800,16.1000,16.1200,1.0000,1814298
15.0221,16.0400,2019-12-16,0.0000,16.5000,15.9600,16.0100,1.0000,1694784
14.9097,15.9200,2019-12-13,0.0000,15.9300,15.3400,15.4000,1.0000,1368791
14.3665,15.3400,2019-12-12,0.0000,15.4800,15.1300,15.1300,1.0000,1130522
14.1324,15.0900,2019-12-11,0.0000,15.4000,15.0450,15.3600,1.0000,873410
14.2916,15.2600,2019-12-10,0.0000,15.5150,15.1700,15.4000,1.0000,1583652
14.3946,15.3700,2019-12-09,0.0000,15.3800,15.0700,15.1100,1.0000,1744164
14.0949,15.0500,2019-12-06,0.0000,15.2400,14.8200,14.8200,1.0000,1564784
