adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
12.0100,12.0100,2020-05-12,0.0000,13.2800,11.9400,13.1100,1.0000,809613
13.0400,13.0400,2020-05-11,0.0000,13.4800,10.5600,10.6600,1.0000,1319940
10.5600,10.5600,2020-05-08,0.0000,10.7698,9.4500,9.8500,1.0000,502448
9.4400,9.4400,2020-05-07,0.0000,9.7100,8.7150,8.8600,1.0000,408247
8.7500,8.7500,2020-05-06,0.0000,9.3300,8.2407,8.4600,1.0000,368865
8.4700,8.4700,2020-05-05,0.0000,8.5900,7.4800,7.5700,1.0000,340585
7.4900,7.4900,2020-05-04,0.0000,7.4900,6.7600,6.8600,1.0000,194083
7.2200,7.2200,2020-05-01,0.0000,7.6400,7.0300,7.3500,1.0000,261788
7.4400,7.4400,2020-04-30,0.0000,8.4000,7.4300,8.4000,1.0000,365437
8.1500,8.1500,2020-04-29,0.0000,8.3600,8.0400,8.3600,1.0000,273478
7.9900,7.9900,2020-04-28,0.0000,8.2000,7.7700,8.1700,1.0000,405281
7.9400,7.9400,2020-04-27,0.0000,8.5100,7.9100,8.2600,1.0000,227242
8.0500,8.0500,2020-04-24,0.0000,8.1000,7.4700,7.6400,1.0000,306887
7.5800,7.5800,2020-04-23,0.0000,7.8800,7.4700,7.5100,1.0000,147651
7.4900,7.4900,2020-04-22,0.0000,8.1200,7.4600,8.1200,1.0000,92718
7.8300,7.8300,2020-04-21,0.0000,8.1900,7.6200,7.6700,1.0000,343221
7.7700,7.7700,2020-04-20,0.0000,8.3598,7.7600,8.0800,1.0000,349964
8.1800,8.1800,2020-04-17,0.0000,8.1900,7.8700,8.0000,1.0000,255315
7.8200,7.8200,2020-04-16,0.0000,8.3400,7.5500,8.1100,1.0000,267411
8.1000,8.1000,2020-04-15,0.0000,8.5000,7.6500,8.1500,1.0000,322731
8.4500,8.4500,2020-04-14,0.0000,8.6600,8.0200,8.2000,1.0000,394725
7.9800,7.9800,2020-04-13,0.0000,8.0100,7.5300,7.6800,1.0000,269770
7.7200,7.7200,2020-04-09,0.0000,7.7500,7.1700,7.3500,1.0000,202285
7.1600,7.1600,2020-04-08,0.0000,7.2100,6.7700,6.8900,1.0000,211197
6.7200,6.7200,2020-04-07,0.0000,7.2075,6.7100,7.0800,1.0000,312791
6.8600,6.8600,2020-04-06,0.0000,6.9200,5.8700,5.8800,1.0000,334547
5.5900,5.5900,2020-04-03,0.0000,5.7100,5.2950,5.4100,1.0000,228763
5.4000,5.4000,2020-04-02,0.0000,5.8500,5.2800,5.8500,1.0000,611579
5.9000,5.9000,2020-04-01,0.0000,6.5900,5.8500,6.5300,1.0000,258270
6.8000,6.8000,2020-03-31,0.0000,7.0800,6.5400,6.8100,1.0000,304001
6.7400,6.7400,2020-03-30,0.0000,7.0900,6.5400,7.0400,1.0000,199412
6.9800,6.9800,2020-03-27,0.0000,7.2500,6.9100,6.9800,1.0000,168543
7.3200,7.3200,2020-03-26,0.0000,7.3800,6.8950,6.9700,1.0000,228987
6.8800,6.8800,2020-03-25,0.0000,7.3100,6.5000,6.5500,1.0000,385159
6.5900,6.5900,2020-03-24,0.0000,6.6800,5.9600,6.1300,1.0000,453892
5.8900,5.8900,2020-03-23,0.0000,6.1000,5.2800,5.7700,1.0000,328077
5.5900,5.5900,2020-03-20,0.0000,6.0000,5.2300,5.8100,1.0000,374236
5.7000,5.7000,2020-03-19,0.0000,6.7400,5.0932,5.1600,1.0000,255684
5.1300,5.1300,2020-03-18,0.0000,5.9500,4.8150,5.4800,1.0000,349481
5.3800,5.3800,2020-03-17,0.0000,5.5200,4.8000,4.9100,1.0000,497968
4.9100,4.9100,2020-03-16,0.0000,5.2600,4.5500,5.2600,1.0000,750742
5.9100,5.9100,2020-03-13,0.0000,7.1500,5.6600,5.7100,1.0000,664552
5.6000,5.6000,2020-03-12,0.0000,6.4300,5.5500,6.2500,1.0000,269370
6.8100,6.8100,2020-03-11,0.0000,7.5000,6.5500,7.2600,1.0000,401859
7.4600,7.4600,2020-03-10,0.0000,7.9000,7.0200,7.8500,1.0000,453029
7.5700,7.5700,2020-03-09,0.0000,8.2700,7.5500,7.9400,1.0000,307303
8.4500,8.4500,2020-03-06,0.0000,8.7000,8.2000,8.4100,1.0000,292174
8.6000,8.6000,2020-03-05,0.0000,9.2800,8.3500,9.0100,1.0000,466313
9.1000,9.1000,2020-03-04,0.0000,9.7500,9.0700,9.4000,1.0000,427234
9.2700,9.2700,2020-03-03,0.0000,9.8000,9.1000,9.5200,1.0000,433138
9.5300,9.5300,2020-03-02,0.0000,9.7300,9.2400,9.5200,1.0000,952241
9.4900,9.4900,2020-02-28,0.0000,9.8331,9.0600,9.5500,1.0000,1016186
9.9600,9.9600,2020-02-27,0.0000,10.6900,9.5000,9.9100,1.0000,265478
10.0700,10.0700,2020-02-26,0.0000,10.9200,10.0000,10.0800,1.0000,361738
10.0800,10.0800,2020-02-25,0.0000,11.6100,9.6600,11.2600,1.0000,741792
11.2800,11.2800,2020-02-24,0.0000,11.7900,11.1500,11.6200,1.0000,317131
11.8200,11.8200,2020-02-21,0.0000,12.0000,11.5800,11.7500,1.0000,324840
11.7300,11.7300,2020-02-20,0.0000,11.9000,11.3600,11.8900,1.0000,227301
11.8900,11.8900,2020-02-19,0.0000,11.9600,11.6700,11.7900,1.0000,428750
11.8000,11.8000,2020-02-18,0.0000,11.9800,11.4200,11.4300,1.0000,452218
11.4300,11.4300,2020-02-14,0.0000,12.1500,11.3600,11.9000,1.0000,1073504
11.9200,11.9200,2020-02-13,0.0000,11.9800,11.7800,11.9300,1.0000,178233
11.9600,11.9600,2020-02-12,0.0000,12.2000,11.8400,12.0500,1.0000,125286
11.9900,11.9900,2020-02-11,0.0000,12.3400,11.8900,11.9600,1.0000,190987
11.9400,11.9400,2020-02-10,0.0000,12.0300,11.7600,11.7800,1.0000,107513
11.8300,11.8300,2020-02-07,0.0000,12.2700,11.7100,12.0300,1.0000,132940
12.1100,12.1100,2020-02-06,0.0000,12.4800,11.9200,12.2500,1.0000,265583
12.1900,12.1900,2020-02-05,0.0000,12.8350,12.1400,12.2900,1.0000,373011
12.2000,12.2000,2020-02-04,0.0000,12.3900,11.8500,12.3400,1.0000,835615
12.1700,12.1700,2020-02-03,0.0000,12.5721,12.0500,12.3000,1.0000,339367
12.3600,12.3600,2020-01-31,0.0000,12.7700,12.2500,12.5300,1.0000,276289
12.2500,12.2500,2020-01-30,0.0000,12.6700,11.9400,12.2900,1.0000,188677
12.4500,12.4500,2020-01-29,0.0000,12.8700,12.4400,12.6800,1.0000,302675
12.6800,12.6800,2020-01-28,0.0000,13.1900,12.6700,13.0000,1.0000,442864
12.9100,12.9100,2020-01-27,0.0000,13.1800,12.8300,13.1000,1.0000,159087
13.3000,13.3000,2020-01-24,0.0000,13.9400,13.2900,13.9400,1.0000,129402
13.8900,13.8900,2020-01-23,0.0000,14.3700,13.7600,14.3700,1.0000,163258
14.2400,14.2400,2020-01-22,0.0000,14.7900,14.0400,14.5700,1.0000,267177
14.1800,14.1800,2020-01-21,0.0000,14.4300,13.9600,14.1000,1.0000,163231
14.0900,14.0900,2020-01-17,0.0000,14.6400,14.0200,14.6400,1.0000,138231
14.4600,14.4600,2020-01-16,0.0000,15.1100,14.3500,14.8300,1.0000,480087
14.7000,14.7000,2020-01-15,0.0000,15.1200,14.3800,14.5900,1.0000,665404
14.6000,14.6000,2020-01-14,0.0000,14.8200,13.6100,13.8200,1.0000,611311
13.7000,13.7000,2020-01-13,0.0000,14.0200,13.5400,14.0200,1.0000,596919
13.8400,13.8400,2020-01-10,0.0000,14.1900,13.6700,14.1800,1.0000,202796
14.1000,14.1000,2020-01-09,0.0000,14.3600,13.9200,14.2100,1.0000,88186
14.1000,14.1000,2020-01-08,0.0000,14.2300,13.8900,13.8900,1.0000,153666
13.9600,13.9600,2020-01-07,0.0000,14.0800,13.7500,13.9000,1.0000,102932
13.9500,13.9500,2020-01-06,0.0000,14.4500,13.9200,14.4500,1.0000,99184
14.3700,14.3700,2020-01-03,0.0000,14.7900,13.7300,14.2500,1.0000,134201
14.5500,14.5500,2020-01-02,0.0000,15.0700,14.4200,15.0700,1.0000,306186
14.9000,14.9000,2019-12-31,0.0000,15.5200,14.8800,15.3500,1.0000,111187
15.3300,15.3300,2019-12-30,0.0000,15.6000,15.0900,15.4300,1.0000,112689
15.4000,15.4000,2019-12-27,0.0000,15.7200,14.9800,15.7200,1.0000,171580
15.6600,15.6600,2019-12-26,0.0000,15.8200,15.0900,15.4500,1.0000,162428
15.3100,15.3100,2019-12-24,0.0000,15.4800,13.7258,14.1100,1.0000,252011
14.0800,14.0800,2019-12-23,0.0000,14.1100,12.6700,12.7800,1.0000,202087
12.9100,12.9100,2019-12-20,0.0000,13.2200,12.6700,13.2200,1.0000,298516
13.2000,13.2000,2019-12-19,0.0000,13.4100,13.0700,13.2500,1.0000,231171
13.2500,13.2500,2019-12-18,0.0000,13.4400,13.0800,13.4400,1.0000,93465
13.3000,13.3000,2019-12-17,0.0000,13.3700,13.0000,13.1600,1.0000,178261
13.1500,13.1500,2019-12-16,0.0000,13.4000,13.0700,13.1500,1.0000,128435
12.9600,12.9600,2019-12-13,0.0000,13.1100,12.5500,12.7700,1.0000,220011
12.7700,12.7700,2019-12-12,0.0000,13.0000,12.7000,12.7700,1.0000,125701
12.7750,12.7750,2019-12-11,0.0000,13.1500,12.7150,13.0700,1.0000,93217
13.1000,13.1000,2019-12-10,0.0000,13.4600,12.8800,13.1300,1.0000,142850
13.1600,13.1600,2019-12-09,0.0000,13.3600,13.0400,13.2500,1.0000,154181
13.1900,13.1900,2019-12-06,0.0000,13.5750,12.9800,13.0800,1.0000,172391
12.9900,12.9900,2019-12-05,0.0000,13.3200,12.8500,13.3000,1.0000,115073
13.2200,13.2200,2019-12-04,0.0000,13.6399,12.8200,13.5100,1.0000,396682
13.4000,13.4000,2019-12-03,0.0000,13.7900,12.8434,12.9500,1.0000,270717
13.0000,13.0000,2019-12-02,0.0000,13.3300,12.8800,13.1500,1.0000,249127
13.1500,13.1500,2019-11-29,0.0000,13.3800,12.9400,12.9400,1.0000,114499
12.9900,12.9900,2019-11-27,0.0000,13.1400,12.5900,12.6500,1.0000,156714
12.6200,12.6200,2019-11-26,0.0000,12.9500,12.4800,12.6800,1.0000,131814
12.6800,12.6800,2019-11-25,0.0000,12.8900,11.9500,11.9500,1.0000,230235
11.8800,11.8800,2019-11-22,0.0000,12.1300,11.6400,11.7900,1.0000,175300
11.8600,11.8600,2019-11-21,0.0000,11.9000,11.7000,11.9000,1.0000,124670
11.8800,11.8800,2019-11-20,0.0000,12.2800,11.5100,11.5100,1.0000,340167
11.6500,11.6500,2019-11-19,0.0000,11.8000,11.3800,11.4100,1.0000,123526
11.2400,11.2400,2019-11-18,0.0000,11.4125,10.9400,11.3500,1.0000,164045
11.4800,11.4800,2019-11-15,0.0000,11.7776,11.2300,11.6700,1.0000,111329
11.5700,11.5700,2019-11-14,0.0000,12.0799,11.4700,11.5600,1.0000,185657
11.6400,11.6400,2019-11-13,0.0000,12.1000,10.2000,10.2000,1.0000,758878
10.3800,10.3800,2019-11-12,0.0000,11.0000,10.1500,10.7200,1.0000,249797
10.7000,10.7000,2019-11-11,0.0000,10.9900,10.6200,10.8200,1.0000,196372
10.9700,10.9700,2019-11-08,0.0000,12.5500,10.7700,11.8800,1.0000,128450
10.8000,10.8000,2019-11-07,0.0000,11.3400,10.7200,11.2900,1.0000,172424
11.1000,11.1000,2019-11-06,0.0000,11.6178,11.0300,11.2100,1.0000,71383
11.2500,11.2500,2019-11-05,0.0000,11.7272,11.1600,11.5200,1.0000,58586
11.4950,11.4950,2019-11-04,0.0000,11.7900,11.3700,11.7000,1.0000,97843
11.6500,11.6500,2019-11-01,0.0000,11.8700,10.9100,11.0100,1.0000,121556
10.9000,10.9000,2019-10-31,0.0000,11.0700,10.6900,10.8500,1.0000,109156
10.9500,10.9500,2019-10-30,0.0000,10.9800,10.4900,10.6400,1.0000,50817
10.7300,10.7300,2019-10-29,0.0000,10.7900,10.2450,10.3800,1.0000,100624
10.4400,10.4400,2019-10-28,0.0000,10.6000,10.1500,10.2200,1.0000,124244
10.0900,10.0900,2019-10-25,0.0000,10.4370,9.9100,9.9100,1.0000,100546
9.9500,9.9500,2019-10-24,0.0000,10.5900,9.9000,10.1400,1.0000,71992
10.0900,10.0900,2019-10-23,0.0000,10.3700,9.9000,10.0700,1.0000,76109
10.0800,10.0800,2019-10-22,0.0000,10.7000,9.8400,10.6000,1.0000,148605
10.6200,10.6200,2019-10-21,0.0000,11.8500,10.5900,11.1000,1.0000,280390
11.0500,11.0500,2019-10-18,0.0000,11.1200,10.8400,10.9200,1.0000,89623
11.0000,11.0000,2019-10-17,0.0000,11.3500,10.9100,10.9900,1.0000,101455
11.0000,11.0000,2019-10-16,0.0000,11.0300,10.5500,10.5500,1.0000,128273
10.6100,10.6100,2019-10-15,0.0000,10.6900,10.0700,10.0700,1.0000,74428
10.0900,10.0900,2019-10-14,0.0000,10.4000,9.8500,9.9200,1.0000,70343
10.0900,10.0900,2019-10-11,0.0000,10.3000,9.9900,10.0400,1.0000,66824
9.8800,9.8800,2019-10-10,0.0000,10.0800,9.8100,9.8800,1.0000,40177
9.8800,9.8800,2019-10-09,0.0000,10.1300,9.8000,9.9100,1.0000,76975
9.8500,9.8500,2019-10-08,0.0000,9.9300,9.6150,9.8300,1.0000,61495
9.9900,9.9900,2019-10-07,0.0000,10.2900,9.9530,10.2100,1.0000,68409
10.1600,10.1600,2019-10-04,0.0000,10.1900,9.7500,9.8900,1.0000,54361
9.9100,9.9100,2019-10-03,0.0000,10.1600,9.6200,9.9700,1.0000,68821
9.9700,9.9700,2019-10-02,0.0000,9.9837,9.5109,9.7600,1.0000,104127
9.7700,9.7700,2019-10-01,0.0000,10.3200,9.7500,10.1900,1.0000,103451
10.2500,10.2500,2019-09-30,0.0000,10.6600,10.0200,10.6000,1.0000,100020
10.5100,10.5100,2019-09-27,0.0000,10.8600,10.3700,10.6800,1.0000,63694
10.6400,10.6400,2019-09-26,0.0000,10.9900,10.4600,10.9500,1.0000,85534
10.9700,10.9700,2019-09-25,0.0000,11.1800,10.8379,11.1300,1.0000,50418
11.1600,11.1600,2019-09-24,0.0000,11.4400,10.8401,11.4400,1.0000,113541
11.4000,11.4000,2019-09-23,0.0000,11.6100,11.2492,11.5900,1.0000,50676
11.5800,11.5800,2019-09-20,0.0000,11.8200,11.5100,11.6000,1.0000,190696
11.6100,11.6100,2019-09-19,0.0000,11.9200,11.5000,11.5800,1.0000,73544
11.5500,11.5500,2019-09-18,0.0000,11.8900,11.2500,11.8900,1.0000,99004
11.8600,11.8600,2019-09-17,0.0000,12.0500,11.7300,11.9000,1.0000,260299
11.9300,11.9300,2019-09-16,0.0000,12.2100,11.6000,11.6000,1.0000,125452
11.7100,11.7100,2019-09-13,0.0000,11.9800,11.6500,11.6500,1.0000,132831
11.8300,11.8300,2019-09-12,0.0000,12.0500,11.7600,12.0500,1.0000,142957
12.0000,12.0000,2019-09-11,0.0000,12.4992,11.3600,11.3600,1.0000,271537
11.3400,11.3400,2019-09-10,0.0000,11.7000,11.1000,11.2000,1.0000,211565
11.1800,11.1800,2019-09-09,0.0000,11.4700,10.9700,11.0700,1.0000,137449
11.0300,11.0300,2019-09-06,0.0000,11.2500,10.8300,11.0800,1.0000,151080
11.0200,11.0200,2019-09-05,0.0000,11.5700,10.5800,10.7500,1.0000,431965
10.5900,10.5900,2019-09-04,0.0000,10.8800,10.3400,10.8200,1.0000,103466
10.8700,10.8700,2019-09-03,0.0000,10.9400,10.5100,10.7000,1.0000,93437
10.9000,10.9000,2019-08-30,0.0000,10.9350,10.5600,10.8100,1.0000,67514
10.8600,10.8600,2019-08-29,0.0000,10.8900,10.6000,10.6200,1.0000,103676
10.5000,10.5000,2019-08-28,0.0000,10.5100,10.0300,10.1000,1.0000,73235
10.1300,10.1300,2019-08-27,0.0000,10.4400,10.0100,10.1900,1.0000,113597
10.1400,10.1400,2019-08-26,0.0000,10.1400,9.7500,9.9100,1.0000,57070
9.8000,9.8000,2019-08-23,0.0000,10.3600,9.7200,10.2500,1.0000,101090
10.2800,10.2800,2019-08-22,0.0000,10.6200,10.2400,10.6200,1.0000,110110
10.5200,10.5200,2019-08-21,0.0000,10.8044,10.4400,10.6800,1.0000,92240
10.5700,10.5700,2019-08-20,0.0000,10.8500,10.3900,10.6000,1.0000,120985
10.4100,10.4100,2019-08-19,0.0000,10.4920,10.1050,10.4400,1.0000,106793
10.2600,10.2600,2019-08-16,0.0000,10.2700,9.7000,9.8500,1.0000,104325
9.7700,9.7700,2019-08-15,0.0000,10.0200,9.5600,9.9600,1.0000,122560
9.8500,9.8500,2019-08-14,0.0000,10.1700,9.6700,9.8600,1.0000,261660
10.0500,10.0500,2019-08-13,0.0000,10.1800,9.5900,9.5900,1.0000,76356
9.5900,9.5900,2019-08-12,0.0000,10.0500,9.5200,10.0500,1.0000,77438
10.1900,10.1900,2019-08-09,0.0000,10.4100,9.8700,9.9200,1.0000,93330
10.0300,10.0300,2019-08-08,0.0000,10.2600,9.8300,10.2600,1.0000,76975
10.1200,10.1200,2019-08-07,0.0000,10.3300,9.7100,9.7500,1.0000,83877
9.8600,9.8600,2019-08-06,0.0000,10.1000,9.5500,10.0200,1.0000,122885
9.9900,9.9900,2019-08-05,0.0000,10.5250,9.7600,10.4400,1.0000,183955
10.6700,10.6700,2019-08-02,0.0000,10.7200,10.4300,10.7200,1.0000,84446
10.7500,10.7500,2019-08-01,0.0000,11.2500,10.7100,11.0600,1.0000,101923
11.0700,11.0700,2019-07-31,0.0000,11.4500,11.0400,11.4300,1.0000,154662
11.4100,11.4100,2019-07-30,0.0000,11.4900,11.1200,11.1800,1.0000,107366
11.2200,11.2200,2019-07-29,0.0000,11.3000,11.0700,11.1700,1.0000,100991
11.1900,11.1900,2019-07-26,0.0000,11.2500,10.7362,10.9900,1.0000,77345
10.9000,10.9000,2019-07-25,0.0000,11.1050,10.8800,10.9900,1.0000,71829
10.9900,10.9900,2019-07-24,0.0000,11.0000,10.5669,10.6200,1.0000,77442
10.6700,10.6700,2019-07-23,0.0000,10.8700,10.4800,10.8300,1.0000,84576
10.7400,10.7400,2019-07-22,0.0000,11.0000,10.7300,10.8000,1.0000,95883
10.7700,10.7700,2019-07-19,0.0000,11.2627,10.7500,11.1600,1.0000,91376
11.2000,11.2000,2019-07-18,0.0000,11.4600,11.1000,11.4100,1.0000,66144
