adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.5200,0.5200,2020-05-12,0.0000,0.5200,0.4800,0.4800,1.0000,3600
0.4750,0.4750,2020-05-08,0.0000,0.4750,0.4750,0.4750,1.0000,6915
0.4750,0.4750,2020-05-07,0.0000,0.5250,0.4750,0.5150,1.0000,7589
0.5250,0.5250,2020-05-06,0.0000,0.5250,0.5210,0.5210,1.0000,20000
0.5200,0.5200,2020-05-05,0.0000,0.5200,0.5200,0.5200,1.0000,20000
0.5300,0.5300,2020-05-04,0.0000,0.5300,0.5300,0.5300,1.0000,5000
0.5200,0.5200,2020-05-01,0.0000,0.5200,0.5200,0.5200,1.0000,10000
0.5200,0.5200,2020-04-30,0.0000,0.5200,0.5100,0.5100,1.0000,16150
0.5000,0.5000,2020-04-29,0.0000,0.5575,0.5000,0.5150,1.0000,15886
0.5150,0.5150,2020-04-28,0.0000,0.5150,0.4900,0.5150,1.0000,33982
0.4925,0.4925,2020-04-27,0.0000,0.5250,0.4400,0.4400,1.0000,130000
0.4500,0.4500,2020-04-24,0.0000,0.4500,0.4300,0.4300,1.0000,81980
0.4200,0.4200,2020-04-23,0.0000,0.4200,0.4000,0.4000,1.0000,23070
0.3001,0.3001,2020-04-22,0.0000,0.3001,0.3001,0.3001,1.0000,3
0.3001,0.3001,2020-03-24,0.0000,0.3001,0.3001,0.3001,1.0000,200
1.2000,1.2000,2020-03-17,0.0000,1.2000,1.2000,1.2000,1.0000,100
0.3900,0.3900,2020-03-09,0.0000,0.3900,0.3900,0.3900,1.0000,300
0.5200,0.5200,2020-03-04,0.0000,0.5200,0.5200,0.5200,1.0000,370
0.4700,0.4700,2020-02-24,0.0000,0.4700,0.4700,0.4700,1.0000,200
0.5100,0.5100,2020-02-10,0.0000,0.5100,0.2600,0.2600,1.0000,1100
0.4500,0.4500,2020-02-07,0.0000,0.7500,0.4500,0.4600,1.0000,3807
0.6000,0.6000,2020-01-31,0.0000,0.6000,0.6000,0.6000,1.0000,200
0.4500,0.4500,2020-01-30,0.0000,0.8500,0.4500,0.8500,1.0000,12295
1.5000,1.5000,2020-01-28,0.0000,1.5000,1.5000,1.5000,1.0000,70
1.5000,1.5000,2020-01-17,0.0000,1.5000,1.5000,1.5000,1.0000,4000
1.0101,1.0101,2020-01-15,0.0000,2.0000,1.0101,1.9500,1.0000,2497
2.0500,2.0500,2020-01-13,0.0000,2.0500,2.0500,2.0500,1.0000,16
2.0500,2.0500,2019-12-17,0.0000,2.0500,2.0500,2.0500,1.0000,100
1.1000,1.1000,2019-12-16,0.0000,1.1000,1.1000,1.1000,1.0000,100
1.9000,1.9000,2019-12-03,0.0000,1.9000,1.9000,1.9000,1.0000,100
1.3600,1.3600,2019-11-27,0.0000,1.3600,1.3600,1.3600,1.0000,1000
2.2500,2.2500,2019-11-13,0.0000,2.2500,2.2500,2.2500,1.0000,503
1.9500,1.9500,2019-11-08,0.0000,1.9500,1.9500,1.9500,1.0000,2113
1.9400,1.9400,2019-09-20,0.0000,1.9401,1.9400,1.9401,1.0000,200
2.7800,2.7800,2019-09-10,0.0000,2.7800,2.7800,2.7800,1.0000,50
2.7800,2.7800,2019-08-20,0.0000,2.7800,2.7800,2.7800,1.0000,100
2.7800,2.7800,2019-08-16,0.0000,2.7800,2.7800,2.7800,1.0000,100
2.0000,2.0000,2019-08-15,0.0000,2.0000,2.0000,2.0000,1.0000,100
1.5000,1.5000,2019-08-14,0.0000,1.5000,1.0000,1.0000,1.0000,300
