adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
7.6500,7.6500,2017-08-08,0.0000,7.6500,7.6500,7.6500,1.0000,0
7.6500,7.6500,2017-08-07,0.0000,7.6800,7.6500,7.6500,1.0000,166273
7.6500,7.6500,2017-08-04,0.0000,7.6800,7.6500,7.6500,1.0000,265828
7.6500,7.6500,2017-08-03,0.0000,7.6800,7.6500,7.6500,1.0000,171558
7.6500,7.6500,2017-08-02,0.0000,7.6800,7.6500,7.6500,1.0000,165427
7.6500,7.6500,2017-08-01,0.0000,7.6800,7.6500,7.6500,1.0000,100441
7.6500,7.6500,2017-07-31,0.0000,7.6900,7.6500,7.6500,1.0000,262062
7.6500,7.6500,2017-07-28,0.0000,7.6800,7.6000,7.6300,1.0000,437083
7.6300,7.6300,2017-07-27,0.0000,7.6800,7.6000,7.6500,1.0000,568931
7.7000,7.7000,2017-07-26,0.0000,7.7000,7.6500,7.6500,1.0000,273326
7.6500,7.6500,2017-07-25,0.0000,7.6800,7.6500,7.6500,1.0000,147597
7.6500,7.6500,2017-07-24,0.0000,7.6800,7.6000,7.6500,1.0000,356079
7.6800,7.6800,2017-07-21,0.0000,7.7000,7.6500,7.7000,1.0000,193747
7.6500,7.6500,2017-07-20,0.0000,7.7000,7.6500,7.6500,1.0000,88894
7.7000,7.7000,2017-07-19,0.0000,7.7300,7.6500,7.7000,1.0000,268553
7.6500,7.6500,2017-07-18,0.0000,7.7000,7.6500,7.6750,1.0000,180145
7.7000,7.7000,2017-07-17,0.0000,7.7500,7.6500,7.7000,1.0000,198489
7.7300,7.7300,2017-07-14,0.0000,7.7400,7.7000,7.7000,1.0000,216779
7.7000,7.7000,2017-07-13,0.0000,7.7366,7.7000,7.7000,1.0000,507946
7.7000,7.7000,2017-07-12,0.0000,7.7500,7.7000,7.7000,1.0000,127220
7.7000,7.7000,2017-07-11,0.0000,7.7500,7.7000,7.7000,1.0000,341693
7.7300,7.7300,2017-07-10,0.0000,7.7500,7.7000,7.7000,1.0000,279990
7.7500,7.7500,2017-07-07,0.0000,7.7500,7.7000,7.7000,1.0000,281745
7.7000,7.7000,2017-07-06,0.0000,7.7500,7.7000,7.7000,1.0000,311474
7.7000,7.7000,2017-07-05,0.0000,7.7800,7.7000,7.7500,1.0000,137877
7.7500,7.7500,2017-07-03,0.0000,7.7500,7.7000,7.7000,1.0000,386163
7.7500,7.7500,2017-06-30,0.0000,7.7500,7.6500,7.6500,1.0000,371552
7.6500,7.6500,2017-06-29,0.0000,7.7300,7.6500,7.6500,1.0000,932322
7.6500,7.6500,2017-06-28,0.0000,7.7000,7.6000,7.6000,1.0000,1995374
7.6000,7.6000,2017-06-27,0.0000,7.6500,7.6000,7.6000,1.0000,580328
7.6300,7.6300,2017-06-26,0.0000,7.6500,7.6000,7.6000,1.0000,865801
7.6500,7.6500,2017-06-23,0.0000,7.6500,7.6000,7.6000,1.0000,1800980
7.6500,7.6500,2017-06-22,0.0000,7.6500,7.6000,7.6000,1.0000,5025072
5.4000,5.4000,2017-06-21,0.0000,5.5500,5.3900,5.4500,1.0000,99604
5.4500,5.4500,2017-06-20,0.0000,5.5800,5.4500,5.5500,1.0000,63960
5.5000,5.5000,2017-06-19,0.0000,5.7500,5.4500,5.7000,1.0000,89655
5.7500,5.7500,2017-06-16,0.0000,6.0000,5.6300,5.8500,1.0000,206300
5.9500,5.9500,2017-06-15,0.0000,6.0000,5.8500,5.9000,1.0000,77868
5.9000,5.9000,2017-06-14,0.0000,6.0000,5.8500,5.9500,1.0000,114906
5.9000,5.9000,2017-06-13,0.0000,5.9500,5.7500,5.8000,1.0000,92145
5.7500,5.7500,2017-06-12,0.0000,5.9000,5.6500,5.6500,1.0000,144528
5.7000,5.7000,2017-06-09,0.0000,5.8000,5.6000,5.6000,1.0000,127642
5.6500,5.6500,2017-06-08,0.0000,5.6500,5.4100,5.4500,1.0000,108006
5.4500,5.4500,2017-06-07,0.0000,5.6000,5.3800,5.6000,1.0000,134378
5.6000,5.6000,2017-06-06,0.0000,5.6500,5.5500,5.5500,1.0000,147203
5.6000,5.6000,2017-06-05,0.0000,5.6500,5.6000,5.6000,1.0000,56456
5.6500,5.6500,2017-06-02,0.0000,5.6500,5.4500,5.4500,1.0000,83178
5.4500,5.4500,2017-06-01,0.0000,5.5000,5.4000,5.4500,1.0000,59523
5.4500,5.4500,2017-05-31,0.0000,5.6000,5.4000,5.5000,1.0000,134102
5.5000,5.5000,2017-05-30,0.0000,5.5500,5.3000,5.4000,1.0000,186826
5.4500,5.4500,2017-05-26,0.0000,5.6500,5.3000,5.5000,1.0000,94131
5.5000,5.5000,2017-05-25,0.0000,5.8000,5.5000,5.7000,1.0000,117559
5.6500,5.6500,2017-05-24,0.0000,5.7000,5.5500,5.6000,1.0000,81760
5.6000,5.6000,2017-05-23,0.0000,5.7300,5.6000,5.6500,1.0000,85459
5.6000,5.6000,2017-05-22,0.0000,5.6800,5.5000,5.6000,1.0000,68443
5.5500,5.5500,2017-05-19,0.0000,5.6500,5.4000,5.4000,1.0000,218262
5.4000,5.4000,2017-05-18,0.0000,5.5000,5.3500,5.4000,1.0000,259406
5.4000,5.4000,2017-05-17,0.0000,5.5000,5.3500,5.3500,1.0000,240445
5.3000,5.3000,2017-05-16,0.0000,5.4500,5.2500,5.4000,1.0000,220484
5.4500,5.4500,2017-05-15,0.0000,5.5500,5.4000,5.5500,1.0000,191725
5.5000,5.5000,2017-05-12,0.0000,5.8300,5.4000,5.5000,1.0000,337925
5.5500,5.5500,2017-05-11,0.0000,5.6000,5.5000,5.5000,1.0000,171850
5.4500,5.4500,2017-05-10,0.0000,5.6000,5.4000,5.4000,1.0000,225246
5.4500,5.4500,2017-05-09,0.0000,5.9100,5.2500,5.9000,1.0000,351837
5.4500,5.4500,2017-05-08,0.0000,5.6500,5.4300,5.4500,1.0000,202208
5.4000,5.4000,2017-05-05,0.0000,5.5000,5.3500,5.4000,1.0000,163790
5.4500,5.4500,2017-05-04,0.0000,5.5500,5.3800,5.4000,1.0000,193532
5.4000,5.4000,2017-05-03,0.0000,5.6000,5.4000,5.4500,1.0000,116861
5.5000,5.5000,2017-05-02,0.0000,5.7500,5.4000,5.7000,1.0000,293362
5.7500,5.7500,2017-05-01,0.0000,5.8000,5.6500,5.7000,1.0000,144796
5.6500,5.6500,2017-04-28,0.0000,5.8000,5.6500,5.7500,1.0000,159272
5.7000,5.7000,2017-04-27,0.0000,5.8400,5.6300,5.7500,1.0000,260326
5.7500,5.7500,2017-04-26,0.0000,5.9500,5.7000,5.7000,1.0000,348719
5.7500,5.7500,2017-04-25,0.0000,6.0000,5.7000,5.9500,1.0000,315037
5.9500,5.9500,2017-04-24,0.0000,6.0500,5.7300,5.7500,1.0000,302384
5.7000,5.7000,2017-04-21,0.0000,5.8500,5.7000,5.8000,1.0000,101371
5.8000,5.8000,2017-04-20,0.0000,5.9000,5.6500,5.7500,1.0000,255774
5.7500,5.7500,2017-04-19,0.0000,5.9500,5.6300,5.6500,1.0000,238730
5.6000,5.6000,2017-04-18,0.0000,5.8000,5.3500,5.4500,1.0000,167885
5.4000,5.4000,2017-04-17,0.0000,5.5500,5.3000,5.5000,1.0000,341613
5.6000,5.6000,2017-04-13,0.0000,5.7300,5.5500,5.7000,1.0000,149386
5.7500,5.7500,2017-04-12,0.0000,5.9500,5.7000,5.7500,1.0000,153784
5.8000,5.8000,2017-04-11,0.0000,5.9500,5.7500,5.9000,1.0000,144172
5.9000,5.9000,2017-04-10,0.0000,6.2000,5.9000,6.2000,1.0000,131525
6.1500,6.1500,2017-04-07,0.0000,6.2000,6.0000,6.1000,1.0000,431661
6.1000,6.1000,2017-04-06,0.0000,6.2000,5.9500,6.2000,1.0000,225897
6.1500,6.1500,2017-04-05,0.0000,6.2000,5.9500,6.0500,1.0000,321354
6.0500,6.0500,2017-04-04,0.0000,6.0500,5.7800,5.9000,1.0000,290384
5.9500,5.9500,2017-04-03,0.0000,5.9800,5.5700,5.9000,1.0000,224810
6.0000,6.0000,2017-03-31,0.0000,6.0000,5.7500,5.7500,1.0000,192442
5.8000,5.8000,2017-03-30,0.0000,5.8000,5.6000,5.7000,1.0000,225022
5.7500,5.7500,2017-03-29,0.0000,5.7500,5.6000,5.7500,1.0000,434472
5.6500,5.6500,2017-03-28,0.0000,5.7000,5.5000,5.5000,1.0000,201078
5.5000,5.5000,2017-03-27,0.0000,5.5800,5.2000,5.2500,1.0000,144662
5.3500,5.3500,2017-03-24,0.0000,5.4500,5.3000,5.4000,1.0000,239538
5.4000,5.4000,2017-03-23,0.0000,5.4000,5.2500,5.3000,1.0000,250494
5.3000,5.3000,2017-03-22,0.0000,5.4000,5.2000,5.3500,1.0000,519984
5.3000,5.3000,2017-03-21,0.0000,5.5700,5.2000,5.4000,1.0000,645437
5.4500,5.4500,2017-03-20,0.0000,5.8500,5.4000,5.6000,1.0000,256413
5.5500,5.5500,2017-03-17,0.0000,5.7000,5.3000,5.4000,1.0000,409052
5.4000,5.4000,2017-03-16,0.0000,5.5800,5.3300,5.4000,1.0000,470651
5.4500,5.4500,2017-03-15,0.0000,5.4500,5.2100,5.3500,1.0000,301292
5.3000,5.3000,2017-03-14,0.0000,5.3000,4.8000,4.9500,1.0000,580084
5.3500,5.3500,2017-03-13,0.0000,5.3500,5.1500,5.3000,1.0000,200971
