adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
5.0000,5.0000,2020-05-12,0.0000,5.4000,4.9500,5.3800,1.0000,62437
5.3400,5.3400,2020-05-11,0.0000,5.4800,5.0600,5.2800,1.0000,77032
5.4300,5.4300,2020-05-08,0.0000,5.5300,5.2100,5.3000,1.0000,46825
5.1600,5.1600,2020-05-07,0.0000,5.4150,5.0300,5.1300,1.0000,62134
5.0800,5.0800,2020-05-06,0.0000,5.3800,5.0500,5.3800,1.0000,34050
5.3700,5.3700,2020-05-05,0.0000,5.8350,5.2700,5.6800,1.0000,63381
5.6200,5.6200,2020-05-04,0.0000,5.6804,5.3400,5.5200,1.0000,41826
5.5900,5.5900,2020-05-01,0.0000,5.6900,5.2000,5.6900,1.0000,87496
5.5900,5.5900,2020-04-30,0.0000,6.0100,5.5900,6.0100,1.0000,104238
6.1000,6.1000,2020-04-29,0.0000,6.4600,5.8218,6.1300,1.0000,118660
5.8500,5.8500,2020-04-28,0.0000,6.0400,5.7400,5.8300,1.0000,60013
5.6500,5.6500,2020-04-27,0.0000,5.8000,5.2297,5.3200,1.0000,101310
5.2000,5.2000,2020-04-24,0.0000,5.2900,4.8100,4.8100,1.0000,279680
4.8400,4.8400,2020-04-23,0.0000,5.1247,4.7500,4.7500,1.0000,221259
4.7500,4.7500,2020-04-22,0.0000,4.8500,4.5700,4.7100,1.0000,63582
4.6700,4.6700,2020-04-21,0.0000,4.7200,4.3000,4.3400,1.0000,47990
4.5150,4.5150,2020-04-20,0.0000,4.7500,4.3400,4.4700,1.0000,85999
4.6500,4.6500,2020-04-17,0.0000,4.7469,4.4101,4.5200,1.0000,77736
4.3700,4.3700,2020-04-16,0.0000,4.6146,4.2298,4.5800,1.0000,91601
4.5900,4.5900,2020-04-15,0.0000,5.0200,4.5600,5.0000,1.0000,54248
5.0200,5.0200,2020-04-14,0.0000,5.4700,4.9400,5.3500,1.0000,56153
5.2000,5.2000,2020-04-13,0.0000,5.4300,5.0700,5.4300,1.0000,39918
5.4700,5.4700,2020-04-09,0.0000,5.5400,4.9000,4.9500,1.0000,124881
4.8100,4.8100,2020-04-08,0.0000,4.8700,4.5200,4.5200,1.0000,165640
4.4300,4.4300,2020-04-07,0.0000,4.5500,4.3400,4.4700,1.0000,102719
4.3300,4.3300,2020-04-06,0.0000,4.5900,4.2500,4.4500,1.0000,163514
4.4600,4.4600,2020-04-03,0.0000,4.5400,4.2900,4.4800,1.0000,90931
4.5400,4.5400,2020-04-02,0.0000,4.7000,4.3600,4.4700,1.0000,60695
4.4600,4.4600,2020-04-01,0.0000,4.8600,4.4500,4.5700,1.0000,174066
4.8500,4.8500,2020-03-31,0.0000,5.1100,4.8500,4.9000,1.0000,123089
4.9300,4.9300,2020-03-30,0.0000,5.0000,4.6300,4.7000,1.0000,59572
4.6000,4.6000,2020-03-27,0.0000,4.8900,4.5200,4.7700,1.0000,411350
4.8000,4.8000,2020-03-26,0.0000,4.9000,4.7700,4.8000,1.0000,164521
4.7900,4.7900,2020-03-25,0.0000,4.9150,4.5809,4.9000,1.0000,83948
4.9000,4.9000,2020-03-24,0.0000,5.0450,4.4300,4.4700,1.0000,87242
4.3300,4.3300,2020-03-23,0.0000,4.6700,4.1900,4.6700,1.0000,50135
4.6500,4.6500,2020-03-20,0.0000,4.8000,4.5000,4.5000,1.0000,242105
4.5000,4.5000,2020-03-19,0.0000,4.9700,4.0000,4.5700,1.0000,723953
4.5100,4.5100,2020-03-18,0.0000,5.3100,4.5100,5.3100,1.0000,62558
5.5000,5.5000,2020-03-17,0.0000,6.0200,5.3400,5.7000,1.0000,116451
5.5300,5.5300,2020-03-16,0.0000,6.0700,5.5100,6.0000,1.0000,70498
6.8300,6.8300,2020-03-13,0.0000,6.8500,5.9800,5.9800,1.0000,76881
6.0500,6.0500,2020-03-12,0.0000,6.4900,6.0000,6.4200,1.0000,44537
6.7100,6.7100,2020-03-11,0.0000,6.8100,6.7000,6.7100,1.0000,41725
