adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.0321,0.0321,2020-05-12,0.0000,0.0321,0.0321,0.0321,1.0000,10000
0.0300,0.0300,2020-05-11,0.0000,0.0300,0.0300,0.0300,1.0000,0
0.0300,0.0300,2020-05-08,0.0000,0.0300,0.0300,0.0300,1.0000,0
0.0300,0.0300,2020-05-07,0.0000,0.0300,0.0300,0.0300,1.0000,0
0.0300,0.0300,2020-05-06,0.0000,0.0300,0.0300,0.0300,1.0000,0
0.0300,0.0300,2020-05-05,0.0000,0.0300,0.0300,0.0300,1.0000,0
0.0335,0.0335,2020-05-04,0.0000,0.0335,0.0335,0.0335,1.0000,2500
0.0300,0.0300,2020-05-01,0.0000,0.0300,0.0300,0.0300,1.0000,0
0.0300,0.0300,2020-04-30,0.0000,0.0300,0.0300,0.0300,1.0000,0
0.0333,0.0333,2020-04-29,0.0000,0.0333,0.0333,0.0333,1.0000,180
0.0300,0.0300,2020-04-28,0.0000,0.0300,0.0300,0.0300,1.0000,0
0.0300,0.0300,2020-04-27,0.0000,0.0300,0.0300,0.0300,1.0000,0
0.0300,0.0300,2020-04-24,0.0000,0.0300,0.0300,0.0300,1.0000,0
0.0300,0.0300,2020-04-23,0.0000,0.0300,0.0300,0.0300,1.0000,0
0.0333,0.0333,2020-04-22,0.0000,0.0391,0.0333,0.0360,1.0000,51800
0.0450,0.0450,2020-04-21,0.0000,0.0450,0.0450,0.0450,1.0000,249
0.0500,0.0500,2020-04-20,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0450,0.0450,2020-04-17,0.0000,0.0450,0.0450,0.0450,1.0000,12980
0.0352,0.0352,2020-04-16,0.0000,0.0352,0.0352,0.0352,1.0000,3000
0.0400,0.0400,2020-04-15,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0420,0.0420,2020-04-14,0.0000,0.0480,0.0420,0.0455,1.0000,54800
0.0500,0.0500,2020-04-13,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2020-04-09,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0450,0.0450,2020-04-08,0.0000,0.0450,0.0440,0.0440,1.0000,23900
0.0430,0.0430,2020-04-07,0.0000,0.0430,0.0430,0.0430,1.0000,24500
0.0430,0.0430,2020-04-06,0.0000,0.0430,0.0405,0.0420,1.0000,32000
0.0430,0.0430,2020-04-03,0.0000,0.0430,0.0333,0.0333,1.0000,20000
0.0500,0.0500,2020-04-02,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0450,0.0450,2020-04-01,0.0000,0.0450,0.0323,0.0430,1.0000,124300
0.0400,0.0400,2020-03-31,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0430,0.0430,2020-03-30,0.0000,0.0430,0.0430,0.0430,1.0000,10000
0.0400,0.0400,2020-03-27,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0400,0.0400,2020-03-26,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0420,0.0420,2020-03-25,0.0000,0.0420,0.0321,0.0325,1.0000,20000
0.0325,0.0325,2020-03-24,0.0000,0.0325,0.0325,0.0325,1.0000,11000
0.0300,0.0300,2020-03-23,0.0000,0.0300,0.0300,0.0300,1.0000,0
0.0300,0.0300,2020-03-20,0.0000,0.0300,0.0300,0.0300,1.0000,0
0.0325,0.0325,2020-03-19,0.0000,0.0325,0.0325,0.0325,1.0000,13225
0.0300,0.0300,2020-03-18,0.0000,0.0300,0.0300,0.0300,1.0000,0
0.0300,0.0300,2020-03-17,0.0000,0.0300,0.0300,0.0300,1.0000,0
0.0300,0.0300,2020-03-16,0.0000,0.0400,0.0300,0.0400,1.0000,4000
0.0400,0.0400,2020-03-13,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0440,0.0440,2020-03-12,0.0000,0.0440,0.0325,0.0325,1.0000,18900
0.0325,0.0325,2020-03-11,0.0000,0.0325,0.0325,0.0325,1.0000,10001
0.0325,0.0325,2020-03-10,0.0000,0.0325,0.0325,0.0325,1.0000,33
0.0300,0.0300,2020-03-09,0.0000,0.0300,0.0300,0.0300,1.0000,0
0.0300,0.0300,2020-03-06,0.0000,0.0300,0.0300,0.0300,1.0000,0
0.0325,0.0325,2020-03-05,0.0000,0.0325,0.0325,0.0325,1.0000,13800
0.0450,0.0450,2020-03-04,0.0000,0.0450,0.0450,0.0450,1.0000,4000
0.0382,0.0382,2020-03-03,0.0000,0.0382,0.0382,0.0382,1.0000,801
0.0440,0.0440,2020-03-02,0.0000,0.0440,0.0321,0.0345,1.0000,163250
0.0340,0.0340,2020-02-28,0.0000,0.0430,0.0340,0.0430,1.0000,53000
0.0500,0.0500,2020-02-27,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0450,0.0450,2020-02-26,0.0000,0.0450,0.0340,0.0350,1.0000,47900
0.0400,0.0400,2020-02-25,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0350,0.0350,2020-02-24,0.0000,0.0350,0.0350,0.0350,1.0000,10000
0.0400,0.0400,2020-02-21,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0400,0.0400,2020-02-20,0.0000,0.0489,0.0400,0.0489,1.0000,11500
0.0300,0.0300,2020-02-19,0.0000,0.0300,0.0300,0.0300,1.0000,0
0.0340,0.0340,2020-02-18,0.0000,0.0340,0.0340,0.0340,1.0000,2040
0.0489,0.0489,2020-02-14,0.0000,0.0489,0.0489,0.0489,1.0000,800
0.0300,0.0300,2020-02-13,0.0000,0.0300,0.0300,0.0300,1.0000,0
0.0300,0.0300,2020-02-12,0.0000,0.0300,0.0300,0.0300,1.0000,0
0.0300,0.0300,2020-02-11,0.0000,0.0300,0.0300,0.0300,1.0000,0
0.0340,0.0340,2020-02-10,0.0000,0.0340,0.0340,0.0340,1.0000,1000
0.0500,0.0500,2020-02-07,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0500,0.0500,2020-02-06,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0496,0.0496,2020-02-04,0.0000,0.0496,0.0496,0.0496,1.0000,50
0.0500,0.0500,2020-02-03,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0496,0.0496,2020-01-31,0.0000,0.0496,0.0331,0.0331,1.0000,13687
0.0450,0.0450,2020-01-30,0.0000,0.0450,0.0450,0.0450,1.0000,35
0.0450,0.0450,2020-01-29,0.0000,0.0450,0.0450,0.0450,1.0000,259
0.0500,0.0500,2020-01-28,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0460,0.0460,2020-01-27,0.0000,0.0470,0.0460,0.0470,1.0000,2289
0.0400,0.0400,2020-01-24,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0350,0.0350,2020-01-23,0.0000,0.0350,0.0350,0.0350,1.0000,84
0.0350,0.0350,2020-01-22,0.0000,0.0350,0.0350,0.0350,1.0000,19
0.0350,0.0350,2020-01-21,0.0000,0.0400,0.0325,0.0400,1.0000,231101
0.0500,0.0500,2020-01-17,0.0000,0.0500,0.0500,0.0500,1.0000,10000
0.0400,0.0400,2020-01-16,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0390,0.0390,2020-01-15,0.0000,0.0390,0.0390,0.0390,1.0000,8000
0.0350,0.0350,2020-01-14,0.0000,0.0350,0.0350,0.0350,1.0000,50
0.0400,0.0400,2020-01-13,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0350,0.0350,2020-01-10,0.0000,0.0350,0.0350,0.0350,1.0000,5000
0.0500,0.0500,2020-01-09,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0539,0.0539,2020-01-08,0.0000,0.0539,0.0378,0.0378,1.0000,9150
0.0330,0.0330,2020-01-07,0.0000,0.0332,0.0330,0.0332,1.0000,26667
0.0500,0.0500,2020-01-06,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0525,0.0525,2020-01-03,0.0000,0.0535,0.0329,0.0329,1.0000,7626
0.0500,0.0500,2020-01-02,0.0000,0.0500,0.0500,0.0500,1.0000,0
0.0470,0.0470,2019-12-31,0.0000,0.0470,0.0470,0.0470,1.0000,11500
0.0470,0.0470,2019-12-30,0.0000,0.0500,0.0362,0.0362,1.0000,48674
0.0400,0.0400,2019-12-27,0.0000,0.0400,0.0375,0.0375,1.0000,15200
0.0320,0.0320,2019-12-26,0.0000,0.0320,0.0320,0.0320,1.0000,10000
0.0400,0.0400,2019-12-24,0.0000,0.0400,0.0400,0.0400,1.0000,0
0.0380,0.0380,2019-12-23,0.0000,0.0380,0.0380,0.0380,1.0000,1000
0.0320,0.0320,2019-12-20,0.0000,0.0360,0.0320,0.0360,1.0000,10000
0.0300,0.0300,2019-12-19,0.0000,0.0300,0.0300,0.0300,1.0000,0
0.0300,0.0300,2019-12-18,0.0000,0.0300,0.0300,0.0300,1.0000,0
0.0300,0.0300,2019-12-17,0.0000,0.0300,0.0300,0.0300,1.0000,0
0.0320,0.0320,2019-12-16,0.0000,0.0406,0.0320,0.0406,1.0000,13500
0.0357,0.0357,2019-12-13,0.0000,0.0357,0.0357,0.0357,1.0000,5500
0.0500,0.0500,2019-12-12,0.0000,0.0500,0.0500,0.0500,1.0000,10000
0.0330,0.0330,2019-12-11,0.0000,0.0330,0.0330,0.0330,1.0000,1000
0.0330,0.0330,2019-12-10,0.0000,0.0330,0.0330,0.0330,1.0000,11001
0.0385,0.0385,2019-12-09,0.0000,0.0385,0.0385,0.0385,1.0000,7000
0.0385,0.0385,2019-12-06,0.0000,0.0385,0.0385,0.0385,1.0000,6385
