adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
46.7650,46.7650,2020-05-12,0.0000,48.9400,46.6000,48.6400,1.0000,158816
48.4200,48.4200,2020-05-11,0.0000,49.2300,47.3300,48.4000,1.0000,203903
49.2000,49.2000,2020-05-08,0.0000,49.8000,48.6800,48.7700,1.0000,195985
47.5800,47.5800,2020-05-07,0.0000,48.3300,47.1000,47.9800,1.0000,159003
47.0500,47.0500,2020-05-06,0.1550,49.3900,46.9000,48.7200,1.0000,169775
48.5401,48.7000,2020-05-05,0.0000,51.1000,48.6100,50.3400,1.0000,174781
49.1481,49.3100,2020-05-04,0.0000,49.4500,47.3900,48.1800,1.0000,164635
48.7095,48.8700,2020-05-01,0.0000,49.7700,48.0800,49.6700,1.0000,171288
50.6332,50.8000,2020-04-30,0.0000,52.7600,50.7100,52.7600,1.0000,287241
53.5037,53.6800,2020-04-29,0.0000,57.8200,51.9900,52.9800,1.0000,357357
50.8874,51.0550,2020-04-28,0.0000,51.8200,49.4600,50.8400,1.0000,298038
50.6731,50.8400,2020-04-27,0.0000,51.1200,49.1800,49.3900,1.0000,190270
48.7494,48.9100,2020-04-24,0.0000,49.4800,47.9500,48.5400,1.0000,132778
48.2211,48.3800,2020-04-23,0.0000,49.6600,47.8900,48.0800,1.0000,143753
47.9520,48.1100,2020-04-22,0.0000,48.8100,47.5735,48.3300,1.0000,128786
47.1646,47.3200,2020-04-21,0.0000,49.1500,47.0600,47.6000,1.0000,103581
48.8391,49.0000,2020-04-20,0.0000,49.2200,47.8500,48.1000,1.0000,129666
49.4471,49.6100,2020-04-17,0.0000,51.1700,49.1800,50.4200,1.0000,162208
48.5800,48.7400,2020-04-16,0.0000,48.7500,45.9566,46.3100,1.0000,239025
46.3074,46.4600,2020-04-15,0.0000,48.2600,46.1850,47.6700,1.0000,142344
49.6963,49.8600,2020-04-14,0.0000,51.5500,48.9200,50.2600,1.0000,117219
48.7195,48.8800,2020-04-13,0.0000,51.0900,48.1600,51.0800,1.0000,181186
51.7296,51.9000,2020-04-09,0.0000,51.9100,48.0300,50.1500,1.0000,228612
48.8690,49.0300,2020-04-08,0.0000,49.6700,45.8000,46.3200,1.0000,205634
45.2410,45.3900,2020-04-07,0.0000,47.8500,44.0200,47.6800,1.0000,148988
46.6563,46.8100,2020-04-06,0.0000,47.1100,44.0814,44.7200,1.0000,243128
43.2176,43.3600,2020-04-03,0.0000,44.5800,42.1100,44.1300,1.0000,188947
44.4237,44.5700,2020-04-02,0.0000,44.8850,41.4700,41.7600,1.0000,311510
42.1013,42.2400,2020-04-01,0.0000,46.1000,41.3700,45.4000,1.0000,278522
46.9752,47.1300,2020-03-31,0.0000,48.8000,46.0200,47.9500,1.0000,227788
48.1215,48.2800,2020-03-30,0.0000,48.5700,43.4800,45.5200,1.0000,223852
44.8024,44.9500,2020-03-27,0.0000,46.4800,44.1300,44.8200,1.0000,152628
46.4968,46.6500,2020-03-26,0.0000,47.0600,41.4400,42.3000,1.0000,232947
41.2940,41.4300,2020-03-25,0.0000,44.3800,41.2500,44.2200,1.0000,365575
44.4635,44.6100,2020-03-24,0.0000,47.7500,42.4800,46.4500,1.0000,378586
44.5433,44.6900,2020-03-23,0.0000,46.9600,42.3300,45.4100,1.0000,209063
44.4536,44.6000,2020-03-20,0.0000,49.2400,43.9200,48.3300,1.0000,446469
48.0716,48.2300,2020-03-19,0.0000,52.3700,47.4100,49.7400,1.0000,372710
49.8956,50.0600,2020-03-18,0.0000,51.4400,47.4000,50.3500,1.0000,313215
52.8359,53.0100,2020-03-17,0.0000,53.2400,43.8700,45.1100,1.0000,366411
44.5233,44.6700,2020-03-16,0.0000,46.8600,42.5400,42.5400,1.0000,323337
46.7061,46.8600,2020-03-13,0.0000,46.8600,43.2000,45.2600,1.0000,366034
42.6296,42.7700,2020-03-12,0.0000,49.4400,42.6400,46.3000,1.0000,419913
49.3973,49.5600,2020-03-11,0.0000,53.2900,48.9600,53.0200,1.0000,242663
54.3410,54.5200,2020-03-10,0.0000,54.7800,51.1200,52.6600,1.0000,197317
50.9920,51.1600,2020-03-09,0.0000,52.5000,50.2600,50.2600,1.0000,203937
52.0485,52.2200,2020-03-06,0.0000,52.4900,50.2500,50.2500,1.0000,134410
51.7595,51.9300,2020-03-05,0.0000,52.5200,51.1575,52.1400,1.0000,194544
53.4439,53.6200,2020-03-04,0.0000,53.8300,51.5150,52.2600,1.0000,190854
51.2312,51.4000,2020-03-03,0.0000,54.3967,51.2950,52.6700,1.0000,184450
52.6366,52.8100,2020-03-02,0.0000,52.9200,51.1500,52.1000,1.0000,243043
51.5203,51.6900,2020-02-28,0.0000,52.4000,50.6300,50.6300,1.0000,347155
52.2180,52.3900,2020-02-27,0.0000,55.3453,52.3500,55.1100,1.0000,235918
56.1650,56.3500,2020-02-26,0.0000,57.1900,56.0191,56.3300,1.0000,101661
55.8460,56.0300,2020-02-25,0.0000,58.0000,55.9400,57.7200,1.0000,148661
57.5006,57.6900,2020-02-24,0.0000,58.1300,56.8800,57.1900,1.0000,126628
59.1950,59.3900,2020-02-21,0.0000,60.0200,58.5800,59.5500,1.0000,118442
59.5139,59.7100,2020-02-20,0.0000,59.8800,58.5300,59.1500,1.0000,178319
59.0953,59.2900,2020-02-19,0.0000,59.4800,57.1300,58.4800,1.0000,163574
58.5870,58.7800,2020-02-18,0.0000,60.5100,57.0000,57.0000,1.0000,389741
60.6901,60.8900,2020-02-14,0.0000,61.3400,60.6300,60.8100,1.0000,201097
60.4010,60.6000,2020-02-13,0.0000,60.8200,59.9400,60.4300,1.0000,196587
60.5804,60.7800,2020-02-12,0.0000,60.9200,60.3400,60.8400,1.0000,239033
60.2714,60.4700,2020-02-11,0.0000,61.4900,60.3200,60.9200,1.0000,152273
60.3910,60.5900,2020-02-10,0.0000,60.5900,59.5700,59.5700,1.0000,134860
59.6335,59.8300,2020-02-07,0.0000,60.5200,59.5600,60.4900,1.0000,103611
60.7100,60.9100,2020-02-06,0.0000,61.1500,60.3000,61.1000,1.0000,140036
60.7399,60.9400,2020-02-05,0.1550,61.0700,60.2300,61.0700,1.0000,202326
60.1981,60.5500,2020-02-04,0.0000,60.6900,59.2000,59.4400,1.0000,131502
58.4781,58.8200,2020-02-03,0.0000,59.2500,57.9700,57.9700,1.0000,183434
57.3547,57.6900,2020-01-31,0.0000,59.6200,57.2600,59.0700,1.0000,1632707
59.0448,59.3900,2020-01-30,0.0000,59.8900,58.3100,59.1100,1.0000,209612
59.1741,59.5200,2020-01-29,0.0000,60.4900,59.3100,60.1500,1.0000,200298
59.6016,59.9500,2020-01-28,0.0000,60.5200,59.1400,59.2100,1.0000,318764
58.7863,59.1300,2020-01-27,0.0000,59.3500,56.2500,56.4900,1.0000,297610
57.0465,57.3800,2020-01-24,0.0000,58.5900,57.2400,58.5900,1.0000,219807
58.1103,58.4500,2020-01-23,0.0000,59.1500,58.0800,59.1500,1.0000,335744
59.0945,59.4400,2020-01-22,0.0000,59.8400,59.1500,59.7300,1.0000,99308
59.1144,59.4600,2020-01-21,0.0000,60.0800,59.3700,60.0800,1.0000,132308
60.0589,60.4100,2020-01-17,0.0000,60.8500,60.1200,60.4400,1.0000,129560
59.7308,60.0800,2020-01-16,0.0000,60.8400,59.6750,60.1800,1.0000,194455
59.3331,59.6800,2020-01-15,0.0000,59.9600,58.8000,59.2200,1.0000,150042
59.1343,59.4800,2020-01-14,0.0000,60.2900,59.3400,59.9600,1.0000,135872
59.8004,60.1500,2020-01-13,0.0000,60.2200,58.1300,58.2300,1.0000,172121
57.9810,58.3200,2020-01-10,0.0000,58.7100,57.9200,58.3400,1.0000,89288
58.1003,58.4400,2020-01-09,0.0000,58.8000,57.6700,57.8800,1.0000,119729
57.4541,57.7900,2020-01-08,0.0000,57.9500,57.1600,57.4100,1.0000,191643
56.9371,57.2700,2020-01-07,0.0000,58.3600,57.1800,58.3600,1.0000,180955
58.2594,58.6000,2020-01-06,0.0000,58.6800,57.4800,57.9100,1.0000,207282
58.1202,58.4600,2020-01-03,0.0000,58.5500,57.1800,57.5700,1.0000,182834
58.0705,58.4100,2020-01-02,0.0000,58.4200,57.2207,57.5700,1.0000,159332
56.9868,57.3200,2019-12-31,0.0000,57.7200,56.1600,56.7700,1.0000,137928
56.6687,57.0000,2019-12-30,0.0000,57.2600,56.3400,56.8000,1.0000,82291
56.4699,56.8000,2019-12-27,0.0000,56.9200,56.2600,56.8200,1.0000,76833
56.2511,56.5800,2019-12-26,0.0000,56.7500,56.2650,56.6400,1.0000,71015
56.3207,56.6500,2019-12-24,0.0000,56.8900,56.2600,56.8900,1.0000,30496
56.3704,56.7000,2019-12-23,0.0000,57.0100,56.2300,57.0100,1.0000,102117
56.5892,56.9200,2019-12-20,0.0000,57.4700,56.5600,56.9800,1.0000,650158
56.2313,56.5600,2019-12-19,0.0000,56.6400,55.6300,56.3500,1.0000,157695
56.0225,56.3500,2019-12-18,0.0000,56.4200,55.1950,56.0000,1.0000,126465
55.4459,55.7700,2019-12-17,0.0000,55.9800,55.2600,55.8200,1.0000,138507
55.4459,55.7700,2019-12-16,0.0000,56.6300,55.5600,56.4300,1.0000,178767
55.6944,56.0200,2019-12-13,0.0000,57.3900,55.6200,57.0800,1.0000,124508
56.7284,57.0600,2019-12-12,0.0000,57.3450,56.4325,56.7300,1.0000,148065
56.5693,56.9000,2019-12-11,0.0000,56.9472,55.8600,56.0300,1.0000,78497
55.6944,56.0200,2019-12-10,0.0000,56.2100,55.2700,55.6200,1.0000,70613
