adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
6.5900,6.5900,2020-05-12,0.0000,6.6550,6.5750,6.6300,1.0000,3835136
6.6300,6.6300,2020-05-11,0.0000,6.7000,6.5700,6.6800,1.0000,3960318
6.6900,6.6900,2020-05-08,0.0000,6.7300,6.6800,6.7200,1.0000,3355793
6.7400,6.7400,2020-05-07,0.0000,6.8400,6.6900,6.8100,1.0000,5156719
6.8500,6.8500,2020-05-06,0.0000,6.8900,6.8300,6.8500,1.0000,2895916
6.8100,6.8100,2020-05-05,0.0000,6.9100,6.8100,6.8800,1.0000,2794622
6.8600,6.8600,2020-05-04,0.0000,6.8700,6.8000,6.8100,1.0000,2569411
6.7700,6.7700,2020-05-01,0.0000,6.8100,6.7000,6.7300,1.0000,3390188
6.6900,6.6900,2020-04-30,0.0000,6.8500,6.6500,6.8100,1.0000,5404325
6.8500,6.8500,2020-04-29,0.0000,6.9100,6.7900,6.9000,1.0000,3861452
6.8700,6.8700,2020-04-28,0.0000,6.9500,6.8200,6.8400,1.0000,4159685
6.8500,6.8500,2020-04-27,0.0000,6.9600,6.8400,6.9100,1.0000,5617954
6.8900,6.8900,2020-04-24,0.0000,6.9200,6.8300,6.8600,1.0000,4824347
6.8600,6.8600,2020-04-23,0.0000,6.8800,6.7300,6.7900,1.0000,5881702
6.7700,6.7700,2020-04-22,0.0000,6.8400,6.7200,6.7600,1.0000,6719043
6.7300,6.7300,2020-04-21,0.0000,6.8300,6.7150,6.7600,1.0000,8972252
6.7300,6.7300,2020-04-20,0.0000,6.8000,6.6700,6.6800,1.0000,5219759
6.6700,6.6700,2020-04-17,0.0000,6.8000,6.6200,6.7700,1.0000,11784669
6.7700,6.7700,2020-04-16,0.0000,6.8000,6.7300,6.7300,1.0000,6508018
6.7600,6.7600,2020-04-15,0.0000,6.8000,6.7100,6.7700,1.0000,7070387
6.7800,6.7800,2020-04-14,0.0000,6.8000,6.6450,6.7500,1.0000,7287708
6.6900,6.6900,2020-04-13,0.0000,6.7800,6.6300,6.7000,1.0000,7090859
6.7500,6.7500,2020-04-09,0.0000,6.7500,6.5500,6.5800,1.0000,11325745
6.6000,6.6000,2020-04-08,0.0000,6.6800,6.5450,6.6400,1.0000,5989024
6.6700,6.6700,2020-04-07,0.0000,6.7100,6.4800,6.4800,1.0000,9580138
