adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
9.0000,9.0000,2019-04-22,0.0000,9.0000,9.0000,9.0000,1.0000,3780
9.0000,9.0000,2019-04-18,0.0000,9.0000,9.0000,9.0000,1.0000,1000
9.0000,9.0000,2019-04-17,0.0000,9.0000,9.0000,9.0000,1.0000,3000
9.0000,9.0000,2019-04-16,0.0000,9.0000,9.0000,9.0000,1.0000,1105
9.0000,9.0000,2019-04-11,0.0000,9.0000,9.0000,9.0000,1.0000,3400
9.0000,9.0000,2019-04-10,0.0000,9.0000,9.0000,9.0000,1.0000,1000
9.0000,9.0000,2019-04-05,0.0000,9.0000,9.0000,9.0000,1.0000,100
9.0000,9.0000,2019-03-22,0.0000,9.0000,8.9750,9.0000,1.0000,1700
9.0000,9.0000,2019-03-21,0.0000,9.0000,9.0000,9.0000,1.0000,3494
9.0000,9.0000,2019-03-20,0.0000,9.0000,9.0000,9.0000,1.0000,1600
8.9700,8.9700,2019-03-15,0.0000,9.0000,8.9500,9.0000,1.0000,2860
9.0000,9.0000,2019-03-08,0.0000,9.0000,9.0000,9.0000,1.0000,400
9.0000,9.0000,2019-02-05,0.0000,9.0000,8.9000,8.9000,1.0000,1600
8.6500,8.6500,2019-01-30,0.0000,8.6500,8.6500,8.6500,1.0000,300
8.6000,8.6000,2019-01-15,0.0000,8.6000,8.6000,8.6000,1.0000,90
8.6000,8.6000,2019-01-02,0.0000,8.6000,8.6000,8.6000,1.0000,100
8.5600,8.5600,2018-12-31,0.0000,8.6000,8.5600,8.6000,1.0000,4309
8.4000,8.4000,2018-12-28,0.0000,8.4000,8.4000,8.4000,1.0000,100
8.4000,8.4000,2018-12-24,0.0000,8.4000,8.4000,8.4000,1.0000,200
8.4000,8.4000,2018-12-20,0.0000,8.4000,8.4000,8.4000,1.0000,4200
8.4200,8.4200,2018-12-18,0.0000,8.4600,8.4100,8.4600,1.0000,2600
8.5000,8.5000,2018-12-14,0.0000,8.5200,8.4700,8.5200,1.0000,7500
8.5000,8.5000,2018-12-13,0.0000,8.6600,8.4600,8.6600,1.0000,5395
8.6500,8.6500,2018-12-12,0.0000,8.7000,7.5000,7.9000,1.0000,19500
7.1500,7.1500,2018-12-10,0.0000,7.1500,7.1500,7.1500,1.0000,0
7.1500,7.1500,2018-12-07,0.0000,7.1500,7.0000,7.1500,1.0000,1940
7.5000,7.5000,2018-12-03,0.0000,7.5000,7.5000,7.5000,1.0000,100
7.5000,7.5000,2018-10-24,0.0000,7.5000,7.3500,7.3500,1.0000,1700
7.1500,7.1500,2018-10-11,0.0000,7.3250,7.1500,7.3250,1.0000,300
7.1500,7.1500,2018-10-05,0.0000,7.1500,7.1500,7.1500,1.0000,600
7.5000,7.5000,2018-09-26,0.0000,7.5000,7.5000,7.5000,1.0000,100
7.1500,7.1500,2018-09-18,0.0000,7.1500,7.1500,7.1500,1.0000,100
7.5000,7.5000,2018-09-06,0.0000,7.5000,7.5000,7.5000,1.0000,317
7.5000,7.5000,2018-09-05,0.0000,7.5000,7.5000,7.5000,1.0000,300
7.6200,7.6200,2018-08-07,0.0000,7.6200,7.6200,7.6200,1.0000,80
7.6200,7.6200,2018-07-25,0.0000,7.6200,7.6200,7.6200,1.0000,60
7.6200,7.6200,2018-07-09,0.0000,7.6200,7.5000,7.5000,1.0000,4534
7.4000,7.4000,2018-07-06,0.0000,7.7600,7.4000,7.7600,1.0000,500
7.9900,7.9900,2018-05-16,0.0000,7.9900,7.8700,7.8700,1.0000,250
7.8000,7.8000,2018-04-27,0.0000,7.8000,7.8000,7.8000,1.0000,250
7.6500,7.6500,2018-04-18,0.0000,8.0000,7.6500,8.0000,1.0000,4218
7.7500,7.7500,2018-04-10,0.0000,7.7500,7.7500,7.7500,1.0000,2500
8.0500,8.0500,2018-04-02,0.0000,8.1000,8.0500,8.1000,1.0000,4700
8.1000,8.1000,2018-03-29,0.0000,8.1000,8.1000,8.1000,1.0000,400
8.0000,8.0000,2018-03-26,0.0000,8.0000,8.0000,8.0000,1.0000,70
8.0000,8.0000,2018-03-23,0.0000,8.0000,8.0000,8.0000,1.0000,700
7.4900,7.4900,2018-03-22,0.0000,7.4900,7.4000,7.4000,1.0000,300
7.4000,7.4000,2018-03-21,0.0000,7.4000,7.2400,7.2400,1.0000,300
7.0000,7.0000,2018-03-19,0.0000,7.0000,7.0000,7.0000,1.0000,700
6.5500,6.5500,2018-03-15,0.0000,7.5000,6.5500,7.5000,1.0000,2000
9.0000,9.0000,2018-03-09,0.0000,9.0000,9.0000,9.0000,1.0000,100
7.2500,7.2500,2018-03-05,0.0000,7.2500,7.0000,7.0000,1.0000,200
6.5500,6.5500,2018-02-22,0.0000,6.5500,6.5500,6.5500,1.0000,750
6.5000,6.5000,2017-12-06,0.0000,6.5000,6.5000,6.5000,1.0000,0
6.5000,6.5000,2017-12-05,0.0000,6.5000,6.5000,6.5000,1.0000,0
6.5000,6.5000,2017-12-04,0.0000,6.5000,6.5000,6.5000,1.0000,0
6.5000,6.5000,2017-12-01,0.0000,6.5000,6.5000,6.5000,1.0000,2845
6.4000,6.4000,2017-11-30,0.0000,6.4000,6.4000,6.4000,1.0000,0
6.4000,6.4000,2017-11-29,0.0000,6.4000,6.4000,6.4000,1.0000,0
6.4000,6.4000,2017-11-28,0.0000,6.4000,6.4000,6.4000,1.0000,0
6.4000,6.4000,2017-11-27,0.0000,6.4000,6.4000,6.4000,1.0000,0
6.4000,6.4000,2017-11-24,0.0000,6.4000,6.4000,6.4000,1.0000,0
6.4000,6.4000,2017-11-22,0.0000,6.4000,6.4000,6.4000,1.0000,0
6.4000,6.4000,2017-11-21,0.0000,6.4000,6.4000,6.4000,1.0000,0
6.4000,6.4000,2017-11-20,0.0000,6.4000,6.4000,6.4000,1.0000,0
6.4000,6.4000,2017-11-17,0.0000,6.4000,6.4000,6.4000,1.0000,0
6.4000,6.4000,2017-11-16,0.0000,6.4000,6.4000,6.4000,1.0000,0
6.4000,6.4000,2017-11-15,0.0000,6.4000,6.4000,6.4000,1.0000,0
6.4000,6.4000,2017-11-14,0.0000,6.4000,6.4000,6.4000,1.0000,0
6.4000,6.4000,2017-11-13,0.0000,6.4000,6.4000,6.4000,1.0000,0
6.4000,6.4000,2017-11-10,0.0000,6.4000,6.4000,6.4000,1.0000,500
6.5000,6.5000,2017-11-09,0.0000,6.6750,6.3500,6.6750,1.0000,3450
6.3500,6.3500,2017-11-08,0.0000,6.3500,6.3500,6.3500,1.0000,100
6.0000,6.0000,2017-11-07,0.0000,6.0000,6.0000,6.0000,1.0000,0
6.0000,6.0000,2017-11-06,0.0000,6.0000,6.0000,6.0000,1.0000,0
6.0000,6.0000,2017-11-03,0.0000,6.0000,6.0000,6.0000,1.0000,0
6.0000,6.0000,2017-11-02,0.0000,6.0000,6.0000,6.0000,1.0000,0
6.0000,6.0000,2017-11-01,0.0000,6.0000,6.0000,6.0000,1.0000,100
5.6600,5.6600,2017-10-31,0.0000,5.6600,5.6600,5.6600,1.0000,0
5.6600,5.6600,2017-10-30,0.0000,5.6600,5.6600,5.6600,1.0000,0
5.6600,5.6600,2017-10-27,0.0000,5.6600,5.6600,5.6600,1.0000,0
5.6600,5.6600,2017-10-26,0.0000,5.6600,5.6600,5.6600,1.0000,0
5.6600,5.6600,2017-10-25,0.0000,5.6600,5.6600,5.6600,1.0000,0
5.6600,5.6600,2017-10-24,0.0000,5.6600,5.6600,5.6600,1.0000,0
