adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
23.1000,23.1000,2020-05-12,0.0000,24.6200,22.8600,24.6200,1.0000,37671
24.5000,24.5000,2020-05-11,0.0000,26.1350,24.5000,25.1100,1.0000,55417
25.6700,25.6700,2020-05-08,0.0000,26.0000,25.5525,25.5800,1.0000,44479
24.9300,24.9300,2020-05-07,0.0000,25.6900,24.5800,25.3600,1.0000,40924
24.6900,24.6900,2020-05-06,0.0000,25.3900,24.6000,24.7700,1.0000,40182
24.7500,24.7500,2020-05-05,0.0000,26.2500,24.7500,26.1100,1.0000,35313
25.4800,25.4800,2020-05-04,0.0000,26.8200,24.8200,26.1400,1.0000,27430
26.5000,26.5000,2020-05-01,0.0000,26.5800,25.1400,25.8200,1.0000,37553
26.7000,26.7000,2020-04-30,0.0000,27.1200,26.1500,27.1200,1.0000,26841
28.1700,28.1700,2020-04-29,0.0000,28.3900,27.1500,27.3700,1.0000,62744
26.1200,26.1200,2020-04-28,0.0000,26.5200,25.4600,26.3800,1.0000,20192
25.6000,25.6000,2020-04-27,0.0000,25.8600,24.3800,24.3800,1.0000,26691
24.0900,24.0900,2020-04-24,0.0000,24.3900,23.5750,23.7800,1.0000,17001
23.8600,23.8600,2020-04-23,0.0000,24.4150,23.4500,23.6900,1.0000,29732
23.7100,23.7100,2020-04-22,0.0000,24.2000,23.3734,24.2000,1.0000,34173
23.3600,23.3600,2020-04-21,0.0000,23.7700,22.6200,22.6300,1.0000,30711
23.6400,23.6400,2020-04-20,0.0000,24.8300,23.2600,23.2600,1.0000,33824
23.9100,23.9100,2020-04-17,0.0000,24.4550,23.3300,23.3300,1.0000,27095
22.5100,22.5100,2020-04-16,0.0000,23.7100,21.9000,23.7100,1.0000,52584
23.8000,23.8000,2020-04-15,0.0000,24.4400,23.7600,24.1400,1.0000,52782
25.3900,25.3900,2020-04-14,0.0000,26.5600,24.5100,26.5600,1.0000,70063
25.3900,25.3900,2020-04-13,0.0000,27.1500,25.0400,27.0200,1.0000,30303
27.1000,27.1000,2020-04-09,0.0000,27.6200,26.0900,26.3200,1.0000,48481
25.6500,25.6500,2020-04-08,0.0000,27.9600,24.7800,25.4200,1.0000,55713
24.6800,24.6800,2020-04-07,0.0000,25.4194,23.7900,24.5000,1.0000,58583
23.4200,23.4200,2020-04-06,0.0000,23.8000,22.7400,22.8600,1.0000,59006
21.5200,21.5200,2020-04-03,0.0000,22.5800,20.7900,21.3300,1.0000,39637
21.7500,21.7500,2020-04-02,0.0000,22.0200,20.5000,21.1100,1.0000,36418
21.3100,21.3100,2020-04-01,0.0000,22.7500,21.1100,22.6400,1.0000,52617
23.7400,23.7400,2020-03-31,0.0000,24.1700,22.3500,23.4400,1.0000,71528
23.4400,23.4400,2020-03-30,0.0000,23.5100,22.0000,22.2200,1.0000,27540
22.2000,22.2000,2020-03-27,0.0000,23.1600,22.1100,23.0500,1.0000,26806
23.3200,23.3200,2020-03-26,0.0000,23.3600,22.0000,22.8800,1.0000,121462
22.1100,22.1100,2020-03-25,0.0000,23.5000,21.6300,22.0200,1.0000,72062
22.1700,22.1700,2020-03-24,0.0000,22.1700,20.1600,20.9400,1.0000,43490
19.9300,19.9300,2020-03-23,0.0000,20.6600,18.6000,20.0600,1.0000,107201
20.4200,20.4200,2020-03-20,0.0000,23.2300,20.1000,21.1700,1.0000,78224
21.3200,21.3200,2020-03-19,0.0000,22.1200,20.0000,20.0000,1.0000,58895
20.0500,20.0500,2020-03-18,0.0000,24.0000,20.0000,23.1500,1.0000,77262
24.1200,24.1200,2020-03-17,0.0000,24.1200,20.7500,21.4500,1.0000,82612
21.0600,21.0600,2020-03-16,0.0000,23.7000,21.0600,22.6600,1.0000,53010
23.0300,23.0300,2020-03-13,0.0000,23.6399,21.7300,22.7400,1.0000,101404
21.4700,21.4700,2020-03-12,0.0000,23.2000,21.2800,22.1900,1.0000,45513
23.5000,23.5000,2020-03-11,0.0000,25.5300,23.3950,24.6600,1.0000,35639
25.2800,25.2800,2020-03-10,0.0000,26.1300,23.7500,24.7800,1.0000,46569
24.5200,24.5200,2020-03-09,0.0000,26.3300,24.1150,26.2500,1.0000,44706
27.1800,27.1800,2020-03-06,0.0000,27.3400,26.4600,26.6600,1.0000,45846
27.5400,27.5400,2020-03-05,0.0000,28.3200,27.0800,28.0400,1.0000,27220
