adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.0836,0.0836,2020-05-12,0.0000,0.0845,0.0771,0.0844,1.0000,605221
0.0820,0.0820,2020-05-11,0.0000,0.0844,0.0760,0.0800,1.0000,820065
0.0770,0.0770,2020-05-08,0.0000,0.0815,0.0711,0.0770,1.0000,816817
0.0745,0.0745,2020-05-07,0.0000,0.0800,0.0700,0.0730,1.0000,926840
0.0780,0.0780,2020-05-06,0.0000,0.0890,0.0730,0.0790,1.0000,1901475
0.0790,0.0790,2020-05-05,0.0000,0.0830,0.0700,0.0720,1.0000,2972512
0.0695,0.0695,2020-05-04,0.0000,0.0900,0.0641,0.0890,1.0000,3909638
0.0861,0.0861,2020-05-01,0.0000,0.0939,0.0860,0.0938,1.0000,3200543
0.0856,0.0856,2020-04-30,0.0000,0.1007,0.0810,0.0916,1.0000,8822964
0.0916,0.0916,2020-04-29,0.0000,0.1050,0.0865,0.0865,1.0000,6157750
0.0850,0.0850,2020-04-28,0.0000,0.1450,0.0801,0.1190,1.0000,25065859
0.1100,0.1100,2020-04-27,0.0000,0.1280,0.1020,0.1275,1.0000,7098944
0.1200,0.1200,2020-04-24,0.0000,0.2000,0.1150,0.1700,1.0000,27721580
0.2600,0.2600,2020-04-23,0.0000,0.2600,0.2200,0.2300,1.0000,7581800
