adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
8.8000,8.8000,2016-03-22,0.0000,8.8000,8.8000,8.8000,1.0000,0
8.8000,8.8000,2016-03-21,0.0000,8.8200,8.7500,8.7600,1.0000,23461
8.8140,8.8140,2016-03-18,0.0000,8.8140,8.8140,8.8140,1.0000,52
8.8140,8.8140,2016-03-17,0.0000,8.8140,8.8140,8.8140,1.0000,101
8.7300,8.7300,2016-03-16,0.0000,8.8200,8.6600,8.8000,1.0000,17838
8.7874,8.7874,2016-03-15,0.0000,8.8000,8.7300,8.7400,1.0000,43538
8.7100,8.7100,2016-03-14,0.0000,8.7600,8.6282,8.6800,1.0000,13235
8.7700,8.7700,2016-03-11,0.0000,8.7700,8.7000,8.7100,1.0000,3400
8.7000,8.7000,2016-03-10,0.0000,8.7200,8.6700,8.7000,1.0000,11954
8.7000,8.7000,2016-03-09,0.0000,8.7200,8.6400,8.6500,1.0000,10395
8.6400,8.6400,2016-03-08,0.0000,8.6500,8.6200,8.6420,1.0000,6450
8.5900,8.5900,2016-03-07,0.0000,8.6900,8.5600,8.5600,1.0000,23722
8.5357,8.5357,2016-03-04,0.0000,8.6400,8.5100,8.5110,1.0000,19835
8.5600,8.5600,2016-03-03,0.0000,8.5600,8.4800,8.5489,1.0000,4700
8.4000,8.4000,2016-03-02,0.0000,8.6000,8.4000,8.5500,1.0000,14596
8.5500,8.5500,2016-03-01,0.0000,8.5500,8.5000,8.5500,1.0000,5003
8.5001,8.5001,2016-02-29,0.0000,8.5600,8.4500,8.5520,1.0000,7003
8.5800,8.5800,2016-02-26,0.0000,8.5800,8.5800,8.5800,1.0000,2
8.5800,8.5800,2016-02-25,0.0000,8.6100,8.5800,8.6000,1.0000,4090
8.5540,8.5540,2016-02-24,0.0000,8.6000,8.5540,8.6000,1.0000,233
8.5500,8.5500,2016-02-23,0.0000,8.6000,8.5200,8.5370,1.0000,14154
8.5000,8.5000,2016-02-22,0.0000,8.5240,8.5000,8.5000,1.0000,2751
8.5026,8.5026,2016-02-19,0.0000,8.5400,8.4800,8.5000,1.0000,2103
8.5300,8.5300,2016-02-18,0.0000,8.5400,8.4700,8.5400,1.0000,5501
8.5300,8.5300,2016-02-17,0.0000,8.5500,8.4900,8.4900,1.0000,3603
8.5100,8.5100,2016-02-16,0.0000,8.5950,8.4600,8.4800,1.0000,4950
8.5100,8.5100,2016-02-12,0.0000,8.5100,8.4900,8.5100,1.0000,1845
8.5126,8.5126,2016-02-11,0.0000,8.6000,8.5000,8.5500,1.0000,4788
8.4997,8.4997,2016-02-10,0.0000,8.5000,8.4601,8.4601,1.0000,7258
8.4600,8.4600,2016-02-09,0.0000,8.5200,8.4600,8.5200,1.0000,1274
8.4400,8.4400,2016-02-08,0.0000,8.6700,8.4000,8.4800,1.0000,10101
8.2700,8.2700,2016-02-05,0.0000,8.3300,8.2401,8.2900,1.0000,4414
8.1600,8.1600,2016-02-04,0.0000,8.2500,8.1600,8.2500,1.0000,460
8.3100,8.3100,2016-02-03,0.0000,8.3100,8.3100,8.3100,1.0000,1
8.3100,8.3100,2016-02-02,0.0000,8.3100,8.3100,8.3100,1.0000,3
8.3100,8.3100,2016-02-01,0.0000,8.3100,8.1500,8.1800,1.0000,7771
8.1500,8.1500,2016-01-29,0.0000,8.1500,8.1500,8.1500,1.0000,1500
8.0800,8.0800,2016-01-28,0.0000,8.1700,8.0375,8.1700,1.0000,3742
8.1700,8.1700,2016-01-27,0.0000,8.1700,8.1500,8.1500,1.0000,700
8.1090,8.1090,2016-01-26,0.0000,8.1090,8.1090,8.1090,1.0000,0
8.1090,8.1090,2016-01-25,0.0000,8.1300,8.1090,8.1200,1.0000,1526
8.1300,8.1300,2016-01-22,0.0000,8.1500,8.0600,8.0600,1.0000,7725
8.0900,8.0900,2016-01-21,0.0000,8.0900,8.0900,8.0900,1.0000,616
8.1700,8.1700,2016-01-20,0.0000,8.1700,8.0200,8.1700,1.0000,5496
8.1900,8.1900,2016-01-19,0.0000,8.1900,8.1000,8.1000,1.0000,2464
8.1221,8.1221,2016-01-15,0.0000,8.2400,8.1221,8.2400,1.0000,7359
8.1601,8.1601,2016-01-14,0.0000,8.1601,8.1601,8.1601,1.0000,800
8.1890,8.1890,2016-01-13,0.0000,8.2800,8.1800,8.2700,1.0000,1556
8.2900,8.2900,2016-01-12,0.0000,8.3000,8.2600,8.3000,1.0000,3150
8.2500,8.2500,2016-01-11,0.0000,8.2500,8.2500,8.2500,1.0000,16
8.2500,8.2500,2016-01-08,0.0000,8.2500,8.1600,8.1700,1.0000,3500
8.3000,8.3000,2016-01-07,0.0000,8.3000,8.3000,8.3000,1.0000,101
8.3000,8.3000,2016-01-06,0.0000,8.3000,8.2600,8.3000,1.0000,5745
8.3000,8.3000,2016-01-05,0.0000,8.3000,8.2500,8.2500,1.0000,1291
8.1800,8.1800,2016-01-04,0.0000,8.2550,8.1500,8.2550,1.0000,15838
