adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.0300,0.0300,2020-05-04,0.0000,0.0300,0.0300,0.0300,1.0000,4
0.0300,0.0300,2020-05-01,0.0000,0.0300,0.0300,0.0300,1.0000,4
0.0300,0.0300,2020-04-29,0.0000,0.0300,0.0300,0.0300,1.0000,1
0.0300,0.0300,2020-04-16,0.0000,0.0302,0.0300,0.0302,1.0000,200
0.0300,0.0300,2020-04-08,0.0000,0.0500,0.0300,0.0500,1.0000,840
0.0400,0.0400,2020-04-06,0.0000,0.0400,0.0400,0.0400,1.0000,1
0.0400,0.0400,2020-04-01,0.0000,0.0400,0.0400,0.0400,1.0000,4
0.0400,0.0400,2020-03-27,0.0000,0.0400,0.0380,0.0380,1.0000,8779
0.0300,0.0300,2020-02-14,0.0000,0.0300,0.0300,0.0300,1.0000,1
0.0300,0.0300,2020-02-11,0.0000,0.0300,0.0300,0.0300,1.0000,12
0.0300,0.0300,2020-02-04,0.0000,0.0300,0.0300,0.0300,1.0000,20
0.0300,0.0300,2020-01-27,0.0000,0.0300,0.0300,0.0300,1.0000,21
0.0300,0.0300,2020-01-21,0.0000,0.0300,0.0300,0.0300,1.0000,1
0.0300,0.0300,2020-01-15,0.0000,0.0300,0.0300,0.0300,1.0000,50
0.0300,0.0300,2020-01-14,0.0000,0.0300,0.0300,0.0300,1.0000,350
0.0560,0.0560,2020-01-02,0.0000,0.0560,0.0560,0.0560,1.0000,2
0.0560,0.0560,2019-12-30,0.0000,0.0560,0.0300,0.0560,1.0000,6000
0.0500,0.0500,2019-11-27,0.0000,0.0500,0.0500,0.0500,1.0000,1540
0.0500,0.0500,2019-11-04,0.0000,0.0500,0.0500,0.0500,1.0000,1000
0.0600,0.0600,2019-10-21,0.0000,0.0600,0.0600,0.0600,1.0000,17
0.0600,0.0600,2019-10-08,0.0000,0.0600,0.0600,0.0600,1.0000,11
0.0600,0.0600,2019-10-07,0.0000,0.0600,0.0600,0.0600,1.0000,150
0.0600,0.0600,2019-10-01,0.0000,0.0600,0.0600,0.0600,1.0000,85
0.0600,0.0600,2019-09-25,0.0000,0.0600,0.0600,0.0600,1.0000,1
0.0600,0.0600,2019-08-01,0.0000,0.0600,0.0600,0.0600,1.0000,250
