adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
4.5000,4.5000,2020-05-12,0.0000,4.5000,4.1800,4.1800,1.0000,156769
4.2300,4.2300,2020-05-11,0.0000,4.2800,4.0100,4.2800,1.0000,41389
4.2400,4.2400,2020-05-08,0.0000,4.3200,4.1800,4.2725,1.0000,25557
4.2400,4.2400,2020-05-07,0.0000,4.2700,4.1200,4.2100,1.0000,27755
4.1700,4.1700,2020-05-06,0.0000,4.4700,4.1150,4.4700,1.0000,19551
4.3400,4.3400,2020-05-05,0.0000,4.4800,4.0750,4.2200,1.0000,57591
4.2000,4.2000,2020-05-04,0.0000,4.4700,4.2000,4.4700,1.0000,18468
4.4700,4.4700,2020-05-01,0.0000,4.9600,4.3095,4.9600,1.0000,30822
4.8300,4.8300,2020-04-30,0.0000,4.8600,4.5900,4.7600,1.0000,44308
4.7782,4.7782,2020-04-29,0.0000,5.0700,4.7100,4.8700,1.0000,56336
4.6900,4.6900,2020-04-28,0.0000,4.7300,4.6100,4.7300,1.0000,35192
4.7100,4.7100,2020-04-27,0.0000,4.7224,4.2400,4.2800,1.0000,59313
4.1689,4.1689,2020-04-24,0.0000,4.4100,4.0800,4.4100,1.0000,29812
4.3400,4.3400,2020-04-23,0.0000,4.4899,4.2800,4.3500,1.0000,34200
4.3150,4.3150,2020-04-22,0.0000,4.3802,4.1494,4.2300,1.0000,50848
4.0364,4.0364,2020-04-21,0.0000,4.2139,3.8600,4.0000,1.0000,18228
4.1200,4.1200,2020-04-20,0.0000,4.2000,4.0200,4.1700,1.0000,24119
4.1700,4.1700,2020-04-17,0.0000,4.2001,3.8901,4.1200,1.0000,16050
3.8800,3.8800,2020-04-16,0.0000,4.0598,3.7700,4.0000,1.0000,20926
4.0100,4.0100,2020-04-15,0.0000,4.2000,3.8900,4.0500,1.0000,26950
4.3200,4.3200,2020-04-14,0.0000,4.3400,3.8400,3.8500,1.0000,54766
3.8400,3.8400,2020-04-13,0.0000,3.8500,3.6300,3.8500,1.0000,28606
3.8100,3.8100,2020-04-09,0.0000,4.0362,3.6600,3.9155,1.0000,22877
3.7500,3.7500,2020-04-08,0.0000,3.7670,3.4831,3.5800,1.0000,31627
3.5200,3.5200,2020-04-07,0.0000,3.5700,3.3800,3.5640,1.0000,13247
3.3400,3.3400,2020-04-06,0.0000,3.5900,3.0200,3.0200,1.0000,18032
3.0100,3.0100,2020-04-03,0.0000,3.4500,3.0100,3.4500,1.0000,10464
3.4100,3.4100,2020-04-02,0.0000,3.5400,3.1700,3.4200,1.0000,34149
3.6600,3.6600,2020-04-01,0.0000,3.8100,3.5700,3.7500,1.0000,23604
3.7000,3.7000,2020-03-31,0.0000,3.8500,3.6900,3.7000,1.0000,21917
3.7200,3.7200,2020-03-30,0.0000,4.0000,3.7000,4.0000,1.0000,22212
3.9800,3.9800,2020-03-27,0.0000,4.2160,3.5300,4.1800,1.0000,29180
4.2400,4.2400,2020-03-26,0.0000,4.2400,3.8500,3.8600,1.0000,33128
3.7200,3.7200,2020-03-25,0.0000,3.7900,3.3459,3.4800,1.0000,56938
3.2891,3.2891,2020-03-24,0.0000,3.3100,2.9700,3.1700,1.0000,115970
2.8900,2.8900,2020-03-23,0.0000,3.1100,2.8365,3.1000,1.0000,35420
