adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
6.4200,6.4200,2020-05-12,0.0000,6.4200,6.4200,6.4200,1.0000,2047
6.4000,6.4000,2020-05-11,0.0000,6.4500,6.4000,6.4500,1.0000,1690
6.4800,6.4800,2020-05-08,0.0000,6.4800,6.4800,6.4800,1.0000,4050
6.4500,6.4500,2020-05-07,0.0000,6.4500,6.4500,6.4500,1.0000,0
6.4500,6.4500,2020-05-06,0.0000,6.4500,6.4500,6.4500,1.0000,6310
6.5500,6.5500,2020-05-05,0.0000,6.5500,6.5500,6.5500,1.0000,0
6.5500,6.5500,2020-05-04,0.0000,6.5500,6.5500,6.5500,1.0000,31998
6.5500,6.5500,2020-05-01,0.0000,6.5500,6.5500,6.5500,1.0000,0
6.5500,6.5500,2020-04-30,0.0000,6.5500,6.5500,6.5500,1.0000,800
6.5000,6.5000,2020-04-29,0.0000,6.5000,6.5000,6.5000,1.0000,550
6.5000,6.5000,2020-04-28,0.0000,6.5000,6.5000,6.5000,1.0000,2880
6.5000,6.5000,2020-04-27,0.0000,6.5000,6.5000,6.5000,1.0000,420
6.5000,6.5000,2020-04-24,0.0000,6.5000,6.5000,6.5000,1.0000,960
6.5000,6.5000,2020-04-23,0.0000,6.6300,6.5000,6.6300,1.0000,8775
6.7300,6.7300,2020-04-22,0.0000,6.7300,6.7300,6.7300,1.0000,2240
6.2500,6.2500,2020-04-21,0.0000,6.2500,6.2500,6.2500,1.0000,2335
6.4000,6.4000,2020-04-20,0.0000,6.4000,6.4000,6.4000,1.0000,500
6.4000,6.4000,2020-04-17,0.0000,6.4000,6.4000,6.4000,1.0000,11450
6.4000,6.4000,2020-04-16,0.0000,6.4000,6.4000,6.4000,1.0000,0
6.4000,6.4000,2020-04-15,0.0000,6.4000,6.4000,6.4000,1.0000,54400
6.4000,6.4000,2020-04-14,0.0000,6.4000,6.4000,6.4000,1.0000,3580
6.4000,6.4000,2020-04-13,0.0000,6.4000,6.4000,6.4000,1.0000,0
6.4000,6.4000,2020-04-09,0.0000,6.4000,6.4000,6.4000,1.0000,705
6.3000,6.3000,2020-04-08,0.0000,6.3500,6.3000,6.3500,1.0000,1390
6.4000,6.4000,2020-04-07,0.0000,6.4000,6.4000,6.4000,1.0000,2295
5.9000,5.9000,2020-04-06,0.0000,5.9000,5.9000,5.9000,1.0000,11040
5.9000,5.9000,2020-04-03,0.0000,5.9000,5.9000,5.9000,1.0000,3010
5.8000,5.8000,2020-04-02,0.0000,5.8000,5.8000,5.8000,1.0000,670
5.8200,5.8200,2020-04-01,0.0000,5.8200,5.8200,5.8200,1.0000,10786
5.8200,5.8200,2020-03-31,0.0000,5.8200,5.8200,5.8200,1.0000,182020
5.8000,5.8000,2020-03-30,0.0000,5.8000,5.8000,5.8000,1.0000,4700
5.8900,5.8900,2020-03-27,0.0000,6.0000,5.8000,6.0000,1.0000,6260
5.9500,5.9500,2020-03-26,0.0000,5.9500,5.9500,5.9500,1.0000,420400
5.6300,5.6300,2020-03-25,0.0000,5.6300,5.6300,5.6300,1.0000,1445
5.6300,5.6300,2020-03-24,0.0000,5.6300,5.6300,5.6300,1.0000,19130
5.6000,5.6000,2020-03-23,0.0000,5.6000,5.3400,5.3400,1.0000,4686
7.1500,7.1500,2020-03-20,0.0000,7.1500,7.1500,7.1500,1.0000,2000
7.1500,7.1500,2020-03-19,0.0000,7.1500,7.1500,7.1500,1.0000,1730
7.1500,7.1500,2020-03-18,0.0000,7.1500,7.1500,7.1500,1.0000,861120
7.1500,7.1500,2020-03-17,0.0000,7.1500,7.1500,7.1500,1.0000,0
7.1500,7.1500,2020-03-16,0.0000,7.1500,7.1500,7.1500,1.0000,5300
7.1500,7.1500,2020-03-13,0.0000,7.1500,7.1500,7.1500,1.0000,0
7.1500,7.1500,2020-03-12,0.0000,7.1500,7.1500,7.1500,1.0000,0
7.1500,7.1500,2020-03-11,0.0000,7.1500,7.1500,7.1500,1.0000,0
7.1500,7.1500,2020-03-10,0.0000,7.1500,7.1500,7.1500,1.0000,76000
7.0100,7.0100,2020-03-09,0.0000,7.0100,7.0100,7.0100,1.0000,0
7.0100,7.0100,2020-03-06,0.0000,7.0100,7.0100,7.0100,1.0000,0
7.0100,7.0100,2020-03-05,0.0000,7.2843,7.0100,7.0100,1.0000,4100
7.0500,7.0500,2020-03-04,0.0000,7.0500,7.0500,7.0500,1.0000,0
7.0500,7.0500,2020-03-03,0.0000,7.0500,7.0500,7.0500,1.0000,15
7.0500,7.0500,2020-03-02,0.0000,7.0500,7.0500,7.0500,1.0000,0
7.0500,7.0500,2020-02-28,0.0000,7.0500,7.0500,7.0500,1.0000,500
7.2000,7.2000,2020-02-27,0.0000,7.2000,7.2000,7.2000,1.0000,0
7.2000,7.2000,2020-02-26,0.0000,7.2000,7.2000,7.2000,1.0000,0
7.2000,7.2000,2020-02-25,0.0000,7.2000,7.2000,7.2000,1.0000,0
7.2000,7.2000,2020-02-24,0.0000,7.2000,7.2000,7.2000,1.0000,1000
7.2000,7.2000,2020-02-21,0.0000,7.2000,7.2000,7.2000,1.0000,0
7.2000,7.2000,2020-02-20,0.0000,7.2000,7.2000,7.2000,1.0000,1000
7.2000,7.2000,2020-02-19,0.0000,7.2000,7.2000,7.2000,1.0000,300
7.3700,7.3700,2020-02-18,0.0000,7.3700,7.3700,7.3700,1.0000,0
7.3700,7.3700,2020-02-14,0.0000,7.3700,7.3700,7.3700,1.0000,0
7.3700,7.3700,2020-02-13,0.0000,7.3700,7.3700,7.3700,1.0000,0
7.3700,7.3700,2020-02-12,0.0000,7.3700,7.3700,7.3700,1.0000,0
7.3700,7.3700,2020-02-11,0.0000,7.3700,7.3700,7.3700,1.0000,0
7.3700,7.3700,2020-02-10,0.0000,7.3700,7.3700,7.3700,1.0000,0
7.3700,7.3700,2020-02-07,0.0000,7.3700,7.3700,7.3700,1.0000,0
7.3700,7.3700,2020-02-06,0.0000,7.3700,7.3700,7.3700,1.0000,0
7.3700,7.3700,2020-02-05,0.0000,7.3700,7.3700,7.3700,1.0000,96000
7.3700,7.3700,2020-02-04,0.0000,7.3700,7.3700,7.3700,1.0000,0
7.3700,7.3700,2020-02-03,0.0000,7.3700,7.3700,7.3700,1.0000,0
7.3700,7.3700,2020-01-31,0.0000,7.3700,7.3700,7.3700,1.0000,0
7.3700,7.3700,2020-01-29,0.0000,7.3700,7.3700,7.3700,1.0000,0
7.3700,7.3700,2020-01-28,0.0000,7.3700,7.3700,7.3700,1.0000,0
7.3700,7.3700,2020-01-27,0.0000,7.3700,7.3700,7.3700,1.0000,0
7.3700,7.3700,2020-01-24,0.0000,7.3700,7.3700,7.3700,1.0000,0
7.3700,7.3700,2020-01-23,0.0000,7.3700,7.3700,7.3700,1.0000,0
7.3700,7.3700,2020-01-22,0.0000,7.3700,7.3700,7.3700,1.0000,0
7.3700,7.3700,2020-01-21,0.0000,7.3700,7.3700,7.3700,1.0000,0
7.3700,7.3700,2020-01-17,0.0000,7.3700,7.3700,7.3700,1.0000,0
7.3700,7.3700,2020-01-16,0.0000,7.3700,7.3700,7.3700,1.0000,0
7.3700,7.3700,2020-01-15,0.0000,7.3700,7.3700,7.3700,1.0000,0
7.3700,7.3700,2020-01-14,0.0000,7.3700,7.3700,7.3700,1.0000,0
7.3700,7.3700,2020-01-13,0.0000,7.3700,7.3700,7.3700,1.0000,0
7.3700,7.3700,2020-01-10,0.0000,7.3700,7.3700,7.3700,1.0000,1000
7.1500,7.1500,2020-01-09,0.0000,7.1500,7.1500,7.1500,1.0000,0
7.1500,7.1500,2020-01-08,0.0000,7.1500,7.1500,7.1500,1.0000,0
7.1500,7.1500,2020-01-07,0.0000,7.1500,7.1500,7.1500,1.0000,0
7.1500,7.1500,2020-01-06,0.0000,7.1500,7.1500,7.1500,1.0000,0
7.1500,7.1500,2020-01-03,0.0000,7.1500,7.1500,7.1500,1.0000,0
7.1500,7.1500,2020-01-02,0.0000,7.1500,7.1500,7.1500,1.0000,0
7.1500,7.1500,2019-12-31,0.0000,7.1500,7.1500,7.1500,1.0000,0
7.1500,7.1500,2019-12-30,0.0000,7.1500,7.1500,7.1500,1.0000,0
7.1500,7.1500,2019-12-27,0.0000,7.1500,7.1500,7.1500,1.0000,0
7.1500,7.1500,2019-12-26,0.0000,7.1500,7.1500,7.1500,1.0000,371
7.3200,7.3200,2019-12-24,0.0000,7.3200,7.3200,7.3200,1.0000,0
7.3200,7.3200,2019-12-23,0.0000,7.3200,7.3200,7.3200,1.0000,0
7.3200,7.3200,2019-12-20,0.0000,7.3200,7.3200,7.3200,1.0000,0
7.3200,7.3200,2019-12-19,0.0000,7.3200,7.3200,7.3200,1.0000,0
7.3238,7.3238,2019-12-18,0.0000,7.3238,7.3238,7.3238,1.0000,22500
7.3200,7.3200,2019-12-17,0.0000,7.3200,7.3200,7.3200,1.0000,0
7.3238,7.3238,2019-12-16,0.0000,7.3238,7.2000,7.2000,1.0000,861
7.0900,7.0900,2019-12-13,0.0000,7.0900,7.0900,7.0900,1.0000,0
7.0900,7.0900,2019-12-12,0.0000,7.0900,7.0900,7.0900,1.0000,0
7.0869,7.0869,2019-12-11,0.0000,7.0869,7.0869,7.0869,1.0000,62500
7.1500,7.1500,2019-12-10,0.0000,7.1500,7.1500,7.1500,1.0000,0
7.1500,7.1500,2019-12-09,0.0000,7.1500,7.1500,7.1500,1.0000,100
7.0500,7.0500,2019-12-06,0.0000,7.0500,7.0500,7.0500,1.0000,569
6.9100,6.9100,2019-12-05,0.0000,6.9100,6.9100,6.9100,1.0000,0
6.9100,6.9100,2019-12-04,0.0000,6.9100,6.9100,6.9100,1.0000,0
6.9100,6.9100,2019-12-03,0.0000,6.9100,6.9100,6.9100,1.0000,0
6.9100,6.9100,2019-12-02,0.0000,6.9100,6.9100,6.9100,1.0000,0
6.9100,6.9100,2019-11-29,0.0000,6.9100,6.9100,6.9100,1.0000,0
