adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
1.6946,1.6946,2020-05-12,0.0000,1.7600,1.6900,1.7600,1.0000,176205
1.7200,1.7200,2020-05-11,0.0000,1.7900,1.7100,1.7900,1.0000,94793
1.7200,1.7200,2020-05-08,0.0000,1.9200,1.7200,1.9200,1.0000,232396
1.7100,1.7100,2020-05-07,0.0000,1.8000,1.7100,1.8000,1.0000,205360
1.7100,1.7100,2020-05-06,0.0000,1.7500,1.6825,1.6825,1.0000,175570
1.6800,1.6800,2020-05-05,0.0000,1.8000,1.6500,1.8000,1.0000,295441
1.6700,1.6700,2020-05-04,0.0000,1.6815,1.6500,1.6500,1.0000,242021
1.7000,1.7000,2020-05-01,0.0000,1.7900,1.6900,1.7900,1.0000,92348
1.7200,1.7200,2020-04-30,0.0000,1.7500,1.7100,1.7200,1.0000,159600
1.7300,1.7300,2020-04-29,0.0000,1.7800,1.7300,1.7800,1.0000,181555
1.7400,1.7400,2020-04-28,0.0000,1.7900,1.7400,1.7850,1.0000,284977
1.7350,1.7350,2020-04-27,0.0000,1.8400,1.7100,1.7100,1.0000,141552
1.7300,1.7300,2020-04-24,0.0000,1.7900,1.7200,1.7500,1.0000,79563
1.7200,1.7200,2020-04-23,0.0000,1.7500,1.7101,1.7101,1.0000,180169
1.7220,1.7220,2020-04-22,0.0000,1.8300,1.7100,1.8225,1.0000,214454
1.6900,1.6900,2020-04-21,0.0000,1.8040,1.6900,1.6900,1.0000,342078
1.7800,1.7800,2020-04-20,0.0000,1.8700,1.7500,1.7600,1.0000,217160
1.7950,1.7950,2020-04-17,0.0000,1.9500,1.7900,1.9500,1.0000,288016
1.7800,1.7800,2020-04-16,0.0000,1.8300,1.7700,1.7800,1.0000,197204
1.7900,1.7900,2020-04-15,0.0000,1.8100,1.7500,1.7500,1.0000,154852
1.8000,1.8000,2020-04-14,0.0000,1.9500,1.7950,1.9500,1.0000,325272
1.7500,1.7500,2020-04-13,0.0000,1.8600,1.7400,1.8600,1.0000,203887
1.7650,1.7650,2020-04-09,0.0000,1.8800,1.7500,1.8800,1.0000,240899
1.7300,1.7300,2020-04-08,0.0000,1.9495,1.7100,1.9495,1.0000,363315
1.7275,1.7275,2020-04-07,0.0000,1.7800,1.7200,1.7300,1.0000,416230
1.7100,1.7100,2020-04-06,0.0000,1.7500,1.6400,1.6400,1.0000,512108
1.6140,1.6140,2020-04-03,0.0000,1.7400,1.6100,1.7400,1.0000,201597
1.6400,1.6400,2020-04-02,0.0000,1.6800,1.6100,1.6650,1.0000,324556
1.6100,1.6100,2020-04-01,0.0000,1.6400,1.5900,1.5900,1.0000,248818
1.5800,1.5800,2020-03-31,0.0000,1.6600,1.5800,1.6020,1.0000,369665
1.5600,1.5600,2020-03-30,0.0000,1.6100,1.5200,1.5500,1.0000,451373
1.6000,1.6000,2020-03-27,0.0000,1.6600,1.5300,1.5300,1.0000,319295
1.6100,1.6100,2020-03-26,0.0000,1.7000,1.5000,1.7000,1.0000,150395
1.6500,1.6500,2020-03-25,0.0000,1.6700,1.6000,1.6500,1.0000,321781
1.6300,1.6300,2020-03-24,0.0000,1.6900,1.5500,1.6900,1.0000,386871
1.5600,1.5600,2020-03-23,0.0000,1.5900,1.4600,1.4600,1.0000,394150
1.6601,1.6601,2020-03-20,0.0000,1.8000,1.6600,1.8000,1.0000,300373
1.8000,1.8000,2020-03-19,0.0000,2.0000,1.8000,1.8800,1.0000,529643
1.9005,1.9005,2020-03-18,0.0000,1.9300,1.6700,1.6700,1.0000,376746
1.9300,1.9300,2020-03-17,0.0000,1.9500,1.8400,1.8400,1.0000,428561
1.8700,1.8700,2020-03-16,0.0000,1.9100,1.7600,1.7600,1.0000,283342
1.9100,1.9100,2020-03-13,0.0000,1.9600,1.8500,1.8600,1.0000,354748
1.9100,1.9100,2020-03-12,0.0000,1.9300,1.8300,1.9300,1.0000,428529
1.9200,1.9200,2020-03-11,0.0000,1.9900,1.9100,1.9100,1.0000,334380
1.9500,1.9500,2020-03-10,0.0000,2.0600,1.9300,1.9560,1.0000,250292
1.8800,1.8800,2020-03-09,0.0000,1.9600,1.8800,1.9600,1.0000,388214
1.9844,1.9844,2020-03-06,0.0000,2.0200,1.9200,1.9800,1.0000,199066
1.9743,1.9743,2020-03-05,0.0000,2.0000,1.9000,1.9000,1.0000,262776
1.9900,1.9900,2020-03-04,0.0000,1.9900,1.9200,1.9900,1.0000,152377
1.9300,1.9300,2020-03-03,0.0000,1.9400,1.9000,1.9250,1.0000,290220
1.9300,1.9300,2020-03-02,0.0000,1.9700,1.8500,1.8500,1.0000,221941
1.9100,1.9100,2020-02-28,0.0000,1.9700,1.8300,1.8300,1.0000,195040
1.9500,1.9500,2020-02-27,0.0000,1.9700,1.9300,1.9600,1.0000,173274
1.9500,1.9500,2020-02-26,0.0000,1.9700,1.9000,1.9500,1.0000,225507
1.8900,1.8900,2020-02-25,0.0000,1.9500,1.8600,1.8600,1.0000,290330
1.9400,1.9400,2020-02-24,0.0000,1.9600,1.8600,1.8600,1.0000,164387
1.9800,1.9800,2020-02-21,0.0000,1.9900,1.9380,1.9500,1.0000,89615
1.9600,1.9600,2020-02-20,0.0000,1.9800,1.9600,1.9700,1.0000,84433
1.9950,1.9950,2020-02-19,0.0000,2.0100,1.9600,1.9600,1.0000,118378
1.9950,1.9950,2020-02-18,0.0000,2.0000,1.9550,1.9900,1.0000,91620
1.9800,1.9800,2020-02-14,0.0000,2.0100,1.9500,2.0100,1.0000,91354
1.9800,1.9800,2020-02-13,0.0000,1.9900,1.9350,1.9350,1.0000,203686
1.9850,1.9850,2020-02-12,0.0000,2.0000,1.9400,1.9415,1.0000,201921
1.9900,1.9900,2020-02-11,0.0000,2.0500,1.9400,2.0500,1.0000,90720
1.9650,1.9650,2020-02-10,0.0000,1.9800,1.9400,1.9800,1.0000,80379
1.9650,1.9650,2020-02-07,0.0000,1.9800,1.9350,1.9350,1.0000,98438
1.9700,1.9700,2020-02-06,0.0000,1.9800,1.9350,1.9350,1.0000,107771
1.9850,1.9850,2020-02-05,0.0000,2.0100,1.9100,1.9400,1.0000,107820
1.9600,1.9600,2020-02-04,0.0000,2.0100,1.9500,1.9900,1.0000,215051
1.9350,1.9350,2020-02-03,0.0000,1.9600,1.9200,1.9200,1.0000,163116
1.9000,1.9000,2020-01-31,0.0000,1.9250,1.9000,1.9200,1.0000,97663
1.9250,1.9250,2020-01-30,0.0000,1.9700,1.9000,1.9150,1.0000,77750
1.9440,1.9440,2020-01-29,0.0000,2.0000,1.8800,1.8800,1.0000,131480
1.9300,1.9300,2020-01-28,0.0000,2.0000,1.9100,2.0000,1.0000,107367
1.9300,1.9300,2020-01-27,0.0000,1.9500,1.8900,1.8900,1.0000,133613
1.9550,1.9550,2020-01-24,0.0000,2.0300,1.9400,2.0300,1.0000,736228
1.9850,1.9850,2020-01-23,0.0000,1.9900,1.9500,1.9500,1.0000,140861
2.0460,2.0460,2020-01-22,0.0000,2.0600,2.0200,2.0200,1.0000,89635
2.0400,2.0400,2020-01-21,0.0000,2.0900,1.9400,2.0800,1.0000,351869
2.0900,2.0900,2020-01-17,0.0000,2.1000,2.0500,2.1000,1.0000,149650
2.0400,2.0400,2020-01-16,0.0000,2.0600,1.9700,1.9700,1.0000,181700
2.0250,2.0250,2020-01-15,0.0000,2.0500,2.0000,2.0250,1.0000,96283
2.0400,2.0400,2020-01-14,0.0000,2.0500,1.9700,2.0500,1.0000,112034
1.9900,1.9900,2020-01-13,0.0000,2.0300,1.9500,1.9950,1.0000,104263
2.0000,2.0000,2020-01-10,0.0000,2.0300,1.9600,2.0300,1.0000,170874
1.9850,1.9850,2020-01-09,0.0000,2.0200,1.9700,2.0200,1.0000,798439
1.9900,1.9900,2020-01-08,0.0000,2.0200,1.9800,2.0200,1.0000,193415
1.9900,1.9900,2020-01-07,0.0000,2.0100,1.9550,2.0100,1.0000,117345
1.9800,1.9800,2020-01-06,0.0000,2.0100,1.9600,2.0100,1.0000,79245
1.9800,1.9800,2020-01-03,0.0000,2.0000,1.9800,2.0000,1.0000,114515
1.9925,1.9925,2020-01-02,0.0000,2.0300,1.9700,2.0100,1.0000,245476
1.9750,1.9750,2019-12-31,0.0000,2.0100,1.9600,1.9850,1.0000,57198
1.9660,1.9660,2019-12-30,0.0000,2.0000,1.9600,2.0000,1.0000,55764
1.9700,1.9700,2019-12-27,0.0000,2.0000,1.9600,2.0000,1.0000,173109
2.0000,2.0000,2019-12-26,0.0000,2.0000,1.9400,1.9400,1.0000,174258
1.9700,1.9700,2019-12-24,0.0000,1.9800,1.9200,1.9800,1.0000,80817
1.9550,1.9550,2019-12-23,0.0000,1.9800,1.9200,1.9800,1.0000,93729
1.9700,1.9700,2019-12-20,0.0000,1.9800,1.9450,1.9800,1.0000,109155
1.9375,1.9375,2019-12-19,0.0000,1.9800,1.9300,1.9800,1.0000,166305
1.9400,1.9400,2019-12-18,0.0000,1.9500,1.9300,1.9500,1.0000,167897
1.9550,1.9550,2019-12-17,0.0000,1.9700,1.9200,1.9200,1.0000,118975
1.9800,1.9800,2019-12-16,0.0000,1.9800,1.9200,1.9800,1.0000,70065
1.9700,1.9700,2019-12-13,0.0000,1.9700,1.9400,1.9500,1.0000,113192
1.9200,1.9200,2019-12-12,0.0000,1.9500,1.8600,1.8600,1.0000,135199
1.9200,1.9200,2019-12-11,0.0000,1.9200,1.8400,1.8400,1.0000,153498
1.9150,1.9150,2019-12-10,0.0000,1.9400,1.9000,1.9400,1.0000,175389
1.9100,1.9100,2019-12-09,0.0000,1.9300,1.9000,1.9300,1.0000,135872
1.9399,1.9399,2019-12-06,0.0000,1.9500,1.9100,1.9500,1.0000,126908
1.9350,1.9350,2019-12-05,0.0000,1.9500,1.8800,1.9500,1.0000,180800
1.9000,1.9000,2019-12-04,0.0000,1.9500,1.9000,1.9500,1.0000,1379504
1.9150,1.9150,2019-12-03,0.0000,1.9300,1.8700,1.9300,1.0000,622882
1.8800,1.8800,2019-12-02,0.0000,1.9900,1.8200,1.8200,1.0000,225039
1.9000,1.9000,2019-11-29,0.0000,1.9600,1.8100,1.9600,1.0000,100758
1.8950,1.8950,2019-11-27,0.0000,1.9800,1.8800,1.9800,1.0000,67043
1.9050,1.9050,2019-11-26,0.0000,1.9200,1.8900,1.9200,1.0000,118646
1.8950,1.8950,2019-11-25,0.0000,1.9380,1.8600,1.8600,1.0000,118655
1.8700,1.8700,2019-11-22,0.0000,1.9200,1.8500,1.8500,1.0000,89765
1.8900,1.8900,2019-11-21,0.0000,1.9500,1.8600,1.9500,1.0000,117846
1.9100,1.9100,2019-11-20,0.0000,1.9500,1.8700,1.8700,1.0000,77978
1.9000,1.9000,2019-11-19,0.0000,1.9200,1.9000,1.9200,1.0000,126228
1.8980,1.8980,2019-11-18,0.0000,1.9500,1.8700,1.9400,1.0000,113576
1.9000,1.9000,2019-11-15,0.0000,1.9000,1.8300,1.8300,1.0000,62751
1.8900,1.8900,2019-11-14,0.0000,1.9000,1.8700,1.9000,1.0000,150232
1.9000,1.9000,2019-11-13,0.0000,1.9100,1.8600,1.8600,1.0000,90381
1.9200,1.9200,2019-11-12,0.0000,1.9400,1.9000,1.9080,1.0000,123887
1.9300,1.9300,2019-11-11,0.0000,2.0000,1.9100,2.0000,1.0000,114334
1.9400,1.9400,2019-11-08,0.0000,1.9900,1.9200,1.9900,1.0000,114333
1.9350,1.9350,2019-11-07,0.0000,1.9500,1.9100,1.9100,1.0000,99744
1.9100,1.9100,2019-11-06,0.0000,1.9500,1.9000,1.9500,1.0000,72833
1.9400,1.9400,2019-11-05,0.0000,1.9500,1.9000,1.9250,1.0000,102581
