adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
9.7400,9.7400,2020-05-12,0.0000,9.9700,9.5600,9.7500,1.0000,122665
9.7400,9.7400,2020-05-11,0.0000,10.0300,9.5200,9.7500,1.0000,152517
9.7500,9.7500,2020-05-08,0.0000,9.8500,9.6200,9.7600,1.0000,96247
9.6600,9.6600,2020-05-07,0.0000,9.9400,9.5050,9.5600,1.0000,179133
9.4600,9.4600,2020-05-06,0.0000,9.7900,8.9800,9.1400,1.0000,201661
8.9800,8.9800,2020-05-05,0.0000,9.3900,8.7633,9.0600,1.0000,290594
9.0300,9.0300,2020-05-04,0.0000,9.1300,8.7100,9.0900,1.0000,160662
9.2600,9.2600,2020-05-01,0.0000,9.6400,9.0500,9.5000,1.0000,219822
9.6100,9.6100,2020-04-30,0.0000,9.7200,8.8500,9.2400,1.0000,205520
9.3000,9.3000,2020-04-29,0.0000,9.7200,9.1300,9.2800,1.0000,360037
9.3600,9.3600,2020-04-28,0.0000,10.1500,9.2800,9.9400,1.0000,194869
9.5800,9.5800,2020-04-27,0.0000,9.7200,9.1100,9.1700,1.0000,141552
9.0400,9.0400,2020-04-24,0.0000,9.1600,8.7700,8.7700,1.0000,103865
8.7700,8.7700,2020-04-23,0.0000,8.9565,8.3600,8.8000,1.0000,114379
8.7200,8.7200,2020-04-22,0.0000,9.0052,8.5701,8.8600,1.0000,113795
8.7900,8.7900,2020-04-21,0.0000,8.8900,8.5000,8.7100,1.0000,97444
8.8700,8.8700,2020-04-20,0.0000,9.3552,8.6007,9.2000,1.0000,206073
9.2700,9.2700,2020-04-17,0.0000,9.7800,9.1200,9.6600,1.0000,130638
9.2400,9.2400,2020-04-16,0.1000,9.6460,9.1000,9.5500,1.0000,145560
9.4478,9.5500,2020-04-15,0.0000,9.6600,9.1500,9.6500,1.0000,288547
9.6060,9.7100,2020-04-14,0.0000,10.1885,9.5500,10.1000,1.0000,185886
9.6258,9.7300,2020-04-13,0.0000,9.9700,8.8200,8.9500,1.0000,313015
8.7157,8.8100,2020-04-09,0.0000,9.7400,8.6700,8.9000,1.0000,398125
8.3200,8.4100,2020-04-08,0.0000,9.1410,8.0200,8.0200,1.0000,334484
7.7660,7.8500,2020-04-07,0.0000,8.3150,7.8106,7.8800,1.0000,281233
7.3702,7.4500,2020-04-06,0.0000,7.8800,7.4200,7.4700,1.0000,148451
7.0141,7.0900,2020-04-03,0.0000,7.4200,6.4200,7.1100,1.0000,230781
7.0734,7.1500,2020-04-02,0.0000,7.4300,6.9000,7.1300,1.0000,261220
7.2021,7.2800,2020-04-01,0.0000,7.9800,7.0800,7.6600,1.0000,278080
8.0331,8.1200,2020-03-31,0.0000,8.6100,7.8000,8.0000,1.0000,293726
7.6373,7.7200,2020-03-30,0.0000,9.6500,7.6100,9.5800,1.0000,533485
9.3290,9.4300,2020-03-27,0.0000,10.2500,9.0300,9.2500,1.0000,329822
9.2400,9.3400,2020-03-26,0.0000,10.2300,7.4200,7.5000,1.0000,654239
7.4395,7.5200,2020-03-25,0.0000,9.1950,6.9600,6.9600,1.0000,775825
6.4502,6.5200,2020-03-24,0.0000,7.1200,6.4500,7.0100,1.0000,396870
5.8962,5.9600,2020-03-23,0.0000,7.1083,5.8675,7.0400,1.0000,353413
6.9448,7.0200,2020-03-20,0.0000,7.7900,6.6100,7.0000,1.0000,520252
6.7173,6.7900,2020-03-19,0.0000,7.1700,4.7500,5.1900,1.0000,656016
5.1938,5.2500,2020-03-18,0.0000,7.5000,4.5100,7.4300,1.0000,621315
