adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
2.8512,2.8512,2020-05-12,0.0000,2.9100,2.7000,2.8200,1.0000,8023
2.9000,2.9000,2020-05-11,0.0000,3.1423,2.9000,3.0000,1.0000,4799
2.9300,2.9300,2020-05-08,0.0000,3.2050,2.8700,3.1800,1.0000,14716
3.1827,3.1827,2020-05-07,0.0000,3.3100,3.0400,3.3100,1.0000,9603
3.2366,3.2366,2020-05-06,0.0000,3.2366,3.1600,3.1600,1.0000,1762
3.1400,3.1400,2020-05-05,0.0000,3.2800,3.1400,3.2799,1.0000,2869
3.2500,3.2500,2020-05-04,0.0000,3.3200,3.1800,3.3200,1.0000,2116
3.2700,3.2700,2020-05-01,0.0000,3.3000,3.1550,3.3000,1.0000,3725
3.2586,3.2586,2020-04-30,0.0000,3.2586,3.1000,3.1900,1.0000,3894
3.1700,3.1700,2020-04-29,0.0000,3.3300,3.1700,3.1700,1.0000,8974
3.2400,3.2400,2020-04-28,0.0000,3.3400,3.1800,3.2900,1.0000,12888
3.2900,3.2900,2020-04-27,0.0000,3.4000,3.1420,3.4000,1.0000,5582
3.2900,3.2900,2020-04-24,0.0000,3.3700,3.1324,3.3700,1.0000,13316
3.2671,3.2671,2020-04-23,0.0000,3.3500,3.2001,3.3500,1.0000,8625
3.2052,3.2052,2020-04-22,0.0000,3.4200,3.0800,3.4200,1.0000,21693
3.2595,3.2595,2020-04-21,0.0000,3.4000,3.2592,3.4000,1.0000,5232
3.3300,3.3300,2020-04-20,0.0000,3.5400,3.2400,3.3500,1.0000,60665
3.3000,3.3000,2020-04-17,0.0000,3.3200,3.0600,3.3200,1.0000,15928
2.9900,2.9900,2020-04-16,0.0000,3.3728,2.9900,3.3728,1.0000,13307
3.2500,3.2500,2020-04-15,0.0000,3.5682,2.9900,3.5500,1.0000,23355
3.5500,3.5500,2020-04-14,0.0000,3.5500,3.4000,3.4000,1.0000,2049
3.3800,3.3800,2020-04-13,0.0000,3.5572,3.3000,3.5100,1.0000,17673
3.4142,3.4142,2020-04-09,0.0000,3.7400,3.2500,3.5900,1.0000,21388
3.4200,3.4200,2020-04-08,0.0000,3.5680,3.2300,3.5300,1.0000,25779
3.4443,3.4443,2020-04-07,0.0000,3.5400,3.3500,3.5400,1.0000,9356
3.3700,3.3700,2020-04-06,0.0000,3.4400,3.2350,3.3724,1.0000,23140
3.0600,3.0600,2020-04-03,0.0000,3.7600,2.7500,3.7600,1.0000,73323
3.7700,3.7700,2020-04-02,0.0000,3.8000,3.3200,3.3740,1.0000,21548
3.5500,3.5500,2020-04-01,0.0000,3.5575,3.4100,3.4100,1.0000,2797
3.7900,3.7900,2020-03-31,0.0000,3.7900,3.5000,3.6600,1.0000,25075
3.5000,3.5000,2020-03-30,0.0000,3.7100,3.3000,3.4500,1.0000,8317
3.5000,3.5000,2020-03-27,0.0000,3.9700,3.5000,3.7900,1.0000,26329
3.6158,3.6158,2020-03-26,0.0000,4.3400,3.0500,3.0500,1.0000,66102
3.0100,3.0100,2020-03-25,0.0000,3.2300,2.7668,3.0000,1.0000,43925
2.9700,2.9700,2020-03-24,0.0000,2.9700,2.4700,2.4700,1.0000,17268
2.5742,2.5742,2020-03-23,0.0000,2.8000,2.5525,2.7700,1.0000,8958
2.6700,2.6700,2020-03-20,0.0000,2.7700,2.5800,2.5800,1.0000,6870
2.5500,2.5500,2020-03-19,0.0000,2.7799,2.4800,2.4800,1.0000,3915
2.6600,2.6600,2020-03-18,0.0000,2.9200,2.3901,2.9200,1.0000,6563
2.8200,2.8200,2020-03-17,0.0000,3.0500,2.8200,3.0500,1.0000,6160
2.7900,2.7900,2020-03-16,0.0000,5.5000,2.7900,5.5000,1.0000,8716
3.3300,3.3300,2020-03-13,0.0000,3.4700,3.3200,3.4700,1.0000,2621
3.4099,3.4099,2020-03-12,0.0000,3.5600,3.3000,3.5600,1.0000,6179
3.9000,3.9000,2020-03-11,0.0000,4.2500,3.8500,4.2500,1.0000,4529
4.2500,4.2500,2020-03-10,0.0000,4.4200,4.2500,4.4100,1.0000,4593
4.1200,4.1200,2020-03-09,0.0000,5.4900,3.9200,5.4900,1.0000,9462
4.2936,4.2936,2020-03-06,0.0000,4.9200,4.1882,4.9200,1.0000,7831
4.8200,4.8200,2020-03-05,0.0000,5.2900,4.5722,5.2900,1.0000,5851
5.1815,5.1815,2020-03-04,0.0000,5.3470,4.8400,4.8400,1.0000,1960
4.6361,4.6361,2020-03-03,0.0000,4.6361,4.3700,4.5000,1.0000,2136
4.4900,4.4900,2020-03-02,0.0000,4.4900,4.1300,4.3300,1.0000,2128
4.1300,4.1300,2020-02-28,0.0000,4.8400,3.8000,4.8400,1.0000,20200
5.0525,5.0525,2020-02-27,0.0000,5.1600,4.7500,5.1600,1.0000,5353
5.3500,5.3500,2020-02-26,0.0000,5.5500,5.3500,5.5500,1.0000,5017
5.5700,5.5700,2020-02-25,0.0000,5.6100,5.2300,5.6100,1.0000,10435
5.8300,5.8300,2020-02-24,0.0000,5.9850,5.7571,5.9500,1.0000,15458
5.9500,5.9500,2020-02-21,0.0000,6.1000,5.9500,6.0000,1.0000,8998
5.9800,5.9800,2020-02-20,0.0000,6.0400,5.9200,6.0400,1.0000,5993
6.0001,6.0001,2020-02-19,0.0000,6.0900,6.0001,6.0900,1.0000,1025
5.9198,5.9198,2020-02-18,0.0000,5.9500,5.6400,5.6400,1.0000,1994
5.8000,5.8000,2020-02-14,0.0000,5.8400,5.6000,5.8100,1.0000,1641
5.4700,5.4700,2020-02-13,0.0000,5.6600,5.4100,5.6500,1.0000,4100
5.7000,5.7000,2020-02-12,0.0000,5.7300,5.7000,5.7300,1.0000,2018
5.7555,5.7555,2020-02-11,0.0000,5.7555,5.6000,5.6000,1.0000,1768
5.6500,5.6500,2020-02-10,0.0000,5.8500,5.6300,5.8500,1.0000,2023
5.9000,5.9000,2020-02-07,0.0000,5.9000,5.7600,5.9000,1.0000,4933
5.9150,5.9150,2020-02-06,0.0000,6.0000,5.7600,6.0000,1.0000,2847
6.0599,6.0599,2020-02-05,0.0000,6.0599,5.8426,6.0000,1.0000,1793
6.0460,6.0460,2020-02-04,0.0000,6.0460,5.8800,5.8800,1.0000,2295
6.0080,6.0080,2020-02-03,0.0000,6.2100,5.8684,6.0100,1.0000,5213
