adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.0062,0.0062,2020-05-12,0.0000,0.0067,0.0060,0.0060,1.0000,7357643
0.0060,0.0060,2020-05-11,0.0000,0.0070,0.0060,0.0070,1.0000,4562195
0.0065,0.0065,2020-05-08,0.0000,0.0072,0.0064,0.0068,1.0000,8423542
0.0069,0.0069,2020-05-07,0.0000,0.0072,0.0065,0.0072,1.0000,5183475
0.0071,0.0071,2020-05-06,0.0000,0.0072,0.0062,0.0066,1.0000,9662853
0.0068,0.0068,2020-05-05,0.0000,0.0072,0.0064,0.0072,1.0000,3887407
0.0066,0.0066,2020-05-04,0.0000,0.0070,0.0062,0.0070,1.0000,12014646
0.0068,0.0068,2020-05-01,0.0000,0.0072,0.0065,0.0072,1.0000,4912740
0.0069,0.0069,2020-04-30,0.0000,0.0080,0.0065,0.0075,1.0000,22011290
0.0071,0.0071,2020-04-29,0.0000,0.0072,0.0061,0.0061,1.0000,31550178
0.0061,0.0061,2020-04-28,0.0000,0.0064,0.0052,0.0060,1.0000,27722297
0.0052,0.0052,2020-04-27,0.0000,0.0053,0.0050,0.0053,1.0000,4803241
0.0051,0.0051,2020-04-24,0.0000,0.0053,0.0045,0.0053,1.0000,9474064
0.0051,0.0051,2020-04-23,0.0000,0.0059,0.0048,0.0054,1.0000,6574928
0.0054,0.0054,2020-04-22,0.0000,0.0055,0.0046,0.0049,1.0000,7987609
0.0046,0.0046,2020-04-21,0.0000,0.0050,0.0040,0.0050,1.0000,15691533
0.0049,0.0049,2020-04-20,0.0000,0.0060,0.0046,0.0058,1.0000,19674306
0.0057,0.0057,2020-04-17,0.0000,0.0062,0.0055,0.0060,1.0000,11514186
0.0060,0.0060,2020-04-16,0.0000,0.0066,0.0058,0.0063,1.0000,6500224
0.0063,0.0063,2020-04-15,0.0000,0.0065,0.0059,0.0065,1.0000,9811794
0.0064,0.0064,2020-04-14,0.0000,0.0066,0.0047,0.0050,1.0000,59657487
0.0044,0.0044,2020-04-13,0.0000,0.0048,0.0038,0.0040,1.0000,18726201
0.0039,0.0039,2020-04-09,0.0000,0.0043,0.0037,0.0042,1.0000,3722780
0.0042,0.0042,2020-04-08,0.0000,0.0042,0.0037,0.0039,1.0000,4597309
0.0038,0.0038,2020-04-07,0.0000,0.0040,0.0037,0.0039,1.0000,2606526
0.0039,0.0039,2020-04-06,0.0000,0.0041,0.0035,0.0040,1.0000,7663676
0.0039,0.0039,2020-04-03,0.0000,0.0041,0.0037,0.0041,1.0000,4187821
0.0041,0.0041,2020-04-02,0.0000,0.0041,0.0035,0.0040,1.0000,6010041
0.0039,0.0039,2020-04-01,0.0000,0.0041,0.0037,0.0041,1.0000,2698472
0.0040,0.0040,2020-03-31,0.0000,0.0042,0.0038,0.0042,1.0000,4302641
0.0041,0.0041,2020-03-30,0.0000,0.0042,0.0038,0.0042,1.0000,4833665
0.0040,0.0040,2020-03-27,0.0000,0.0042,0.0038,0.0042,1.0000,1250668
0.0039,0.0039,2020-03-26,0.0000,0.0043,0.0036,0.0043,1.0000,18467205
0.0041,0.0041,2020-03-25,0.0000,0.0049,0.0038,0.0043,1.0000,7783952
0.0040,0.0040,2020-03-24,0.0000,0.0041,0.0035,0.0040,1.0000,20401273
0.0040,0.0040,2020-03-23,0.0000,0.0042,0.0035,0.0038,1.0000,13093862
0.0039,0.0039,2020-03-20,0.0000,0.0050,0.0037,0.0050,1.0000,17430996
0.0046,0.0046,2020-03-19,0.0000,0.0050,0.0040,0.0040,1.0000,5680547
0.0040,0.0040,2020-03-18,0.0000,0.0049,0.0036,0.0047,1.0000,9190023
0.0047,0.0047,2020-03-17,0.0000,0.0054,0.0042,0.0054,1.0000,3683285
0.0047,0.0047,2020-03-16,0.0000,0.0055,0.0040,0.0055,1.0000,19909220
0.0052,0.0052,2020-03-13,0.0000,0.0065,0.0046,0.0065,1.0000,3765600
0.0050,0.0050,2020-03-12,0.0000,0.0060,0.0043,0.0060,1.0000,12889908
0.0050,0.0050,2020-03-11,0.0000,0.0065,0.0049,0.0052,1.0000,14246928
0.0048,0.0048,2020-03-10,0.0000,0.0058,0.0048,0.0057,1.0000,19720140
0.0056,0.0056,2020-03-09,0.0000,0.0063,0.0055,0.0062,1.0000,12480816
0.0062,0.0062,2020-03-06,0.0000,0.0070,0.0060,0.0069,1.0000,13092543
0.0069,0.0069,2020-03-05,0.0000,0.0070,0.0066,0.0070,1.0000,4912953
0.0068,0.0068,2020-03-04,0.0000,0.0075,0.0062,0.0075,1.0000,5999968
0.0068,0.0068,2020-03-03,0.0000,0.0075,0.0060,0.0063,1.0000,16475046
0.0059,0.0059,2020-03-02,0.0000,0.0062,0.0056,0.0060,1.0000,4196779
0.0055,0.0055,2020-02-28,0.0000,0.0060,0.0046,0.0050,1.0000,19246570
0.0060,0.0060,2020-02-27,0.0000,0.0069,0.0056,0.0065,1.0000,23218563
0.0065,0.0065,2020-02-26,0.0000,0.0070,0.0065,0.0069,1.0000,5452316
0.0069,0.0069,2020-02-25,0.0000,0.0070,0.0067,0.0069,1.0000,6996601
0.0068,0.0068,2020-02-24,0.0000,0.0077,0.0067,0.0076,1.0000,9738713
0.0076,0.0076,2020-02-21,0.0000,0.0076,0.0071,0.0075,1.0000,6709399
0.0074,0.0074,2020-02-20,0.0000,0.0075,0.0073,0.0075,1.0000,4158427
0.0075,0.0075,2020-02-19,0.0000,0.0075,0.0070,0.0070,1.0000,7953780
0.0069,0.0069,2020-02-18,0.0000,0.0072,0.0064,0.0070,1.0000,4341973
0.0063,0.0063,2020-02-14,0.0000,0.0069,0.0060,0.0064,1.0000,4902216
0.0064,0.0064,2020-02-13,0.0000,0.0070,0.0055,0.0070,1.0000,33335531
0.0067,0.0067,2020-02-12,0.0000,0.0070,0.0059,0.0070,1.0000,27633188
0.0070,0.0070,2020-02-11,0.0000,0.0079,0.0069,0.0079,1.0000,11598565
0.0076,0.0076,2020-02-10,0.0000,0.0076,0.0070,0.0072,1.0000,5383977
0.0074,0.0074,2020-02-07,0.0000,0.0076,0.0068,0.0076,1.0000,2665498
0.0075,0.0075,2020-02-06,0.0000,0.0076,0.0067,0.0075,1.0000,8800553
0.0075,0.0075,2020-02-05,0.0000,0.0075,0.0066,0.0068,1.0000,7736340
0.0066,0.0066,2020-02-04,0.0000,0.0076,0.0060,0.0075,1.0000,17302137
0.0070,0.0070,2020-02-03,0.0000,0.0081,0.0070,0.0078,1.0000,9145862
0.0077,0.0077,2020-01-31,0.0000,0.0080,0.0072,0.0080,1.0000,5946222
0.0079,0.0079,2020-01-30,0.0000,0.0086,0.0074,0.0085,1.0000,8155458
0.0075,0.0075,2020-01-29,0.0000,0.0089,0.0074,0.0085,1.0000,11263544
0.0086,0.0086,2020-01-28,0.0000,0.0087,0.0075,0.0084,1.0000,5701338
0.0079,0.0079,2020-01-27,0.0000,0.0090,0.0079,0.0086,1.0000,5678037
0.0085,0.0085,2020-01-24,0.0000,0.0086,0.0081,0.0085,1.0000,3871462
0.0085,0.0085,2020-01-23,0.0000,0.0092,0.0082,0.0085,1.0000,12769696
0.0082,0.0082,2020-01-22,0.0000,0.0088,0.0074,0.0080,1.0000,21124384
0.0070,0.0070,2020-01-21,0.0000,0.0083,0.0055,0.0060,1.0000,58093301
0.0059,0.0059,2020-01-17,0.0000,0.0060,0.0054,0.0055,1.0000,6189180
0.0055,0.0055,2020-01-16,0.0000,0.0055,0.0050,0.0055,1.0000,6472295
0.0049,0.0049,2020-01-15,0.0000,0.0060,0.0049,0.0060,1.0000,24821259
0.0059,0.0059,2020-01-14,0.0000,0.0069,0.0058,0.0069,1.0000,5895584
0.0064,0.0064,2020-01-13,0.0000,0.0070,0.0060,0.0070,1.0000,4634393
