adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
44.9900,44.9900,2019-10-18,0.0000,44.9900,44.9900,44.9900,1.0000,0
44.9900,44.9900,2019-10-17,0.0000,45.0200,44.9900,45.0100,1.0000,1090756
45.0000,45.0000,2019-10-16,0.0000,45.0500,45.0000,45.0500,1.0000,279915
45.0200,45.0200,2019-10-15,0.0000,45.1300,45.0000,45.1300,1.0000,219732
45.1350,45.1350,2019-10-14,0.0000,45.2300,45.0000,45.0400,1.0000,113009
45.0500,45.0500,2019-10-11,0.0000,45.2300,45.0200,45.1600,1.0000,157431
45.1450,45.1450,2019-10-10,0.0000,45.6500,45.1000,45.6500,1.0000,267856
45.6800,45.6800,2019-10-09,0.0000,45.7000,45.2200,45.4000,1.0000,654821
45.6500,45.6500,2019-10-08,0.0000,45.7300,45.4000,45.4200,1.0000,682081
45.4900,45.4900,2019-10-07,0.0000,45.6100,45.2500,45.3600,1.0000,453841
45.4600,45.4600,2019-10-04,0.0000,45.5100,45.1000,45.1400,1.0000,301192
45.1600,45.1600,2019-10-03,0.0000,45.2700,45.0700,45.0700,1.0000,260563
45.0700,45.0700,2019-10-02,0.0000,45.1000,44.9800,45.0300,1.0000,332870
45.0400,45.0400,2019-10-01,0.0000,45.0600,44.9300,45.0300,1.0000,377693
45.0100,45.0100,2019-09-30,0.0000,45.0900,44.9700,45.0200,1.0000,423984
45.0500,45.0500,2019-09-27,0.0000,45.1250,44.9400,44.9600,1.0000,479157
44.9400,44.9400,2019-09-26,0.0000,45.0500,44.9400,44.9400,1.0000,119551
45.0500,45.0500,2019-09-25,0.0000,45.0500,44.9400,45.0200,1.0000,242821
44.9400,44.9400,2019-09-24,0.0000,45.0600,44.8500,45.0600,1.0000,171358
44.9400,44.9400,2019-09-23,0.0000,45.0300,44.7700,44.8800,1.0000,180775
44.9400,44.9400,2019-09-20,0.0000,45.0900,44.8100,45.0500,1.0000,416793
44.9500,44.9500,2019-09-19,0.0000,45.2000,44.9400,45.1400,1.0000,209337
45.1400,45.1400,2019-09-18,0.0000,45.2300,45.1100,45.2000,1.0000,66247
45.2100,45.2100,2019-09-17,0.0000,45.2200,45.0600,45.1400,1.0000,149593
45.1400,45.1400,2019-09-16,0.0000,45.2550,45.0600,45.1400,1.0000,85268
45.2000,45.2000,2019-09-13,0.0000,45.2700,45.1700,45.1800,1.0000,75503
45.1700,45.1700,2019-09-12,0.0000,45.3000,45.0400,45.0800,1.0000,132315
45.0200,45.0200,2019-09-11,0.0000,45.0500,44.9600,45.0500,1.0000,186914
