adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
154.7100,154.7100,2020-05-12,0.0000,162.7000,154.4600,162.3200,1.0000,1416588
161.8900,161.8900,2020-05-11,0.0000,163.5700,158.4600,159.2700,1.0000,1092814
161.0100,161.0100,2020-05-08,0.0000,161.6200,159.0100,159.4300,1.0000,829932
156.9500,156.9500,2020-05-07,0.0000,161.9500,156.2500,160.7600,1.0000,1324769
158.7800,158.7800,2020-05-06,0.0000,162.0994,156.7500,160.4700,1.0000,1316001
159.6900,159.6900,2020-05-05,0.0000,162.5950,152.2700,152.9600,1.0000,2225349
158.3400,158.3400,2020-05-04,0.0000,159.4200,155.2400,158.0000,1.0000,1733560
159.4500,159.4500,2020-05-01,0.0000,160.2300,158.0500,160.2300,1.0000,1946908
162.5000,162.5000,2020-04-30,0.0000,165.1900,161.4500,164.3200,1.0000,2374367
167.5100,167.5100,2020-04-29,0.0000,170.9000,166.6500,170.4000,1.0000,933993
166.4800,166.4800,2020-04-28,0.0000,170.2500,165.6300,166.6000,1.0000,1185818
163.2300,163.2300,2020-04-27,0.0000,165.1300,158.5600,159.3200,1.0000,1495397
158.2300,158.2300,2020-04-24,0.0000,158.4100,152.9400,156.4000,1.0000,1331938
155.1200,155.1200,2020-04-23,0.0000,160.7900,154.1200,156.4800,1.0000,1378765
155.5400,155.5400,2020-04-22,0.0000,156.8200,152.7800,155.6200,1.0000,1342363
151.7700,151.7700,2020-04-21,0.0000,153.1100,149.4300,150.2600,1.0000,1300406
155.2100,155.2100,2020-04-20,0.0000,156.7800,153.1800,155.6200,1.0000,1186169
158.5800,158.5800,2020-04-17,0.0000,160.1350,155.6300,157.7500,1.0000,1284739
153.3200,153.3200,2020-04-16,0.0000,153.7200,148.4050,151.6600,1.0000,1442149
152.7000,152.7000,2020-04-15,0.0000,153.0900,148.2700,151.8100,1.0000,1394956
156.0600,156.0600,2020-04-14,0.0000,156.9900,153.7336,155.7400,1.0000,1889791
151.9300,151.9300,2020-04-13,0.0000,158.0800,150.2100,158.0800,1.0000,1610019
159.2800,159.2800,2020-04-09,0.0000,164.2500,158.2600,160.6400,1.0000,1752255
158.8000,158.8000,2020-04-08,0.0000,159.8700,152.3800,153.8900,1.0000,1363041
152.2700,152.2700,2020-04-07,0.0000,157.6400,151.0700,156.4900,1.0000,1992706
151.0400,151.0400,2020-04-06,0.0000,152.2450,145.9536,147.7700,1.0000,2138261
140.4100,140.4100,2020-04-03,0.0000,144.0000,137.6350,141.8500,1.0000,1503527
141.6000,141.6000,2020-04-02,0.0000,142.4800,135.8500,136.9200,1.0000,1428766
137.2700,137.2700,2020-04-01,0.0000,137.8300,133.2300,135.3800,1.0000,1962123
142.1200,142.1200,2020-03-31,0.0000,145.4300,138.8500,140.0500,1.0000,3034503
142.3500,142.3500,2020-03-30,1.0700,145.3600,138.4000,141.8100,1.0000,2262805
142.2309,143.3000,2020-03-27,0.0000,148.5200,139.1500,142.7200,1.0000,1818253
149.3673,150.4900,2020-03-26,0.0000,151.7800,142.8789,147.5800,1.0000,2097917
142.4592,143.5300,2020-03-25,0.0000,149.9000,137.6000,138.0500,1.0000,3272401
136.6727,137.7000,2020-03-24,0.0000,138.8200,122.2800,122.5700,1.0000,3077680
117.2090,118.0900,2020-03-23,0.0000,125.3800,115.9400,122.1200,1.0000,2776952
124.8416,125.7800,2020-03-20,0.0000,138.8700,123.8900,138.8700,1.0000,2794188
135.3129,136.3300,2020-03-19,0.0000,140.6900,131.3800,140.1700,1.0000,2662694
140.7024,141.7600,2020-03-18,0.0000,153.2100,134.5800,149.1500,1.0000,3670218
158.3100,159.5000,2020-03-17,0.0000,159.9600,149.6900,152.0600,1.0000,2965106
148.1067,149.2200,2020-03-16,0.0000,165.3000,139.2700,139.2700,1.0000,3752344
155.2828,156.4500,2020-03-13,0.0000,156.4500,143.3000,147.0200,1.0000,2994227
139.1441,140.1900,2020-03-12,0.0000,151.7800,139.4900,148.0000,1.0000,3806642
157.2480,158.4300,2020-03-11,0.0000,162.6300,156.5800,159.1800,1.0000,2227880
163.3918,164.6200,2020-03-10,0.0000,165.0800,154.8600,160.0400,1.0000,1957842
153.3672,154.5200,2020-03-09,0.0000,158.3700,150.0000,151.6600,1.0000,3172302
162.8856,164.1100,2020-03-06,0.0000,166.8300,160.8800,162.7100,1.0000,2952978
