adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
6.4950,6.4950,2020-05-12,0.0000,6.4950,6.4950,6.4950,1.0000,590
6.1700,6.1700,2020-05-11,0.0000,6.1700,5.6100,5.6100,1.0000,1128
5.8500,5.8500,2020-05-08,0.0000,5.8500,5.8500,5.8500,1.0000,1093
5.6600,5.6600,2020-05-07,0.0000,5.8400,5.6500,5.6500,1.0000,714
5.5300,5.5300,2020-05-06,0.0000,5.5300,5.5300,5.5300,1.0000,171
5.6000,5.6000,2020-05-05,0.0000,5.6000,5.6000,5.6000,1.0000,103
5.6000,5.6000,2020-05-04,0.0000,5.6000,5.6000,5.6000,1.0000,107
5.6000,5.6000,2020-05-01,0.0000,5.6300,5.5300,5.6300,1.0000,1459
5.4000,5.4000,2020-04-30,0.0000,5.5000,5.4000,5.4100,1.0000,599
5.9300,5.9300,2020-04-29,0.0000,5.9300,5.4200,5.4200,1.0000,1776
5.4200,5.4200,2020-04-28,0.0000,5.4277,5.3500,5.3700,1.0000,2607
5.4400,5.4400,2020-04-27,0.0000,5.4400,5.1100,5.3500,1.0000,1340
5.3812,5.3812,2020-04-24,0.0000,5.3812,5.2000,5.2000,1.0000,1235
5.4974,5.4974,2020-04-23,0.0000,5.7100,5.3000,5.7000,1.0000,1108
5.2000,5.2000,2020-04-22,0.0000,5.3000,5.1000,5.2400,1.0000,2657
5.2500,5.2500,2020-04-21,0.0000,5.4300,5.1600,5.4300,1.0000,7285
5.4100,5.4100,2020-04-20,0.0000,5.4657,5.1000,5.2500,1.0000,17843
6.0300,6.0300,2020-04-17,0.0000,6.0300,6.0300,6.0300,1.0000,104
6.0300,6.0300,2020-04-16,0.0000,6.0300,6.0300,6.0300,1.0000,319
6.0900,6.0900,2020-04-15,0.0000,6.7000,6.0900,6.7000,1.0000,674
6.7200,6.7200,2020-04-14,0.0000,6.7200,6.7200,6.7200,1.0000,0
6.7200,6.7200,2020-04-13,0.0000,6.7200,6.3900,6.3900,1.0000,358
5.9700,5.9700,2020-04-09,0.0000,5.9700,5.4631,5.4999,1.0000,1448
5.8000,5.8000,2020-04-08,0.0000,5.8000,5.8000,5.8000,1.0000,215
5.8000,5.8000,2020-04-07,0.0000,5.8000,5.7700,5.7900,1.0000,1928
5.6225,5.6225,2020-04-06,0.0000,5.7200,5.2500,5.2500,1.0000,2469
5.2500,5.2500,2020-04-03,0.0000,5.3000,5.2500,5.3000,1.0000,516
5.2500,5.2500,2020-04-02,0.0000,5.2500,5.2500,5.2500,1.0000,461
5.3400,5.3400,2020-04-01,0.0000,5.3400,5.3400,5.3400,1.0000,216
5.3800,5.3800,2020-03-31,0.0000,5.3800,5.3800,5.3800,1.0000,471
5.3700,5.3700,2020-03-30,0.0000,5.3700,5.3700,5.3700,1.0000,383
5.2800,5.2800,2020-03-27,0.0000,5.2800,5.2500,5.2500,1.0000,641
5.1700,5.1700,2020-03-26,0.0000,5.5330,5.1700,5.5330,1.0000,1472
5.5000,5.5000,2020-03-25,0.0000,5.5000,5.4200,5.4200,1.0000,2365
5.4600,5.4600,2020-03-24,0.0000,5.4600,5.4600,5.4600,1.0000,0
5.4600,5.4600,2020-03-23,0.0000,5.5100,5.0000,5.0000,1.0000,1099
5.0300,5.0300,2020-03-20,0.0000,5.2800,5.0300,5.2800,1.0000,868
5.2900,5.2900,2020-03-19,0.0000,5.2900,5.2900,5.2900,1.0000,1
5.2900,5.2900,2020-03-18,0.0000,5.2900,5.2900,5.2900,1.0000,314
5.3200,5.3200,2020-03-17,0.0000,5.3636,5.3200,5.3636,1.0000,456
5.4739,5.4739,2020-03-16,0.0000,5.4739,5.4739,5.4739,1.0000,1162
6.0500,6.0500,2020-03-13,0.0000,6.0500,6.0500,6.0500,1.0000,446
6.0000,6.0000,2020-03-12,0.0000,6.4700,6.0000,6.0000,1.0000,465
6.9500,6.9500,2020-03-11,0.0000,7.0600,6.5760,6.5760,1.0000,2221
6.9900,6.9900,2020-03-10,0.0000,7.0000,6.3900,7.0000,1.0000,573
6.3900,6.3900,2020-03-09,0.0000,7.0900,6.3900,7.0900,1.0000,872
6.9500,6.9500,2020-03-06,0.0000,7.0250,6.9500,7.0000,1.0000,2506
7.0000,7.0000,2020-03-05,0.0000,7.0000,7.0000,7.0000,1.0000,1261
7.0000,7.0000,2020-03-04,0.0000,7.0223,7.0000,7.0000,1.0000,513
7.0001,7.0001,2020-03-03,0.0000,7.0001,7.0000,7.0000,1.0000,3461
7.0075,7.0075,2020-03-02,0.0000,7.0500,7.0000,7.0000,1.0000,2489
7.0000,7.0000,2020-02-28,0.0000,7.2500,7.0000,7.2500,1.0000,17228
7.3400,7.3400,2020-02-27,0.0000,7.3514,7.3200,7.3514,1.0000,551
7.4800,7.4800,2020-02-26,0.0000,7.5300,7.3400,7.3400,1.0000,1201
7.3400,7.3400,2020-02-25,0.0000,7.4300,7.3069,7.3461,1.0000,1170
7.4700,7.4700,2020-02-24,0.0000,7.4700,7.4300,7.4300,1.0000,226
7.8110,7.8110,2020-02-21,0.0000,8.0000,7.8000,7.8000,1.0000,6029
7.8100,7.8100,2020-02-20,0.0000,7.8200,7.8000,7.8000,1.0000,1440
7.3400,7.3400,2020-02-19,0.0000,7.8100,7.3400,7.6800,1.0000,1454
7.4100,7.4100,2020-02-18,0.0000,7.4100,7.3700,7.3700,1.0000,209
7.6900,7.6900,2020-02-14,0.0000,7.6900,7.4750,7.4750,1.0000,1438
7.6000,7.6000,2020-02-13,0.0000,7.6000,7.4350,7.4350,1.0000,2382
7.6000,7.6000,2020-02-12,0.0000,7.6000,7.3650,7.3650,1.0000,2584
7.3300,7.3300,2020-02-11,0.0000,7.3400,7.3300,7.3400,1.0000,205
7.4581,7.4581,2020-02-10,0.0000,7.4581,7.3915,7.3915,1.0000,749
