adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
14.1700,14.1700,2017-05-30,0.0000,14.1700,14.1700,14.1700,1.0000,0
14.1700,14.1700,2017-05-26,0.0000,14.3000,14.0100,14.0900,1.0000,57128467
14.2500,14.2500,2017-05-25,0.0000,14.4500,14.1550,14.3800,1.0000,4703501
14.3500,14.3500,2017-05-24,0.0000,14.4400,14.2650,14.4100,1.0000,3839215
14.5200,14.5200,2017-05-23,0.0000,14.5500,14.3350,14.4500,1.0000,2856651
14.5200,14.5200,2017-05-22,0.0000,14.5500,14.3400,14.4100,1.0000,2007363
14.3800,14.3800,2017-05-19,0.0000,14.4000,14.0700,14.1000,1.0000,2068442
14.1200,14.1200,2017-05-18,0.0000,14.1700,13.8500,13.8600,1.0000,1883890
13.8500,13.8500,2017-05-17,0.0000,14.2000,13.7600,14.1000,1.0000,3156178
14.2800,14.2800,2017-05-16,0.0000,14.6100,14.2600,14.5900,1.0000,3481748
14.6200,14.6200,2017-05-15,0.0000,14.8100,14.6100,14.7100,1.0000,3159763
14.4900,14.4900,2017-05-12,0.0000,14.7600,14.4700,14.4700,1.0000,3239370
14.4500,14.4500,2017-05-11,0.0000,14.5600,14.3600,14.3900,1.0000,2615461
14.4300,14.4300,2017-05-10,0.0000,14.4600,14.2300,14.2600,1.0000,2893241
14.0900,14.0900,2017-05-09,0.0000,14.2200,14.0600,14.1700,1.0000,4725862
13.8300,13.8300,2017-05-08,0.0000,13.9800,13.7300,13.9200,1.0000,3338633
13.7600,13.7600,2017-05-05,0.0000,13.9500,13.7100,13.8000,1.0000,2609326
13.7400,13.7400,2017-05-04,0.0000,14.0750,13.7000,13.7200,1.0000,4871379
13.7000,13.7000,2017-05-03,0.1100,13.7400,13.3400,13.3600,1.0000,2530888
13.6300,13.6300,2017-05-02,0.0000,13.6500,13.4650,13.5300,1.0000,1641264
13.5400,13.5400,2017-05-01,0.0000,13.7600,13.5300,13.7600,1.0000,1411647
13.6600,13.6600,2017-04-28,0.0000,13.7500,13.5500,13.6700,1.0000,2052689
13.7800,13.7800,2017-04-27,0.0000,13.7800,13.5200,13.5700,1.0000,2263585
13.5600,13.5600,2017-04-26,0.0000,13.6850,13.4300,13.4400,1.0000,2268697
13.4500,13.4500,2017-04-25,0.0000,13.6400,13.3950,13.5300,1.0000,2050993
13.4300,13.4300,2017-04-24,0.0000,13.6000,13.4300,13.5100,1.0000,2691076
13.1500,13.1500,2017-04-21,0.0000,13.3250,13.1000,13.2500,1.0000,2331892
13.2200,13.2200,2017-04-20,0.0000,13.4100,13.0700,13.3000,1.0000,4091612
13.2300,13.2300,2017-04-19,0.0000,13.4400,13.1800,13.3700,1.0000,2122197
13.1700,13.1700,2017-04-18,0.0000,13.2400,12.9600,13.1600,1.0000,2575966
13.2500,13.2500,2017-04-17,0.0000,13.2500,12.9600,13.0000,1.0000,1288857
13.0000,13.0000,2017-04-13,0.0000,13.2400,12.9900,13.1800,1.0000,1319616
13.2200,13.2200,2017-04-12,0.0000,13.2800,13.0500,13.0800,1.0000,1431106
13.1200,13.1200,2017-04-11,0.0000,13.2400,12.9350,13.0000,1.0000,2678551
12.8900,12.8900,2017-04-10,0.0000,13.0100,12.8300,12.8800,1.0000,981255
12.8100,12.8100,2017-04-07,0.0000,12.9500,12.8000,12.8900,1.0000,1117881
12.9600,12.9600,2017-04-06,0.0000,12.9600,12.7500,12.8500,1.0000,965797
12.8600,12.8600,2017-04-05,0.0000,13.1600,12.8600,13.1500,1.0000,1462978
13.0900,13.0900,2017-04-04,0.0000,13.1400,12.9900,13.0500,1.0000,1437520
13.3200,13.3200,2017-04-03,0.0000,13.3800,13.2400,13.3200,1.0000,2455595
13.2000,13.2000,2017-03-31,0.0000,13.2700,13.0500,13.0800,1.0000,1766276
13.1100,13.1100,2017-03-30,0.0000,13.2000,13.0300,13.1100,1.0000,3573638
12.9000,12.9000,2017-03-29,0.0000,12.9500,12.8000,12.8800,1.0000,1149638
12.9200,12.9200,2017-03-28,0.0000,12.9400,12.6800,12.7100,1.0000,1242806
12.6600,12.6600,2017-03-27,0.0000,12.8200,12.6000,12.7400,1.0000,1074695
12.7300,12.7300,2017-03-24,0.0000,12.8400,12.6400,12.7200,1.0000,1283050
12.7100,12.7100,2017-03-23,0.0000,12.8700,12.6513,12.6800,1.0000,922755
12.7000,12.7000,2017-03-22,0.0000,12.7200,12.5000,12.5700,1.0000,1451173
12.6500,12.6500,2017-03-21,0.0000,13.1200,12.5800,13.0500,1.0000,3353310
12.8600,12.8600,2017-03-20,0.0000,12.9500,12.7650,12.8600,1.0000,1467116
12.8200,12.8200,2017-03-17,0.0000,13.0100,12.7750,12.9600,1.0000,2493371
12.9600,12.9600,2017-03-16,0.0000,13.0100,12.8850,12.9200,1.0000,1400764
12.7800,12.7800,2017-03-15,0.0000,12.8100,12.5300,12.5500,1.0000,1241500
12.4700,12.4700,2017-03-14,0.0000,12.6050,12.0100,12.5700,1.0000,1166519
12.6800,12.6800,2017-03-13,0.0000,12.7200,12.6300,12.6300,1.0000,935839
12.6600,12.6600,2017-03-10,0.0000,12.7300,12.5600,12.5900,1.0000,898336
12.4700,12.4700,2017-03-09,0.0000,12.6100,12.4600,12.6100,1.0000,1189274
12.4600,12.4600,2017-03-08,0.0000,12.6400,12.4500,12.5500,1.0000,1081757
12.4200,12.4200,2017-03-07,0.0000,12.5600,12.4000,12.4500,1.0000,1357114
12.4500,12.4500,2017-03-06,0.0000,12.5600,12.3800,12.4200,1.0000,1733952
12.3300,12.3300,2017-03-03,0.0000,12.4900,12.3300,12.4300,1.0000,1364257
12.3600,12.3600,2017-03-02,0.0000,12.6500,12.3600,12.6000,1.0000,1493815
12.6100,12.6100,2017-03-01,0.0000,12.7400,12.4700,12.7000,1.0000,2083718
12.6600,12.6600,2017-02-28,0.0000,12.7500,12.5500,12.5800,1.0000,1508987
12.7100,12.7100,2017-02-27,0.0000,12.7400,12.3600,12.3900,1.0000,850868
12.5000,12.5000,2017-02-24,0.0000,12.5000,12.3500,12.4600,1.0000,1903063
12.6200,12.6200,2017-02-23,0.0000,12.8200,12.5500,12.7700,1.0000,2221091
12.7200,12.7200,2017-02-22,0.0000,12.8700,12.6750,12.7900,1.0000,1814638
12.7900,12.7900,2017-02-21,0.0000,12.8600,12.6900,12.7700,1.0000,2507289
12.4500,12.4500,2017-02-17,0.0000,12.4650,12.2985,12.3900,1.0000,518000
12.4100,12.4100,2017-02-16,0.0000,12.5318,12.3700,12.5300,1.0000,692477
12.5500,12.5500,2017-02-15,0.0000,12.5600,12.3900,12.4300,1.0000,868481
12.5300,12.5300,2017-02-14,0.0000,12.5400,12.3400,12.4500,1.0000,1647349
12.4100,12.4100,2017-02-13,0.0000,12.4500,12.2100,12.2200,1.0000,1535578
12.1200,12.1200,2017-02-10,0.0000,12.2000,12.0300,12.1300,1.0000,1364108
12.0800,12.0800,2017-02-09,0.0000,12.0800,11.9550,12.0100,1.0000,1013707
12.0800,12.0800,2017-02-08,0.0000,12.2500,11.9600,12.2000,1.0000,2111049
12.1600,12.1600,2017-02-07,0.0000,12.3105,12.0600,12.2700,1.0000,1419124
12.2000,12.2000,2017-02-06,0.0000,12.2500,12.1482,12.2300,1.0000,939840
