adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
9.8500,9.8500,2020-05-12,0.0000,10.7400,9.8500,10.6500,1.0000,973180
10.6600,10.6600,2020-05-11,0.0000,11.0300,10.3650,11.0300,1.0000,507044
11.2800,11.2800,2020-05-08,0.0000,11.4400,10.6800,10.9000,1.0000,382929
10.5300,10.5300,2020-05-07,0.0000,10.7900,10.4400,10.4400,1.0000,497018
10.3000,10.3000,2020-05-06,0.0000,11.0900,10.3000,10.9000,1.0000,346125
10.9400,10.9400,2020-05-05,0.0000,11.4900,10.8800,11.1300,1.0000,388724
10.9000,10.9000,2020-05-04,0.0000,11.1300,10.5300,10.6700,1.0000,392383
10.9600,10.9600,2020-05-01,0.0000,11.3800,10.6900,11.2200,1.0000,509402
11.6600,11.6600,2020-04-30,0.0000,11.8600,11.2800,11.7300,1.0000,646250
12.1000,12.1000,2020-04-29,0.0000,12.1700,11.1600,11.2600,1.0000,621113
10.9200,10.9200,2020-04-28,0.0000,11.6700,10.5100,11.0100,1.0000,916982
10.3900,10.3900,2020-04-27,0.0000,10.6000,9.7700,9.7700,1.0000,404803
9.6100,9.6100,2020-04-24,0.0000,9.7500,9.1200,9.3100,1.0000,350047
9.3100,9.3100,2020-04-23,0.0000,9.5805,9.1000,9.1300,1.0000,341537
9.1500,9.1500,2020-04-22,0.0000,9.5100,9.0300,9.4000,1.0000,264526
9.2100,9.2100,2020-04-21,0.0000,9.3500,9.0000,9.1300,1.0000,318546
9.4200,9.4200,2020-04-20,0.0000,9.7766,9.3000,9.5300,1.0000,407121
9.7400,9.7400,2020-04-17,0.0000,9.8900,9.3700,9.3800,1.0000,527135
9.0100,9.0100,2020-04-16,0.0000,9.6400,8.7600,9.5500,1.0000,477308
9.6000,9.6000,2020-04-15,0.0000,10.2000,9.5700,10.2000,1.0000,404332
10.6900,10.6900,2020-04-14,0.0000,11.5900,10.6000,11.3000,1.0000,507498
11.0300,11.0300,2020-04-13,0.0000,11.3040,10.5000,11.2100,1.0000,405426
11.2500,11.2500,2020-04-09,0.0000,11.3200,10.4300,10.4800,1.0000,504081
9.9900,9.9900,2020-04-08,0.0000,10.0900,9.4700,9.7800,1.0000,378895
9.5600,9.5600,2020-04-07,0.0000,10.1561,9.2400,9.7100,1.0000,601161
9.2600,9.2600,2020-04-06,0.0000,9.4300,8.9400,9.0000,1.0000,432063
8.6200,8.6200,2020-04-03,0.0000,9.3300,8.4300,9.1100,1.0000,446347
9.2600,9.2600,2020-04-02,0.0000,9.9000,8.9400,9.3300,1.0000,454880
9.5200,9.5200,2020-04-01,0.0000,10.0000,9.4000,9.8500,1.0000,861735
10.3200,10.3200,2020-03-31,0.0000,10.6800,10.0300,10.1600,1.0000,546211
10.2700,10.2700,2020-03-30,0.0000,10.4700,9.6800,10.2200,1.0000,385051
10.0800,10.0800,2020-03-27,0.0000,10.7100,9.5000,9.5800,1.0000,492912
9.9400,9.9400,2020-03-26,0.0000,10.0299,9.6300,9.7300,1.0000,548409
9.6500,9.6500,2020-03-25,0.0000,10.5500,9.2300,9.7100,1.0000,849389
9.0500,9.0500,2020-03-24,0.0000,9.4000,8.2300,9.0300,1.0000,1019649
8.7800,8.7800,2020-03-23,0.0000,8.9400,7.7400,8.7000,1.0000,888453
8.9900,8.9900,2020-03-20,0.0000,9.9600,8.8900,9.5800,1.0000,1080769
9.3100,9.3100,2020-03-19,0.0000,9.4600,8.6800,9.0400,1.0000,877876
9.0700,9.0700,2020-03-18,0.0000,9.2100,8.3000,9.1100,1.0000,966003
9.4900,9.4900,2020-03-17,0.0000,10.7502,8.8750,10.6800,1.0000,906941
10.5400,10.5400,2020-03-16,0.0000,13.0200,10.3300,11.0500,1.0000,769054
12.9200,12.9200,2020-03-13,0.1700,12.9200,11.1100,11.7600,1.0000,952700
11.1335,11.2800,2020-03-12,0.0000,12.3100,11.2500,12.1300,1.0000,532950
12.8016,12.9700,2020-03-11,0.0000,13.8650,12.6600,13.6500,1.0000,443163
13.9169,14.1000,2020-03-10,0.0000,14.6700,13.5400,14.5900,1.0000,558600
13.9662,14.1500,2020-03-09,0.0000,15.2205,13.8600,14.8400,1.0000,467117
15.8218,16.0300,2020-03-06,0.0000,16.5800,15.5700,16.0000,1.0000,500179
16.2857,16.5000,2020-03-05,0.0000,17.2400,16.3000,17.1900,1.0000,334157
17.4405,17.6700,2020-03-04,0.0000,17.6900,17.1500,17.4400,1.0000,254313
16.9273,17.1500,2020-03-03,0.0000,17.9500,17.1000,17.6500,1.0000,378996
17.3912,17.6200,2020-03-02,0.0000,17.7500,17.0800,17.7400,1.0000,398794
17.4109,17.6400,2020-02-28,0.0000,17.7100,17.1200,17.3000,1.0000,510321
17.5688,17.8000,2020-02-27,0.0000,18.9100,17.7400,18.3600,1.0000,844331
18.5164,18.7600,2020-02-26,0.0000,19.9600,18.6900,19.7900,1.0000,397412
19.3849,19.6400,2020-02-25,0.0000,21.0150,19.6200,21.0100,1.0000,347243
20.7470,21.0200,2020-02-24,0.0000,21.1700,20.4800,20.6800,1.0000,599676
21.0332,21.3100,2020-02-21,0.0000,21.6000,21.2500,21.4000,1.0000,484481
21.2405,21.5200,2020-02-20,0.0000,22.9100,21.5100,22.5300,1.0000,834623
22.5434,22.8400,2020-02-19,0.0000,24.4300,21.4300,22.7800,1.0000,2152787
25.5044,25.8400,2020-02-18,0.0000,25.9000,25.4600,25.7300,1.0000,192530
25.3564,25.6900,2020-02-14,0.0000,25.8450,25.4800,25.7700,1.0000,199954
25.4353,25.7700,2020-02-13,0.0000,26.0400,25.6900,25.8400,1.0000,207639
25.6525,25.9900,2020-02-12,0.0000,26.3400,25.8400,26.2300,1.0000,229330
25.8203,26.1600,2020-02-11,0.0000,26.2300,25.6700,26.2200,1.0000,378824
25.7117,26.0500,2020-02-10,0.0000,26.1050,25.5550,25.5600,1.0000,197016
25.3070,25.6400,2020-02-07,0.0000,26.0400,25.5200,25.9200,1.0000,154178
25.6327,25.9700,2020-02-06,0.0000,26.2000,25.6900,25.9100,1.0000,219724
25.4945,25.8300,2020-02-05,0.0000,26.0600,25.4600,25.6000,1.0000,284801
24.9221,25.2500,2020-02-04,0.0000,25.5400,25.1550,25.5400,1.0000,334664
24.8925,25.2200,2020-02-03,0.0000,25.4800,24.9700,24.9900,1.0000,329863
24.4384,24.7600,2020-01-31,0.0000,25.3800,24.4210,25.2600,1.0000,352199
25.0603,25.3900,2020-01-30,0.0000,25.4100,24.9200,25.0300,1.0000,227026
24.7247,25.0500,2020-01-29,0.0000,25.5000,24.9800,25.5000,1.0000,260588
25.1984,25.5300,2020-01-28,0.0000,25.6200,25.2500,25.3000,1.0000,194211
24.9616,25.2900,2020-01-27,0.0000,25.3750,24.8600,25.0000,1.0000,333693
24.8727,25.2000,2020-01-24,0.0000,25.5100,24.9900,25.5100,1.0000,251491
25.1688,25.5000,2020-01-23,0.0000,25.5900,25.0600,25.3700,1.0000,279027
25.1688,25.5000,2020-01-22,0.0000,25.6700,25.3500,25.4000,1.0000,272045
24.8826,25.2100,2020-01-21,0.0000,25.2200,24.7800,24.9900,1.0000,303462
24.7740,25.1000,2020-01-17,0.0000,25.3900,25.0000,25.3100,1.0000,181000
24.7839,25.1100,2020-01-16,0.0000,25.4300,24.9000,25.0000,1.0000,198014
24.5569,24.8800,2020-01-15,0.0000,25.1200,24.5300,24.8300,1.0000,335506
24.6457,24.9700,2020-01-14,0.0000,25.1700,24.7400,24.9100,1.0000,353725
24.4977,24.8200,2020-01-13,0.0000,24.8400,24.1400,24.2700,1.0000,309821
23.9449,24.2600,2020-01-10,0.0000,24.3400,23.7600,23.9800,1.0000,385508
23.6291,23.9400,2020-01-09,0.0000,24.3700,23.9300,24.3400,1.0000,315727
23.9844,24.3000,2020-01-08,0.0000,24.6100,24.2400,24.3700,1.0000,204485
24.0535,24.3700,2020-01-07,0.0000,24.8550,24.3600,24.7100,1.0000,240869
24.5174,24.8400,2020-01-06,0.0000,24.9425,24.5250,24.6400,1.0000,477782
24.6852,25.0100,2020-01-03,0.0000,25.1298,24.6000,24.6500,1.0000,184909
24.6753,25.0000,2020-01-02,0.0000,25.3700,24.7300,25.3700,1.0000,308933
24.9319,25.2600,2019-12-31,0.0000,25.4800,25.2500,25.2800,1.0000,180535
24.9714,25.3000,2019-12-30,0.0000,25.4600,25.2300,25.4300,1.0000,257597
25.0997,25.4300,2019-12-27,0.0000,25.6400,25.2800,25.5200,1.0000,245409
25.0603,25.3900,2019-12-26,0.0000,26.0750,25.1500,26.0300,1.0000,340589
25.6327,25.9700,2019-12-24,0.0000,25.9900,25.5600,25.7100,1.0000,257047
25.3662,25.7000,2019-12-23,0.0000,26.3000,25.6500,26.3000,1.0000,361112
25.9091,26.2500,2019-12-20,0.0000,26.6100,26.1700,26.4200,1.0000,655547
26.0177,26.3600,2019-12-19,0.0000,27.6700,26.2500,27.4300,1.0000,468837
