adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.1515,0.1515,2020-05-12,0.0000,0.1550,0.1414,0.1500,1.0000,5650
0.1548,0.1548,2020-05-11,0.0000,0.1548,0.1360,0.1468,1.0000,45400
0.1522,0.1522,2020-05-08,0.0000,0.1593,0.1500,0.1525,1.0000,43435
0.1500,0.1500,2020-05-07,0.0000,0.1500,0.1299,0.1299,1.0000,54170
0.1429,0.1429,2020-05-06,0.0000,0.1540,0.1380,0.1539,1.0000,31042
0.1547,0.1547,2020-05-05,0.0000,0.1550,0.1374,0.1500,1.0000,47693
0.1506,0.1506,2020-05-04,0.0000,0.1506,0.1370,0.1474,1.0000,69950
0.1500,0.1500,2020-05-01,0.0000,0.2000,0.1300,0.1400,1.0000,124451
0.1452,0.1452,2020-04-30,0.0000,0.1488,0.1400,0.1474,1.0000,16520
0.1450,0.1450,2020-04-29,0.0000,0.1583,0.1329,0.1583,1.0000,86399
0.1476,0.1476,2020-04-28,0.0000,0.1550,0.1390,0.1542,1.0000,63006
0.1400,0.1400,2020-04-27,0.0000,0.1552,0.1400,0.1494,1.0000,104676
0.1470,0.1470,2020-04-24,0.0000,0.1612,0.1447,0.1591,1.0000,64188
0.1600,0.1600,2020-04-23,0.0000,0.1737,0.1422,0.1494,1.0000,232756
0.1430,0.1430,2020-04-22,0.0000,0.1450,0.1400,0.1400,1.0000,61437
0.1397,0.1397,2020-04-21,0.0000,0.1448,0.1210,0.1354,1.0000,152833
0.1422,0.1422,2020-04-20,0.0000,0.1458,0.1295,0.1350,1.0000,147939
0.1400,0.1400,2020-04-17,0.0000,0.1430,0.1270,0.1388,1.0000,30874
0.1300,0.1300,2020-04-16,0.0000,0.1400,0.1250,0.1351,1.0000,135020
0.1367,0.1367,2020-04-15,0.0000,0.1400,0.1300,0.1300,1.0000,17888
0.1400,0.1400,2020-04-14,0.0000,0.1606,0.1400,0.1442,1.0000,173467
0.1442,0.1442,2020-04-13,0.0000,0.1452,0.1307,0.1343,1.0000,89286
0.1337,0.1337,2020-04-09,0.0000,0.1337,0.1208,0.1208,1.0000,58078
0.1180,0.1180,2020-04-08,0.0000,0.1180,0.1098,0.1166,1.0000,70999
0.1200,0.1200,2020-04-07,0.0000,0.1250,0.1100,0.1201,1.0000,33360
0.1200,0.1200,2020-04-06,0.0000,0.1240,0.1000,0.1200,1.0000,130289
0.1182,0.1182,2020-04-03,0.0000,0.1182,0.1120,0.1179,1.0000,15700
0.1200,0.1200,2020-04-02,0.0000,0.1200,0.1070,0.1196,1.0000,62832
0.1200,0.1200,2020-04-01,0.0000,0.1207,0.1150,0.1207,1.0000,18655
0.1200,0.1200,2020-03-31,0.0000,0.1200,0.1100,0.1155,1.0000,42690
0.1217,0.1217,2020-03-30,0.0000,0.1274,0.1070,0.1274,1.0000,74410
0.1276,0.1276,2020-03-27,0.0000,0.1300,0.1190,0.1289,1.0000,37000
0.1300,0.1300,2020-03-26,0.0000,0.1400,0.1270,0.1300,1.0000,19901
0.1300,0.1300,2020-03-25,0.0000,0.1300,0.0800,0.1240,1.0000,55660
0.1233,0.1233,2020-03-24,0.0000,0.1600,0.0800,0.1191,1.0000,295931
0.1038,0.1038,2020-03-23,0.0000,0.1050,0.0880,0.0897,1.0000,96659
0.0960,0.0960,2020-03-20,0.0000,0.1100,0.0800,0.1100,1.0000,239600
0.1083,0.1083,2020-03-19,0.0000,0.1130,0.0959,0.1130,1.0000,142452
0.1165,0.1165,2020-03-18,0.0000,0.1231,0.1141,0.1195,1.0000,40389
0.1240,0.1240,2020-03-17,0.0000,0.1250,0.1111,0.1135,1.0000,65550
0.1100,0.1100,2020-03-16,0.0000,0.1200,0.0885,0.1127,1.0000,163882
0.1232,0.1232,2020-03-13,0.0000,0.1350,0.1138,0.1349,1.0000,53699
0.1395,0.1395,2020-03-12,0.0000,0.1420,0.1199,0.1280,1.0000,44457
0.1389,0.1389,2020-03-11,0.0000,0.1602,0.1300,0.1602,1.0000,263278
0.1615,0.1615,2020-03-10,0.0000,0.1616,0.1500,0.1550,1.0000,41392
0.1800,0.1800,2020-03-09,0.0000,0.1800,0.1437,0.1614,1.0000,79721
0.1750,0.1750,2020-03-06,0.0000,0.1800,0.1733,0.1779,1.0000,25888
0.1800,0.1800,2020-03-05,0.0000,0.1825,0.1600,0.1825,1.0000,44389
0.1800,0.1800,2020-03-04,0.0000,0.1849,0.1567,0.1790,1.0000,25033
0.1762,0.1762,2020-03-03,0.0000,0.1882,0.1695,0.1695,1.0000,64132
0.1636,0.1636,2020-03-02,0.0000,0.1636,0.1360,0.1590,1.0000,58418
0.1548,0.1548,2020-02-28,0.0000,0.1686,0.1327,0.1686,1.0000,473683
0.1700,0.1700,2020-02-27,0.0000,0.2000,0.1600,0.1906,1.0000,119034
0.2000,0.2000,2020-02-26,0.0000,0.2200,0.1857,0.2041,1.0000,59500
0.2000,0.2000,2020-02-25,0.0000,0.2308,0.2000,0.2230,1.0000,61822
0.2270,0.2270,2020-02-24,0.0000,0.2400,0.2218,0.2321,1.0000,79654
0.2300,0.2300,2020-02-21,0.0000,0.2405,0.2159,0.2300,1.0000,53762
0.2312,0.2312,2020-02-20,0.0000,0.2500,0.2200,0.2239,1.0000,56235
0.2212,0.2212,2020-02-19,0.0000,0.2290,0.1900,0.2043,1.0000,121044
0.2140,0.2140,2020-02-18,0.0000,0.2140,0.1750,0.2037,1.0000,363993
0.2050,0.2050,2020-02-14,0.0000,0.2126,0.2000,0.2126,1.0000,23150
0.2100,0.2100,2020-02-13,0.0000,0.2100,0.2100,0.2100,1.0000,0
0.2100,0.2100,2020-02-12,0.0000,0.2100,0.2100,0.2100,1.0000,0
0.2119,0.2119,2020-02-11,0.0000,0.2120,0.2107,0.2107,1.0000,6488
0.2180,0.2180,2020-02-10,0.0000,0.2200,0.2120,0.2200,1.0000,42550
0.2268,0.2268,2020-02-07,0.0000,0.2300,0.2145,0.2252,1.0000,141188
0.2299,0.2299,2020-02-06,0.0000,0.2300,0.2139,0.2150,1.0000,98039
0.2201,0.2201,2020-02-05,0.0000,0.2231,0.2130,0.2130,1.0000,5183
0.2166,0.2166,2020-02-04,0.0000,0.2194,0.1992,0.2135,1.0000,14562
0.2150,0.2150,2020-02-03,0.0000,0.2150,0.2050,0.2100,1.0000,21805
0.2102,0.2102,2020-01-31,0.0000,0.2130,0.2000,0.2130,1.0000,15334
0.2129,0.2129,2020-01-30,0.0000,0.2129,0.2000,0.2115,1.0000,70100
0.2008,0.2008,2020-01-29,0.0000,0.2200,0.2000,0.2200,1.0000,54517
0.2150,0.2150,2020-01-28,0.0000,0.2168,0.2050,0.2100,1.0000,43091
0.2100,0.2100,2020-01-27,0.0000,0.2310,0.2013,0.2272,1.0000,109219
0.2170,0.2170,2020-01-24,0.0000,0.2200,0.2137,0.2138,1.0000,26742
0.2137,0.2137,2020-01-23,0.0000,0.2218,0.2137,0.2150,1.0000,31983
0.2202,0.2202,2020-01-22,0.0000,0.2202,0.2106,0.2106,1.0000,2500
0.2100,0.2100,2020-01-21,0.0000,0.2269,0.2081,0.2100,1.0000,64101
0.2190,0.2190,2020-01-17,0.0000,0.2190,0.2100,0.2131,1.0000,29400
0.2134,0.2134,2020-01-16,0.0000,0.2300,0.2134,0.2260,1.0000,72129
0.2187,0.2187,2020-01-15,0.0000,0.2294,0.2145,0.2294,1.0000,83600
0.2300,0.2300,2020-01-14,0.0000,0.2300,0.2093,0.2123,1.0000,18440
0.2130,0.2130,2020-01-13,0.0000,0.2300,0.2100,0.2300,1.0000,41012
0.2208,0.2208,2020-01-10,0.0000,0.2400,0.2120,0.2280,1.0000,70950
0.2270,0.2270,2020-01-09,0.0000,0.2350,0.2100,0.2288,1.0000,241799
0.2360,0.2360,2020-01-08,0.0000,0.2508,0.2214,0.2508,1.0000,246812
0.2480,0.2480,2020-01-07,0.0000,0.2581,0.2300,0.2450,1.0000,104942
0.2619,0.2619,2020-01-06,0.0000,0.2619,0.2350,0.2585,1.0000,118876
0.2500,0.2500,2020-01-03,0.0000,0.2656,0.2350,0.2619,1.0000,243998
0.2592,0.2592,2020-01-02,0.0000,0.2673,0.2467,0.2602,1.0000,177564
0.2650,0.2650,2019-12-31,0.0000,0.2650,0.2250,0.2342,1.0000,466776
0.2190,0.2190,2019-12-30,0.0000,0.2400,0.2185,0.2201,1.0000,165054
0.2228,0.2228,2019-12-27,0.0000,0.2228,0.1983,0.2075,1.0000,125929
0.2100,0.2100,2019-12-26,0.0000,0.2100,0.1980,0.1980,1.0000,23000
0.2000,0.2000,2019-12-24,0.0000,0.2100,0.1980,0.2095,1.0000,32500
0.1934,0.1934,2019-12-23,0.0000,0.2034,0.1800,0.1802,1.0000,174987
0.1695,0.1695,2019-12-20,0.0000,0.1873,0.1695,0.1800,1.0000,22850
0.1800,0.1800,2019-12-19,0.0000,0.1833,0.1640,0.1640,1.0000,76111
0.1642,0.1642,2019-12-18,0.0000,0.1680,0.1600,0.1665,1.0000,25906
0.1673,0.1673,2019-12-17,0.0000,0.1750,0.1607,0.1607,1.0000,77523
0.1600,0.1600,2019-12-16,0.0000,0.1763,0.1600,0.1740,1.0000,48350
0.1753,0.1753,2019-12-13,0.0000,0.1770,0.1698,0.1698,1.0000,23500
0.1719,0.1719,2019-12-12,0.0000,0.1719,0.1500,0.1656,1.0000,402861
0.1680,0.1680,2019-12-11,0.0000,0.1680,0.1500,0.1575,1.0000,89751
0.1575,0.1575,2019-12-10,0.0000,0.1860,0.1514,0.1850,1.0000,183100
0.1750,0.1750,2019-12-09,0.0000,0.1750,0.1750,0.1750,1.0000,25000
0.1759,0.1759,2019-12-06,0.0000,0.1870,0.1640,0.1747,1.0000,66540
0.1800,0.1800,2019-12-05,0.0000,0.1800,0.1650,0.1728,1.0000,33800
0.1770,0.1770,2019-12-04,0.0000,0.1793,0.1750,0.1766,1.0000,16170
0.1727,0.1727,2019-12-03,0.0000,0.1804,0.1651,0.1700,1.0000,260980
0.1711,0.1711,2019-12-02,0.0000,0.1750,0.1640,0.1749,1.0000,94810
0.1713,0.1713,2019-11-29,0.0000,0.1743,0.1619,0.1715,1.0000,63700
0.1715,0.1715,2019-11-27,0.0000,0.1800,0.1715,0.1800,1.0000,39491
0.1715,0.1715,2019-11-26,0.0000,0.1820,0.1715,0.1800,1.0000,16030
0.1741,0.1741,2019-11-25,0.0000,0.1750,0.1620,0.1750,1.0000,50100
0.1818,0.1818,2019-11-22,0.0000,0.1830,0.1780,0.1830,1.0000,8270
0.1651,0.1651,2019-11-21,0.0000,0.1651,0.1651,0.1651,1.0000,1000
0.1847,0.1847,2019-11-20,0.0000,0.1847,0.1656,0.1733,1.0000,105400
0.1886,0.1886,2019-11-19,0.0000,0.1900,0.1800,0.1900,1.0000,35700
0.1898,0.1898,2019-11-18,0.0000,0.1898,0.1770,0.1865,1.0000,121430
0.1950,0.1950,2019-11-15,0.0000,0.1950,0.1500,0.1865,1.0000,80950
0.1892,0.1892,2019-11-14,0.0000,0.1892,0.1700,0.1790,1.0000,32450
0.1780,0.1780,2019-11-13,0.0000,0.1790,0.1650,0.1790,1.0000,8651
0.1771,0.1771,2019-11-12,0.0000,0.1813,0.1661,0.1813,1.0000,23666
0.1710,0.1710,2019-11-11,0.0000,0.1800,0.1700,0.1742,1.0000,44352
0.1729,0.1729,2019-11-08,0.0000,0.1800,0.1729,0.1800,1.0000,36505
0.1800,0.1800,2019-11-07,0.0000,0.1900,0.1800,0.1800,1.0000,19010
0.1895,0.1895,2019-11-06,0.0000,0.1895,0.1890,0.1890,1.0000,20852
0.1890,0.1890,2019-11-05,0.0000,0.1950,0.1830,0.1870,1.0000,29023
0.1920,0.1920,2019-11-04,0.0000,0.2063,0.1890,0.2050,1.0000,34287
0.1920,0.1920,2019-11-01,0.0000,0.1958,0.1810,0.1810,1.0000,21225
0.1920,0.1920,2019-10-31,0.0000,0.2150,0.1920,0.2150,1.0000,85148
0.1863,0.1863,2019-10-30,0.0000,0.2050,0.1821,0.2050,1.0000,62125
0.1980,0.1980,2019-10-29,0.0000,0.2040,0.1820,0.2000,1.0000,141210
0.1980,0.1980,2019-10-28,0.0000,0.2080,0.1980,0.2060,1.0000,38450
0.2071,0.2071,2019-10-25,0.0000,0.2141,0.1900,0.2080,1.0000,63616
0.2000,0.2000,2019-10-24,0.0000,0.2000,0.1914,0.1949,1.0000,87650
0.1920,0.1920,2019-10-23,0.0000,0.2022,0.1920,0.1996,1.0000,55300
0.1998,0.1998,2019-10-22,0.0000,0.2003,0.1850,0.1930,1.0000,30000
0.2040,0.2040,2019-10-21,0.0000,0.2049,0.1757,0.1860,1.0000,77390
0.1983,0.1983,2019-10-18,0.0000,0.2000,0.1983,0.2000,1.0000,32700
0.1960,0.1960,2019-10-17,0.0000,0.1999,0.1800,0.1862,1.0000,27800
0.1900,0.1900,2019-10-16,0.0000,0.1931,0.1769,0.1931,1.0000,33400
0.1809,0.1809,2019-10-15,0.0000,0.1950,0.1809,0.1835,1.0000,58850
0.1900,0.1900,2019-10-14,0.0000,0.1900,0.1900,0.1900,1.0000,0
0.1895,0.1895,2019-10-11,0.0000,0.1936,0.1850,0.1936,1.0000,27141
0.1950,0.1950,2019-10-10,0.0000,0.2068,0.1950,0.2053,1.0000,45888
0.2060,0.2060,2019-10-09,0.0000,0.2060,0.1939,0.2040,1.0000,14265
0.2050,0.2050,2019-10-08,0.0000,0.2084,0.1940,0.1940,1.0000,21900
0.1870,0.1870,2019-10-07,0.0000,0.2200,0.1843,0.2156,1.0000,44900
0.2133,0.2133,2019-10-04,0.0000,0.2200,0.1976,0.2200,1.0000,55500
0.2060,0.2060,2019-10-03,0.0000,0.2100,0.1970,0.1970,1.0000,74450
0.2100,0.2100,2019-10-02,0.0000,0.2155,0.1800,0.1809,1.0000,106200
0.1800,0.1800,2019-10-01,0.0000,0.1925,0.1700,0.1700,1.0000,112800
0.1740,0.1740,2019-09-30,0.0000,0.1864,0.1731,0.1849,1.0000,156023
0.1851,0.1851,2019-09-27,0.0000,0.1950,0.1811,0.1950,1.0000,100822
0.2000,0.2000,2019-09-26,0.0000,0.2170,0.1917,0.2154,1.0000,83400
0.2200,0.2200,2019-09-25,0.0000,0.2300,0.2130,0.2243,1.0000,148300
0.2163,0.2163,2019-09-24,0.0000,0.2300,0.2163,0.2223,1.0000,135696
0.2180,0.2180,2019-09-23,0.0000,0.2198,0.1950,0.2100,1.0000,296306
0.1900,0.1900,2019-09-20,0.0000,0.2000,0.1700,0.1700,1.0000,134050
0.1600,0.1600,2019-09-19,0.0000,0.1700,0.1600,0.1650,1.0000,89400
0.1650,0.1650,2019-09-18,0.0000,0.1800,0.1500,0.1750,1.0000,60750
0.1750,0.1750,2019-09-17,0.0000,0.1785,0.1639,0.1650,1.0000,184290
0.1754,0.1754,2019-09-16,0.0000,0.1883,0.1600,0.1760,1.0000,379501
0.1700,0.1700,2019-09-13,0.0000,0.2082,0.1700,0.2082,1.0000,152700
0.2000,0.2000,2019-09-12,0.0000,0.2000,0.1950,0.1967,1.0000,101000
0.1900,0.1900,2019-09-11,0.0000,0.1934,0.1899,0.1900,1.0000,40500
0.1883,0.1883,2019-09-10,0.0000,0.1900,0.1764,0.1818,1.0000,90732
0.1750,0.1750,2019-09-09,0.0000,0.2033,0.1700,0.2033,1.0000,212424
0.2070,0.2070,2019-09-06,0.0000,0.2101,0.1917,0.2053,1.0000,61275
