adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
4.1500,4.1500,2020-05-12,0.0000,4.5100,4.0000,4.5100,1.0000,33882
4.4000,4.4000,2020-05-11,0.0000,4.6800,3.8482,3.9500,1.0000,60303
3.9500,3.9500,2020-05-08,0.0000,4.2100,3.6500,3.6500,1.0000,44775
3.3171,3.3171,2020-05-07,0.0000,3.5000,3.1200,3.1546,1.0000,34862
3.2000,3.2000,2020-05-06,0.0000,3.2000,3.2000,3.2000,1.0000,259
3.2000,3.2000,2020-05-05,0.0000,3.3000,3.2000,3.2990,1.0000,4554
3.1650,3.1650,2020-05-04,0.0000,3.3000,3.0000,3.0000,1.0000,5064
2.9900,2.9900,2020-05-01,0.0000,3.2500,2.9900,3.2400,1.0000,9434
3.2740,3.2740,2020-04-30,0.0000,3.5100,3.0500,3.5000,1.0000,42550
3.5228,3.5228,2020-04-29,0.0000,3.8100,2.9700,2.9700,1.0000,21282
2.7600,2.7600,2020-04-28,0.0000,2.9500,2.7600,2.9500,1.0000,5804
2.6700,2.6700,2020-04-27,0.0000,2.6700,2.4000,2.4000,1.0000,6435
2.3000,2.3000,2020-04-24,0.0000,2.5100,2.3000,2.5100,1.0000,2499
2.2500,2.2500,2020-04-23,0.0000,2.4900,2.2500,2.3100,1.0000,2772
2.3700,2.3700,2020-04-22,0.0000,2.4820,2.3700,2.3850,1.0000,1474
2.2200,2.2200,2020-04-21,0.0000,2.2400,2.0800,2.0800,1.0000,1857
2.1300,2.1300,2020-04-20,0.0000,2.3500,2.1300,2.3500,1.0000,1288
2.3000,2.3000,2020-04-17,0.0000,2.3400,2.3000,2.3400,1.0000,473
2.3600,2.3600,2020-04-16,0.0000,2.3800,2.3600,2.3600,1.0000,2400
2.4400,2.4400,2020-04-15,0.0000,2.4400,2.4000,2.4100,1.0000,746
2.4000,2.4000,2020-04-14,0.0000,2.5899,2.3800,2.3800,1.0000,6146
2.3141,2.3141,2020-04-13,0.0000,2.3141,2.2800,2.2800,1.0000,1080
2.3800,2.3800,2020-04-09,0.0000,2.3937,2.2922,2.2922,1.0000,5491
2.1500,2.1500,2020-04-08,0.0000,2.3700,2.1500,2.3700,1.0000,4691
2.2900,2.2900,2020-04-07,0.0000,2.2912,1.9500,1.9500,1.0000,21183
1.8100,1.8100,2020-04-06,0.0000,2.0665,1.7644,1.7917,1.0000,8901
1.6900,1.6900,2020-04-03,0.0000,1.9400,1.5500,1.9400,1.0000,32541
