adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.1563,0.1563,2020-05-12,0.0000,0.1600,0.1500,0.1563,1.0000,8488
0.1437,0.1437,2020-05-11,0.0000,0.1750,0.1250,0.1750,1.0000,69656
0.1500,0.1500,2020-05-08,0.0000,0.1600,0.1120,0.1120,1.0000,121486
0.1121,0.1121,2020-05-07,0.0000,0.1600,0.1121,0.1600,1.0000,13958
0.1600,0.1600,2020-05-06,0.0000,0.1600,0.1396,0.1430,1.0000,5522
0.1550,0.1550,2020-05-05,0.0000,0.1600,0.1111,0.1500,1.0000,38929
0.1599,0.1599,2020-05-04,0.0000,0.1675,0.1101,0.1675,1.0000,63356
0.1326,0.1326,2020-05-01,0.0000,0.1550,0.1150,0.1525,1.0000,30754
0.1450,0.1450,2020-04-30,0.0000,0.1599,0.1150,0.1263,1.0000,13682
0.1200,0.1200,2020-04-29,0.0000,0.1399,0.1101,0.1250,1.0000,7132
0.1300,0.1300,2020-04-28,0.0000,0.1300,0.1101,0.1300,1.0000,19970
0.1150,0.1150,2020-04-27,0.0000,0.1350,0.1100,0.1100,1.0000,8963
0.1350,0.1350,2020-04-24,0.0000,0.1400,0.1100,0.1100,1.0000,5795
0.1409,0.1409,2020-04-23,0.0000,0.1410,0.1180,0.1180,1.0000,29393
0.1187,0.1187,2020-04-22,0.0000,0.1300,0.1100,0.1300,1.0000,9615
0.1300,0.1300,2020-04-21,0.0000,0.1750,0.1212,0.1400,1.0000,34007
0.1400,0.1400,2020-04-20,0.0000,0.1400,0.1090,0.1090,1.0000,36400
0.1145,0.1145,2020-04-17,0.0000,0.1200,0.1070,0.1100,1.0000,24791
0.1134,0.1134,2020-04-16,0.0000,0.1200,0.1080,0.1190,1.0000,5369
0.1139,0.1139,2020-04-15,0.0000,0.1200,0.1080,0.1140,1.0000,18591
0.1200,0.1200,2020-04-14,0.0000,0.1300,0.1070,0.1218,1.0000,5892
0.1340,0.1340,2020-04-13,0.0000,0.1340,0.0826,0.0826,1.0000,5049
0.1201,0.1201,2020-04-09,0.0000,0.1201,0.1201,0.1201,1.0000,1127
0.1001,0.1001,2020-04-08,0.0000,0.1225,0.1001,0.1100,1.0000,12062
0.1100,0.1100,2020-04-07,0.0000,0.1200,0.1001,0.1200,1.0000,6413
0.1150,0.1150,2020-04-06,0.0000,0.1400,0.1120,0.1400,1.0000,1659
0.1100,0.1100,2020-04-03,0.0000,0.1100,0.1010,0.1010,1.0000,2632
0.1200,0.1200,2020-04-02,0.0000,0.1200,0.1087,0.1087,1.0000,2018
