adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
111.5000,111.5000,2020-05-12,0.0000,111.5000,111.5000,111.5000,1.0000,5
111.5000,111.5000,2020-05-11,0.0000,111.5000,111.5000,111.5000,1.0000,7
111.5000,111.5000,2020-05-07,0.0000,111.5000,111.5000,111.5000,1.0000,2
111.5000,111.5000,2020-05-04,0.0000,111.5000,111.5000,111.5000,1.0000,9
111.5000,111.5000,2020-04-27,0.0000,111.5000,111.5000,111.5000,1.0000,55
111.5000,111.5000,2020-04-23,0.0000,111.5000,111.5000,111.5000,1.0000,40
111.5000,111.5000,2020-04-21,0.0000,111.5000,111.5000,111.5000,1.0000,2
111.5000,111.5000,2020-04-20,0.0000,111.5000,111.5000,111.5000,1.0000,504
106.5000,106.5000,2020-04-16,0.0000,106.5000,106.5000,106.5000,1.0000,6
106.5000,106.5000,2020-04-15,0.0000,106.5000,106.5000,106.5000,1.0000,40
106.5000,106.5000,2020-04-14,0.0000,106.5000,106.5000,106.5000,1.0000,17
106.5000,106.5000,2020-04-13,0.0000,106.5000,106.5000,106.5000,1.0000,172
110.5400,110.5400,2020-04-08,0.0000,110.5400,110.5400,110.5400,1.0000,26
110.5400,110.5400,2020-04-07,0.0000,110.5400,110.5400,110.5400,1.0000,53
110.5400,110.5400,2020-04-06,0.0000,110.5400,110.5400,110.5400,1.0000,39
110.5400,110.5400,2020-04-03,0.0000,110.5400,110.5400,110.5400,1.0000,13
110.5400,110.5400,2020-04-01,0.0000,110.5400,110.5400,110.5400,1.0000,52
110.5400,110.5400,2020-03-30,0.0000,110.5400,110.5400,110.5400,1.0000,227
103.5059,103.5059,2020-03-27,0.0000,103.5059,100.5000,100.5000,1.0000,30943
109.0250,109.0250,2020-03-26,0.0000,109.0250,109.0250,109.0250,1.0000,4215
92.1682,92.1682,2020-03-25,0.0000,92.1682,92.1682,92.1682,1.0000,12
92.1682,92.1682,2020-03-24,0.0000,92.1682,92.1682,92.1682,1.0000,166
92.1682,92.1682,2020-03-23,0.0000,92.1682,89.7000,89.7000,1.0000,404
83.9000,83.9000,2020-03-20,0.0000,83.9000,83.9000,83.9000,1.0000,128
83.9000,83.9000,2020-03-19,0.0000,83.9000,83.9000,83.9000,1.0000,3988
79.2500,79.2500,2020-03-18,0.0000,79.2500,79.2500,79.2500,1.0000,7644
101.0000,101.0000,2020-03-17,0.0000,101.0000,101.0000,101.0000,1.0000,86
101.0000,101.0000,2020-03-16,0.0000,101.0000,101.0000,101.0000,1.0000,96
101.0000,101.0000,2020-03-13,0.0000,102.4375,100.5000,100.5000,1.0000,562
103.2500,103.2500,2020-03-12,0.0000,103.2500,103.2500,103.2500,1.0000,311
116.0000,116.0000,2020-03-11,0.0000,116.0000,116.0000,116.0000,1.0000,413
124.4500,124.4500,2020-03-10,0.0000,124.4500,124.4500,124.4500,1.0000,179
124.4500,124.4500,2020-03-09,0.0000,124.4500,124.4500,124.4500,1.0000,54
124.4500,124.4500,2020-03-06,0.0000,124.4500,124.4500,124.4500,1.0000,21
124.4500,124.4500,2020-03-05,0.0000,124.4500,124.4500,124.4500,1.0000,14656
124.4500,124.4500,2020-03-04,0.0000,124.4500,124.4500,124.4500,1.0000,34
124.4500,124.4500,2020-03-03,0.0000,124.4500,124.4500,124.4500,1.0000,133
122.6000,122.6000,2020-03-02,0.0000,122.6000,122.6000,122.6000,1.0000,121
122.6000,122.6000,2020-02-28,0.0000,122.6000,122.6000,122.6000,1.0000,81
122.6000,122.6000,2020-02-27,0.0000,122.6000,122.6000,122.6000,1.0000,396
123.4500,123.4500,2020-02-26,0.0000,123.4500,123.4500,123.4500,1.0000,51
