adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
1.2639,1.2639,2020-02-20,0.0000,1.2639,1.2639,1.2639,1.0000,8809
1.2639,1.2639,2020-02-14,0.0000,1.2639,1.2639,1.2639,1.0000,1
1.2639,1.2639,2020-02-12,0.0000,1.2639,1.2639,1.2639,1.0000,26000
1.2639,1.2639,2020-02-11,0.0000,1.2639,1.2639,1.2639,1.0000,2400
1.2639,1.2639,2020-02-07,0.0000,1.2639,1.2639,1.2639,1.0000,400
1.2639,1.2639,2020-02-06,0.0000,1.2639,1.2639,1.2639,1.0000,10400
1.2639,1.2639,2020-01-22,0.0000,1.2639,1.2639,1.2639,1.0000,10400
1.2639,1.2639,2020-01-21,0.0000,1.2639,1.2639,1.2639,1.0000,5200
1.2639,1.2639,2020-01-13,0.0000,1.2639,1.2639,1.2639,1.0000,33600
1.2639,1.2639,2019-11-08,0.0000,1.2639,1.2639,1.2639,1.0000,107324
0.8450,0.8450,2019-08-12,0.0000,0.8450,0.8450,0.8450,1.0000,151
1.0300,1.0300,2019-07-31,0.0000,1.0300,1.0300,1.0300,1.0000,200
1.0397,1.0397,2019-07-30,0.0000,1.0397,1.0397,1.0397,1.0000,47000
1.2400,1.2400,2019-05-07,0.0000,1.2400,1.2400,1.2400,1.0000,75000
1.2400,1.2400,2019-05-03,0.0000,1.2400,1.2400,1.2400,1.0000,22200
1.2400,1.2400,2019-05-02,0.0000,1.2400,1.2400,1.2400,1.0000,2800
1.2400,1.2400,2019-04-30,0.0000,1.2400,1.2400,1.2400,1.0000,25000
1.2400,1.2400,2019-04-26,0.0000,1.2400,1.2400,1.2400,1.0000,25000
1.2400,1.2400,2019-03-29,0.0000,1.2400,1.2400,1.2400,1.0000,10563
1.2900,1.2900,2019-03-12,0.0000,1.2900,1.2900,1.2900,1.0000,2800
1.2600,1.2600,2019-02-15,0.0000,1.2600,1.2600,1.2600,1.0000,2
1.2600,1.2600,2019-02-01,0.0000,1.2600,1.2600,1.2600,1.0000,25000
1.2600,1.2600,2019-01-17,0.0000,1.2600,1.2600,1.2600,1.0000,220
1.0500,1.0500,2019-01-11,0.0000,1.0500,1.0500,1.0500,1.0000,50000
1.0500,1.0500,2019-01-10,0.0000,1.0500,1.0500,1.0500,1.0000,50000
1.0500,1.0500,2019-01-09,0.0000,1.0500,1.0500,1.0500,1.0000,50000
1.0500,1.0500,2019-01-08,0.0000,1.0500,1.0500,1.0500,1.0000,234000
