adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.8690,0.8690,2020-05-12,0.0000,0.9873,0.8690,0.9100,1.0000,7462
0.9301,0.9301,2020-05-11,0.0000,0.9301,0.9301,0.9301,1.0000,467
0.9951,0.9951,2020-05-08,0.0000,1.1000,0.9300,1.0101,1.0000,2483
1.0000,1.0000,2020-05-07,0.0000,1.0000,0.9989,1.0000,1.0000,1048
1.0100,1.0100,2020-05-06,0.0000,1.0100,0.9400,0.9400,1.0000,2024
0.9200,0.9200,2020-05-05,0.0000,0.9400,0.9200,0.9300,1.0000,2539
0.9337,0.9337,2020-05-04,0.0000,0.9337,0.9337,0.9337,1.0000,320
0.9100,0.9100,2020-05-01,0.0000,1.0000,0.9000,1.0000,1.0000,1575
0.9789,0.9789,2020-04-30,0.0000,1.0000,0.9498,0.9861,1.0000,2112
0.9500,0.9500,2020-04-29,0.0000,1.0100,0.9000,0.9500,1.0000,7285
0.9200,0.9200,2020-04-28,0.0000,1.0100,0.9100,1.0099,1.0000,7689
1.0200,1.0200,2020-04-27,0.0000,1.0200,1.0200,1.0200,1.0000,207
1.0200,1.0200,2020-04-24,0.0000,1.0200,1.0200,1.0200,1.0000,813
1.0300,1.0300,2020-04-23,0.0000,1.0600,1.0200,1.0600,1.0000,3629
1.0500,1.0500,2020-04-22,0.0000,1.0500,1.0400,1.0400,1.0000,1602
0.9750,0.9750,2020-04-21,0.0000,1.0500,0.8531,1.0500,1.0000,2458
0.9821,0.9821,2020-04-20,0.0000,1.0100,0.9611,1.0073,1.0000,3822
1.0073,1.0073,2020-04-17,0.0000,1.0100,1.0073,1.0073,1.0000,1186
1.0085,1.0085,2020-04-16,0.0000,1.0100,0.9600,0.9600,1.0000,2809
1.0000,1.0000,2020-04-15,0.0000,1.0450,0.9000,0.9599,1.0000,3582
1.0025,1.0025,2020-04-14,0.0000,1.3000,1.0025,1.0100,1.0000,5754
0.9500,0.9500,2020-04-13,0.0000,1.0400,0.9500,1.0300,1.0000,549
1.0400,1.0400,2020-04-09,0.0000,1.0400,1.0400,1.0400,1.0000,171
1.0400,1.0400,2020-04-08,0.0000,1.0900,0.9300,0.9300,1.0000,5883
1.0000,1.0000,2020-04-07,0.0000,1.0000,1.0000,1.0000,1.0000,978
1.0200,1.0200,2020-04-06,0.0000,1.0300,1.0200,1.0200,1.0000,474
1.0300,1.0300,2020-04-03,0.0000,1.0500,1.0300,1.0500,1.0000,5652
1.0000,1.0000,2020-04-02,0.0000,1.0500,1.0000,1.0500,1.0000,1631
1.0000,1.0000,2020-04-01,0.0000,1.0000,1.0000,1.0000,1.0000,3725
1.0000,1.0000,2020-03-31,0.0000,1.0000,0.9493,0.9498,1.0000,2058
1.0000,1.0000,2020-03-30,0.0000,1.0000,0.9473,0.9500,1.0000,1504
1.0000,1.0000,2020-03-27,0.0000,1.0000,1.0000,1.0000,1.0000,466
1.0000,1.0000,2020-03-26,0.0000,1.0000,0.9973,0.9973,1.0000,897
1.0000,1.0000,2020-03-25,0.0000,1.0000,1.0000,1.0000,1.0000,7
1.0000,1.0000,2020-03-24,0.0000,1.0000,1.0000,1.0000,1.0000,464
1.0000,1.0000,2020-03-23,0.0000,1.0000,0.8500,0.8500,1.0000,1361
1.1000,1.1000,2020-03-20,0.0000,1.1400,1.1000,1.1400,1.0000,345
1.0000,1.0000,2020-03-19,0.0000,1.0000,1.0000,1.0000,1.0000,66
1.0000,1.0000,2020-03-18,0.0000,1.0000,0.9981,0.9981,1.0000,1709
1.0149,1.0149,2020-03-17,0.0000,1.0451,1.0100,1.0400,1.0000,4102
1.1500,1.1500,2020-03-16,0.0000,1.1800,1.1500,1.1800,1.0000,28897
1.1800,1.1800,2020-03-13,0.0000,1.1800,1.1800,1.1800,1.0000,37
1.1800,1.1800,2020-03-12,0.0000,1.3800,1.1000,1.1500,1.0000,5241
1.1100,1.1100,2020-03-11,0.0000,1.1100,1.1100,1.1100,1.0000,22
1.1100,1.1100,2020-03-10,0.0000,1.1100,1.1100,1.1100,1.0000,63
1.1100,1.1100,2020-03-09,0.0000,1.1300,1.1100,1.1300,1.0000,687
1.2300,1.2300,2020-03-06,0.0000,1.2300,1.2221,1.2221,1.0000,13424
1.3370,1.3370,2020-03-05,0.0000,1.3370,1.2373,1.2400,1.0000,2299
1.1600,1.1600,2020-03-04,0.0000,1.3500,1.1600,1.2700,1.0000,3410
1.1500,1.1500,2020-03-03,0.0000,1.1500,1.1500,1.1500,1.0000,245
1.1500,1.1500,2020-03-02,0.0000,1.1500,1.1500,1.1500,1.0000,187
1.1600,1.1600,2020-02-28,0.0000,1.1600,1.1600,1.1600,1.0000,6
1.1600,1.1600,2020-02-27,0.0000,1.2000,1.1600,1.2000,1.0000,15163
1.2400,1.2400,2020-02-26,0.0000,1.4000,1.2400,1.3070,1.0000,3189
1.0800,1.0800,2020-02-25,0.0000,1.0800,1.0800,1.0800,1.0000,95
1.0800,1.0800,2020-02-24,0.0000,1.1500,1.0800,1.1500,1.0000,3068
1.2300,1.2300,2020-02-21,0.0000,1.2300,1.2300,1.2300,1.0000,198
1.2300,1.2300,2020-02-20,0.0000,1.4200,1.2300,1.4200,1.0000,491
1.2800,1.2800,2020-02-19,0.0000,1.4600,1.1700,1.2500,1.0000,10400
1.1200,1.1200,2020-02-18,0.0000,1.1400,1.1000,1.1400,1.0000,8777
1.2500,1.2500,2020-02-14,0.0000,1.2500,1.2500,1.2500,1.0000,225
1.2682,1.2682,2020-02-13,0.0000,1.2682,1.2682,1.2682,1.0000,257
1.1800,1.1800,2020-02-12,0.0000,1.1800,1.1800,1.1800,1.0000,5
1.1800,1.1800,2020-02-11,0.0000,1.1800,1.0700,1.1300,1.0000,9533
1.1200,1.1200,2020-02-10,0.0000,1.1200,1.1200,1.1200,1.0000,5146
1.1500,1.1500,2020-02-07,0.0000,1.1500,1.1350,1.1500,1.0000,6548
1.1200,1.1200,2020-02-06,0.0000,1.2605,1.1200,1.2000,1.0000,6684
1.1000,1.1000,2020-02-05,0.0000,1.1000,1.1000,1.1000,1.0000,28
1.1000,1.1000,2020-02-04,0.0000,1.1100,1.1000,1.1000,1.0000,1919
1.0416,1.0416,2020-02-03,0.0000,1.0416,1.0416,1.0416,1.0000,100
1.0600,1.0600,2020-01-31,0.0000,1.0600,1.0416,1.0500,1.0000,536
1.0600,1.0600,2020-01-30,0.0000,1.0600,1.0600,1.0600,1.0000,29
1.0600,1.0600,2020-01-29,0.0000,1.0750,1.0100,1.0100,1.0000,1432
1.1800,1.1800,2020-01-28,0.0000,1.1800,1.1800,1.1800,1.0000,82
1.1800,1.1800,2020-01-27,0.0000,1.1800,1.1800,1.1800,1.0000,612
1.2000,1.2000,2020-01-24,0.0000,1.2000,1.2000,1.2000,1.0000,26
1.2000,1.2000,2020-01-23,0.0000,1.2500,1.1800,1.2100,1.0000,4052
1.2100,1.2100,2020-01-22,0.0000,1.2100,1.2100,1.2100,1.0000,144
1.2100,1.2100,2020-01-21,0.0000,1.3300,1.2000,1.3300,1.0000,902
1.2813,1.2813,2020-01-17,0.0000,1.3600,1.2300,1.3600,1.0000,10527
1.3000,1.3000,2020-01-16,0.0000,1.5500,1.1000,1.5000,1.0000,36181
1.5000,1.5000,2020-01-15,0.0000,1.5522,1.1500,1.2200,1.0000,16544
1.3400,1.3400,2020-01-14,0.0000,1.4300,1.2960,1.3500,1.0000,12608
1.1500,1.1500,2020-01-13,0.0000,1.1500,1.1500,1.1500,1.0000,340
1.1500,1.1500,2020-01-10,0.0000,1.1800,1.1500,1.1800,1.0000,637
1.1140,1.1140,2020-01-09,0.0000,1.1140,1.1140,1.1140,1.0000,0
1.1137,1.1137,2020-01-08,0.0000,1.1137,1.1137,1.1137,1.0000,9
1.1137,1.1137,2020-01-07,0.0000,1.1137,1.1137,1.1137,1.0000,116
1.1137,1.1137,2020-01-06,0.0000,1.1137,1.1137,1.1137,1.0000,88
1.1137,1.1137,2020-01-03,0.0000,1.1469,1.1000,1.1000,1.0000,663
1.3300,1.3300,2020-01-02,0.0000,1.3356,1.2700,1.3200,1.0000,1858
1.3000,1.3000,2019-12-31,0.0000,1.3000,1.3000,1.3000,1.0000,98
1.3000,1.3000,2019-12-30,0.0000,1.3399,1.2500,1.2500,1.0000,5522
1.2200,1.2200,2019-12-27,0.0000,1.2200,1.2200,1.2200,1.0000,0
1.2200,1.2200,2019-12-26,0.0000,1.2200,1.2200,1.2200,1.0000,61
1.2200,1.2200,2019-12-24,0.0000,1.2200,1.2200,1.2200,1.0000,0
1.2200,1.2200,2019-12-23,0.0000,1.2200,1.2200,1.2200,1.0000,141
1.1500,1.1500,2019-12-20,0.0000,1.1500,1.1500,1.1500,1.0000,0
1.1500,1.1500,2019-12-19,0.0000,1.1973,1.1500,1.1684,1.0000,2649
1.0400,1.0400,2019-12-18,0.0000,1.0400,1.0400,1.0400,1.0000,1015
1.3600,1.3600,2019-12-17,0.0000,1.3600,1.3600,1.3600,1.0000,281
1.3600,1.3600,2019-12-16,0.0000,1.3800,1.3600,1.3800,1.0000,2899
1.3567,1.3567,2019-12-13,0.0000,1.3668,1.3200,1.3200,1.0000,3939
1.3500,1.3500,2019-12-12,0.0000,1.3527,1.3500,1.3527,1.0000,1014
1.3500,1.3500,2019-12-11,0.0000,1.3500,1.3500,1.3500,1.0000,159
1.3500,1.3500,2019-12-10,0.0000,1.3500,1.3500,1.3500,1.0000,19
1.3500,1.3500,2019-12-09,0.0000,1.3500,1.3500,1.3500,1.0000,709
1.3500,1.3500,2019-12-06,0.0000,1.3500,1.3500,1.3500,1.0000,0
1.3500,1.3500,2019-12-05,0.0000,1.3500,1.3500,1.3500,1.0000,209
1.3100,1.3100,2019-12-04,0.0000,1.3100,1.3100,1.3100,1.0000,109
1.3100,1.3100,2019-12-03,0.0000,1.3100,1.3100,1.3100,1.0000,0
1.3100,1.3100,2019-12-02,0.0000,1.3100,1.3100,1.3100,1.0000,1
