adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
0.8613,0.8613,2020-05-12,0.0000,0.8613,0.8613,0.8613,1.0000,400
0.8600,0.8600,2020-05-11,0.0000,0.8600,0.8600,0.8600,1.0000,700
0.8576,0.8576,2020-05-08,0.0000,0.8576,0.8543,0.8543,1.0000,2000
0.9034,0.9034,2020-05-07,0.0000,0.9034,0.8589,0.8589,1.0000,2000
0.8500,0.8500,2020-05-06,0.0000,0.8500,0.8500,0.8500,1.0000,0
0.8523,0.8523,2020-05-05,0.0000,0.8523,0.8475,0.8475,1.0000,625
0.8061,0.8061,2020-05-04,0.0000,0.8100,0.8061,0.8100,1.0000,835
0.9200,0.9200,2020-05-01,0.0000,0.9200,0.9200,0.9200,1.0000,0
0.9186,0.9186,2020-04-30,0.0000,0.9186,0.9186,0.9186,1.0000,4000
0.9400,0.9400,2020-04-29,0.0000,0.9973,0.9400,0.9700,1.0000,4000
0.9300,0.9300,2020-04-28,0.0000,0.9300,0.9300,0.9300,1.0000,0
0.9300,0.9300,2020-04-27,0.0000,0.9300,0.9300,0.9300,1.0000,0
0.9320,0.9320,2020-04-24,0.0000,1.0000,0.8600,0.9972,1.0000,9906
1.0500,1.0500,2020-04-23,0.0000,1.0500,1.0500,1.0500,1.0000,0
1.0500,1.0500,2020-04-22,0.0000,1.0900,0.9700,1.0900,1.0000,1100
1.1000,1.1000,2020-04-21,0.0000,1.1100,1.0947,1.1100,1.0000,1400
1.1895,1.1895,2020-04-20,0.0000,1.1895,1.1800,1.1800,1.0000,4300
1.2400,1.2400,2020-04-17,0.0000,1.2650,1.2400,1.2650,1.0000,1496
1.3260,1.3260,2020-04-16,0.0000,1.4300,1.2154,1.4300,1.0000,5500
1.7000,1.7000,2020-04-15,0.0000,1.9400,1.6600,1.9400,1.0000,11038
1.7800,1.7800,2020-04-14,0.0000,1.7800,1.7800,1.7800,1.0000,0
1.7828,1.7828,2020-04-13,0.0000,1.7832,1.7828,1.7832,1.0000,971
1.5900,1.5900,2020-04-09,0.0000,1.5900,1.4200,1.4200,1.0000,1504
