adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
23.4900,23.4900,2020-05-12,0.0000,23.4900,23.4900,23.4900,1.0000,0
23.4900,23.4900,2020-05-11,0.0000,23.4900,23.4900,23.4900,1.0000,400
23.5000,23.5000,2020-05-08,0.0000,23.5000,23.5000,23.5000,1.0000,1
22.7500,22.7500,2020-05-07,0.0000,22.7500,22.7500,22.7500,1.0000,0
22.7500,22.7500,2020-05-06,0.0000,22.7500,22.7500,22.7500,1.0000,100
23.5000,23.5000,2020-05-05,0.0000,23.5000,23.5000,23.5000,1.0000,100
23.5000,23.5000,2020-05-04,0.0000,23.5000,23.2500,23.2500,1.0000,2000
23.0000,23.0000,2020-05-01,0.0000,23.0000,23.0000,23.0000,1.0000,0
23.0000,23.0000,2020-04-30,0.0000,23.0000,23.0000,23.0000,1.0000,0
23.0000,23.0000,2020-04-29,0.0000,23.0000,23.0000,23.0000,1.0000,0
23.0000,23.0000,2020-04-28,0.0000,23.0000,23.0000,23.0000,1.0000,245
23.0000,23.0000,2020-04-27,0.0000,23.0000,23.0000,23.0000,1.0000,45
23.2500,23.2500,2020-04-24,0.0000,23.2500,23.2500,23.2500,1.0000,0
23.2500,23.2500,2020-04-23,0.0000,23.2500,23.2500,23.2500,1.0000,0
23.2500,23.2500,2020-04-22,0.0000,23.2500,23.2500,23.2500,1.0000,100
25.8000,25.8000,2020-04-21,0.0000,25.8000,25.8000,25.8000,1.0000,0
25.8000,25.8000,2020-04-20,0.0000,25.8000,25.8000,25.8000,1.0000,0
25.8000,25.8000,2020-04-17,0.0000,25.8000,25.8000,25.8000,1.0000,0
25.8000,25.8000,2020-04-16,0.0000,25.8000,25.8000,25.8000,1.0000,0
25.8000,25.8000,2020-04-15,0.0000,25.8000,25.8000,25.8000,1.0000,0
25.8000,25.8000,2020-04-14,0.0000,25.8000,25.8000,25.8000,1.0000,0
25.8000,25.8000,2020-04-13,0.0000,25.8000,25.8000,25.8000,1.0000,0
25.8000,25.8000,2020-04-09,0.0000,25.8000,25.8000,25.8000,1.0000,10
26.0000,26.0000,2020-04-08,0.0000,26.0000,26.0000,26.0000,1.0000,0
26.0000,26.0000,2020-04-07,0.0000,26.0000,26.0000,26.0000,1.0000,0
26.0000,26.0000,2020-04-06,0.0000,26.0000,26.0000,26.0000,1.0000,0
26.0000,26.0000,2020-04-03,0.0000,26.0000,26.0000,26.0000,1.0000,0
