adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
10.1300,10.1300,2020-05-12,0.0000,10.1300,10.1300,10.1300,1.0000,1393
10.1300,10.1300,2020-05-11,0.0000,10.1300,10.1300,10.1300,1.0000,2
10.1300,10.1300,2020-05-08,0.0000,10.1300,10.1300,10.1300,1.0000,294
10.1300,10.1300,2020-05-07,0.0000,10.1300,10.1300,10.1300,1.0000,36725
10.1400,10.1400,2020-05-06,0.0000,10.1400,10.1400,10.1400,1.0000,13243
10.1500,10.1500,2020-05-05,0.0000,10.1500,10.1500,10.1500,1.0000,15
10.1500,10.1500,2020-05-04,0.0000,10.1500,10.1400,10.1400,1.0000,291582
10.1500,10.1500,2020-05-01,0.0000,10.1500,10.1400,10.1400,1.0000,252368
10.1900,10.1900,2020-04-30,0.0000,10.1900,10.1900,10.1900,1.0000,140
10.1900,10.1900,2020-04-29,0.0000,10.1900,10.1900,10.1900,1.0000,794100
10.1900,10.1900,2020-04-28,0.0000,10.1900,10.1900,10.1900,1.0000,206
10.1900,10.1900,2020-04-27,0.0000,10.1900,10.1900,10.1900,1.0000,23
10.1900,10.1900,2020-04-24,0.0000,10.1900,10.1900,10.1900,1.0000,247
10.1500,10.1500,2020-04-23,0.0000,10.1500,10.1500,10.1500,1.0000,200041
10.1800,10.1800,2020-04-22,0.0000,10.1800,10.1800,10.1800,1.0000,14
10.1800,10.1800,2020-04-21,0.0000,10.1800,10.1800,10.1800,1.0000,8
10.1800,10.1800,2020-04-20,0.0000,10.1800,10.1800,10.1800,1.0000,140
10.1800,10.1800,2020-04-17,0.0000,10.1800,10.1800,10.1800,1.0000,5
10.1800,10.1800,2020-04-16,0.0000,10.2000,10.1700,10.1700,1.0000,4309
10.1000,10.1000,2020-04-15,0.0000,10.1000,10.1000,10.1000,1.0000,6
10.1000,10.1000,2020-04-14,0.0000,10.1800,10.1000,10.1000,1.0000,1538
10.0700,10.0700,2020-04-13,0.0000,10.0700,10.0700,10.0700,1.0000,10994
10.0500,10.0500,2020-04-09,0.0000,10.0500,10.0500,10.0500,1.0000,26
10.0500,10.0500,2020-04-08,0.0000,10.0500,10.0500,10.0500,1.0000,34
10.0500,10.0500,2020-04-07,0.0000,10.0500,10.0500,10.0500,1.0000,4
10.0500,10.0500,2020-04-06,0.0000,10.0500,10.0500,10.0500,1.0000,217
10.0500,10.0500,2020-04-03,0.0000,10.2400,10.0500,10.1500,1.0000,195141
10.1500,10.1500,2020-04-02,0.0000,10.1500,10.1500,10.1500,1.0000,1502
10.0550,10.0550,2020-04-01,0.0000,10.1000,10.0500,10.0500,1.0000,35200
10.0500,10.0500,2020-03-31,0.0000,10.0500,10.0500,10.0500,1.0000,73764
10.0500,10.0500,2020-03-30,0.0000,10.0600,10.0500,10.0600,1.0000,6124
10.0100,10.0100,2020-03-27,0.0000,10.0100,10.0000,10.0000,1.0000,1191
10.0100,10.0100,2020-03-26,0.0000,10.0100,10.0000,10.0000,1.0000,455691
9.9500,9.9500,2020-03-25,0.0000,9.9500,9.9500,9.9500,1.0000,601605
9.9000,9.9000,2020-03-24,0.0000,9.9000,9.9000,9.9000,1.0000,88040
9.9000,9.9000,2020-03-23,0.0000,9.9000,9.9000,9.9000,1.0000,8
9.9000,9.9000,2020-03-20,0.0000,9.9000,9.9000,9.9000,1.0000,150224
10.0200,10.0200,2020-03-19,0.0000,10.0200,10.0200,10.0200,1.0000,4303
10.0200,10.0200,2020-03-18,0.0000,10.2400,9.5000,9.9200,1.0000,7100
10.0000,10.0000,2020-03-17,0.0000,10.0000,10.0000,10.0000,1.0000,10
10.0000,10.0000,2020-03-16,0.0000,10.0000,10.0000,10.0000,1.0000,1000025
10.0000,10.0000,2020-03-13,0.0000,10.0000,10.0000,10.0000,1.0000,14
10.0000,10.0000,2020-03-12,0.0000,10.1000,10.0000,10.1000,1.0000,3825615
10.1200,10.1200,2020-03-11,0.0000,10.1600,10.1200,10.1600,1.0000,261826
10.1500,10.1500,2020-03-10,0.0000,10.1600,10.1500,10.1600,1.0000,276113
