adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
13.0863,13.0863,2019-01-09,0.0000,13.0863,13.0863,13.0863,1.0000,144
13.0863,13.0863,2018-11-26,0.0000,13.0863,13.0863,13.0863,1.0000,38140
20.3000,20.3000,2018-08-15,0.0000,20.3000,20.3000,20.3000,1.0000,40
20.3000,20.3000,2018-07-05,0.0000,20.3000,20.3000,20.3000,1.0000,25
20.3000,20.3000,2018-06-28,0.0000,20.3000,20.3000,20.3000,1.0000,25
20.3000,20.3000,2018-04-06,0.0000,20.3000,20.3000,20.3000,1.0000,5
20.3000,20.3000,2017-12-13,0.0000,20.3000,20.3000,20.3000,1.0000,5
20.3000,20.3000,2017-11-24,0.0000,20.3000,20.3000,20.3000,1.0000,25
20.3000,20.3000,2017-11-22,0.0000,20.3000,20.3000,20.3000,1.0000,25
20.3000,20.3000,2017-11-20,0.0000,20.3000,20.3000,20.3000,1.0000,20
20.3000,20.3000,2017-11-16,0.0000,20.3000,20.3000,20.3000,1.0000,5
20.3000,20.3000,2017-09-26,0.0000,20.3000,20.3000,20.3000,1.0000,200
