adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
166.7500,166.7500,2020-05-12,0.0000,177.5000,166.2500,177.3600,1.0000,307945
176.1400,176.1400,2020-05-11,0.0000,179.4250,174.7900,177.1100,1.0000,344058
178.0400,178.0400,2020-05-08,0.0000,178.5500,172.8800,174.1100,1.0000,322237
171.5100,171.5100,2020-05-07,0.0000,171.7350,167.9906,169.6000,1.0000,833233
167.1000,167.1000,2020-05-06,0.0000,169.0000,164.5050,167.0600,1.0000,268174
165.1100,165.1100,2020-05-05,0.0000,172.2400,164.1500,170.6000,1.0000,342126
169.6500,169.6500,2020-05-04,0.0000,169.8700,163.4800,164.0500,1.0000,304830
167.9100,167.9100,2020-05-01,0.0000,168.4800,163.2100,166.7700,1.0000,326408
171.0000,171.0000,2020-04-30,0.0000,172.1400,164.9950,169.1000,1.0000,476536
170.9200,170.9200,2020-04-29,0.0000,178.8000,170.6769,176.6000,1.0000,686998
168.2800,168.2800,2020-04-28,0.0000,187.2900,167.1300,184.3000,1.0000,601548
170.7800,170.7800,2020-04-27,0.0000,172.4400,154.5100,155.2400,1.0000,620947
153.9400,153.9400,2020-04-24,0.0000,156.8850,153.0850,155.8500,1.0000,215625
156.3300,156.3300,2020-04-23,0.0000,159.1600,155.0000,155.8000,1.0000,324981
155.9800,155.9800,2020-04-22,0.0000,156.7200,151.6000,152.5300,1.0000,292347
150.5900,150.5900,2020-04-21,0.0000,156.1500,146.9200,154.6900,1.0000,315743
157.9300,157.9300,2020-04-20,0.0000,160.5400,157.0900,159.0000,1.0000,351572
162.7100,162.7100,2020-04-17,0.0000,163.0400,155.0500,158.4700,1.0000,500577
150.9300,150.9300,2020-04-16,0.0000,161.1000,150.3700,161.1000,1.0000,557915
160.2200,160.2200,2020-04-15,0.0000,161.3600,154.8250,156.3900,1.0000,293617
160.6300,160.6300,2020-04-14,0.0000,161.7700,157.7200,160.3200,1.0000,526202
154.9000,154.9000,2020-04-13,0.0000,164.0000,154.2600,164.0000,1.0000,302974
164.6900,164.6900,2020-04-09,0.0000,168.4800,160.0900,162.0000,1.0000,552935
157.7200,157.7200,2020-04-08,0.0000,159.9734,151.4300,153.4400,1.0000,459082
150.5800,150.5800,2020-04-07,0.0000,155.5400,145.0100,150.0000,1.0000,687156
141.0300,141.0300,2020-04-06,0.0000,148.8050,137.4300,139.1600,1.0000,1029605
131.7300,131.7300,2020-04-03,0.0000,140.6400,129.5200,139.5000,1.0000,685307
139.3600,139.3600,2020-04-02,0.0000,143.7900,135.5000,137.4300,1.0000,558773
141.3300,141.3300,2020-04-01,0.0000,147.9900,139.0100,142.1100,1.0000,719812
147.7100,147.7100,2020-03-31,0.0000,154.0550,147.0600,148.2900,1.0000,786372
148.9600,148.9600,2020-03-30,0.0000,154.7800,147.5350,154.7800,1.0000,604274
155.6000,155.6000,2020-03-27,0.0000,157.5800,143.6600,145.2300,1.0000,617766
150.8000,150.8000,2020-03-26,0.0000,156.5700,146.0800,154.1400,1.0000,909960
152.1600,152.1600,2020-03-25,1.7600,163.4400,143.2600,145.7900,1.0000,1345425
140.9892,142.6200,2020-03-24,0.0000,156.9400,141.0000,151.0200,1.0000,731768
140.1687,141.7900,2020-03-23,0.0000,147.6150,135.0000,147.0000,1.0000,851716
143.4409,145.1000,2020-03-20,0.0000,168.6650,142.2500,163.9400,1.0000,1204420
158.4275,160.2600,2020-03-19,0.0000,165.9900,146.8900,154.8400,1.0000,880604
159.9400,161.7900,2020-03-18,0.0000,162.6100,141.2750,149.1735,1.0000,993756
159.8412,161.6900,2020-03-17,0.0000,166.4950,150.1164,155.1700,1.0000,992199
151.9623,153.7200,2020-03-16,0.0000,172.1300,135.0050,140.0100,1.0000,1110468
167.8980,169.8400,2020-03-13,0.0000,171.5600,150.9600,154.6800,1.0000,919046
143.5793,145.2400,2020-03-12,0.0000,149.7300,125.0000,147.8400,1.0000,1691484
153.8406,155.6200,2020-03-11,0.0000,175.9500,154.5500,172.5000,1.0000,1732873
175.8658,177.9000,2020-03-10,0.0000,183.9400,170.6400,174.0000,1.0000,1907464
179.9189,182.0000,2020-03-09,0.0000,187.4000,180.0500,184.6200,1.0000,968556
194.3322,196.5800,2020-03-06,0.0000,200.1600,187.5000,189.1200,1.0000,850867
193.2646,195.5000,2020-03-05,0.0000,201.6505,191.0500,199.6300,1.0000,860252
199.0971,201.4000,2020-03-04,0.0000,206.7300,200.0000,204.5000,1.0000,702913
198.9982,201.3000,2020-03-03,0.0000,212.6600,200.0000,211.4400,1.0000,690397
207.5394,209.9400,2020-03-02,0.0000,214.3100,206.0400,213.1900,1.0000,518145
210.1789,212.6100,2020-02-28,0.0000,217.3000,205.5300,208.2000,1.0000,628977
209.7934,212.2200,2020-02-27,0.0000,223.7700,212.0000,215.0000,1.0000,436894
217.8502,220.3700,2020-02-26,0.0000,232.7700,218.8000,231.4000,1.0000,519136
228.1016,230.7400,2020-02-25,0.0000,242.4700,230.4800,242.2400,1.0000,336087
239.4404,242.2100,2020-02-24,0.0000,248.5800,241.8800,245.0000,1.0000,347172
248.7923,251.6700,2020-02-21,0.0000,251.8600,246.0400,247.3300,1.0000,369824
245.6981,248.5400,2020-02-20,0.0000,248.8600,244.2300,245.8900,1.0000,194524
242.6928,245.5000,2020-02-19,0.0000,249.6200,245.4700,248.8400,1.0000,307341
245.3620,248.2000,2020-02-18,0.0000,251.6700,247.8400,248.6300,1.0000,299896
246.5581,249.4100,2020-02-14,0.0000,249.6750,246.8400,247.7900,1.0000,143314
245.2433,248.0800,2020-02-13,0.0000,248.3600,243.4280,244.1600,1.0000,145636
242.8510,245.6600,2020-02-12,0.0000,247.1100,244.4600,245.9300,1.0000,183469
242.0404,244.8400,2020-02-11,0.0000,248.1800,242.2200,242.7000,1.0000,236212
238.7781,241.5400,2020-02-10,0.0000,241.9450,234.3200,235.4700,1.0000,267386
233.2026,235.9000,2020-02-07,0.0000,237.6100,234.9000,236.9200,1.0000,168083
235.2687,237.9900,2020-02-06,0.0000,240.0790,237.9600,239.8900,1.0000,102000
236.9097,239.6500,2020-02-05,0.0000,241.8700,238.5900,240.5200,1.0000,225359
235.6147,238.3400,2020-02-04,0.0000,241.7400,237.3800,237.9900,1.0000,199970
232.6193,235.3100,2020-02-03,0.0000,238.2050,235.1100,235.1300,1.0000,240314
