adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
9.3000,9.3000,2020-05-12,0.0000,9.3000,9.3000,9.3000,1.0000,0
9.3000,9.3000,2020-05-11,0.0000,9.3000,9.3000,9.3000,1.0000,300
9.2500,9.2500,2020-05-08,0.0000,9.2500,9.2500,9.2500,1.0000,0
9.2500,9.2500,2020-05-07,0.0000,9.2500,9.2500,9.2500,1.0000,26000
9.3000,9.3000,2020-05-06,0.0000,9.4000,9.3000,9.4000,1.0000,200
9.6500,9.6500,2020-05-05,0.0000,9.6500,9.6500,9.6500,1.0000,0
9.6500,9.6500,2020-05-04,0.0000,9.6500,9.6500,9.6500,1.0000,0
9.6500,9.6500,2020-05-01,0.0000,9.6500,9.6500,9.6500,1.0000,0
9.6500,9.6500,2020-04-30,0.0000,9.6500,9.6500,9.6500,1.0000,300
9.5000,9.5000,2020-04-29,0.0000,9.5000,9.5000,9.5000,1.0000,100
9.4900,9.4900,2020-04-28,0.0000,9.5000,9.4000,9.4100,1.0000,1300
9.6000,9.6000,2020-04-27,0.0000,9.6000,9.6000,9.6000,1.0000,0
9.6000,9.6000,2020-04-24,0.0000,9.6000,9.6000,9.6000,1.0000,100
9.2000,9.2000,2020-04-23,0.0000,9.2000,9.2000,9.2000,1.0000,0
9.2000,9.2000,2020-04-22,0.0000,9.2000,9.2000,9.2000,1.0000,0
9.2000,9.2000,2020-04-21,0.0000,9.2000,9.2000,9.2000,1.0000,0
9.2000,9.2000,2020-04-20,0.0000,9.2500,9.2000,9.2500,1.0000,300
9.6500,9.6500,2020-04-17,0.0000,9.6500,9.6500,9.6500,1.0000,0
9.6500,9.6500,2020-04-16,0.0000,9.6500,9.6500,9.6500,1.0000,0
9.6500,9.6500,2020-04-15,0.0000,9.6500,9.6500,9.6500,1.0000,0
9.6500,9.6500,2020-04-14,0.0000,9.6500,9.6500,9.6500,1.0000,0
9.6500,9.6500,2020-04-13,0.0000,9.6500,9.6500,9.6500,1.0000,0
9.6500,9.6500,2020-04-09,0.0000,9.6500,9.6400,9.6400,1.0000,200
8.9600,8.9600,2020-04-08,0.0000,9.0000,8.9500,9.0000,1.0000,500
9.0000,9.0000,2020-04-07,0.0000,9.0000,9.0000,9.0000,1.0000,0
9.0000,9.0000,2020-04-06,0.0000,9.0500,9.0000,9.0500,1.0000,1500
9.1000,9.1000,2020-04-03,0.0000,9.1000,9.1000,9.1000,1.0000,1500
9.6400,9.6400,2020-04-02,0.0000,9.6400,9.5000,9.5000,1.0000,400
9.6200,9.6200,2020-04-01,0.0000,9.6500,9.6200,9.6500,1.0000,1250
9.8500,9.8500,2020-03-31,0.0000,9.8500,9.8500,9.8500,1.0000,340
9.8500,9.8500,2020-03-30,0.0000,9.8500,9.8500,9.8500,1.0000,1700
9.7000,9.7000,2020-03-27,0.0000,9.8500,9.7000,9.8500,1.0000,405
10.5000,10.5000,2020-03-26,0.0000,10.5000,10.2500,10.2500,1.0000,700
10.0000,10.0000,2020-03-25,0.0000,10.0000,10.0000,10.0000,1.0000,0
10.0000,10.0000,2020-03-24,0.0000,10.0000,10.0000,10.0000,1.0000,100
10.0000,10.0000,2020-03-23,0.0000,10.5000,10.0000,10.5000,1.0000,850
